項次,工會屬性,工會名稱,理事長,郵遞區號,通訊地址,聯絡電話
21,職業工會,台北市旅館業職業工會,姜禮裕,104,臺北市中山區中山北路3段26號7樓,(02)25962107
22,職業工會,台北市洗染業職業工會,何耀錡,104,臺北市中山區中山北路1段92號11樓之1,(02)25517353
23,職業工會,臺北市彫刻業職業工會,陳葆奇,103,臺北市大同區承德路3段10號5樓之1,(02)25858848
24,職業工會,臺北市技藝舞蹈表演業職業工會,張克仁,100,臺北市中正區重慶南路1段10號4樓之10,(02)23815653
25,職業工會,台北市水管裝置業職業工會,林肇俊,105,臺北市松山區三民路95巷32號,(02)27697850
26,職業工會,臺北市糕餅業職業工會,陳中明,104,臺北市中山區龍江路96號3樓,(02)25078472
27,職業工會,台北市機車服務業職業工會,林建同,100,臺北市中正區羅斯福路3段100號2樓之7,(02)23680115
28,職業工會,台北市汽車服務業職業工會,徐文溪,108,臺北市萬華區康定路162號2樓,(02)23390579
29,職業工會,臺北市攝錄影業職業工會,黃銘通,106,臺北市大安區和平東路2段111號3樓,(02)27037410
30,職業工會,台北市營造業職業工會,邱寶安,108,臺北市萬華區環河南路2段37號,(02)23821688
31,職業工會,臺北市五金業職業工會,王進財,103,臺北市大同區重慶北路三段347號2樓之3,(02)25973456
32,職業工會,臺北市裝潢裱褙業職業工會,林峻毅,100,臺北市中正區杭州南路1段147號2樓,(02)23939984
33,職業工會,臺北市鋼琴調音業職業工會,黃建新,104,臺北市中山區新生北路2段60巷2號7樓之8,(02)25368480
34,職業工會,台北市電影電視演藝業職業工會,曹莉,104,臺北市中山區復興北路62號3樓之2,(02)25151580
35,職業工會,臺北市油漆業職業工會,謝森松,110,臺北市信義區基隆路2段151-7號2樓之1,(02)27361045
36,職業工會,臺北市廣告業職業工會,黃子銘,100,臺北市中正區中華路2段381巷4之1號2樓,(02)23072702
37,職業工會,台北市自行車裝修業職業工會,白勝方,106,臺北市大安區和平東路2段181號4樓,(02)27073561
38,職業工會,臺北市玩具業職業工會,賴君彥,103,臺北市大同區長安西路205號3樓之6,(02)25557549
39,職業工會,台北市旅遊業職業工會,葉素珍,104,臺北市中山區林森北路289號7樓702室,(02)25415522
40,職業工會,臺北市禮儀用品業職業工會,陳黃孝卿,103,臺北市大同區長安西路205號2樓之3,(02)25559541
41,職業工會,台北市皮革製品業職業工會,周銀桂,100,臺北市中正區重慶南路2段21號7樓之4,(02)23929619
42,職業工會,台北市鐵工業職業工會,溫勝福,111,臺北市士林區中正路594號2樓,(02)28117795
43,職業工會,臺北市殯葬業職業工會,鄭瑞昱 ,104,臺北市中山區民權東路2段204號3樓,(02)25033017
44,職業工會,台北市線類編織業職業工會,張唯涵,100,臺北市中正區重慶南路2段21號7樓之4,(02)23410871
45,職業工會,台北市清潔管理服務業職業工會,廖正龍,108,臺北市萬華區康定路162號2樓,(02)23390579
46,職業工會,台北市冷凍空調工程業職業工會,尤錫?,111,臺北市士林區中山北路7段81巷30號2樓,(02)28737586
47,職業工會,臺北市手工藝製品職業工會,蔡杰廷,104,臺北市中山區錦州街5號3樓,(02)25651112
48,職業工會,台北市蛋類加工派送業職業工會,林福來,100,臺北市中正區愛國西路9號3樓之15,(02)23618682
49,職業工會,台北市寢具業職業工會,陳文輝,104,臺北市中山區農安街277號4樓之2,(02)25040017
50,職業工會,臺北市肉類食品加工業職業工會,李聲興,100,臺北市中正區中華路2段467巷14弄13號,(02)23038008
51,職業工會,台北市園藝花卉業職業工會,林添龍,114,臺北市內湖區新湖三路28號3樓,(02)27913565
52,職業工會,台北市打字複印業職業工會,郭春重,104,臺北市中山區新生北路1段59之1號12樓,(02)25230929
53,職業工會,臺北市度量衡裝修業職業工會,吳文彬,104,臺北市中山區民權東路2段26號7樓之5,(02)25428208
54,職業工會,台北市豆類加工業職業工會,林文西,112,臺北市北投區光明路188之2號,(02)28929263
55,職業工會,臺北市泥水業職業工會,張惟皓,108,臺北市萬華區中華路1段182號1樓,(02)23703399
56,職業工會,台北市麵粉製品業職業工會,蘇惠芬,100,臺北市中正區忠孝西路1段50號13樓之38,(02)23610896
57,職業工會,台北市醬類業職業工會,戴忠良,100,臺北市中正區忠孝西路1段50號13樓之34、38、40,(02)23610896
58,職業工會,台北市貨物包裝運送服務業職業工會,廖維恒,100,臺北市中正區中華路2段81巷61號2樓,(02)23813316
59,職業工會,台北市百貨服務業職業工會,廖正龍,108,臺北市萬華區康定路162號2樓,(02)23390659
60,職業工會,台北市竹工業職業工會,賴正浩,100,臺北市中正區漢口街1段110號906室,(02)23819018
61,職業工會,台北市中藥製造業職業工會,袁千富,104,臺北市中山區長安東路一段75號6樓,(02)25319393
62,職業工會,臺北市西藥服務業職業工會,周雨蕾,104,臺北市中山區新生北路3段61號6樓之6,(02)25952013
63,職業工會,台北市氣體燃料裝置業職業工會,周銘冠,100,臺北市中正區重慶南路1段121號6樓14室,(02)23111823
64,職業工會,臺北市玻璃裝配業職業工會,蔡漢林,104,臺北市中山區長安東路1段16號6樓之1,(02)25317792
65,職業工會,台北市帽蓆編織業職業工會,林柏宇,104,臺北市中山區南京東路1段86號8樓802室,(02)25811211
66,職業工會,台北市飼料製造服務職業工會,戴忠良,100,臺北市中正區忠孝西路1段50號13樓之41,(02)23610216
67,職業工會,台北市針車服務業職業工會,李金龍,108,臺北市萬華區和平西路3段52巷6弄13號,(02)23029267
68,職業工會,台北市輪胎修理業職業工會,吳綺雯,108,臺北市萬華區南寧路39號,(02)23367961
69,職業工會,臺北市資訊服務業職業工會,林國能,103,臺北市大同區延平北路1段22號8樓之6,(02)25590275
70,職業工會,臺北市果菜包裝運送業職業工會,鄧振田,108,臺北市萬華區富民路145巷15弄23號2樓,(02)23051678
71,職業工會,臺北市運動服務業職業工會,高樹弘,114,臺北市內湖區內湖路1段91巷35弄17號1樓,(02)26574625
72,職業工會,台北市視聽服務業職業工會,李昆明,112,臺北市北投區中和街521號,(02)28912656
73,職業工會,台北市服飾設計業職業工會,廖麗娟,104,臺北市中山區民權西路20號5樓之12,(02)25214525
74,職業工會,台北市汽車裝潢業職業工會,陳金發,112,臺北市北投區溫泉路71號7樓之4,(02)28979500
75,職業工會,台北市製茶業職業工會,陳宏欣,103,臺北市大同區延平北路2段246號1樓,(02)25537703
76,職業工會,臺北市會計業職業工會,李華,106,臺北市大安區和平東路2段100號5樓之5,(02)27399106
77,職業工會,台北市銀樓業職業工會,吳三村,108,臺北市萬華區西寧南路219號7樓,(02)23753627
78,職業工會,台北市魚貨搬運業職業工會,張雲台,108,臺北市萬華區長沙街2段73號6樓之1,(02)23115574
79,職業工會,台北市舊貨業職業工會,郭宗耀,100,臺北市中正區重慶南路3段88號2樓,(02)23075043
80,職業工會,台北市防水防漏業職業工會,顧建強,108,臺北市萬華區成都路81號7樓16室,(02)25928373
81,職業工會,臺北市小貨車裝運業職業工會,王興祺,100,臺北市中正區中華路2段81巷61號2樓,(02)23813316
82,職業工會,臺北市鞋類服務職業工會,戴文明,100,臺北市中正區忠孝西路1段50號13樓之34,(02)23610138
83,職業工會,台北市紙類加工業職業工會,高紹騏,106,臺北市大安區仁愛路4段419之1號2樓,(02)27317784
84,職業工會,臺北市電器裝置業職業工會,許文翰,104,臺北市中山區民權西路20號5樓之12,(02)25214525
85,職業工會,台北市電子機械加工業職業工會,黃啟進,100,台北市中正區汀州路一段242巷26號3樓,(02)27754512
86,職業工會,台北市魚類食品加工業職業工會,謝建全,100,臺北市中正區中華路2段305巷5號1樓,(02)23078067
87,職業工會,臺北市蔬菜加工業職業工會,陳錫恭,108,臺北市萬華區萬大路506巷24號1樓,(02)23079866
88,職業工會,台北市雜誌業職業工會,高愷均,106,臺北市大安區仁愛路4段419之1號2樓,(02)66131168
89,職業工會,臺北市食米加工運送業職業工會,鄭琇玲,111,臺北市士林區葫蘆街110號,(02)26275880
90,職業工會,台北市液化氣體裝置運送業職業工會,朱煒明,100,臺北市中正區重慶南路1段121號6樓14室,(02)23111823
91,職業工會,台北市女子燙髮業職業工會,林國成,104,臺北市中山區吉林路239號7樓之1,(02)25818857
92,職業工會,臺北市公寓大廈管理服務業職業工會,史衣甯,104,臺北市中山區民生西路16號11樓,(02)25623958
93,職業工會,台北市男子髮藝造型職業工會,林庭瑄,110,臺北市南港區忠孝東路5段815號9樓,(02)27831506
94,職業工會,台北市美容業職業工會,蔡璧舟,104,臺北市中山區林森北路289號10樓之10室,(02)25623982
95,職業工會,台北市室內裝潢業職業工會,簡立維,108,臺北市萬華區西園路2段135號3樓,(02)23063212
96,職業工會,臺北市記帳業職業工會,李竹森,105,臺北市松山區南京東路4段197號2樓,(02)87705169
97,職業工會,臺北市佛俱用品業職業工會,楊筱茹,111,臺北市士林區福港街259巷9弄3號1樓,
98,職業工會,臺北市成衣服飾整理加工業職業工會,許陳親,111,臺北市士林區重慶北路4段230號10樓,(02)28125822
99,職業工會,台北市拉鍊加工業職業工會,羅秀英,104,臺北市中山區南京東路1段86號9樓905室,(02)25372941
100,職業工會,台北市雨傘加工修理業職業工會,楊星漢,104,臺北市中山區南京東路1段86號9樓905室,(02)25372941
101,職業工會,台北市保險業職業工會,黃淑貞 ,100,臺北市中正區忠孝西路1段50號13樓之36,(02)23610096
102,職業工會,台北市西點麵包業職業工會,周錦輝,104,臺北市中山區松江路506號2樓之1,(02)25927296
103,職業工會,台北市製圖業職業工會,陳培芬,103,臺北市大同區寧夏路11號11樓之7,(02)25552986
104,職業工會,台北市理燙髮美容材料運送業職業工會,楊周明,104,臺北市中山區南京東路2段21巷30號1樓,(02)25717460
105,職業工會,台北市農業機械代耕業職業工會,林芳一,100,臺北市中正區博愛路25號5樓502室,(02)23813089
106,職業工會,台北市家事服務業職業工會,陳富美,103,臺北市大同區敦煌路7號1樓,(02)25928632
107,職業工會,臺北市宗教服務業職業工會,鄧永絢,108,臺北市萬華區昆明街58號5樓之5,(02)23141094
108,職業工會,台北市食品雜貨運送業職業工會,陳晶婷,112,臺北市北投區溫泉路71號7樓之4,(02)28979500
109,職業工會,台北市魚貨運銷業職業工會,李俊毅,100,臺北市中正區中華路2段305巷5號1樓,(02)23078067
110,職業工會,台北市針織業職業工會,黃新福,104,臺北市中山區民權西路20號5樓之12,(02)25214525
111,職業工會,臺北市地政業務從業人員職業工會,胡清河,108,臺北市萬華區漢中街2號5樓之1,(02)23886047
112,職業工會,臺北市報關服務職業工會,鄭旭芳,104,臺北市中山區新生北路3段64號1樓,(02)25865235
113,職業工會,臺北市帆布加工業職業工會,呂宛陵,108,臺北市萬華區西園路2段140巷14號,(02)23023121
114,職業工會,台北市小吃業職業工會,蔡美滿,106,臺北市大安區和平東路2段100號5樓之5,(02)27399105
115,職業工會,台北市家具運送業職業工會,李焜照,108,臺北市萬華區萬大路98號1樓,(02)23061040
116,職業工會,台北市建築鋼筋業職業工會,莊隆厚,100,臺北市中正區重慶南路2段21號7樓之4,(02)23971298
117,職業工會,台北市舞蹈職業工會,戴誌輝,100,臺北市中正區忠孝西路1段50號13樓之34,(02)23610866
118,職業工會,台北市搬家業職業工會,譚茂源,104,臺北市中山區新生北路3段61號6樓之6,(02)25942924
119,職業工會,台北市攤販職業工會,陳柳美英,108,臺北市萬華區桂林路246巷42弄15號4樓,(02)23042886
120,職業工會,台北市進出口貿易服務業職業工會,陳永霖,103,臺北市大同區長安西路205號2樓之4,(02)25551707
121,職業工會,台北市衛廚器材業職業工會,陳美嬌,112,臺北市北投區明德路201號,(02)28214315
122,職業工會,台北市不動產服務業職業工會,黃麒豪,100,臺北市中正區漢口街1段110號9樓之16,(02)23145701
123,職業工會,台北市檳榔包裝加工業職業工會,林韋銘,104,臺北市中山區吉林路239號2樓之1,(02)25420960
124,職業工會,台北市重機械操作業職業工會,張惟皓,108,臺北市萬華區中華路1段182號1樓,(02)23703399
125,職業工會,台北市汽車材料理貨業職業工會,高紹騏,106,臺北市大安區仁愛路4段419之1號2樓,(02)27317784
126,職業工會,台北市運動器材加工業職業工會,高愷均,106,臺北市大安區仁愛路4段419之1號2樓,(02)27317784
127,職業工會,臺北市青果加工業職業工會,王幼良,108,臺北市萬華區德昌街254號4樓,(02)23035097
128,職業工會,台北市砌磚業職業工會,陳宏富,105,臺北市松山區八德路4段220號5樓之1,(02)27613708
129,職業工會,台北市石作業職業工會,"楊有平
吳萬生",112,臺北市北投區立農街1段243號4樓,(02)28206046
130,職業工會,台北市售票員業職業工會,古明禾,100,臺北市中正區羅斯福路2段7之6號9樓,(02)23510823
131,職業工會,台北市事務機器業職業工會,吳權鴻,100,臺北市中正區忠孝西路1段41號11樓之11,(02)23913589
132,職業工會,台北市廚具爐具裝置運送業職業工會,彭重雄,100,臺北市中正區中華路2段305巷13號1樓,(02)23072265
133,職業工會,台北市星相卜卦堪輿業職業工會,黎進來,103,臺北市大同區西寧北路83號6樓之2,(02)25561776
134,職業工會,台北市圖書文具運送業職業工會,王銓昌,106,臺北市大安區羅斯福路2段91號16樓之2,(02)23693392
135,職業工會,台北市廚師業職業工會,周情意,116,臺北市文山區景華街21號1樓,(02)29349828
136,職業工會,台北市水泥加工業職業工會,陳信翰,112,臺北市北投區石牌路1段150號3樓,(02)28271329
137,職業工會,台北市工商服務業職業工會,李錫霖,115,臺北市南港區忠孝東路5段815號6樓之1,(02)27889612
138,職業工會,台北市褓姆業職業工會,許幼瀚,108,臺北市萬華區環河南路3段201號3樓,(02)23076942
139,職業工會,臺北市勞工團體聘僱人員業職業工會,"陳淵源
蔡維益
高銘順",106,臺北市大安區光復南路296號5樓(遷址),(02)25216536
140,職業工會,臺北市各業工人聯合會職業工會,謝炳山,108,臺北市萬華區漢口街2段75之1號5樓,(02)23121732
141,職業工會,臺北市體育用品業職業工會,賀詩芸,100,臺北市中正區博愛路25號5樓502室,(02)23110702
142,職業工會,臺北市工商團體會務工作人員職業工會,"莊石鑑
陳四郎
鄭兆熙",108,臺北市萬華區昆明街275號5樓(遷址),(02)23365718
143,職業工會,台北市繕寫人員業職業工會,殷錦娟,104,臺北市中山區長春路26號8樓之3,(02)25810607
144,職業工會,臺北市報紙廣告業職業工會,方淑卿,100,臺北市中正區漢口街1段110號2樓之11,(02)23717490
145,職業工會,台北市家具製造修理職業工會,吳易達,111,臺北市士林區承德路4段80巷14號5樓,(02)28854887
146,職業工會,台北市塑膠製品製造工職業工會,謝清永,103,臺北市大同區重慶北路3段223巷29號1樓,(02)25922391
147,職業工會,臺北市廢品收購人職業工會,余國榮,111,臺北市士林區福港街259巷9弄3號1樓,(02)28828400
148,職業工會,台北市建築鷹架業職業工會,賴坤應,100,臺北市中正區重慶南路2段21號7樓之4,(02)23971753
149,職業工會,台北市書畫美術人員職業工會,劉美娟 ,104,臺北市中山區中山北路1段53巷20號8樓之3,(02)25215559
150,職業工會,台北市縫製裝飾品製作工職業工會,陳蔡麗華,112,臺北市北投區明德路201號,(02)28214315
151,職業工會,台北市橡膠製品製造工職業工會,高進祥,104,臺北市中山區長春路26號8樓之3,(02)25119857
152,職業工會,台北市統計數學佐理人員業職業工會,劉建弘,105,臺北市松山區八德路4段181巷22號1樓,(02)27568789
153,職業工會,臺北市廣播節目製作業職業工會,許雅迪,103,臺北市大同區迪化街一段50號3樓D室,(02)25566420
154,職業工會,臺北市金屬製造工職業工會,黃鎮  ,108,臺北市萬華區莒光路250之1號6樓,(02)23021477
155,職業工會,台北市醫療器材業職業工會,李千金,108,臺北市萬華區康定路190號2樓,(02)23314833
156,職業工會,台北市巡迴推銷員職業工會,陳宜安,112,臺北市北投區石牌路1段150號3樓,(02)28271329
157,職業工會,台北市飲料店業職業工會,黃坤池,103,臺北市大同區重慶北路3段223巷23弄3之1號2樓,(02)25914159
158,職業工會,臺北市肉類處理職業工會,黃瀚,111,台北市士林區葫東街33號2樓,(02)28150243
159,職業工會,台北市導遊職業工會,吳洪泉,104,臺北市中山區民權東路2段9號3樓,(02)25919441
160,職業工會,台北市營建土木職業工會,阮丁來,108,台北市萬華區桂林路157號1樓,(02)23098351
161,職業工會,臺北市農事服務職業工會,侯玉珠,108,臺北市萬華區中華路2段300巷13弄5號,(02)23051109
162,職業工會,台北市百貨行售貨職業工會,謝俊吉,106,臺北市大安區羅斯福路2段91號16樓之2,(02)23693392
163,職業工會,臺北市計程車駕駛員職業工會,鄭釧義,106,臺北市大安區建國南路1段44巷1號1樓,(02)27715440
164,職業工會,臺北市菇類種植製造職業工會,古明禾,108,臺北市萬華區萬大路528號1樓,(02)23092878
165,職業工會,台北市花藝設計製作職業工會,林秀金,104,臺北市中山區吉林路239號2樓之1,(02)25420960
166,職業工會,台北市飾品加工職業工會,王榮華,103,臺北市大同區赤峰街23巷11號3樓,(02)25582782
167,職業工會,台北市保育人員職業工會,黃美華,116,臺北市文山區景華街21號1樓,(02)29349828
168,職業工會,台北市建築材料運送職業工會,王詩榜,112,台北市北投區明德路65號2樓,(02)28277951
169,職業工會,台北市冰果冷飲服務職業工會,古佩玉,108,臺北市萬華區萬大路528號1樓,(02)23072673
170,職業工會,臺北市成衣服裝包裝運送職業工會,王永華,110,臺北市信義區松山路132號7樓之1,(02)27632851
171,職業工會,台北市模特兒職業工會,李佩芬,104,臺北市中山區林森北路289號10樓之12,(02)25233567
172,職業工會,臺北市日用品運送服務業職業工會,張高維,104,臺北市中山區中山北路3段29號5樓之2,(02)25959340
173,職業工會,臺北市家畜飼養職業工會,李侑頻,110,臺北市信義區忠孝東路5段492巷9號,(02)23463020
174,職業工會,臺北市接骨服務職業工會,王川井,105,臺北市松山區八德路3段120號11樓,(02)25793100
175,職業工會,臺北市作物栽培業職業工會,熊雪蓮,111,臺北市士林區社子街138號1樓,(02)28125723
176,職業工會,臺北市刻印職業工會,"林王梅雀
楊建發
吳德樑",104,臺北市中山區新生北路2段60巷2號3樓之7,(02)25411245
177,職業工會,臺北市雕刻裝配料職業工會,陳順意,103,臺北市大同區酒泉街121號2樓,(02)25929518
178,職業工會,臺北市配音人員職業工會,曹冀魯,105,臺北市松山區南京東路3段305號5樓506室,(02)27170153
179,職業工會,臺北市麵食製作職業工會,顏榮利,100,臺北市中正區西藏路18號4樓,(02)23041544
180,職業工會,臺北市國會助理職業工會,李永誠,100,臺北市中正區濟南路1段3-1號508室,(02)23588081
181,職業工會,臺北市劇團演藝職業工會,柯加財,103,臺北市大同區重慶北路2段196號6樓之11,(02)25520352
182,職業工會,台北市大眾傳播職業工會,鄭文煌,104,臺北市中山區農安街32號7樓之1,(02)25975091
183,職業工會,臺北市冷凍貨物裝卸職業工會,郭育碩,116,臺北市文山區萬安街16巷8號2樓之1,(02)23056263
184,職業工會,台北市護士職業工會,常靜蓉,100,臺北市中正區忠孝西路1段50號13樓之41,(02)23610896
185,職業工會,台北市消防設備職業工會,尤進茂,104,臺北市中山區吉林路407巷9號1樓,(02)25953131
186,職業工會,臺北市保全業職業工會,譚秋英,104,臺北市中山區新生北路3段61號6樓之6,(02)25992125
187,職業工會,台北市傳統整復推拿與民俗調理職業工會,胡震亞,106,臺北市大安區基隆路2段166號4樓,(02)23379110
188,職業工會,臺北市環保廢棄物清除處理職業工會,鄭聘玫 ,111,臺北市士林區葫蘆街110號,(02)28166566
189,職業工會,臺北市公有市場零售攤販職業工會,陳柳美英,108,臺北市萬華區桂林路246巷42弄15號4樓,(02)23042886
190,職業工會,臺北市職業棒球員職業工會,陳傑憲,105,臺北市松山區南京東路4段171號12樓之2,(02)87707278
191,職業工會,台北市美姿禮儀造型職業工會,殷艷莉,220,新北市板橋區文化路2段124巷12之1號2樓,(02)22585901
192,職業工會,台北市漫畫從業人員職業工會,黃俊維,108,臺北市萬華區西園路1段145號B2樓21號,(02)23120045
193,職業工會,臺北市傳統整復員職業工會,江元璋,100,臺北市中正區博愛路52號6樓,(02)23114241
194,職業工會,台北市新聞業職業工會,鄭文煌,104,臺北市中山區農安街32號7樓之1,(02)25975091
195,職業工會,台北市廢金屬處理職業工會,吳三村,108,臺北市萬華區西寧南路219號7樓,(02)23753627
196,職業工會,臺北市美髮美容技術指導員職業工會,陳廣生,108,臺北市萬華區西藏路269巷12號1樓,(02)23034362
197,職業工會,臺北市西服製作職業工會,陳淵源,103,臺北市大同區重慶北路2段48號6樓,(02)28926153
198,職業工會,台北市個人投資理財代理人職業工會,林承憲,103,臺北市大同區重慶北路1段87號2樓,(02)25507773
199,職業工會,臺北市模板業職業工會,林泰源,108,臺北市萬華區環河南路2段37號1樓,(02)23821688
200,職業工會,臺北市電子零件裝配人員職業工會,劉祿豐,106,臺北市大安區和平東路3段406巷3號5樓,
201,職業工會,臺北市技工工友職業工會,周金進,110,臺北市信義區富陽街54號3樓(被退件，搬遷),(02)27352702
202,職業工會,台北市社區服務人員職業工會,王兆慶,104,臺北市中山區民生東路1段70號8樓,(02)25216155
203,職業工會,臺北市地方公職人員助理職業工會,劉怡廷,110,臺北市信義區仁愛路4段507號746室,(02)27297708
204,職業工會,臺北市汽車保養人員職業工會,王陳月娥,115,臺北市南港區中南街63號1樓,(02)27851234
205,職業工會,臺北市陸上運輸服務人員職業工會,陳育材,112,臺北市北投區文林北路234之3號1樓,(02)28212687
206,職業工會,臺北市彩券販賣人員職業工會,姜村隆,104,臺北市中山區民權東路1段12巷7號,(02)25812807
207,職業工會,臺北市仲介業職業工會,陳牧玄,104,臺北市中山區民權東路2段206號7樓,(02)25182896
208,職業工會,臺北市電腦工程業職業工會,鄭昕昀,112,臺北市北投區東華街2段212號,(02)28281444
209,職業工會,臺北市機師職業工會,李冠宇,105,臺北市松山區民權東路3段142號8樓805室,(02)27169810
210,職業工會,臺北市青草藥製造職業工會,陳仁章,108,臺北市萬華區東園街28巷50之11號,(02)23377042
211,職業工會,臺北市幼兒托育職業工會,董育晴,116,臺北市文山區景華街21號1樓,(02)29350559
212,職業工會,臺北市通信服務人員職業工會,廖年豐,104,臺北市中山區民權西路20號5樓之12,(02)25214525
213,職業工會,臺北市陰陽宅設計職業工會,廖年茂,104,臺北市中山區民權西路20號5樓之12,(02)25214525
214,職業工會,臺北市推銷員職業工會,林靜榆,116,臺北市文山區景華街21號1樓,(02)29350559
215,職業工會,臺北市租賃小客車駕駛員職業工會,簡哲賢,103,臺北市大同區承德路3段86號3樓(非工會地址，請勿寄送),(02)25948608
216,職業工會,臺北市人民團體聘僱人員職業工會,孫瑞蓮,235,新北市中和區景平路140號3樓,(02)22398872
217,職業工會,台北市社區環境服務人員職業工會,林恩豪,104,台北市中山區民生東路一段 54 號 11 樓,(02)25634456
218,職業工會,臺北市商店售貨業職業工會,孫荷芳,108,臺北市萬華區萬大路548號,(02)23375719
219,職業工會,臺北市茶業包裝加工業職業工會,陳阿雀,100,臺北市中正區和平西路1段84號2樓,(02)23697688
220,職業工會,臺北市中餐服務人員職業工會,盧錦桃,100,臺北市中正區愛國西路9號4樓之2,(02)27961234
221,職業工會,臺北市西餐服務人員職業工會,余財發,100,臺北市中正區愛國西路9號4樓之2,(02)27961234
222,職業工會,臺北市外燴服務人員職業工會,,100,臺北市中正區愛國西路9號4樓之2,(02)27961234
223,職業工會,臺北市模具製作工職業工會,周敦瑛,108,臺北市萬華區莒光路130號4樓,(02)23380960
224,職業工會,臺北市翻譯業職業工會,張佑瑋,104,臺北市中山區中山北路3段29號5樓之3,(02)25928612
225,職業工會,臺北市話務人員職業工會,洪文煙,103,臺北市大同區民族西路303巷37號1樓,(02)25353536
226,職業工會,臺北市直銷人員職業工會,林恩新,104,台北市中山區民生東路一段 54 號 11 樓,(02)25673302
227,職業工會,臺北市才藝教學服務人員職業工會,潘敏媛,108,臺北市萬華區中華路1段182號1樓,(02)23213799
228,職業工會,臺北市電腦文書處理人員職業工會,高殷傑,104,臺北市中山區長春路26號8樓之3,(02)25119857
229,職業工會,臺北市汽車洗車工職業工會,陳慶鴻,103,臺北市大同區長安西路205號2樓之3,(02)25559541
230,職業工會,臺北市農產品運送業職業工會,潘明娟,108,臺北市萬華區中華路1段182號1樓,(02)23703399
231,職業工會,臺北市網路咖啡服務業職業工會,張華棈,108,臺北市萬華區中華路1段182號1樓,(02)23213799
232,職業工會,臺北市個人計程車駕駛員職業工會,阮志雄,104,臺北市中山區民族東路63-1號,(02)25170465
233,職業工會,臺北市保險業務職業工會,張煒如,108,臺北市萬華區中華路1段182號1樓,(02)23213799
234,職業工會,臺北市網路購物服務人員職業工會,林政良,100,臺北市中正區愛國西路9號4樓之6,(02)23144996
235,職業工會,臺北市網路技術研發人員職業工會,張惟皓,108,臺北市萬華區中華路1段182號1樓,(02)23213799
236,職業工會,臺北市解說員職業工會,黃美琇,116,臺北市文山區景華街47號,(02)29325187
237,職業工會,臺北市照顧服務員職業工會,吳秋燕,103,臺北市大同區重慶北路2段73巷27號3樓,(02)25502289
238,職業工會,臺北市小販業職業工會,廖年豐,103,臺北市大同區重慶北路3段223巷29號1樓,(02)25922391
239,職業工會,臺北市輔育人員職業工會,潘星渝,108,臺北市萬華區中華路1段182號1樓,(02)23213799
240,職業工會,臺北市餐盒製作包裝運送業職業工會,陳雅蓁,111,臺北市士林區社子街130號,(02)28110007
241,職業工會,臺北市木材裁剪加工運送職業工會,李信男,105,臺北市松山區三民路95巷32號,(02)27697852
242,職業工會,臺北市寵物服務員職業工會,馬慧男,100,臺北市中正區忠孝西路1段50號13樓之41,(02)23610869
243,職業工會,台北市保險服務業職業工會,李月嬌,103,臺北市大同區赤峰街23巷11號3樓,(02)25581950
244,職業工會,臺北市成衣熨燙人員職業工會,吳昭男,108,臺北市萬華區西寧南路132號3樓,(02)23317676
