序號,行政區域代碼,院所名稱,地址,電話,語音預約
54,63000020,承功診所,臺北市信義區忠孝東路五段372巷27弄64號,02-8786-8912,
55,63000020,松禾診所,臺北市信義區松山路130號3樓,02-2766-6738,
56,63000020,大明診所,臺北市信義區崇德街35號,02-2732-6885,
57,63000020,松德耳鼻喉科診所,臺北市信義區松德路58號,02-2758-4958,
58,63000020,桂其安家醫科診所,臺北市信義區莊敬路462號,02-2722-9173,
59,63000020,台灣中油股份有限公司員工診所,臺北市信義區松仁路3號3樓,02-8725-9796,
60,63000020,德佑診所,臺北市信義區福德街215號,02-2759-6037,
61,63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,02-2708-2121,
62,63000030,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,02-2709-3600,
63,63000030,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,02-2369-0211,
64,63000030,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,02-2739-0997,
65,63000030,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,02-2708-1166,
66,63000030,松德診所,臺北市大安區四維路170巷16號1樓,02-2707-3326,
67,63000030,健華診所,臺北市大安區和平東路二段299號,02-2707-2990,
68,63000030,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,02-2369-8833,
69,63000030,家齡診所,臺北市大安區敦化南路一段191號B1,02-2721-1258,
70,63000030,夏爾診所,臺北市大安區信義路四段265巷54號,02-2325-5508,
71,63000030,那明珠診所,臺北市大安區和平東路三段8號,02-2736-0589,
74,63000030,呂小兒科診所,臺北市大安區通化街24巷6號1樓,02-2700-0708,
75,63000030,李細祥內科診所,臺北市大安區四維路198巷30弄5號,02-2701-8159,
76,63000030,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,02-2731-5568,
77,63000030,邱醫師診所,臺北市大安區和平東路三段288號,02-2739-2696,
78,63000030,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,02-2709-6199,
79,63000030,吳坤光婦產科診所,臺北市大安區信義路四段59號,02-2705-9320,
80,63000030,和平診所,臺北市大安區和平東路一段77號之2,02-2391-2000,
81,63000030,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,02-2362-9088,
82,63000030,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,02-2731-3305,
83,63000030,劉建宏診所,臺北市大安區大安路二段139號,02-2700-2368,
84,63000030,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,02-2368-2333,
85,63000030,澤星親子診所,臺北市大安區敦化南路1段376號二樓之2,02-2701-8848,
86,63000030,博全婦產科診所,臺北市大安區大安路一段18號,02-2777-4427,
87,63000030,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,02-2369-1688,
88,63000030,啟誠聯合診所,臺北市大安區和平東路二段120號,02-2378-4380,
89,63000030,仁安診所,臺北市大安區和平東路二段175巷34號,02-2706-5995,
90,63000030,瑞森診所,臺北市大安區信義路三段134巷100號,02-2707-6002,
92,63000030,瑞安承芯耳鼻喉科診所,臺北市大安區瑞安街208巷15號,02-2706-3723,
93,63000030,博安家庭醫學診所,臺北市大安區麗水街3號,02-2356-7066,
94,63000030,東風診所,臺北市大安區忠孝東路四段132號4樓,02-2777-5868,
95,63000030,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路三段155巷57號,02-2322-0322,
96,63000030,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,02-2751-0221,
97,63000030,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,02-2771-3161,
98,63000030,行一診所,臺北市大安區新生南路三段19巷8號3樓之1,02-2784-0735,
99,63000030,李唯通診所,臺北市大安區安居街19號,02-2377-3506,
100,63000030,沈德昌診所,臺北市大安區四維路189號,02-2703-5300,
101,63000030,逸林診所,臺北市大安區信義路四段109之2號,02-2700-6896,
102,63000030,新鑫耳鼻喉科診所,臺北市大安區師大路105巷13號1樓,02-2362-1201,
103,63000030,樂活診所,臺北市大安區師大路12號,02-2368-3883,
104,63000030,謝婦產科診所,臺北市大安區忠孝東路四段311號3樓之1,02-2772-8300,
105,63000030,櫟安診所,臺北市大安區金山南路二段200號11樓,02-2358-2138,
106,63000030,國立台灣大學保健中心,臺北市大安區羅斯福路四段1號,02-3366-2156,
107,63000030,秀傳醫院,臺北市大安區光復南路116巷1號B1-4樓,02-2771-7172,
108,63000030,林青穀家庭醫學科診所,臺北市大安區大安路一段2號之1,02-2731-7557,
109,63000030,顧芳瑜泌尿科診所,臺北市大安區信義路三段192-1號4樓,02-2709-9797,
110,63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-2543-3535,
111,63000040,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,02-2543-3535,
112,63000040,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,02-2501-3363,
113,63000040,協和婦女醫院,臺北市中山區松江路85巷5號,02-2507-2222,
114,63000040,莊宇龍診所,臺北市中山區北安路637號1樓,02-2533-1255,
115,63000040,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,02-2522-2350,
116,63000040,綠葉親子診所,臺北市中山區農安街12-1號1樓,02-2593-5559,
117,63000040,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,02-2501-2312,
118,63000040,永育樂群診所,臺北市中山區樂群二路210之2號,02-8501-2268,
119,63000040,陳炯輝診所,臺北市中山區民生東路二段103號,02-2522-1796,
120,63000040,榮星診所,臺北市中山區龍江路272號,02-2516-8112,
121,63000040,愛鄰診所,臺北市中山區北安路520-1號,02-2532-2333,
122,63000040,四季和安婦幼診所,臺北市中山區林森北路458號,02-2567-7310,
123,63000040,大直佳恩診所,臺北市中山區北安路591號,02-2532-3301,
124,63000040,大直診所,臺北市中山區北安路595巷2弄2號1樓,02-2533-2339,
125,63000040,北安聯合診所,臺北市中山區北安路569-3號,02-2533-7777,
126,63000040,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,02-2501-3109,
127,63000040,固廉診所,臺北市中山區北安路613號595巷1號地下一層,02-2532-3036,
128,63000040,高固廉診所,臺北市中山區北安路613號,02-2532-3036,
129,63000040,惟廉診所,臺北市中山區北安路595巷1號B1,02-2532-3036,
130,63000040,慶恩小兒科診所,臺北市中山區吉林路117號,02-2568-3199,
131,63000040,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,02-2515-2433,
132,63000040,龍江固廉診所,臺北市中山區龍江路360號,02-2517-0093,
133,63000040,中崙國際診所,臺北市中山區八德路二段305號1樓,02-2771-1501,
134,63000040,寧康聯合診所,臺北市中山區龍江路209巷6-1號,02-2501-3862,
135,63000040,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,02-2551-2246,
136,63000040,晴光診所,臺北市中山區林森北路556號1樓,02-2585-3210,
137,63000040,正恩耳鼻喉科診所,臺北市中山區錦州街321號,02-2505-2293,
138,63000040,農安診所,臺北市中山區農安街62號,02-2597-8590,
139,63000040,德美診所,臺北市中山區北安路596號1樓,02-2532-6618,
140,63000040,陳世澤內科診所,臺北市中山區龍江路284-1號,02-2501-1239,
141,63000040,李義男婦產科診所,臺北市中山區中山北路二段71號4樓,02-2536-1158,
142,63000040,臺北市立聯合醫院林森院區,臺北市中山區林森北路530號,02-2591-6681,
143,63000040,民生承安診所,臺北市中山區民生東路三段90號,02-2503-2633,
144,63000040,李宜霖診所,臺北市中山區植福路298號,02-2658-2669,
145,63000040,宗北內科診所,臺北市中山區民生西路24號2樓,02-2541-1001,
146,63000040,信安診所,臺北市中山區民生西路24號3樓,02-2511-8112,
147,63000040,聖和骨外科診所,臺北市中山區農安街140號,02-2596-9131,
148,63000040,晨昕診所,臺北市中山區復興北路350號3樓,02-2518-1268,
149,63000040,沐晴診所,臺北市中山區龍江路401號1樓,02-2518-9009,
150,63000040,致好醫學診所,臺北市中山區中山北路二段114號2樓,02-2523-6001,
151,63000040,吳振力診所,臺北市中山區長春路309號,02-2509-5909,
152,63000040,禾康診所,臺北市中山區林森北路486號1樓,02-2531-9998,
153,63000040,啟新診所,臺北市中山區建國北路三段42號5、6樓,02-2507-0723,
154,63000040,葉小兒科診所,臺北市中山區長春路227號,02-2505-4833,
155,63000040,慶生診所,臺北市中山區林森北路561號2樓,02-2598-3456,
156,63000040,麗安耳鼻喉科診所,臺北市中山區龍江路289號1樓,02-2506-8080,
157,63000040,王三郎婦產科診所,臺北市中山區中山北路二段166號之2,02-2594-8758,
158,63000040,長安診所,臺北市中山區八德路二段259號,02-2711-1000,
159,63000040,向慈耳鼻喉科診所,臺北市中山區錦州街437號,02-2517-8880,
160,63000040,中山顧家泌尿科診所,臺北市中山區中山北路二段99號2樓,02-2521-6299,
161,63000050,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,02-2388-9595,
162,63000050,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,02-2391-6470,
163,63000050,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,02-2312-3456,02-2356-7890
164,63000050,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,02-2321-0168,
165,63000050,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,02-2361-2323,
166,63000050,周正成小兒科診所,臺北市中正區徐州路24號,02-2351-6830,
167,63000050,悅心診所,臺北市中正區羅斯福路二段7-2號,02-2396-1008,
168,63000050,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,02-2381-8766,
169,63000050,健康101診所,臺北市中正區牯嶺街97號1樓,02-2364-8085,
170,63000050,國立臺灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,02-2312-3456,02-2356-7890
171,63000050,郵政醫院(委託中英醫療社團法人經營),臺北市中正區福州街14號,02-2395-6755,
172,63000050,丞泰耳鼻喉科診所,臺北市中正區南昌路一段78號,02-2397-3668,
173,63000050,同泰診所,臺北市中正區汀州路二段136、138號,02-2367-8511,
174,63000050,宜康診所,臺北市中正區新生南路一段148號1樓,02-2341-7696,
175,63000050,怡和診所,臺北市中正區汀州路二段212號,02-2362-5100,
176,63000050,國軍台北門診中心附設民眾診療服務處,臺北市中正區紹興南街7號,02-2391-8235,
177,63000050,張孟源內科診所,臺北市中正區中華路二段325號1樓,02-2309-8600,
178,63000050,博士診所,臺北市中正區南陽街8號B1,02-2312-0120,
179,63000050,惠恩診所,臺北市中正區濟南路二段48巷3-2號1樓,02-2391-9572,
180,63000050,滙安診所,臺北市中正區和平西路一段20號5樓,02-2363-7588,
181,63000050,銘人診所,臺北市中正區博愛路9號3樓,02-7755-7566,
182,63000050,元泰診所,臺北市中正區羅斯福路三段2號2樓,02-2368-0599,
183,63000050,家禾診所,臺北市中正區三元街217號1樓、2樓,02-2333-1368,
184,63000050,鈞安診所,臺北市中正區中華路二段431號1樓,02-2309-2030,
185,63000050,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,臺北市中正區永綏街8號,02-2311-1525,
186,63000050,劉才睿診所,臺北市中正區八德路一段52號,02-2393-0080,
187,63000050,沐生醫學診所,臺北市中正區南昌路一段132號,02-2397-9885,
188,63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,02-2552-3234,
189,63000060,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,02-2594-8971,
190,63000060,羅源彰診所,臺北市大同區長安西路137號,02-2555-2500,
191,63000060,寧夏診所,臺北市大同區民生西路236號1樓,02-2558-6060,
192,63000060,澤康診所,臺北市大同區重慶北路三段71號,02-2596-0922,
193,63000060,悅昇診所,臺北市大同區錦西街50-1號,02-2550-2664,
194,63000060,施小兒科診所,臺北市大同區重慶北路三段28號,02-2594-1935,
195,63000060,羅志弘診所,臺北市大同區重慶北路三段115號,02-2592-1666,
196,63000060,建順診所,臺北市大同區甘州街51號1樓,02-2557-3250,
197,63000060,鈞生診所,臺北市大同區甘州街28號,02-2557-0048,
198,63000060,建成診所,臺北市大同區長安西路82號,02-2550-0712,
199,63000060,紘成診所,臺北市大同區長安西路53巷7弄1號,02-2559-2412,
200,63000060,泉心診所,臺北市大同區酒泉街125號1樓,02-2585-0036,
201,63000060,佑佳內科診所,臺北市大同區承德路二段142號1樓&2樓,02-2557-5687,
202,63000070,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,02-2371-7101,
203,63000070,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,02-2339-5383,
204,63000070,快樂兒童診所,臺北市萬華區寶興街121號,02-2332-8610,
205,63000070,青年診所,臺北市萬華區中華路二段424號,02-2303-2450,
206,63000070,漢宗小兒科診所,臺北市萬華區中華路二段434號,02-2303-9022,
207,63000070,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,02-2307-6968,
208,63000070,佳安診所,臺北市萬華區青年路34號,02-2332-0898,
209,63000070,益銓診所,臺北市萬華區萬大路233號,02-2333-1323,
210,63000070,光耳鼻喉科診所,臺北市萬華區青年路90號,02-2307-7565,
211,63000070,可為診所,臺北市萬華區青年路24號1樓,02-2337-0111,
212,63000070,名家耳鼻喉科診所,臺北市萬華區西藏路107-2號1樓,02-2303-6513,
213,63000070,健安診所,臺北市萬華區萬大路432號1樓,02-2301-2255,
214,63000070,臺北市立聯合醫院昆明院區,臺北市萬華區昆明街100號,02-2370-3739,
215,63000070,同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,02-2305-9292,
216,63000070,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街243號,02-2302-1133,
217,63000070,天行健診所,臺北市萬華區寶興街127號,02-2332-0688,
218,63000070,台北透析診所,臺北市萬華區西園路一段200號3樓,02-2338-2398,
219,63000070,永康診所,臺北市萬華區桂林路47號,02-2312-3455,
220,63000070,瑞生診所,臺北市萬華區西園路二段250號,02-2301-2788,
221,63000070,萬澤內科診所,臺北市萬華區萬大路425之1號2~3樓,02-2339-7018,
222,63000070,東京生活診所,臺北市萬華區萬大路491號1樓,02-2309-0990,
223,63000070,萬大聖心診所,臺北市萬華區萬大路425號1樓,02-2309-0006,
224,63000070,盧漢隆耳鼻喉科診所,臺北市萬華區環河南路二段197號,02-2336-1363,
225,63000070,新田診所,臺北市萬華區梧州街62號1樓,02-2308-9515,
226,63000080,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,02-2930-7930,
227,63000080,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,02-8237-7441,
228,63000080,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,02-2933-3096,
229,63000080,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,02-2936-4708,
230,63000080,葉洪小兒科診所,臺北市文山區興隆路三段202號,02-2230-0055,
231,63000080,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,02-2933-4933,
232,63000080,徐慧玲診所,臺北市文山區興隆路四段97號,02-2234-0000,
233,63000080,興隆內科小兒科診所,臺北市文山區興隆路二段17號,02-2931-1736,
234,63000080,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,02-2930-8518,
235,63000080,瑞萱診所,臺北市文山區景華街124號,02-2930-5313,
236,63000080,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,02-2939-5299,
237,63000080,樂群耳鼻喉科家醫科診所,臺北市文山區木新路三段202號,02-2234-0158,
238,63000080,震杰小兒科診所,臺北市文山區景興路129號,02-8935-1869,
239,63000080,黃偉志小兒科診所,臺北市文山區萬慶街12號,02-2935-4556,
240,63000080,仁荔健康診所,臺北市文山區興隆路一段258號1樓,02-2933-9986,
241,63000080,東翰診所,臺北市文山區興隆路二段139號,02-2930-8330,
242,63000080,仁耀診所,臺北市文山區興隆路一段273號,02-2931-7788,
243,63000080,順欣診所,臺北市文山區木柵路三段112號,02-2939-1011,
244,63000080,景美醫院,臺北市文山區羅斯福路六段280號,02-2933-1010,
245,63000080,吳錫賢診所,臺北市文山區木新路三段208號,02-2938-1577,
246,63000080,官世英診所,臺北市文山區景興路45號1樓,02-8663-8189,
247,63000080,定安診所,臺北市文山區景興路165號,02-2932-3755,
248,63000080,林正豐診所,臺北市文山區保儀路25號,02-2936-3665,
249,63000080,欣民診所,臺北市文山區保儀路37號,02-2937-5115,
250,63000080,泓仁診所,臺北市文山區木新路二段273號,02-2938-2627,
251,63000080,健鑫診所,臺北市文山區忠順街一段28號1樓,02-2937-5680,
252,63000080,陳建業診所,臺北市文山區景文街86號,02-2935-8181,
253,63000080,世誠耳鼻喉科診所,臺北市文山區忠順街一段107號1樓,02-2234-3618,
254,63000090,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,02-2786-1288,
255,63000090,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,02-2786-8756,
256,63000090,義仁兒科診所,臺北市南港區玉成街138號1樓,02-2651-5929,
257,63000090,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,02-2651-3761,
258,63000090,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,02-2785-3913,
259,63000090,永育醫療福德診所,臺北市南港區福德街320號,02-2785-0700,
260,63000090,天仁小兒科診所,臺北市南港區成福路21號,02-2786-2687,
261,63000090,天仁健康診所,臺北市南港區成福路21號,02-2786-2687,
262,63000090,維康診所,臺北市南港區研究院路二段84巷1號1樓,02-2651-7748,
263,63000090,杏安診所,臺北市南港區同德路74、76號1樓,02-2789-2008,
264,63000090,松展診所,臺北市南港區忠孝東路六段110巷18號,02-2763-1373,
265,63000090,陳志鑫診所,臺北市南港區八德路四段812號,02-2783-9698,
266,63000090,李文珍小兒科診所,臺北市南港區研究院路二段74號,02-2651-1871,
267,63000090,陳勝吉診所,臺北市南港區研究院路一段115號1樓,02-2783-6972,
268,63000090,中坡耳鼻喉科診所,臺北市南港區中坡南路29號,02-2785-0329,
269,63000090,向怡診所,臺北市南港區成功路一段74號2樓,02-2653-5503,
270,63000090,多田診所,臺北市南港區忠孝東路六段6號2樓之1,02-2654-6389,
271,63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,02-8792-3311,
272,63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,02-2634-5500,
273,63000100,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,02-2790-8387,
274,63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,02-2791-9696,
275,63000100,魏穀年診所,臺北市內湖區內湖路一段403號,02-2657-2691,
276,63000100,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,02-5571-3333,
277,63000100,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,02-5571-3333,
278,63000100,永育醫療大湖診所,臺北市內湖區成功路四段366號,02-2790-6002,
279,63000100,湖欣診所,臺北市內湖區成功路四段327號,02-2791-8350,
280,63000100,劉淦華診所,臺北市內湖區金龍路43號,02-2790-5374,
281,63000100,佳霖診所,臺北市內湖區東湖路147號2樓,02-2633-4535,
282,63000100,永育醫療康樂診所,臺北市內湖區康樂街82號,02-2630-8800,
283,63000100,焉醫師診所,臺北市內湖區內湖路二段21號,02-2799-5008,
284,63000100,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,02-2659-6360,
285,63000100,馬思特診所,臺北市內湖區成功路四段53號1樓,02-2792-5994,
286,63000100,高峰診所,臺北市內湖區內湖路二段39號1樓,02-2659-1888,
287,63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,02-8797-2121,
288,63000100,林登山耳鼻喉科診所,臺北市內湖區文德路96號,02-2659-6638,
289,63000100,連安診所,臺北市內湖區內湖路一段619號1樓,02-2627-6705,
290,63000100,雙湖診所,臺北市內湖區金龍路49號,02-2791-0066,
291,63000100,魏之明小兒科診所,臺北市內湖區康寧路三段54-6號,02-2630-6968,
292,63000100,林永正診所,臺北市內湖區康樂街130號,02-2631-5567,
293,63000100,日新診所,臺北市內湖區成功路五段446號1樓,02-2634-2743,
294,63000100,王慶森診所,臺北市內湖區港墘路65號,02-2798-6052,
295,63000100,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,02-2793-5940,
296,63000100,育睿診所,臺北市內湖區內湖路一段217巷35號,02-2656-0801,
297,63000100,康育診所,臺北市內湖區成功路三段189號2樓,02-2790-9134,
298,63000100,陽光活力診所,臺北市內湖區瑞光路500號1樓,02-8797-3828,
299,63000100,林孟勳診所,臺北市內湖區成功路四段61巷32弄2號,02-8792-0955,
300,63000100,新明診所,臺北市內湖區新明路386號,02-8792-1282,
301,63000100,內湖長春診所,臺北市內湖區民權東路六段64號,02-2792-6868,
302,63000100,思維診所,臺北市內湖區文德路25號,02-2657-5779,
303,63000100,陳森豊聯合診所,臺北市內湖區環山路1段2號,02-2799-0361,
304,63000100,葫洲診所,臺北市內湖區康寧路三段35、37號,02-2630-6606,
305,63000100,成功耳鼻喉科診所,臺北市內湖區成功路三段162之1號1樓、164號1樓、164之1號1樓、166之1號1樓,02-2794-0064,
306,63000100,瑞康診所,臺北市內湖區江南街96巷3號,02-2659-9691,
307,63000100,誠康診所,臺北市內湖區內湖路一段585號,02-2657-2585,
308,63000100,麗康診所,臺北市內湖區金湖路362號,02-2634-2296,
309,63000100,洪永祥診所,臺北市內湖區成功路三段6巷1號,02-8791-7601,
310,63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-2833-2211,
311,63000110,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,02-2835-3456,
312,63000110,愛林診所,臺北市士林區承德路四段222號,02-2883-6881,
313,63000110,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,02-2883-6268,
314,63000110,士林小兒科診所,臺北市士林區中正路249號,02-2881-2485,
315,63000110,存德小兒科診所,臺北市士林區文林路460號,02-2834-2567,
316,63000110,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,02-2872-9980,
317,63000110,佩佩婦幼診所,臺北市士林區中山北路六段182號,02-2838-6262,
318,63000110,科安診所,臺北市士林區社中街116號,02-2811-0699,
319,63000110,張虔熙小兒科診所,臺北市士林區中山北路六段282號,02-2836-1368,
320,63000110,樹爸爸親子診所,臺北市士林區德行東路286號,02-2838-1838,
321,63000110,蘇慧卿診所,臺北市士林區大南路274號,02-2882-9955,
322,63000110,何小兒科診所,臺北市士林區福港街176號,02-2882-7401,
323,63000110,士林欣然耳鼻喉科診所,臺北市士林區文林路450號1樓,02-2838-6090,
324,63000110,柳橙親子診所,臺北市士林區天母北路35號14樓,02-2874-2818,
325,63000110,蕭雨青小兒科診所,臺北市士林區延平北路五段292號,02-2812-6415,
326,63000110,小禾馨士林小兒專科診所,臺北市士林區中正路289號,02-2882-7333,
327,63000110,和謙耳鼻喉科診所,臺北市士林區社中街362號,02-2816-5678,
328,63000110,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,02-8866-1176,
329,63000110,粱耳鼻喉科診所,臺北市士林區社正路12之1號,02-2816-8456,
