序號,機構名稱,統一編號,負責人,電話,手機,聯絡人,回收貯存場所地址,應回收廢棄物回收項目,一般廢棄物回收項目
55,宏志商行,98914401,陳錠,(02)28270084 ,0987141340,林小姐,北投區承德路7段393巷85號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
56,合良企業社,48867804,楊文豪,(02)28206099,0936691560,,北投區承德路7段393巷55號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
57,鴻富企業行,1360615,李連春,(02)28928543,0910272537,,北投區永興路1段43號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
58,紙茂企業有限公司,23631319,郭財福,(02)28917956,,,北投區大業路517巷55號旁,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
59,永醇企業有限公司,31313920,郭進發,(02)28917956,,,北投區大業路517巷55號旁,廢塑膠容器、廢鐵容器、廢紙容器,廢紙、廢鐵
60,久來有限公司,70360225,陳振鶴,(02)28919450,0937899298,陳先生,北投區承德路7段401巷179號,廢紙容器、廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
61,琥寰資源回收有限公司,53767431,陳佳臨,(02)28958013,0921126899,陳先生,北投區承德路7段401巷179號,廢紙容器、廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
62,順騰紙品有限公司,16791562,蕭順騰,(02)28359337,0925135599,蕭先生,北投區洲美街251號之6,,廢紙
63,良益紙業有限公司,28820937,林玉芳,(02)28359337,0925135599,蕭先生,北投區洲美街251號之6,,廢紙
64,詠智有限公司(永順廢五金),29042303,龔胡,(02)28233110,0988513427,龔先生,北投區立賢路170號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
65,信維環保工程有限公司,80433514,黃俊宏,(02)28272238,0939146159,,北投區承德路7段393巷33-2號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
66,雄源企業社,98909195,林美娟,(02)28238552,0920502182,林小姐,北投區承德路7段393巷107號旁空地,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
67,三豪環保有限公司,25120278,陳建豪,(02)28942240,0936297945,汪先生,北投區永興路1段25號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
68,復詠有限公司,28011886,江福春,(02)28231377,0935870676,,北投區承德路7段393巷53、57號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
69,振生塑膠企業有限公司轉運站,12812144,何昆蒼,,0928646336, 何先生,北投區承德路7段401巷576號,,廢塑膠
70,政聞企業社,25716679,葉政聞,,0929824670,,北投區承德路7段401巷313號,廢鐵容器、廢鋁容器,廢鐵、廢鋁、廢塑膠
71,南豐企業社,26227994,林春美,(02)28583123,0934374341,,北投區大度路3段189-2號,廢紙容器、廢塑膠容器、廢鐵容器、廢電子電器、廢乾電池、廢照明光源,
72,宜泰利環保工程有限公司(大度站),16304113,梁和順,,0936152381,,北投區大度路3段159號臨,廢紙容器、廢塑膠容器、廢鋁容器、廢鐵容器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
73,玖隆中古家具有限公司,80533345,何照雄,(02)28345838,,,北投區洲美街265之2號,廢塑膠容器,廢鐵、廢鋁、廢紙
74,"環泰環保工程有限公司
【北市廢回收登字第020號】",16252109,陳昆明,(02)87923009,0911018583,黃小姐,內湖區安美街167號,廢機動車輛,
75,"舜翊有限公司
【北市廢回收登字第021號】",23892989,趙漢源,(02)27920289,0936232262,趙先生,內湖區安康路32巷21弄19號,廢紙容器、廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵、廢塑膠
76,"正泰環保實業有限公司
【北市廢回收登字第016號】",12874400,張凱菱,(02)27915122,0958204110,張小姐,內湖區安康路106巷5號,廢機動車輛、廢鉛蓄電池,
77,"勁好有限公司
【北市廢回收登字第026號】",80732745,嚴秋月,,0939813201,,內湖區潭美街602號,廢資訊物品、廢電子電器、廢乾電池、廢鉛蓄電池,
78,"元鼎金屬股份有限公司 
【北市廢回收登字第022號】",27765773,侯義東,(02)27925169,0919984860,林小姐,內湖區安康路63號,廢鋁容器、廢資訊物品、廢電子電器、廢鉛蓄電池,廢鋁、廢鐵、廢銅
79,"川勝企業有限公司
【北市廢回收登字第029號】",20886225,張嘉瑋,(02)27924503,0953792727,張小姐,內湖區安康路32巷21弄6號,廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢鉛蓄電池,廢鋁、廢鐵
80,富鉅環保科技有限公司,24313283,賴玟蓉,(02)27901117,0937953777,,內湖區大湖街131巷12-1號,廢塑膠容器、廢鋁容器、廢鐵容器、廢乾電池、廢照明光源,廢鋁、廢鐵
81,鉅翔環保科技有限公司,53760824,賴玟蓉 ,(02)27901216,0937953777,,內湖區大湖街131巷12-1號,廢塑膠容器、廢鋁容器、廢鐵容器、廢乾電池、廢照明光源,廢鋁、廢鐵
82,元盈實業有限公司,70544076,洪玉梅,(02)27915836,0918432310,,內湖區潭美街530號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
83,化航有限公司,84305961,蔡文德,(02)27960921,,,內湖區安康路296號,廢紙容器,廢紙、廢鋁、廢鐵
84,昶昌實業有限公司,12856682,蔡文德,(02)27960921,,,內湖區安康路296號,廢紙容器,廢紙、廢鋁、廢鐵
85,環綠環保有限公司,27334732,林麗蓉,,0953557135,林小姐,內湖區舊宗路2段135巷16號旁,,廢紙
86,高勁有限公司,53337643,陳炎?,(02)27936280  ,0922647147,,內湖區安康路328巷2號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
87,玉秀清潔有限公司,86514540,陳明列,(02)27941989,0933049580,,內湖區行善路446號旁,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
88,元盈實業有限公司(金龍站),70544076,洪玉梅,(02)27912090,0918432310,,內湖區金龍路182號旁空地,廢塑膠容器、廢資訊物品、廢電子電器、廢鐵容器、廢鋁容器,廢紙、廢鐵、廢鋁
89,祥雍企業有限公司,89938769,黃賢得,(02)27925438,0939772765,鄭小姐,內湖區安康路36號,廢鐵容器、廢塑膠容器、廢鋁容器、廢紙容器,廢紙、廢鐵
90,杰星企業社,91230945,黃梓慶,(02)27904388,0934270555,,內湖區安康路38號,廢塑膠容器、廢乾電池、廢電子電器,廢紙、廢鋁、廢鐵
91,一二三商行,79830233,尤建發,(02)87922135,0928392118,,內湖區陽光街200號,廢資訊物品,
92,慈濟功德會(內湖站),,陳銘烜,(02)27938563,0975621656,,內湖區成功路5段168號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
93,"晟宏資源回收有限公司
【北市廢回收登字第017號】",27516402,侯瑞龍,(02)26532601                   ,0975179821,侯先生,南港區興中路59號,廢塑膠容器、廢鋁容器、廢鐵容器、廢乾電池、廢資訊物品、廢電子電器、廢玻璃容器、廢鉛蓄電池、廢照明光源,廢紙、廢鋁、廢鐵、廢塑膠
94,"益萬興金屬有限公司
【北市廢回收登字第028號】",80501548,葉萬發,(02)27859282,0988205144,葉先生,南港區重陽路419號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢鉛蓄電池,廢紙、廢鋁、廢鐵、廢塑膠
95,"尚揚企業社
【北市廢回收登字第031號】",26229374,劉瑞其,(02)27832690,0910072693,,南港區忠孝東路6段149之1號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢鉛蓄電池、廢照明光源、廢紙容器,廢紙、廢鐵、廢塑膠
96,尚陽企業社,48903908,林建榮,(02)27857703,0981485365,,南港區八德路4段828號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
97,逢泰行,4812748,林政維,(02)27836069,,,南港區南深路10巷1號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源、廢紙容器,廢紙、廢鋁、廢鐵、廢塑膠
98,群助商行,17740129,駱義雄,(02)27833640,,,南港區松河街342號旁,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源、廢鉛蓄電池,廢紙、廢鋁、廢鐵
99,正全二手電器行(重陽路站),88164549,黎家安,,0921177670,,南港區重陽路329號1樓,廢塑膠容器、廢鋁容器、廢鐵容器、廢乾電池、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
100,營珈有限公司,13141469,李淑玲,(02)27868042,0935668327,李小姐,南港區昆陽街165-1號,廢鋁容器、廢鐵容器、廢鉛蓄電池、廢乾電池,廢鋁、廢鐵
101,原崎企業社,29487635,黃誌樂,(02)27868037,,,南港區成福路171巷58號對面,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢紙容器,廢紙、廢鋁、廢鐵
102,正全二手電器行,88164549,黎家安,,0921177670,,南港區福德街310巷47號,廢塑膠容器、廢鋁容器、廢鐵容器、廢乾電池、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
103,翌誠資源回收商,48721219,羅清河,,0918591282,,南港區成福路257-1號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
104,慈濟功德會(南港舊莊環保教育站),,,(02)26534254,,,南港區舊莊街一段290巷臨18號,廢塑膠容器、廢資訊物品、廢照明光源、廢乾電池、廢玻璃容器、廢光碟片,廢紙、廢鐵、廢塑膠袋
105,李錦回收廠(木柵站),29228413,李錦,(02)82301323,,,文山區木柵路5段102號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
106,盛?企業社,9824595,陳東慶,(02)29388922,0939939637,,文山區木新路3段303巷內(景美女中陸橋下之洗車廠),廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢照明光源,廢紙、廢鋁、廢鐵
107,祐昇企業社(木柵站),14719192,蘇阿葉,(02)22391089,0912911698,,文山區木柵路4段20號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
108,佐晟工程行,73872050,李忠恩,(02)29332288,0936306599,,文山區萬隆街74之3號1樓,廢鋁容器、廢鐵容器,廢紙、廢鋁、廢鐵
109,慈濟功德會(木柵環保教育站),,黃文川,(02)22305751,0933801486,,文山區木柵路5段100之1號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
110,慈濟功德會(興德環保站),,鄭阿娌,(02)29311339,0935251805,張先生,文山區興德路68-9號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鐵、廢塑膠
