序號,名稱,電話,地址,代碼編號,行政區,立案字號,成立日期,類別
16,財團法人台北市春濚社會福利事業基金會,02-2509-3799,臺北市中山區合江街83巷12號3樓,N20015,中山區,北市社會字第北市社二字第46777號,0780110,綜合慈善
17,財團法人台北市白陳惜慈善基金會,02-8791-9335,臺北市內湖區瑞光路637號4樓,N20017,內湖區,北市社會字第北市社二字第41459號號,0781123,綜合慈善
18,財團法人侯政廷公益事業基金會,(02)2775-5185,臺北市大安區光復南路288號4樓之6,N20018,大安區,北市社會字第北市社二字第43174號號,0781212,綜合慈善
19,財團法人台北市新光吳火獅先生救難急救基金會,(02)2769-051525,臺北市松山區光復北路11巷35號13樓,N20019,松山區,北市社會字第北市社二字第23881號號,0790716,綜合慈善
20,財團法人臺北市坤豐素香慈善基金會,(02)8792-331188024(社服室),臺北市內湖區成功路2段325號（三軍總醫院）,N20020,內湖區,北市社會字第北市社二字第33579號號,0790926,綜合慈善
21,財團法人台北市佛教慈觀社會福利基金會,(02)2832-7991,臺北市士林區中山北路7段190巷113之3號,N20021,士林區,北市社會字第北市社二字第41105號號,0791122,綜合慈善
22,財團法人臺北市愛心園社會福利事業基金會,(02)2781-2977,臺北市信義區基隆路1段155號3樓之9,N20022,信義區,北市社會字第北市社二字第21022號號,0800606,綜合慈善
23,財團法人台北市私立長生學社會福利事業基金會,(02)2518-1685,臺北市中山區復興北路516號4樓之2,N20023,中山區,北市社會字第北市社二字第37842號號,0800926,綜合慈善
24,財團法人台北市呂守義慈善社會福利紀念基金會,2727-5653,臺北市信義區中坡南路215巷18號6樓,N20025,信義區,北市社會字第北市社二字第54693號號,0820104,綜合慈善
25,財團法人台北市華嚴慈善基金會,(02)2351-8333,臺北市中正區臨沂街29巷7號1樓,N20026,中正區,北市社會字第北市社二字第13901號號,0820410,綜合慈善
26,財團法人台北市偉慈慈善基金會,(02)23976686；(02)23575850,臺北市中正區濟南路1段15號5樓,N20027,中正區,北市社會字第北市社二字第42268號號,0820921,綜合慈善
27,財團法人徐德榮社會福利慈善事業基金會,(02)2581-4550,臺北市大安區通化街196號,N20028,大安區,北市社會字第北市社二字第42937號號,0820924,綜合慈善
28,財團法人台北市志松社會福利事業基金會,(02)2523-1311,臺北市士林區忠誠路2段14號13樓,N20029,士林區,北市社會字第北市社二字第45690號號,0821016,綜合慈善
29,財團法人台北市和桂社會福利慈善事業基金會,(02)2393-8811、周淑卿0933-120971,臺北市中正區南昌路1段66號4樓,N20030,中正區,北市社會字第北市社二字第48897號號,0821104,綜合慈善
30,財團法人台北市光明聖德基金會,(02)8970-5116,臺北市中正區詔安街62號,N20031,中正區,北市社會字第教育部79.10.09台(79)社49746號號,0821223,綜合慈善
31,財團法人台北市陳君鎮慈善基金會,(02)2336-6155、0958928505(陳秀芬),臺北市萬華區西園路1段256巷12號1樓,N20032,萬華區,北市社會字第北市社二字第57202號號,0821223,綜合慈善
32,財團法人台北市基督教湖光全人關懷慈善基金會,(02)8809-6646；(02)27977780分機234,臺北市內湖區港墘路127巷27號地下一層,N20033,內湖區,北市社會字第北市社二字第19618號號,0830502,綜合慈善
33,財團法人台北市李連來公益基金會,(02)2523-2422,臺北市中山區中山北路2段112號13樓,N20034,中山區,北市社會字第北市社二字第61047號號,0831125,綜合慈善
34,財團法人友訊科技慈善基金會,0955-230612,臺北市內湖區新湖三路289號,N20035,內湖區,北市社會字第北市社二字第62783號號,0831202,綜合慈善
35,財團法人光泉關懷慈善基金會,8751-8788240或03-257880819蔡小姐,臺北市內湖區瑞光路500號4樓,N20036,內湖區,北市社會字第北市社二字第19811號號,0840418,綜合慈善
36,財團法人台北市葉山母社會福利慈善事業基金會,(02)2558-0077,臺北市中山區中山北路2段26巷15號1樓,N20037,中山區,北市社會字第北市社二字第12128號號,0850318,綜合慈善
37,財團法人台北市洪萬傳慈善基金會,2556-6889,臺北市大同區重慶北路2段76號,N20038,大同區,北市社會字第北市社二字第72294號號,0851216,綜合慈善
38,財團法人台北市張炎虎社會福利基金會,(02)2937-9417,臺北市文山區指南路1段51巷15弄3號,N20039,文山區,北市社會字第北市社二字第05232號號,0860214,綜合慈善
39,財團法人台北市申倫社會福利基金會,(02)2975-0289,臺北市中山區新生北路2段72巷17號5樓,N20040,中山區,北市社會字第北市社二字第23407號號,0860526,綜合慈善
40,財團法人台北市許憲樑社會福利基金會,(02)2704-7001239,臺北市大安區復興南路1段370號10樓,N20041,大安區,北市社會字第北市社二字第8625049200號號,0860910,綜合慈善
41,財團法人台北市慈行慈善事業基金會,(02)3322-6688,臺北市南港區忠孝東路6段21號10樓,N20042,南港區,北市社會字第北市社二字第8625357400號號,0860925,綜合慈善
42,財團法人台北市李春金關懷基金會,(02)2634-5006820,臺北市內湖區瑞光路288號4樓,N20043,內湖區,北市社會字第北市社二字第8720396800號,0870123,綜合慈善
43,財團法人台北市廖銘昆慈善事業基金會,(02)2740-6408,臺北市中山區復興北路40號3樓,N20044,中山區,北市社會字第北市社二字第8822431400號,0880707,綜合慈善
44,財團法人台北市私立非凡關懷社會福利慈善基金會,(02)2766-2888225,臺北市松山區光復北路11巷33號3樓,N20046,松山區,北市社會字第北市社二字第8828078800號號,0881201,綜合慈善
45,財團法人台北市私立東森社會福利慈善基金會,(02)2361-5066分機7121或(02)2361-9085,臺北市中正區忠孝西路一段4號15樓,N20047,中正區,北市社會字第北市社二字第8922637900號號,0890413,綜合慈善
46,財團法人台北市私立永年社會福利慈善基金會,2577-3533,臺北市松山區光復北路68號12樓,N20048,松山區,北市社會字第北市社二字第8922858700號號,0890424,綜合慈善
47,財團法人台北市私立王楊蓮英社會福利慈善事業基金會,,臺北市松山區敦化北路167號11樓Ｄ室,N20049,松山區,北市社會字第北市社二字第8923673100號,0890524,綜合慈善
48,財團法人台北市東海社會福利慈善事業基金會,(02)2381-373726,臺北市中正區中華路一段41號12樓,N20050,中正區,北市社會字第北市社二字第8927823500號號,0891030,綜合慈善
49,財團法人台北市大將開發公益慈善基金會,(02)2706-99995108,臺北市大安區敦化南路二段71號6樓,N20051,大安區,北市社會字第北市社二字第8927823600號號,0891030,綜合慈善
50,財團法人台北市三寶社會福利慈善基金會,(02)2748-9456,臺北市內湖區瑞光路583巷25號2樓,N20052,內湖區,北市社會字第北市社二字第9027569500號號,0901015,綜合慈善
51,財團法人台北市禾伸堂社會福利慈善基金會,(02)2658-9555211,臺北市內湖區內湖路一段91巷17號7樓,N20053,內湖區,北市社會字第北市社二字第9030112200號號,0901207,綜合慈善
52,財團法人台北市周秋火社會福利慈善事業基金會,(02)2740-1928,臺北市信義區忠孝東路五段510號20樓之3,N20054,信義區,北市社會字第北市社二字第09132450300號號,0910328,綜合慈善
53,財團法人台北市蘋果社會福利慈善事業基金會,6600-9980分機12,臺北市內湖區新湖三路272號3樓,N20056,內湖區,北市社會字第北市社二字第09231666600號,0920306,綜合慈善
54,財團法人台北市私立宇景社會福利慈善基金會,(02)2775-2567,臺北市大安區仁愛路四段145號9樓,N20057,大安區,北市社會字第北市社二字第09242180300號號,0921125,綜合慈善
55,財團法人臺北市水美媒社會福利慈善基金會,7711-8989112,臺北市大安區敦化南路二段97號29樓,N20058,大安區,北市社會字第北市社二字第09241802800號號,0921127,綜合慈善
56,財團法人台北市私立林進財社會慈善興業基金會,2736-6211,臺北市大安區和平東路三段97號9樓,N20059,大安區,北市社會字第北市社二字第09241981700號號,0921202,綜合慈善
57,財團法人台北市台灣三洋電機社會福利事業基金會,(02)2521-02512106,臺北市中山區松江路266號10樓,N20060,中山區,北市社會字第北市社二字第09242807100號號,0921229,綜合慈善
58,財團法人臺北市李東運社會福利慈善基金會,(02)2705-2326150,臺北市大安區復興南路一段368-1號10樓,N20061,大安區,北市社會字第北市社二字第09333734900號號,0930416,綜合慈善
59,財團法人臺北市慈迎社會福利慈善基金會,(02)2595-8736,臺北市大同區重慶北路三段88號3樓之3,N20063,大同區,北市社會字第北市社二字第09337495500號號,0930812,綜合慈善
60,財團法人臺北市達康慈善基金會,(02)2388-1347,臺北市萬華區長沙街2段62號7樓,N20064,萬華區,北市社會字第北市社二字第09339447000號號,0931013,綜合慈善
61,財團法人臺北市私立浚品社會福利慈善事業基金會,(02)2596-5784,臺北市中山區中山北路二段178號2樓,N20066,中山區,北市社會字第北市社二字第09341955500號號,0940105,綜合慈善
62,財團法人臺北市林雅筑社會福利慈善基金會,(02)2269-3333轉707,臺北市大安區復興南路一段126巷1號10樓之2,N20068,大安區,北市社會字第北市社二字第09480332800號號,0940114,綜合慈善
63,財團法人台北市淨覺社會福利慈善基金會,(02)2760-4017,臺北市松山區健康路170號3樓,N20069,松山區,北市社會字第教育部88.06.21台(88)社(四)字第88067837號號,0940502,綜合慈善
64,財團法人台北市仁珊社會福利慈善基金會,(02)2517-00558206,臺北市中山區南京東路三段68號8樓,N20070,中山區,北市社會字第北市社二字第09440564700號號,0941024,綜合慈善
65,財團法人臺北市新永和社會福利慈善事業基金會,(02)2311-6561106,臺北市中正區館前路36號5樓,N20071,中正區,北市社會字第北市社二字第09530555100號號,0950117,綜合慈善
66,財團法人台北市王黃勉社會福利慈善事業基金會,2533-9746 0910-012-292,臺北市中山區大直街46巷28號4樓,N20072,中山區,北市社會字第北市社二字第09531421700號號,0950220,綜合慈善
67,財團法人臺北市丁善理先生社會福利慈善紀念基金會,(02)2311-99337005,臺北市中山區遼寧街179號20樓,N20073,中山區,北市社會字第北市社二字第09536888200號號,0950609,綜合慈善
68,財團法人臺北市安和社會福利慈善事業基金會,(02)2733-5353轉分機209,臺北市大安區復興南路二段363號6樓,N20074,大安區,北市社會字第北市社二字第09537522800號號,0950721,綜合慈善
69,財團法人臺北市林芳瑾社會福利慈善事業基金會,(02)2791-9602,臺北市大安區和平東路二段265巷15號地下一樓,N20075,大安區,北市社會字第北市社二字第09541587700號號,0951120,綜合慈善
70,財團法人臺北市溫翠眉慈善基金會,(02)238958586788,臺北市中正區忠孝西路一段66號31樓,N20076,中正區,北市社會字第北市社二字第09541877500號號,0951121,綜合慈善
71,財團法人臺北市西華社會福利慈善基金會,(02)2507-7566,臺北市中山區長安東路二段63號3樓,N20077,中山區,北市社會字第北市社二字第09630421800號號,0960116,綜合慈善
72,財團法人臺北市快樂一生慈善基金會,(02)6630-3799,臺北市中正區衡陽路51號10樓,N20078,中正區,北市社會字第北市社二字第09634219800號號,0960420,綜合慈善
73,財團法人臺北市陳葉春綢社會福利慈善基金會,(02)2500-6691分機20,臺北市松山區民生東路二段176號11樓,N20079,松山區,北市社會字第北市社二字第09634953000號號,0960508,綜合慈善
74,財團法人臺北市華恩慈善基金會,2506-3166或 0936-260-049,臺北市中山區建國北路二段147號9樓之2,N20080,中山區,北市社會字第北市社二字第09635476700號號,0960518,綜合慈善
75,財團法人臺北市雍展社會福利慈善基金會,2341-3546,臺北市中正區羅斯福路一段7號7樓之1,N20081,中正區,北市社會字第北市社二字第09638840400號號,0960727,綜合慈善
76,財團法人臺北市桂蘭慈善基金會,(02)2515-0532,臺北市中山區南京東路三段21號6樓,N20082,中山區,北市社會字第北市社團字第09641746700號號,0961025,綜合慈善
77,財團法人臺北市偉儀社會福利慈善基金會,2546-8111轉207,臺北市松山區民權東路三段142號11樓之6,N20083,松山區,北市社會字第北市社團字第09736004600號函號,0970603,綜合慈善
78,財團法人臺北市蔡林不社會福利基金會,02-26275510,臺北市內湖區堤頂大道二段477-1號8樓,N20084,內湖區,北市社會字第北市社團字第09732735700號函號,0970312,綜合慈善
79,財團法人臺北市永慶社會福利慈善事業基金會,87713787,臺北市大安區信義路四段189號3樓,N20085,大安區,北市社會字第北市社團字第097413011號函號,0971023,綜合慈善
80,財團法人臺北市潤郁社會福利慈善事業基金會,(02)2388-5885分機128,臺北市大同區迪化街一段102號,N20086,大同區,北市社會字第北市社團字第09740822100號號,0971114,綜合慈善
81,財團法人台北市世邦國際慈善基金會,(02)8771-06881607,臺北市中山區南京東路三段200號10樓,N20087,中山區,北市社會字第北市社團字第09742676400號號,0971120,綜合慈善
82,財團法人臺北市道元社會福利慈善事業基金會,(02)2764-9008分機321,臺北市松山區南京東路五段222號12樓,N20088,松山區,北市社會字第北市社團字第09743823800號號,0971216,綜合慈善
83,財團法人臺北市財聖公益慈善基金會,(02)27170926分機102,臺北市北投區三合街1段36巷23號3樓,N20089,北投區,北市社會字第北市社團字第09744104600號號,0971219,綜合慈善
84,財團法人臺北市聖佳蘭先開懷社會福利慈善基金會,27904570轉213,臺北市內湖區成功路三段70號,N20092,內湖區,北市社會字第北市社團字第09931444300號函號,0990203,綜合慈善
85,財團法人台北市大師房屋慈善基金會,2882-0999分機221,臺北市大同區市民大道路一段209號10樓之1,N20093,大同區,北市社會字第北市社團字第09933100900號函號,0990309,綜合慈善
86,財團法人臺北市足印社會福利慈善基金會,2599-1525轉18,臺北市中山區民權東路2段26號10樓之1,N20094,中山區,北市社會字第北市社團字第09934895500號號,0990419,綜合慈善
87,財團法人臺北市王印標社會福利慈善基金會,02--2603-3399,臺北市信義區忠孝東路五段236巷3弄29號9樓,N20096,信義區,北市社會字第北市社團字第09935038000號函號,0990421,綜合慈善
88,財團法人臺北市義容社會福利慈善事業基金會,02-2721-7692,臺北市大安區敦化南路一段205號5樓之608室,N20097,大安區,北市社會字第北市社團字第09940505500號號,0990816,綜合慈善
89,財團法人臺北市華書慈善基金會,(02)2506-0677,臺北市中山區南京東路三段29號3樓,N20098,中山區,北市社會字第北市社團字第09941340200號號,0990901,綜合慈善
90,財團法人臺北市海光宮慈善基金會,2811-5587 2812-6662、2827-2152、,臺北市士林區重慶北路4段186號2樓,N20100,士林區,北市社會字第北市社團字第09943262800號號,0991007,綜合慈善
91,財團法人臺北市禮賢社會福利基金會,02-33932002653,臺北市中正區羅斯福路一段7號10樓,N20101,中正區,北市社會字第北市社團字第0994512400號號,0991112,綜合慈善
92,財團法人臺北市茂楷慈善基金會,(02)23951188,臺北市中山區松江路182號10樓,N20103,中山區,北市社會字第北市社團字第10039247300號號,1000704,綜合慈善
93,財團法人臺北市岱宇國際慈善基金會,2515-2288分機166,臺北市中山區松江路111號12樓,N20104,中山區,北市社會字第北市社團字第10039115800號號,1000630,綜合慈善
94,財團法人臺北市王陳靜文慈善基金會,02-2712-8128或2546-3348轉分機44,臺北市松山區敦化北路307號11樓之1,N20105,松山區,北市社會字第社團字第10039875200號號,1000721,綜合慈善
95,財團法人臺北市志玲姊姊慈善基金會,02-2366-0793,臺北市大安區羅斯福路二段105號5樓之1,N20106,大安區,北市社會字第社團字第10043652500號號,1001006,綜合慈善
96,財團法人臺北市太陽慈善基金會,(02)23435755、(02)23435711,臺北市中正區重慶南路2段21號11樓之2,N20107,中正區,北市社會字第臺北市政府56年5月31日北市社福(立)字第045號號,1000817,綜合慈善
97,財團法人臺北市天美慈善基金會,0916-342472,臺北市大安區永康街75巷8號6樓之1,N20108,大安區,北市社會字第北市社團字第10130719100號號,1010119,綜合慈善
98,財團法人臺北市喜樂家族社會福利基金會,02-2703-5969分機10或17,臺北市大安區和平東路二段22-3號,N20109,大安區,北市社會字第社團字第10135767000號號,1010427,綜合慈善
99,財團法人台北市程簡月枝慈善基金會,(02)2733-5567,臺北市大安區羅斯福路四段119巷28號7樓,N20110,大安區,北市社會字第北市社團字第10138356000號號,1010614,綜合慈善
100,財團法人臺北市安麗希望工場慈善基金會,(02)25478536；(02)25478530,臺北市松山區敦化北路168號11樓,N20111,松山區,北市社會字第北市社團字第10140991400號號,1010816,綜合慈善
101,財團法人臺北市三幸慈善基金會,(02)25817995,臺北市中山區林森北路372號7樓,N20112,中山區,北市社會字第北市社團字第10144620800號號,1011030,綜合慈善
102,財團法人台北市全星慈善事業基金會,2758-7888,臺北市信義區忠孝東路四段560號13樓之1,N20113,信義區,北市社會字第北市社團字第10145085600號號,1011106,綜合慈善
103,財團法人台北市雨揚慈善基金會,2711-4888,臺北市大安區忠孝東路4段60號12樓之1,N20115,大安區,北市社會字第北市社團字第10147615300號函號,1011219,綜合慈善
104,財團法人台北市國宏社會福利慈善事業基金會,8771-7039,臺北市中山區龍江路114巷1號3樓之1,N20116,中山區,北市社會字第北市社團字第10231716200號號,1020205,綜合慈善
105,財團法人臺北市高惟岳關懷慈善基金會,2712-2577,臺北市松山區民權東路三段142號6樓之3,N20117,松山區,北市社會字第北市社團字第10238072000號號,1020530,綜合慈善
106,財團法人台北市金樹普社會福利事業基金會,2394-1818轉105,臺北市信義區信義路五段150巷2號21樓之1,N20118,信義區,北市社會字第北市社團字第10237130200號函號,1020515,綜合慈善
107,財團法人台北市如新善的力量慈善基金會,8752-8801,臺北市信義區忠孝東路4段557號1樓,N20120,信義區,北市社會字第北市社團字第102443096600號函號,1020926,綜合慈善
108,財團法人台北市陳高關懷社會福利基金會,2501-4971分機12、2501-3733,臺北市中山區民生東路2段145號7樓,N20122,中山區,北市社會字第北市社團字第10245728800號函號,1021111,綜合慈善
109,財團法人臺北市王修慈善事業基金會,2562-4123分機609,臺北市中山區松江路328號12樓,N20123,中山區,北市社會字第北市社團字第10247368500號號,1021209,綜合慈善
110,財團法人臺北市蔡瀚儀慈善基金會,2626-6418,臺北市中山區中山北路3段2號13樓之1,N20124,中山區,北市社會字第北市社團字第10340440000號函號,1030718,綜合慈善
111,財團法人台北市金環社會關懷基金會,2368-3777分機902,臺北市中正區和平西路一段20號8樓,N20125,中正區,北市社會字第北市社團字第10340741200號號,1030728,綜合慈善
112,財團法人臺北市輔世慈善基金會,(02)2700-7890,臺北市松山區南京東路三段346-1號4樓,N20126,松山區,北市社會字第北市社團字第10341851100號號,1030812,綜合慈善
113,財團法人臺北市王禪老祖慈善基金會,0988-965275,臺北市士林區承德路四段152號11樓之1,N20127,士林區,北市社會字第北市社團字第10349835300號函號,1040107,綜合慈善
114,財團法人臺北市友信社會福利慈善事業基金會,(02)2706-2121分機254或257,臺北市大安區敦化南路2段97號14樓,N20128,大安區,北市社會字第北市社團字第10446822600號函號,1041110,綜合慈善
115,財團法人台北市勝利社會福利事業基金會,2325-8576,臺北市大安區建國南路一段336號2樓,N20130,大安區,北市社會字第北市社三字第8920976300號號,0890215,綜合慈善
116,財團法人臺北市北投慈善基金會,28935668分機110,臺北市北投區泉源路11號2樓,N20131,北投區,北市社會字第北市社團字第10539470100號號,1050622,綜合慈善
117,財團法人台北市信華慈善基金會,(02)2598-8919,臺北市中山區中山北路3段49號3樓之3,N20132,中山區,北市社會字第北市社團字第10541727200號函號,1050815,綜合慈善
118,財團法人臺北市點亮希望社會福利事業基金會,8773-1616,臺北市松山區南京東路三段337號5樓,N20133,松山區,北市社會字第北市社團字第10546019500號號,1051109,綜合慈善
119,財團法人臺北市現代悅齡社會福利基金會,(02)2391-7635,臺北市松山區三民路35巷9號2樓,N20134,松山區,北市社會字第北市社團字第10548967300號號,1060214,綜合慈善
120,財團法人臺北市陳玉梅紀念慈善基金會,2550-8222,臺北市大同區重慶北路三段139號11樓,N20136,大同區,北市社會字第北市社團字第10634297700號號,1060322,綜合慈善
121,財團法人臺北市攸紘社會福利慈善事業基金會,2755-3250,臺北市大安區敦化南路二段95號14樓,N20137,大安區,北市社會字第北市社團字第10634268200號號,1060323,綜合慈善
122,財團法人臺北市仁愛頤養社會福利基金會,2550-8222,臺北市大同區重慶北路三段139號11樓,N20138,大同區,北市社會字第北市社團字第10635061900號號,1060412,綜合慈善
123,財團法人臺北市環球七福社福基金會,2721-1668,臺北市松山區敦化南路一段25號8樓,N20139,松山區,北市社會字第北市社團字第10641432600號號,1060809,綜合慈善
124,財團法人臺北市喜樂心社會福利基金會,87975055分機223,臺北市內湖區洲子街105號2樓,N20140,內湖區,北市社會字第北市社團字第10646867300號號,1061123,綜合慈善
125,財團法人臺北市鼎愛慈善事業基金會,2749-5588333,臺北市信義區信義路5段150巷2號12樓之3,N20141,信義區,北市社會字第10646293700號,1061130,綜合慈善
126,財團法人臺北市五福財神爺社會慈善事業基金會,2509-4377或0932-201-740,臺北市中山區長安東路二段108號11樓之4,N20142,中山區,北市社會字第北市社團字第10734921900號函號,1070409,綜合慈善
127,財團法人臺北市大益愛心慈善基金會,2778-1200,臺北市中山區長安東路2段52號8樓,N20143,中山區,北市社會字第北市社團字第1076091214號號,1071212,綜合慈善
128,財團法人臺北市騰輝社會福利慈善事業基金會,27011331-13,臺北市大安區光復南路200巷11號1樓,N20144,大安區,北市社會字第1076049517號,1070907,綜合慈善
129,財團法人臺北市陳?鎮謝漢宜社會福利（慈善）基金會,2751-1162分機113,臺北市松山區敦化北路120巷70號2樓,N20145,松山區,北市社會字第北市社團字第1083133591號號,1080820,綜合慈善
130,財團法人台北市瑞智社會福利基金會,2712-8000分機272,臺北市松山區復興北路427巷36號1樓,N20146,松山區,北市社會字第北市社團字第1083155367號號,1081031,綜合慈善
131,財團法人台北市妙妙慈善基金會,6620-2589分機11166,臺北市中山區德惠街9號8樓之2,N20147,中山區,北市社會字第北市社團字第1083198640號號,1081227,綜合慈善
132,財團法人臺北市匯泰長安慈善基金會,(02)2831-1166、(02)2522-2666,臺北市中正區北平東路30-1號13樓,N20148,中正區,北市社會字第北市社團字第1083185497號號,1081202,綜合慈善
133,財團法人臺北市林思宏X5醫師慈善基金會,02-8772-0477分機102,臺北市大安區復興南路2段210巷9號,N20149,大安區,北市社會字第北市社團字第1093044646號號,1090323,綜合慈善
134,財團法人臺北市典亮慈善基金會,2751-2678,臺北市中山區復興北路60號12樓之3,N20150,中山區,北市社會字第北市社團字第1093062486號函號,1090409,綜合慈善
135,財團法人台北市勝慈社會福利基金會,2797-5538,臺北市松山區民生東路3段129號2樓,N20151,松山區,北市社會字第北市社團字第1093022788號號,1090221,綜合慈善
136,財團法人臺北市鄭世華社會福利（慈善）基金會,02-2767633019,臺北市大安區忠孝東路4段191號5樓之1,N20152,大安區,北市社會字第北市社團字第1093156473號函號,1091005,綜合慈善
137,財團法人臺北市傳德慈善基金會,02-77516956分機102,臺北市中山區德惠街22號3樓,N20153,中山區,北市社會字第北市教四字第21176號函號,0840522,綜合慈善
138,財團法人臺北市傳淵慈善基金會,2700-0667分機15,臺北市大安區復興南路1段352號6樓之3,N20154,大安區,北市社會字第北市社團字第1103077562號號,1100604,綜合慈善
139,財團法人臺北市長者賽親關懷基金會,2789-0887,臺北市中正區重慶南路3段2號4樓F室,N20155,中正區,北市社會字第北市社團字第1103104730號號,1100804,綜合慈善
140,財團法人臺北市宗亞慈善基金會,2511–9595,臺北市南港區南港路2段99之3號,N20156,南港區,北市社會字第北市社團字第1103080554號號,1100628,綜合慈善
141,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
142,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
143,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
144,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
145,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
146,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
147,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
148,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
149,財團法人臺北市仁親社會福利慈善基金會,2788-0003分機13,臺北市士林區承德路4段180號4樓,N20157,士林區,北市社會字第北市社團字第1103111617號號,1100819,綜合慈善
150,財團法人臺北市甘信慈善基金會,0917-185-882,臺北市中山區松江路431巷27號1樓,N20158,中山區,北市社會字第北市社團字第1103137295號號,1101015,綜合慈善
151,財團法人台北市十里杉林社會福利基金會,2771-4384,臺北市信義區基隆路2段151-6號12樓之1,N20159,信義區,北市社會字第北市社團字第1103139288號函號,1101026,綜合慈善
152,財團法人台北市崔媽媽基金會,2365-8140分機312,臺北市大安區信義路3段106號5樓之1,N20160,大安區,北市社會字第北市社團字第1103158366號(許可變更主管機關)號,1101115,綜合慈善
153,財團法人臺北市林鳳慈善基金會,2657-9181,臺北市內湖區內湖路1段120巷18號4樓,N20161,內湖區,北市社會字第北市社團字第1113032227號號,1110303,綜合慈善
154,財團法人台北市客家康慈社會福利基金會,0988-249-847,臺北市士林區葫蘆街124號1樓,N20163,士林區,北市社會字第北市社團字第1113142398號函號,1111013,綜合慈善
155,財團法人臺北市宋美齡紀念基金會,2351-0626,臺北市中正區中華路一段77號3樓,N20167,中正區,北市社會字第北市社團字第1123196450號號,1130215,綜合慈善
