編號,院所代碼,診所名稱,行政區,地址,電話
90,2101100227,臺北市立聯合醫院附設中山門診部,中山區,臺北市中山區松江路367號1樓,02-25013317
91,1501100037,協和婦女醫院,中山區,"臺北市中山區松江路85巷5號,93巷6號",02-25072222
92,3501108008,四季和安婦幼診所,中山區,臺北市中山區林森北路452號地下1樓、458號及458號3樓,02-25677310
93,1010905517,臺北市立聯合醫院林中昆明院區(林森),中山區,臺北市中山區林森北路530號,02-25553000
94,3501107369,晴光診所,中山區,臺北市中山區林森北路556號1樓,02-25853210
95,3501104304,蔡國賢耳鼻喉科診所,中山區,臺北市中山區長安東路二段108-2號1樓,02-25178178
96,3501100815,木生婦幼診所,中山區,臺北市中山區長安東路二段90號1-4樓、88號4樓,02-25012312
97,3501103058,長春眼科聯合診所,中山區,臺北市中山區建國北路二段66號,02-25177060
98,3501103414,正恩耳鼻喉科診所,中山區,臺北市中山區錦州街321號,02-25052293
99,3501103503,龍江小兒科診所,中山區,臺北市中山區龍江路181-1號1樓,02-25152433
100,3501103665,寧康聯合診所,中山區,臺北市中山區龍江路209巷6-1號,02-25013862
101,"	350110A815",中山適康復健科診所,中山區,臺北市中山區龍江路268號、270號2樓之1,02-25155150
102,3501107574,榮星診所,中山區,臺北市中山區龍江路272號,02-25168112
103,350110A324,綠葉親子診所,中山區,臺北市中山區農安街12-1號1樓,02-25935559
104,0401180014,國立臺灣大學醫學院附設醫院,中正區,臺北市中正區中山南路7號,02-23123456
105,0401180023,國立臺灣大學醫學院附設醫院兒童醫院,中正區,臺北市中正區中山南路8號,02-23123456
106,101090517,臺北市立聯合醫院和平院區,中正區,臺北市中正區中華路二段33號,02-25553000
107,4001180029,醫療財團法人好心肝基金會好心肝診所,中正區,臺北市中正區公園路30號2樓-2、8F-1、8F-2,02-23700827
108,4001180010,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,中正區,臺北市中正區永綏街8號,02-23111525
109,3501181267,朱小兒科診所,中正區,臺北市中正區汀州路一段220號1樓,02-23651810
110,3801182733,天心中醫診所,中正區,臺北市中正區武昌街一段33號,02-23615050
111,3701183818,嘉貝牙醫診所,中正區,臺北市中正區信義路二段257號,02-23517708
112,2101180038,臺北市立聯合醫院附設中正門診部,中正區,臺北市中正區牯嶺街24號,02-25553000
113,3501181810,周正成小兒科診所,中正區,臺北市中正區徐州路24號,02-23516830
114,101090517,臺北市立聯合醫院婦幼院區,中正區,臺北市中正區福州街12號,02-25553000
115,0901180023,郵政醫院(委託中英醫療社團法人經營),中正區,臺北市中正區福州街14號,02-23956755
116,3501109845,永育樂群診所,中正區,臺北市中正區樂群二路210之2號(1樓),02-85012268
117,3501184731,禾馨婦產科診所,中正區,臺北市中正區懷寧街78號、78號2樓,02-23612323
118,3501186208,好甘心診所,中正區,臺北市中正區公園路30號9樓之1-9樓之2之3,02-23700887
119,3501110188,魏穀年診所,內湖區,臺北市內湖區內湖路一段403號,02-26572691
120,3501113330,仁弘耳鼻喉科診所,內湖區,臺北市內湖區內湖路一段737巷50弄37號,02-26596360
121,3501113134,焉醫師診所,內湖區,臺北市內湖區內湖路二段21號,02-27995008
122,1301110511,中國醫藥大學附設醫院臺北分院,內湖區,臺北市內湖區內湖路二段360號,02-27919696
123,3501111032,立安診所,內湖區,臺北市內湖區內湖路二段365號,02-27933632
124,3501113965,適康復健科診所,內湖區,臺北市內湖區文德路141號、143號,02-87977566
125,3501114113,思維診所,內湖區,臺北市內湖區文德路25號,02-26575779
126,3501112315,文德耳鼻喉科診所,內湖區,臺北市內湖區文德路32號,02-87971942
127,3501113321,林登山耳鼻喉科診所,內湖區,臺北市內湖區文德路96號,02-26596638
128,3501113929,禾馨民權婦幼診所,內湖區,臺北市內湖區民權東路六段42號2-4樓之1、之2、之3,02-55713333
129,3501113750,禾馨內湖婦幼診所,內湖區,臺北市內湖區民權東路六段42號5-6樓之1、之2、之3,02-55713333
130,3501112324,內湖長春診所,內湖區,臺北市內湖區民權東路六段64號,02-27926868
131,2101110027,臺北市立聯合醫院附設內湖門診部,內湖區,臺北市內湖區民權東路六段99號,02-27908387
132,0501110514,三軍總醫院附設民眾診療服務處,內湖區,臺北市內湖區成功路二段325號,02-87923311
133,1101110026,康寧醫療財團法人康寧醫院,內湖區,臺北市內湖區成功路五段420巷26號,02-26345500
134,3501113018,成功復健科診所,內湖區,"臺北市內湖區成功路四段12號2-4樓, 16號",02-27938098
135,3501110928,成功耳鼻喉科診所,內湖區,臺北市內湖區成功路四段16號,02-27940064
136,3701112775,品牙醫診所,內湖區,臺北市內湖區成功路四段175號,02-27906882
137,3501114006,湖欣診所,內湖區,臺北市內湖區成功路四段327號,02-27918350
138,3501114597,永育醫療大湖診所,內湖區,臺北市內湖區成功路四段366號,02-27906002
139,3501110982,馬思特診所,內湖區,臺北市內湖區成功路四段53號,02-27925994
140,3501112860,林孟勳診所,內湖區,臺北市內湖區成功路四段61巷32弄2號,02-87920955
141,3501112913,薈安診所,內湖區,臺北市內湖區江南街6號,02-26578803
142,3501111069,藍曾小兒科診所,內湖區,臺北市內湖區東湖路132號,02-26335225
143,3501110571,劉淦華診所,內湖區,臺北市內湖區金龍路43號,02-27905374
144,3701112668,元康牙醫診所,內湖區,臺北市內湖區康寧路三段165巷23弄3號1F,02-26313938
145,3501110455,東湖張耳鼻喉科診所,內湖區,臺北市內湖區康寧路三段169號,02-26331864
146,3501112815,魏之明小兒科診所,內湖區,臺北市內湖區康寧路三段54之6號,02-26306968
147,3501114882,永育醫療康樂診所,內湖區,"臺北市內湖區康樂街80, 82, 84號",02-26308800
148,3501114024,康研診所,內湖區,臺北市內湖區瑞光路419號,02-26577257
149,3501110115,王慶森診所,內湖區,臺北市內湖區港墘路65號,02-27986052
150,3501114355,恆新復健科診所,內湖區,臺北市內湖區瑞光路337號C棟7樓,02-26278666
151,4001110018,國泰醫療財團法人內湖國泰診所,內湖區,臺北市內湖區瑞光路337號4F,02-87972121
152,3501113778,禾安耳鼻喉科診所,內湖區,臺北市內湖區康寧路１段７５號,02-87918066
153,3501114613,佳霖診所,內湖區,臺北市內湖區東湖路147號2樓,02-26334535
154,3501114042,新明診所,內湖區,臺北市內湖區新明路386號,02-87921282
155,3501203259,樂群耳鼻喉科家醫科診所,文山區,臺北市文山區木新路三段202號,02-22340158
156,3501202743,房國堂小兒專科診所,文山區,臺北市文山區木新路二段269號,02-86616527
157,3501200570,泓仁診所,文山區,臺北市文山區木新路二段273號,02-29382627
158,3501202654,世誠耳鼻喉科診所,文山區,臺北市文山區忠順街一段107號,02-22343618
159,3501202323,許至文耳鼻喉科診所,文山區,臺北市文山區指南路一段2號,02-86614918
160,2101200017,臺北市立聯合醫院附設政大門診部,文山區,臺北市文山區指南路二段117號,02-82377441
161,3501202592,震杰小兒科診所,文山區,臺北市文山區景興路129號1樓,02-89351869
162,3501202636,黃偉志小兒科診所,文山區,臺北市文山區萬慶街12號1樓,02-29354556
163,3501200534,興隆內科小兒科診所,文山區,臺北市文山區興隆路二段17號,02-29311736
164,3501202458,屈銘軒小兒科診所,文山區,臺北市文山區興隆路二段301巷4-2號,02-29308518
165,3501200794,林建輝小兒科診所,文山區,臺北市文山區興隆路二段70號,02-29334933
166,3501200927,景升診所,文山區,"臺北市文山區興隆路二段93-1號1樓及B1, 95巷1號2樓",02-29356632
167,1301200010,臺北市立萬芳醫院-委託臺北醫學大學辦理,文山區,臺北市文山區興隆路三段111號,02-29307930
168,3501200963,葉洪小兒科診所,文山區,臺北市文山區興隆路三段202號,02-22300055
169,3501201095,德安小兒科診所,文山區,臺北市文山區興隆路四段6-10號1樓,02-29395299
170,3501201004,洪佑承小兒專科診所,文山區,臺北市文山區興隆路四段64之2號1樓,02-29364708
171,3501202510,徐慧玲診所,文山區,臺北市文山區興隆路四段97號,02-22340000
172,3501203455,佳鴻診所,文山區,臺北市文山區羅斯福路六段256號1樓,02-29333096
173,1501201020,景美醫院,文山區,臺北市文山區羅斯福路六段280號,02-29331010
174,3701162186,明月牙醫診所,北投區,臺北市北投區大興街25號,02-28941988
175,3501163170,黃浩魁小兒科診所,北投區,臺北市北投區中央北路一段168號,02-28983256
176,3501163438,鄭宇廷耳鼻喉科診所,北投區,臺北市北投區中央北路一段94號,02-28916835
177,3501160866,長宏診所,北投區,臺北市北投區中央北路二段121號1樓,02-28967372
178,3501161505,慈恩耳鼻喉科診所,北投區,臺北市北投區中央南路一段13號,02-28978787
179,3501161238,祐民聯合診所,北投區,臺北市北投區中央南路一段207號,02-28951301
180,3501161032,陳獻明小兒科診所,北投區,臺北市北投區中央南路一段69號1樓,02-28928950
181,3501160982,清田婦產科家醫科診所,北投區,臺北市北投區中和街268號,02-28931323
182,3501160973,蔡秉勳小兒科診所,北投區,臺北市北投區中和街281號,02-28966525
183,3501163312,台北欣安耳鼻喉科診所,北投區,臺北市北投區石牌路一段152號,02-28210501
184,3701162195,京品牙醫診所,北投區,臺北市北投區石牌路一段34號,02-28273448
185,3501163483,旭康復健科診所,北投區,臺北市北投區石牌路一段40號（實際使用：1、2、3樓）,02-28280067
186,3501161185,李伯匯小兒科診所,北投區,臺北市北投區石牌路一段93號,02-28221212
187,0601160016,臺北榮民總醫院,北投區,臺北市北投區石牌路二段201號,02-28757324
188,3501162940,何叔芳小兒科診所,北投區,臺北市北投區石牌路二段90巷12號1樓,02-28206886
189,1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,北投區,臺北市北投區立德路125號,02-28970011
190,3501161363,昱德聯合診所,北投區,臺北市北投區光明路102號1樓,02-28975050
191,3501160991,張參雄診所,北投區,臺北市北投區光明路166號-1號,02-28926555
192,3801161896,和悅經典中醫診所,北投區,臺北市北投區光明路二巷9之5號1樓,02-28925232
193,3501163036,黃正宏診所,北投區,臺北市北投區西安街一段359號,02-28217076
194,3501163241,陳信方小兒科診所,北投區,臺北市北投區明德路106號,02-28201068
195,3501160731,林文正耳鼻喉科診所,北投區,臺北市北投區明德路92號,02-28261083
196,3501163232,陳柏宏親子診所,北投區,臺北市北投區明德路124號1樓,02-28225257
197,3501162879,陳珀勳診所,北投區,臺北市北投區明德路75號1樓,02-28206263
198,0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,北投區,臺北市北投區知行路225巷12號,02-28587000
199,3501163072,宏恩兒科診所,北投區,臺北市北投區致遠一路二段99號,02-28271110
200,1101160017,振興醫療財團法人振興醫院,北投區,臺北市北投區振興街45號,02-28264400
201,2101161033,臺北市立聯合醫院附設北投門診部,北投區,臺北市北投區新市街30號5樓,02-28912670
202,0501160014,三軍總醫院北投分院附設民眾診療服務處,北投區,"臺北市北投區新民路60號, 中和街250號",02-28959808
203,3501014976,駿昂耳鼻喉科診所,松山區,臺北市松山區八德路二段395號,02-87728086
204,1101010021,基督復臨安息日會醫療財團法人臺安醫院,松山區,臺北市松山區八德路二段424、426號,02-27718151
205,3501011493,車參薇小兒科診所,松山區,臺北市松山區八德路三段195號1樓,02-25770101
206,3501012838,閎新耳鼻喉科皮膚科聯合診所,松山區,臺北市松山區八德路三段20-2號1F,02-25779898
207,3501015026,佑家診所,松山區,臺北市松山區八德路三段233號,02-25785658
208,3501010692,陳大昕耳鼻喉科診所,松山區,臺北市松山區八德路四段100號,02-27676349
209,2101010013,臺北市立聯合醫院附設松山門診部,松山區,臺北市松山區八德路四段694號1、2樓,02-27653147
210,3501015660,心田民生診所,松山區,臺北市松山區民生東路五段105號,02-27653039
211,3501010094,劉內兒科診所,松山區,臺北市松山區民生東路五段148號1樓,02-27603922
212,3501013068,黎博彥診所,松山區,臺北市松山區民生東路五段230號,02-27682802
213,3501013157,大家好診所,松山區,臺北市松山區民生東路四段80巷11弄2號1樓,02-27138819
214,3501014878,悠適復健科診所,松山區,臺北市松山區光復北路11巷65、67號1樓,02-27493088
215,3501014092,松原復健診所,松山區,臺北市松山區光復北路206號,02-87123552
216,1501010010,博仁綜合醫院,松山區,臺北市松山區光復北路66號,02-25786677
217,3501010763,陳炳堅內科診所,松山區,臺北市松山區延壽街327號,02-27637199
218,3501011260,江崇萍小兒科診所,松山區,臺北市松山區南京東路五段251巷24弄27號,02-27632260
219,3501015839,榮恩蔡醫師診所,松山區,臺北市松山區南京東路五段258號,02-27688749
220,3501010736,林忠志診所,松山區,臺北市松山區南京東路五段291巷20弄3-3號,02-27689577
221,0501010019,三軍總醫院松山分院附設民眾診療服務處,松山區,臺北市松山區健康路131號,02-27642151
222,3501015035,安兒康小兒專科診所,松山區,臺北市松山區敦化北路116號、118號、118號2樓,02-77287688
223,1101010012,長庚醫療財團法人台北長庚紀念醫院,松山區,臺北市松山區敦化北路199號,02-27135211
224,1132070011,長庚醫療財團法人林口長庚紀念醫院,龜山區,桃園市龜山區公西里復興街5號、5之7號、文化一路15號,03-3281200
225,2101170050,臺北市立聯合醫院附設信義門診部,信義區,臺北市信義區大道路１１６號１樓、２樓,02-87804152
226,3501173783,俊安診所,信義區,臺北市信義區永吉路30巷148弄6號,02-27605757
227,3501171261,康泰診所,信義區,臺北市信義區永吉路54號1樓,02-27661228
228,1301170017,臺北醫學大學附設醫院,信義區,臺北市信義區吳興街252號,02-27372181
229,3501171225,張育驍診所,信義區,"臺北市信義區吳興街467巷2弄4號, 6號, 6號2樓, 10號",02-27296611
230,3501174593,理恩診所,信義區,臺北市信義區忠孝東路五段410~2號1樓,02-87899728
231,3501173050,新眼光眼科診所,信義區,臺北市信義區忠孝東路五段518號,02-23460266
232,3401171107,聯合報系員工診療所,信義區,臺北市信義區忠孝東路四段559巷1號6樓,02-27601618
233,3501170835,黃啟彰診所,信義區,臺北市信義區松山路261之1號,02-27696218
234,3501172848,松仁耳鼻喉科診所,信義區,臺北市信義區松仁路231號1樓,02-87808580
235,3501173327,明輝診所,信義區,臺北市信義區松隆路282之3號,02-87871235
236,3501171207,鄭光志小兒科診所,信義區,臺北市信義區松德路23號,02-27266132
237,0101090517,臺北市立聯合醫院松德院區,信義區,臺北市信義區松德路309號,02-25553000
238,3501173336,登瑞安診所,信義區,臺北市信義區林口街232號,02-27265228
239,3501171010,王寬仁診所,信義區,臺北市信義區虎林街121巷11號1樓,02-27204952
240,3501175045,原力復健科診所,信義區,臺北市信義區基隆路二段145號,02-27327311
241,3501174815,莊敬診所,信義區,臺北市信義區莊敬路280號,02-27589258
242,3801172906,頌讚中醫診所,信義區,臺北市信義區莊敬路325巷4號,02-23452516
243,3501171716,長風小兒科診所,信義區,臺北市信義區莊敬路351號1樓,02-27227943
244,3501175018,順康復健科診所,信義區,臺北市信義區莊敬路362號、364號1.2樓,02-23450011
245,3501173569,信義耳鼻喉科診所,信義區,臺北市信義區莊敬路391巷4號,02-23450288
246,3501173425,林應然小兒科診所,信義區,臺北市信義區福德街75號,02-27595328
247,3501175741,承芯耳鼻喉科診所,信義區,臺北市信義區大道路121號,02-27265025
248,3501170255,朱耳鼻喉科診所,信義區,臺北市信義區忠孝東路五段452號,02-27209172
249,3501120335,陳志鑫診所,南港區,臺北市南港區八德路四段812號,02-27839698
250,3501121583,中坡耳鼻喉科診所,南港區,臺北市南港區中坡南路29號,02-27850329
251,3501121725,義仁兒科診所,南港區,臺北市南港區玉成街138號1樓,02-26515929
252,3501120228,蔣小兒科診所,南港區,臺北市南港區玉成街166巷30號1樓,02-26513761
253,101090517,臺北市立聯合醫院忠孝院區,南港區,臺北市南港區同德路87號,02-25553000
254,3501121627,天仁小兒科診所,南港區,臺北市南港區成福路21號,02-27862687
255,3501121823,天仁健康診所,南港區,臺北市南港區成福路21號,02-27862687
256,3501122124,友力耳鼻喉科診所,南港區,臺北市南港區中坡北路12號1樓,02-27853913
257,3501122142,松展診所,南港區,臺北市南港區忠孝東路六段110巷18號,02-27631373
258,2101120014,臺北市立聯合醫院附設南港門診部,南港區,臺北市南港區南港路一段360號1樓,02-27868756
259,3501121814,李文珍小兒科診所,南港區,臺北市南港區研究院路二段74號,02-26511871
260,3501121743,永育醫療福德診所,南港區,臺北市南港區福德街320之2號,02-27850700
261,3501121832,維康診所,南港區,臺北市南港區研究院路二段84巷1號1樓,02-26517748
262,3501194451,青年診所,萬華區,臺北市萬華區中華路二段424號,02-23032450
263,3501192251,漢宗小兒科診所,萬華區,臺北市萬華區中華路二段434號1樓,02-23039022
264,3501195690,瑞生診所,萬華區,臺北市萬華區西園路二段250號,02-23012788
265,0901190010,西園醫療社團法人西園醫院,萬華區,"臺北市萬華區西園路二段266～274號、185, 187, 189號",02-23076968
266,3501192608,許孟權小兒科診所,萬華區,臺北市萬華區西藏路107-2號,02-23393331
267,101090517,臺北市立聯合醫院林中昆明院區(中醫中心),萬華區,臺北市萬華區昆明街100號,02-25553000
268,2101191068,臺北市立聯合醫院附設萬華門診部,萬華區,臺北市萬華區東園街152號,02-25553000
269,3501194835,佳安診所,萬華區,臺北市萬華區青年路34號,02-23320898
270,3501194657,永康診所,萬華區,臺北市萬華區桂林路47號1樓2樓及地下1樓,02-23123455
271,0401190010,國立臺灣大學醫學院附設醫院北護分院,萬華區,臺北市萬華區康定路37號、108臺北市萬華區內江街87號,02-23717101
272,3501191003,顏克文診所,萬華區,臺北市萬華區貴陽街二段103號,02-23310413
273,3501195869,益銓診所,萬華區,臺北市萬華區萬大路233號,02-23331323
274,3501191852,童錫鈺診所,萬華區,臺北市萬華區萬大路486巷59弄17號1樓,02-23079851
275,3501194424,快樂兒童診所,萬華區,臺北市萬華區寶興街121、125、127號,02-23328610
276,3501192733,天行健診所,萬華區,臺北市萬華區寶興街127號,02-23320688
277,3501185934,懷寧復健科診所,中正區,臺北市中正區黎明里懷寧街110號1樓及7樓,02-23122632
278,"	3801103018",太初中醫診所,中山區,臺北市中山區復興北路92號6樓之1,02-27775800
279,350110A646,美迪大直婦產科診所,中山區,臺北市中山區北安路780號2樓,02-85020190
280,3501111005,吳振光眼科診所,內湖區,臺北市內湖區成功路四段42號3樓,02-27925399
281,3801201788,真善美中醫診所,文山區,臺北市文山區忠順街一段129號,02-22345007
282,3701160806,明德牙醫診所,北投區,臺北市北投區明德路2-1號1樓,02-28209212
283,3801162017,善揚中醫診所,北投區,臺北市北投區西安街一段157號,02-28280877
284,3501154215,和謙耳鼻喉科診所,士林區,臺北市士林區社中街362號,02-28165678
285,350110B143,沐晴診所,中山區,臺北市中山區龍江路401號1樓,02-25189009
286,3501176113,樂恬診所,信義區,臺北市信義區莊敬路178巷13號1樓,02-27206700
287,350102J299,仁愛柚子診所,大安區,臺北市大安區仁愛路4段33號12樓,02-27711380
288,131060029,衛生福利部臺北醫院,新莊區,新北巿新莊區思源路127,02-22765566
289,3701170099,明仁牙醫診所,信義區,臺北市信義區松山路496號,02-27276872
290,350110B287,向慈耳鼻喉科診所,中山區,臺北市中山區錦州街437號,02-25178880
291,111070010,衛生福利部基隆醫院,基隆市,基隆市信二路268號,02-24292525
292,1134020019,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣,宜蘭縣羅東鎮南昌街81號,03-9543131
293,3701162293,東欣牙醫診所,北投區,臺北市北投區北投路二段17號1樓,02-28985757
294,1131100010,馬偕醫療財團法人淡水馬偕紀念醫院,新北市,新北市淡水區民生路45號,02-28094661
295,1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市,新北市板橋區南雅南路二段21號,02-89667000
296,1331040513,衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市,新北市中和區中正路291號,02-22490088
297,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣,宜蘭縣羅東鎮中正南路160號,03-9544106
298,350102H071,家齡診所,大安區,臺北市大安區敦化南路一段205號,02-27211258
299,3501187054,侑澄診所,中正區,臺北市中正區信義路二段189號,02-23960123
