項次,行政區域代碼,牙科醫療院所,地址,電話
96,63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路2段325號,(02)87923311
97,63000100,維晟牙醫診所,臺北市內湖區港墘路115號,(02)26574557
98,63000100,皇家牙醫診所,臺北市內湖區內湖路二段103巷48之3號,(02)26276756
99,63000100,晴天牙醫診所,臺北市內湖區民權東路六段296巷1號1 樓,(02)26328881
100,63000100,璟品牙醫診所,臺北市內湖區民權東路六段125號1樓,(02)87927158
101,63000100,優秀牙醫診所,臺北市內湖區內湖路1段659號3樓,(02)27999955
102,63000100,德威國際牙醫醫院,臺北市內湖區內湖路一段659號,(02)27990123
103,63000100,白金牙醫診所,臺北市內湖區康寧路三段23號2樓之2,(02)26308811
104,63000100,維悅牙醫診所,臺北市內湖區成功路四段358號2樓,(02)27965846
105,63000100,德威國際牙醫診所,臺北市內湖區內湖路一段659號3樓,(02)27999955
106,63000120,東成牙醫診所,臺北市士林區小北街23號,(02)28828322
107,63000120,永慶牙醫診所,臺北市士林區大東路127號1樓,(02)28817289
108,63000120,永泰牙醫診所,臺北市士林區通河街119號,(02)28852892
109,63000120,博識牙醫診所,臺北市士林區中正路304號,(02)26333222
110,63000120,福國牙醫診所,臺北市士林區福國路15巷12號,(02)28338642
111,63000120,喬森牙醫診所,臺北市士林區後港街18號,(02)28858625
112,63000120,國維牙醫診所,臺北市士林區忠誠路一段90號,(02)28344265
113,63000120,宏仁牙醫診所,臺北市士林區延平北路六段158號,(02)28117543
114,63000120,天泉牙醫診所,臺北市士林區中山北路六段726號3樓,(02)28738711
115,63000120,福臨牙醫診所,臺北市士林區志成街25號,(02)28315148
116,63000120,哲瑞牙醫診所,臺北市士林區延平北路五段135號,(02)88113966
117,63000120,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,(02)28353456
118,63000120,可潔牙醫診所,臺北市士林區通河街62號,(02)28866062
119,63000120,維育牙醫診所,臺北市士林區中正路120號,(02)28380071
120,63000120,嘉芮牙醫診所,臺北市士林區中正路120號2樓,(02)28322161
121,63000120,安星牙醫診所,臺北市士林區中山北路六段169號1樓,(02)28333377
122,63000120,明德牙醫診所,臺北市北投區明德路2之1號,(02)28209212
123,63000120,典藏牙醫診所,臺北市北投區石牌路一段156號,(02)28270168
124,63000120,明月牙醫診所,臺北市北投區大興街25號,(02)28941988
125,63000120,長生堂牙醫診所,臺北市北投區中央南路一段195之1號,(02)28943906
126,63000120,健惠牙醫診所,臺北市北投區知行路260巷1號,(02)28581071
127,63000120,微美牙醫診所,臺北市北投區實踐街38號,(02)28209122
128,63000120,晨緹牙醫診所,臺北市北投區明德路158號,(02)28233114
129,63000120,維格牙醫診所,臺北市北投區裕民一路40巷23號,(02)28280358
130,63000120,陽明牙醫診所,臺北市北投區西安街二段167號,(02)28209933
131,63000120,臺北榮民總醫院,臺北市北投區石牌路二段201號,(02)28712121
132,63000120,東欣牙醫診所,臺北市北投區北投路二段17號,(02)28985757
133,63000120,向日葵牙醫診所,臺北市北投區東華街一段364號1樓,(02)28228815
134,63000120,志強牙醫診所,臺北市北投區自強街95號,(02)28234515
