項次,展演地,主管機關,市話,分機,開放時段,開放表演類型,申請方式
36,天母運動公園音樂台,臺北市政府體育局,(02)25702330,6548,08:00-22:00,表演藝術類、視覺藝術類,書面申請
37,自來水園區內各展演場地,臺北自來水事業處,(02)83695091,,週六、日及例假日13:30-17:30、18:00-22:00。,表演藝術類、視覺藝術類、工藝藝術類,線上登記
38,公民會館(中央廣場),臺北市信義區公所,(02)27239777,855,09:00-21:00,表演藝術類、視覺藝術類、工藝藝術類,電話預約申請及書面申請
39,花博公園公共空間(Maji商城入口處前方空間),財團法人臺北市會展產業發展基金會,(02)21828886,7383,10:00-18:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
40,公有士林市場『One Night In 士林』,臺北市市場處,(02)28837901,,"週一至週五為18:00~20:00、20:00~22:00共計2個時段。
週六、週日及國定假日為16:00~18:00、18:00~20:00、20:00~22:00共計3個時段。",表演藝術類、視覺藝術類,電話預約(先申請者優先使用)
41,臺北市台北地下街,臺北市市場處,(02)25594566,510,12:00-20:30,表演藝術類、視覺藝術類,現場申請、電話預約或電子郵件
42,臺北市站前地下街,臺北市市場處,(02)23751567,20,11:00-21:30,表演藝術類、視覺藝術類,現場申請或電子郵件申請
43,港富里737音樂夜市,臺北市內湖區港富里辦公處,,,17:00-21:00(限周六),表演藝術類、視覺藝術類、工藝藝術類,電話預約，僅身心障礙者（0932018939 ）
44,臺北市四平商圈徒步區,臺北市四平商圈徒步區發展協會,(02)25018531,,12:00-20:00,表演藝術類、視覺藝術類、工藝藝術類,電話預約
45,臺北市立動物園,臺北市立動物園,(02)29382300,602,09:00-17:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
46,美麗新廣場,美麗華實業股份有限公司,(02)25320101,216,每週六、日14:00-21:30 ,表演藝術類、視覺藝術類、工藝藝術類,電子郵件申請
47,捷運圓山站,臺北捷運公司,(02)23718774,,早場10:00-16:50、晚場 17:00-20:00,表演藝術類、視覺藝術類、工藝藝術類(表演藝術類不得使用電子類樂器),線上登記
48,捷運中山站,臺北捷運公司,(02)27189961,,早場10:00-16:50、晚場17:00-21:00,表演藝術類,線上登記
49,捷運大安森林公園站,臺北捷運公司,(02)25505600 ,4108,僅週一至四，早場10:00-16:50、晚場 17:00-22:00,表演藝術類,線上登記
50,美麗華百樂園,美麗華城市發展股份有限公司,(02)21753456,5217,每週五、六、日13:30-22:00 ,表演藝術類、視覺藝術類、工藝藝術類,電子郵件申請
51,台北101,台北金融大樓股份有限公司,(02)81018974  ,,每週六、日14:00-17:00、18:00-20:00 ,表演藝術類、視覺藝術類、工藝藝術類,電子郵件申請
52,馬場町紀念公園,臺北市政府工務局水利工程處,(02)27208889,3277, 08:00-21:30,表演藝術類,線上登記
53,東區龍門廣場、東區頂好廣場,臺北捷運公司-東區地下街辦公室,(02)25505600 ,3204,"龍門廣場：早場10:00-16:50、晚場17:00-20:00
頂好廣場：早場10:00-16:50、晚場17:00-22:00",表演藝術類、視覺藝術類、工藝藝術類,線上登記
54,微風廣場,微風廣場實業股份有限公司,(02)66008888,5236,每週五、六、日上午11:00至晚上20:30,表演藝術類、視覺藝術類、工藝藝術類,電子郵件申請
55,捷運雙連站,臺北捷運公司,(02)23718774,,早場10:00-16:50、晚場 17:00-21:00,"表演藝術類（限 5 人以下團體及個人，電子類 樂器及鼓除外）
 ",線上登記
56,遠百信義A13,遠百信義A13,(02)77500888,8366,"1.	週五  (時段18:00-20:30)。
2.	週六、日 (含國定假日)  (時段11:00-20:30)。",一般表演/視覺/音樂/工藝類型節目，但較高音量的節目除外。,電子郵件申請
57,微風南山,微風南山,(02)66366699 ,6911,每週 五、 六 、 日上 午 11:00 至 晚上 8 :30,表演藝術類、視覺藝術類、工藝藝術類,電子郵件申請
58,捷運劍潭站,臺北捷運公司,(02)23718774,,早場10:00-16:50、晚場 17:00-21:00,表演藝術類,線上登記
59,瓶蓋工廠台北製造所,臺北市產業發展局,(02)27859900,104,週六、週日及假日14時至18 時(包含進撤場時間 )，若遇營業時間調整，則以公告時間為主。,表演藝術類,電子郵件申請
60,ATT 4 FUN(信義店),吸引力股份有限公司,,,每週一至日 11:00-23:00,表演藝術類、視覺藝術類,電子郵件
61,ATT e Life(中山區),吸引力股份有限公司,(02)77252888 ,8502,每週一至日 11:00-22:00,表演藝術類、視覺藝術類、工藝藝術類,電子郵件
62,瑠公公園,臺北市政府工務局公園路燈工程管理處,(02)27003830,,星期五 -日及國定假日 16:00-21:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
63,北投七星公園,臺北市政府工務局公園路燈工程管理處陽明山公園管理所,(02)28832130,, 星期六 -日及國定假日 13:00-17:00與17:00-21:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
64,貓空站戶外廣場,北捷遊憩公司,(02)86618110,,週二至週日10:00-18:00,音樂性之表演藝術類,線上登記
65,臺北表演藝術中心,臺北表演藝術中心,(02)77563800,1553,週二至週日14:00-17:00、17:30-20:30,表演藝術類、視覺藝術類,線上登記
66,臺北流行音樂中心,臺北流行音樂中心,(02)27886620,8338,週六、週日及國定假日14時至18時,表演藝術類,電子郵件
67,台北花市,市場處,(02)27909729,505,市場營業日06 時至13 時,以管弦樂樂器音樂演奏項目表演藝術類為主,電子郵件
68,NOKE忠泰樂生活,忠泰商場事業股份有限公司,(02)85011888,5128,每週六日 下午時段 14:00 至 17:00 晚間時段 18:00 至 21:30(週日晚間至 21:00) ,表演藝術類,電子郵件
69,廣州街-環河南路口三角小舞台,市場處,,,每日17時30起至22時0分止,表演藝術類、視覺藝術類、工藝藝術類,電話預約（0910094338）
70,錫口廊道北側,松山區公所,(02)87878787 ,885,每日10時00起至21時0分止,表演藝術類、視覺藝術類、工藝藝術類,線上登記
71,東森廣場臺北車站K區地下街,東森得易購股份有限公司,(02)23812766,,每日12時00起至20時30分止,表演藝術類、視覺藝術類,現場登記，弱勢團體優先
72,瑠公綠廊,臺北市政府工務局公園路燈工程管理處,(02)27003830,,周末及例假日16:00-21:00,視覺藝術類、工藝藝術類,線上登記
73,"	貓空纜車動物園站戶外廣場",北捷遊憩公司,(02)86618110,,週二至週日早場10:00-16:50、晚場 17:00-21:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
