項次,醫事機構代碼,醫事機構,電話,地址
154,3501151161,蘇慧卿診所,(02)28829955,臺北市士林區大南路２７４號
155,3501151269,粱耳鼻喉科診所,(02)28168456,臺北市士林區社正路１２－１號
156,3501151358,林佳宏小兒科診所,(02)28744591,臺北市士林區中山北路６段４６２號
157,3501151401,柯佑民小兒科診所,(02)28766955,臺北市士林區天母東路８巷１９弄５號１樓
158,3501151661,家庭醫師張正弘診所,(02)28747399,臺北市士林區天玉街３８巷９號
159,3501151750,芝山診所,(02)28362780,臺北市士林區忠義街８２號１樓
160,3501151849,忠誠聯合診所,(02)88661176,臺北市士林區忠誠路２段５０巷３５號
161,3501151901,慈田耳鼻喉科診所,(02)28123595,臺北市士林區延平北路５段１８５號１樓
162,3501151938,何小兒科診所,(02)28827401,臺北市士林區福港街１７６號
163,3501151974,蕭雨青小兒科診所,(02)28126415,臺北市士林區延平北路５段２９２號１樓
164,3501153478,嘉櫻小兒科診所,(02)88666202,臺北市士林區德行西路１１９號１樓
165,3501153567,平安診所,(02)28167263,臺北市士林區社新里社子街３６－１號１樓
166,3501153665,張虔熙小兒科診所,(02)28361368,臺北市士林區中山北路６段２８２號
167,3501153745,愛林診所,(02)28836881,臺北市士林區承德路４段２２２號、２２２之１號、２２２之２號
168,3501154180,士林小兒科診所,(02)28812485,臺北市士林區中正路２４９號
169,3501154279,科安診所,(02)28110699,臺北市士林區社中街１１６號
170,3501154475,樹爸爸親子診所,(02)28381838,臺北市士林區德行東路２８６號
171,3501154519,貝爾診所,(02)28729980,臺北市士林區中山北路７段８２巷９號
172,3501154528,小禾馨士林小兒專科診所,(02)28827333,臺北市士林區中正路２８９號（１樓）
173,3501154564,佩佩婦幼診所,(02)28386262,臺北市士林區中山北路６段１８２號、１８２號２樓
174,3501155007,士林欣然耳鼻喉科診所,(02)28386090,臺北市士林區文林路４５０號（１樓）
175,3501155025,柳橙親子診所,(02)28742818,臺北市士林區天母北路３５號１樓
176,3501160099,石牌李力成診所,(02)28272849,臺北市北投區西安街１段２８１巷１５號
177,3501160204,吉安診所,(02)28231832,臺北市北投區西安街１段２８１巷１８號
178,3501160286,永安家庭醫學科診所,(02)28940888,臺北市北投區中央北路１段１７２號（實際使用：一、二層）
179,3501160973,蔡秉勳小兒科診所,(02)28966525,臺北市北投區中和街２８１號１樓
180,3501160982,清田婦產科家醫科診所,(02)28931323,臺北市北投區中和街２６８號
181,3501160991,張參雄診所,(02)28926555,臺北市北投區光明路１６６號、１６６－１號１．２．３樓
182,3501161032,陳獻明小兒科診所,(02)28928950,臺北市北投區中央南路１段６９號１樓
183,3501161185,李伯匯小兒科診所,(02)28221212,臺北市北投區石牌路１段９３號
184,3501161238,祐民聯合診所,(02)28951301,臺北市北投區中央南路１段２０７號１、２、３樓
185,3501161363,昱德聯合診所,(02)28975050,臺北市北投區光明路１０２號
186,3501161505,慈恩耳鼻喉科診所,(02)28978787,臺北市北投區中央南路１段１３號
187,3501162664,王永良診所,(02)28227287,臺北市北投區自強街９４號
188,3501162717,家福診所,(02)28210435,臺北市北投區實踐街１３號
189,3501162940,何叔芳小兒科診所,(02)28206886,臺北市北投區石牌路２段９０巷１２號１樓
190,3501163018,光明診所,(02)28210197,臺北市北投區石牌路２段９９巷５５號１、２樓
191,3501163036,黃正宏診所,(02)28217076,臺北市北投區西安街１段３５９號
192,3501163072,宏恩兒科診所,(02)28271110,臺北市北投區致遠一路２段９９號
193,3501163170,黃浩魁小兒科診所,(02)28983256,臺北市北投區中央北路１段１６８號
194,3501163232,陳柏宏親子診所,(02)28225257,臺北市北投區明德路１２４號
195,3501163241,陳信方小兒科診所,(02)28201068,臺北市北投區明德路１０６號
196,3501163312,台北欣安耳鼻喉科診所,(02)28210501,臺北市北投區石牌路１段１５２號
197,3501163410,石牌鄭身心醫學診所,(02)28227660,臺北市北投區石牌路１段６９號（實際地址：１、２樓）
198,3501170237,信義邱婦產科診所,(02)27278275,臺北市信義區虎林街１９８號
199,3501170442,有成外科診所,(02)27613891,臺北市信義區永吉路２１３號
200,3501170835,黃啟彰診所,(02)27696218,臺北市信義區松山路２６１－１號１樓
201,3501170924,富陽劉內兒科診所,(02)27325132,臺北市信義區富陽街４３號１樓
202,3501171010,王寬仁診所,(02)27204952,臺北市信義區虎林街１２１巷１１號１樓
203,3501171207,鄭光志小兒科診所,(02)27266132,臺北市信義區松德路２３號（實際營業地址：１樓）
204,3501171225,張育驍診所,(02)27291011,臺北市信義區吳興街４６７巷２弄４號、６號、６號２樓（詳大事記
205,3501171261,康泰診所,(02)27661228,臺北市信義區永吉路５４號１樓
206,3501171716,長風小兒科診所,(02)27227943,臺北市信義區莊敬路３５１號１樓
207,3501172786,德文診所,(02)27296521,臺北市信義區松仁路２４０巷１５號
208,3501173032,陽光耳鼻喉科診所,(02)27279529,臺北市信義區松山路４８４之８號
209,3501173327,明輝診所,(02)87871235,臺北市信義區松隆路２８２之３號
210,3501173336,登瑞安診所,(02)27265228,臺北市信義區林口街２３２號１樓
211,3501173425,林應然小兒科診所,(02)27595328,臺北市信義區福德街７５號
212,3501174593,理恩診所,(02)87899728,臺北市信義區忠孝東路５段４１０之２號（１樓）
213,3501175929,承功診所,(02)87868912,臺北市信義區忠孝東路５段３７２巷２７弄６４號１樓
214,3501176113,樂恬診所,(02)27206700,臺北市信義區莊敬路１７８巷１３號１樓
215,3501180420,劉瑞聰診所,(02)23038125,臺北市中正區汀州路１段１９４號
216,3501181267,朱小兒科診所,(02)23651810,臺北市中正區汀州路２段２２０號１樓
217,3501181589,同泰診所,(02)23678511,臺北市中正區汀州路２段１３６，１３８號
218,3501181767,惠恩診所,(02)23919572,臺北市中正區濟南路２段４８巷３之２號
219,3501181810,周正成小兒科診所,(02)23516830,臺北市中正區徐州路２４號
220,3501183538,拉菲爾人本診所,(02)23700999,臺北市中正區館前路４９號１１樓
221,3501183850,健康101診所,(02)23645143,臺北市中正區牯嶺街９７號１樓
222,3501184393,悅心診所,(02)23961008,臺北市中正區羅斯福路２段７之２號、７之３號
223,3501184731,禾馨婦產科診所,(02)23612323,臺北市中正區懷寧街７８號、７８號２樓
224,3501185961,博士診所,(02)23120120,臺北市中正區南陽街８號地下（地下一層）
225,3501187054,侑澄診所,(02)23960123,臺北市中正區信義路２段１８９號（１樓）、１９１號（１樓）
226,3501190328,鄭內兒科診所,(02)23067992,臺北市萬華區艋舺大道４３０號
227,3501191852,童錫鈺診所,(02)23056059,臺北市萬華區萬大路４８６巷５９弄１７號
228,3501192251,漢宗小兒科診所,(02)23039022,臺北市萬華區中華路２段４３４號
229,3501192528,聖約翰婦產科診所,(02)23098502,臺北市萬華區東園街１７５號
230,3501192537,裕仁診所,(02)23363229,臺北市萬華區萬大路１１７號２樓、西藏路２９２號２樓
231,3501192608,許孟權小兒科診所,(02)23393331,臺北市萬華區西藏路１１５號
232,3501192733,天行健診所,(02)23320688,臺北市萬華區寶興街１２１、１２５、１２７號
233,3501194424,快樂兒童診所,(02)23328610,臺北市萬華區寶興街１２１、１２５、１２７號
234,3501194451,青年診所,(02)23032450,臺北市萬華區中華路２段４２４號
235,3501194657,永康診所,(02)23123455,臺北市萬華區桂林路４７號１樓２樓及地下１樓
236,3501194835,佳安診所,(02)23320898,臺北市萬華區青年路３４號
237,3501195038,幸福診所,(02)23380456,臺北市萬華區康定路１９９號
238,3501195234,健安診所,(02)23012255,臺北市萬華區萬大路４３２號
239,3501195690,瑞生診所,(02)23012788,臺北市萬華區西園路２段２５０號、２５０號２樓、２５０號３樓、
240,3501200249,仁耀診所,(02)29317788,臺北市文山區興隆路１段２７３號１樓
241,3501200534,興隆內科小兒科診所,(02)29311736,臺北市文山區興隆路２段１７號
242,3501200570,泓仁診所,(02)29382627,臺北市文山區木新路２段２７３號
243,3501200614,澤文診所,(02)29386243,臺北市文山區興隆路４段１３３號１樓
244,3501200785,陳建業診所,(02)29358181,臺北市文山區景文街８６號（１樓、２樓）、１０７號６樓
245,3501200794,林建輝小兒科診所,(02)29334933,臺北市文山區興隆路２段７０號
246,3501200963,葉洪小兒科診所,(02)22300055,臺北市文山區興隆路３段２０２號１樓
247,3501201004,洪佑承小兒專科診所,(02)29364708,臺北市文山區興隆路４段６４之２號
248,3501201095,德安小兒科診所,(02)29395299,臺北市文山區興隆路４段６－１０號
249,3501201219,官世英診所,(02)86638189,臺北市文山區景興路４５號
250,3501202458,屈銘軒小兒科診所,(02)29308518,臺北市文山區興隆路２段３０１巷４－２號
251,3501202467,瑞萱診所,(02)29305313,臺北市文山區景華街１２４號
252,3501202510,徐慧玲診所,(02)22340000,臺北市文山區興隆路４段９７號
253,3501202592,震杰小兒科診所,(02)89351869,臺北市文山區景興路１２９號１樓
254,3501202636,黃偉志小兒科診所,(02)29354556,臺北市文山區萬慶街１２號１樓
255,3501202967,東翰診所,(02)29308330,臺北市文山區興隆路２段１３９號
256,3501203080,秀心診所,(02)29383838,臺北市文山區保儀路２６巷１號２樓之１
257,3501203124,芳馨診所,(02)29325253,臺北市文山區興隆路２段６２號
258,3501203259,樂群耳鼻喉科家醫科診所,(02)22340158,臺北市文山區木新路３段２０２號
259,3501203446,夏安皮膚專科診所,(02)86638099,臺北市文山區興隆路３段２６號（１、２樓）
260,3501203455,佳鴻診所,(02)29333096,臺北市文山區羅斯福路６段２５６號１樓
261,3501203704,新澋美診所,(02)29330350,臺北市文山區興隆路１段１２號１樓
262,4001020028,尹書田醫療財團法人書田泌尿科眼科診所,(02)23690211,臺北市大安區建國南路２段２７６號１樓、２７８號１樓
263,4001110018,國泰醫療財團法人內湖國泰診所,(02)87972121,臺北市內湖區瑞光路３３７號（１、２、３、４樓）
264,401180014,國立臺灣大學醫學院附設醫院,(02)23123456,臺北市中正區中山南路７、８號；常德街１號
265,401180023,國立臺灣大學醫學院附設醫院兒童醫院,(02)23123456,臺北市中正區中山南路８號
266,501110514,三軍總醫院附設民眾診療服務處,(02)87923311,臺北市內湖區成功路２段３２５號
267,601160016,臺北榮民總醫院,(02)28712121,臺北市北投區石牌路２段２０１號
268,1101010012,長庚醫療財團法人台北長庚紀念醫院,(02)27135211,臺北市松山區敦化北路１９９、１９７號、１９９巷６號、民生東路
269,1101020018,國泰醫療財團法人國泰綜合醫院,(02)27082121,臺北市大安區仁愛路４段２８０號，２６６巷６號
270,1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,(02)25433535,臺北市中山區中山北路２段９２號
271,1101100020,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,(02)25433535,臺北市中山區中山北路２段９２號
272,1101150011,新光醫療財團法人新光吳火獅紀念醫院,(02)28332211,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號
273,1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,(02)29307930,臺北市文山區興隆路３段１１１號
274,101090517,臺北市立聯合醫院,(02)25553000,臺北市大同區鄭州路１４５號（代表）
275,501010019,三軍總醫院松山分院附設民眾診療服務處,(02)27642151,臺北市松山區健康路１３１號
276,501160014,三軍總醫院北投分院附設民眾診療服務處,(02)28959808,臺北市北投區新民路６０號、中和街２５０號１至４樓
277,1101010021,基督復臨安息日會醫療財團法人臺安醫院,(02)27718151,臺北市松山區八德路２段４２４、４２６號
278,1101160017,振興醫療財團法人振興醫院,(02)28264400,臺北市北投區振興街４５號
279,1301170017,臺北醫學大學附設醫院,(02)27372181,臺北市信義區吳興街２５２號、２５０號
280,401190010,國立臺灣大學醫學院附設醫院北護分院,(02)23717101,臺北市萬華區康定路３７號、臺北市萬華區內江街８７號
281,701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,(02)28587000,臺北市北投區知行路２２５巷１２號
282,901020013,中山醫療社團法人中山醫院,(02)27081166,臺北市大安區仁愛路４段１１２巷１１號、１２號
283,901190010,西園醫療社團法人西園醫院,(02)23076968,臺北市萬華區西園路２段２６６～２７４號、１８５、１８７號
284,1101020027,中心診所醫療財團法人中心綜合醫院,(02)27510221,臺北市大安區忠孝東路４段７７號
285,1101020036,宏恩醫療財團法人宏恩綜合醫院,(02)27713161,臺北市大安區仁愛路４段７１巷１號及４段６１號、９１巷１６號
286,1101110026,康寧醫療財團法人康寧醫院,(02)26345500,臺北市內湖區成功路５段４２０巷２６號
287,1301110511,中國醫藥大學附設醫院臺北分院,(02)27919696,臺北市內湖區內湖路２段３６０號
288,1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,(02)23021133,臺北市萬華區廣州街２００、２４３號
289,1501010010,博仁綜合醫院,(02)25786677,臺北市松山區光復北路６６、６８號
290,1501100037,協和婦女醫院,(02)25072222,臺北市中山區松江路８５巷５號９３巷６號９３巷６號２樓
291,1501201020,景美醫院,(02)29331010,臺北市文山區羅斯福路６段２８０號及文山區育英街２巷１８號
