序號,據點名稱,行政區,行政區代碼,據點地址,電話
35,社團法人中華視障安養福利協會,大同區,63000060,臺北市大同區隆和里伊寧街37號1樓,02-25952872
36,"財團法人臺北市松年長春社會福利
基金會(大橋)",大同區,63000060,"臺北市大同區景星里迪化街2段65號、67
號1樓",02-25974784
37,財團法人台北市建成基督長老教會,大同區,63000060,"臺北市大同區建泰里承德路1段77巷29號1
樓",02-25580685
38,社團法人中華無齡酷活協會,大同區,63000060,"臺北市大同區保安里重慶北路3段313巷25
號2樓",0914-000083
39,臺北市大同區圓環社區發展協會,大同區,63000060,"臺北市大同區建功里重慶北路1段83巷37
號",0935-604700
40,"財團法人一粒麥子社會福利慈善事
業基金會",大同區,63000060,"臺北市大同區光能里承德路2段33之1號1
樓、33號2樓",02-23320669#12
41,臺北市大同區柴寮仔社區發展協會,大同區,63000060,臺北市大同區民權里民權西路172號1樓,0932-844756
42,臺北市大同區慶安社區發展協會,大同區,63000060,"臺北市大同區重慶里敦煌路90號1樓
臺北市大同區重慶里敦煌路92號1樓",0931-101838
43,"社團法人台北市歐伊寇斯OIKOS社
區關懷協會",大同區,63000060,臺北市大同區永樂里延平北路2段60巷2號,02-25588896#633
44,臺北市大同信望愛關懷協會(門諾),大同區,63000060,"臺北市大同區至聖里重慶北路3段223巷
43、45、47號",0917-899289
45,台北市朝陽服飾材料街區發展協會,大同區,63000060,臺北市大同區朝陽里重慶北路2段46巷6號,0936-229268
46,臺北市大同區隆和里辦公處,大同區,63000060,臺北市大同區隆和里景化街46號,0922-799261
47,"財團法人福智慈善基金會（安和據
點）",大安區,63000030,"臺北市大安區光信里信義路4段265巷21弄
3號1樓",02-27015861
48,臺北市大安區民炤里辦公處,大安區,63000030,"臺北市大安區民炤里信義路3段31巷5號、
5-1號1樓；新生南路1段157巷19號3樓",02-27008406
49,臺北市大安區法治里辦公處,大安區,63000030,臺北市大安區法治里通化街192號,0980-403536
50,臺北市大安區群英里辦公處,大安區,63000030,"臺北市大安區群英里四維路198巷30弄9號
1樓；198巷38弄2、4、8號1樓；198巷
42、44號",0911-598530
51,"社團法人中華民國香柏樹長者社區
關懷協會（台電）",大安區,63000030,"臺北市大安區大學里羅斯福路3段275號3
樓",0928-551924
52,"社團法人台灣喜樂家族協會（大
安）",大安區,63000030,"臺北市大安區仁愛里忠孝東路4段126-19
號7樓",0908-807938
53,臺北市大安區新民炤社區發展協會,大安區,63000030,"臺北市大安區民炤里建國南路1段286巷35
號1樓、48號1樓",02-27012389
54,財團法人成長文教基金會,大安區,63000030,臺北市大安區仁慈里東豐街1號2樓,02-27000657
55,臺北市長立健康樂活協會,大安區,63000030,臺北市大安區龍陣里瑞安街75號3樓,0958-918669
56,"中華民國紅十字會台灣省分會（新
生）",大安區,63000030,"臺北市大安區龍坡里新生南路3段20-1號4
樓",02-23630098
57,社團法人台灣愛鄰社區服務協會,大安區,63000030,"臺北市大安區龍門里新生南路3段11巷15
號1樓、3樓",02-23623022#8713
58,"社團法人台灣厝邊有愛關懷協會（
台北和平）",大安區,63000030,"臺北市大安區龍安里和平東路1段183巷9
號1樓；11弄1號1樓",02-23510087#201
59,臺北市大安區錦泰里辦公處,大安區,63000030,"臺北市大安區錦泰里杭州南路2段61巷6號
1樓；杭州南路2段65巷10號1樓",02-23918123
60,臺北市大安區錦町社區發展協會,大安區,63000030,"臺北市大安區錦安里潮州街130巷3號1
樓；永康街60號4樓",0928-494909
61,臺北市大安區住安社區發展協會,大安區,63000030,"臺北市大安區住安里信義路4段30巷27弄
24號1、2樓",02-27550387
62,"社團法人中華民國香柏樹長者社區
關懷協會（台大）",大安區,63000030,"臺北市大安區大學里新生南路3段86號4
樓、8樓、9樓",0988-790144
63,財團法人台北市城東基督長老教會,大安區,63000030,"臺北市大安區建倫里安和路1段45號1樓、
43號2樓、47號3樓",02-27711282
64,社團法人中華生命關愛協會,大安區,63000030,"臺北市大安區芳和里和平東路3段212巷12
號",0922-407837
65,臺北市大安區永康里辦公處,大安區,63000030,"臺北市大安區永康里金華街199巷3弄6號1
樓",0931-234954
66,臺北市大安區大學里辦公處,大安區,63000030,"臺北市大安區大學里溫州街74巷2弄4號1
樓、新生南路3段86號",02-23622674
67,臺北市大安區龍陣里辦公處,大安區,63000030,臺北市大安區龍陣里瑞安街75號3樓,0958-918669
68,"財團法人台灣基督長老教會大安教
會",大安區,63000030,臺北市大安區群賢里和平東路3段1巷51號,0939-431678
69,社團法人臺北市永健長青促進協會,大安區,63000030,"臺北市大安區龍陣里瑞安街71巷5弄1號1
樓；瑞安街75號3樓；新龍里信義路3段
134巷82號2樓",0932-384519
70,臺北市大安區古風里辦公處,大安區,63000030,"臺北市大安區古風里泰順街54巷23號
臺北市大安區龍坡里辛亥路1段臨141號",0988-179816
71,臺北市大安區全安里辦公處,大安區,63000030,"臺北市大安區全安里和平東路3段119巷25
號1樓",0988-179836
72,"社團法人台灣厝邊有愛關懷協會（
六張犁）",大安區,63000030,臺北市大安區黎元里臥龍街215號,"02-27329041
0910-103200"
73,"社團法人台灣德安社會福利協會（
大安老人服務暨日間照顧中心）",大安區,63000030,臺北市大安區德安里四維路76巷12號,02-27086255
74,"國立臺灣師範大學學務處全人教育
中心",大安區,63000030,臺北市大安區錦安里和平東路1段129號,02-77496786
75,臺北市大安區錦華里辦公處,大安區,63000030,"臺北市大安區錦華里杭州南路2段93巷1-1
號；潮州街68號",0988-179824
76,臺北市大安區古莊里辦公處,大安區,63000030,臺北市大安區古莊里浦城街16巷2號,02-23696193
77,台北市通化玫瑰社會關懷協會,大安區,63000030,臺北市大安區法治里通化街178號1樓,0921-893081
78,臺北市大安區安東社區發展協會,大安區,63000030,"臺北市大安區誠安里安東街28號1樓、31
之1號1樓；臺北市中山區埤頭里市民大道
3段209號1樓",0932-154320
79,臺北市大安區古莊社區發展協會,大安區,63000030,"臺北市大安區古莊里羅斯福路2段81巷16
弄1-2號2樓；浦城街16巷2號",02-23696262
80,"臺北市大安區大安新龍社區發展協
會",大安區,63000030,"臺北市大安區新龍里信義路3段134巷98號
1樓；82號2樓",02-7067771
81,臺北市大安區光明里辦公處,大安區,63000030,臺北市大安區光明里信義路2段86巷26號,0928-924384
82,臺北市大安區古風社區發展協會,大安區,63000030,"臺北市大安區古風里師大路117巷1、3號
（芒果香草園）
龍坡里辛亥路1段臨141號（辛亥區活）",0910-951259
83,財團法人台北市中山基督長老教會,中山區,63000040,"臺北市中山區正得里林森北路62號
臺北市中山區正得里中山北路1段53巷23
號",0987-369783
84,"財團法人新北市基督教新希望教會
(新喜)",中山區,63000040,臺北市中山區新喜里吉林路433巷17號,02-25993693
85,"財團法人新北市基督教新希望教會
(中山五常)",中山區,63000040,臺北市中山區下埤里龍江路377巷20號1樓,0976-180539
86,臺北市中山區朱厝崙社區發展協會,中山區,63000040,"臺北市中山區朱崙里龍江路15號3樓（朱
崙區民活動中心）","02-27815504
0936-096604"
87,臺北市中山區晴光里辦公處,中山區,63000040,臺北市中山區晴光里雙城街18巷20號,0981-201026
88,"社團法人臺北市基督教合江拿撒勒
人會",中山區,63000040,臺北市中山區江寧里合江街127巷6號,0911-781607
89,"財團法人臺北市松年長春社會福利
基金會(中山)",中山區,63000040,臺北市中山區行仁里龍江路318巷7號1樓,02-25000206
90,"社團法人台灣厝邊有愛關懷協會
(中興教會)",中山區,63000040,臺北市中山區江山里復興北路280巷8號,0928-131257
91,"社團法人臺北市中山區大直社區發
展協會(大直一)",中山區,63000040,臺北市中山區大直里大直街21巷2號4樓,0916-780645
92,"財團法人台灣老人急重症基金會
(聚盛據點)",中山區,63000040,"臺北市中山區聚盛里民生東路1段23巷2號
臺北市中山區民生東路1段42號7樓之3",02-25224388
93,"財團法人台灣老人急重症基金會
(中山據點)",中山區,63000040,"臺北市中山區中山里中山北路2段77巷14
號3樓",02-25224388
94,"財團法人台灣老人急重症基金會
(龍洲據點)",中山區,63000040,"臺北市中山區龍洲里民生東路3段88巷1號
1樓",02-25224388
95,"社團法人臺北市中山區大直社區發
展協會",中山區,63000040,臺北市中山區大直里大直街1號4樓,0916-780645
96,"社團法人台北市家庭照顧者關懷協
會",中山區,63000040,"臺北市中山區北安里北安路805巷4弄5號
地下",0916-780645
97,財團法人台北市台北中華基督教會,中山區,63000040,"臺北市中山區康樂里中山北路2段45巷39
號",0932-256884
98,台北市敬老協會,中山區,63000040,"臺北市中山區中原里新生北路2段41巷7號
1樓；新生北路2段53之3號2樓；南京東路
1段35號1樓",02-25819955
99,"社團法人臺北市生命樹健康關懷協
會",中山區,63000040,"臺北市中山區永安里北安路458巷41弄50
號",0932-314995
100,財團法人味全文化教育基金會,中山區,63000040,臺北市中山區中央里松江路125號4樓,02-25065001
101,"臺北市復華長青多元服務中心(社
團法人中華民國士林靈糧堂社會福
利協會)",中山區,63000040,臺北市中山區復華里遼寧街185巷11號,02-27171393*16
102,財團法人環宇國際文化教育基金會,中正區,63000050,"臺北市中正區文盛里羅斯福路3段240巷17
弄3號、臺北市中正區水源路臨28號",02-23641334
103,臺北市中正區永寬社區發展協會,中正區,63000050,"臺北市中正區永昌里寧波西街181巷8號1
樓",0935-272021
104,臺北市永昌長青會,中正區,63000050,"臺北市中正區永昌里寧波西街181巷24號1
樓",02-23071068
105,臺北市中正區新林興社區發展協會,中正區,63000050,"臺北市中正區林興里汀州路3段27巷16
號；水源路臨28號；汀州路3段2號",0932-235425
106,台北市寶藏巖文化村協會,中正區,63000050,"臺北市中正區水源里汀州路3段230巷14弄
10號臺北市中正區羅斯福路4段92號4樓",0926-579112
107,"財團法人臺北市松年長春社會福利
基金會(中正)",中正區,63000050,"臺北市中正區南福里羅斯福路1段94、96
號11樓（中央教會）",0932-862740
108,財團法人伽耶山基金會,中正區,63000050,"臺北市中正區文北里濟南路2段36號2樓、
3樓、4樓",02-23946800#404
109,"財團法人台北市中國基督教靈糧世
界佈道會台北靈糧堂(古亭靈糧福
音中心)",中正區,63000050,"臺北市中正區永功里三元街198號1樓、2
樓；218號",02-23396540
110,"社團法人中華民國愛之語全人關懷
教育協會中正據點",中正區,63000050,臺北市中正區南福里羅斯福路2段44號2樓,02-23215690
111,臺北市中正區欣龍興社區發展協會,中正區,63000050,臺北市中正區龍興里三元街131號4樓,0917-522883
112,台北市愛羊全人關懷協會,中正區,63000050,"臺北市中正區龍光里和平西路2段15號1
樓、17號2樓",02-23048578
113,台灣旺齡協會,中正區,63000050,"臺北市中正區頂東里羅斯福路3段84巷
13、15號1樓",02-2368-0690
114,財團法人耕莘文教基金會,中正區,63000050,臺北市中正區文盛里辛亥路1段22號4樓,02-23655615#316
115,中華全齡關懷協會(博愛),中正區,63000050,臺北市中正區光復里博愛路134號10樓,02-55740079
116,財團法人中華基督教廈門街浸信會,中正區,63000050,臺北市中正區螢圃里廈門街81巷20號,02-23687582#213
117,臺北市廣西同鄉會,中正區,63000050,臺北市中正區梅花里忠孝東路1段35號7樓,0936-227747
118,"社團法人臺北市臻佶祥社會服務協
會",中正區,63000050,"臺北市中正區忠勤里中華路2段315巷14、
16、18號",02-23036281
119,"臺北市中正區新營共好社區發展協
會",中正區,63000050,臺北市中正區新營里金華街20號,0978-865756
120,臺北市內湖區湖興里辦公處,內湖區,63000100,"臺北市內湖區湖興里成功路2段320巷19號
3樓",02-27914586
121,"財團法人福智慈善基金會(東湖據
點)",內湖區,63000100,"臺北市內湖區五分里東湖路106巷2號、6
號、8號1樓",0933-922709
122,"財團法人福智慈善基金會(內湖據
點)",內湖區,63000100,"臺北市內湖區內湖里內湖路2段486、488
號3樓",02-27963275
123,臺北市內湖區清白社區發展協會,內湖區,63000100,"臺北市內湖區清白里星雲街168巷29號1樓
臺北市內湖區清白里星雲街161巷3號（清
白區民活動中心）",0988-117571
124,財團法人基督教中國佈道會,內湖區,63000100,"臺北市內湖區康寧里康寧路3段99巷39弄
66號",0920-432363
125,"財團法人基督教台灣信義會(內湖
思恩堂)",內湖區,63000100,臺北市內湖區紫星里康寧路1段62號,0936-649973
126,康寧學校財團法人康寧大學,內湖區,63000100,臺北市內湖區金湖里康寧路3段75巷137號,02-26321181#683
127,臺北市內湖區石潭社區發展協會,內湖區,63000100,臺北市內湖區石潭里成功路2段1號,0929-571110
128,臺北市內湖區紫雲社區發展協會,內湖區,63000100,臺北市內湖區紫雲里康寧路1段228號1樓,"02-27913337
0933-405308"
129,臺北市內湖社區安全與健康協進會,內湖區,63000100,臺北市內湖區寶湖里民權東路6段208號,0928-598601
130,財團法人台灣基督教恩惠福音會,內湖區,63000100,臺北市內湖區港墘里內湖路1段608號,02-27971000
131,臺北市內湖區安泰里社區發展協會,內湖區,63000100,臺北市內湖區安泰里安泰街65巷5號1樓,0917-979715
132,社團法人臺北市麗山社區關懷協會,內湖區,63000100,"臺北市內湖區港都里麗山街348巷22號1-2
樓及24號2樓",0921-057599
133,臺北市內湖區灣仔社區發展協會,內湖區,63000100,"臺北市內湖區寶湖里民權東路6段208號6
樓（臺北市網球中心6樓）",0961-365388
134,財團法人基督教救世軍(內湖隊),內湖區,63000100,"臺北市內湖區西湖里9鄰內湖路1段285巷
63弄7號",0972-272756
135,台北市內湖紳士協會,內湖區,63000100,"臺北市內湖區港墘里內湖路1段552號（港
墘區民活動中心）",0918-819089
136,中華民國天使之家全人關懷協會,內湖區,63000100,臺北市內湖區湖興里成功路2段242號1樓,0920-325521
137,臺北市內湖區碧湖社區發展協會,內湖區,63000100,臺北市內湖區金龍里金龍路136-1號2樓,0935-190396
138,財團法人台福基督教會,內湖區,63000100,"臺北市內湖區碧山里內湖路3段143巷7號1
樓",02-87928125
139,"臺北市內湖區碧湖社區發展協會
(金瑞據點)",內湖區,63000100,"臺北市內湖區金瑞里內湖路3段348巷6號
（延平）",0935-245293
140,社團法人社區大學全國促進會,內湖區,63000100,"臺北市內湖區石潭里新明路22號純美樓3
樓",02-66050919#215
141,"財團法人臺北市松年長春社會福利
基金會(開元)",文山區,63000080,臺北市文山區木新里開元街25、27號,02-29393480
142,臺北市文山區興旺社區發展協會,文山區,63000080,臺北市文山區興旺里福興路5號,0936-048808
143,臺北市文山區興昌里辦公處,文山區,63000080,臺北市文山區興昌里辛亥路4段199號,0960-604305
144,台北市文山區景慶社區發展協會,文山區,63000080,臺北市文山區景慶里景福街159號,0922-313747
145,臺北市文山區順興里辦公處,文山區,63000080,"臺北市文山區順興里保儀路138巷28號2
樓；忠順街2段22號2樓（忠順區活）、中
崙路13號（忠順廟）",0934-143675
146,台灣美滿家庭社區服務協會,文山區,63000080,臺北市文山區萬興里指南路2段11號,0963-328599
147,臺北市文山區華興里辦公處,文山區,63000080,"臺北市文山區華興里木柵路1段264號；木
柵路1段311巷1號；木柵路2段2巷",0905-991580
148,"臺北市文山老人服務暨日間照顧中
心(財團法人恆安社會福利慈善事
業基金會)",文山區,63000080,"臺北市文山區興安里興隆路2段88之3號1
樓",02-22344893
149,臺北市文山區景人社區發展協會,文山區,63000080,臺北市文山區景仁里景福街5號1樓,0937-939606
150,台灣迦美福音傳播協會,文山區,63000080,臺北市文山區景華里三福街74巷2號1樓,"0932-209329
0939-910698"
151,"社團法人臺北市文山區三福社區發
展協會",文山區,63000080,"臺北市文山區萬有里興隆路1段238之1號1
樓",0988-622378
152,中華民國紅心字會(興隆),文山區,63000080,"臺北市文山區明義里興隆路4段105巷47號
B棟1樓",02-29367119
153,臺北市文山區萬美里辦公處,文山區,63000080,"臺北市文山區萬美里萬美街2段2巷6號1
樓；萬和街2號（萬芳4號公園教室）",0972-246039
154,"社團法人中華恆動能健康促進協會
(興安)",文山區,63000080,"臺北市文山區興安里興隆路2段88之2號1
樓、5樓（5F興安區民活動中心、5F文山
婦女支持培力中心）",0912-868531
155,臺北市文山區樟林社區發展協會,文山區,63000080,臺北市文山區樟腳里恆光街45號7樓和8樓,0936-694012
156,台北市梘尾關懷互助協會,文山區,63000080,"臺北市文山區景慶里萬慶街6號；臺北市
文山區景福街281號；臺北市文山區羅斯
福路6段393號6～9樓",02-89351788
157,"財團法人臺北市松年長春社會福利
基金會(景華)",文山區,63000080,臺北市文山區景華里景華街49巷1號,02-25000261
158,財團法人利伯他茲教育基金會,文山區,63000080,臺北市文山區木新里永安街1號,02-29394359
159,"社團法人台北市文山區明興社區發
展協會",文山區,63000080,"臺北市文山區明興里木柵路2段109巷25弄
6號；興隆路4段61號",0917-556568
160,台北市文山區順興社區發展協會,文山區,63000080,"臺北市文山區順興里興隆路4段165巷12號
1、2樓（協會活動會所）；忠順街2段22
號2樓（忠順區民活）",0935-859237
161,"社團法人中華民國沐光家園癌友關
懷協會",文山區,63000080,"臺北市文山區興業里興隆路2段220巷51-1
號",0922-323338
162,臺北市文山區萬盛里辦公處,文山區,63000080,臺北市文山區萬盛里興隆路1段15號3樓,0972-246012
163,臺北市文山區樟新社區發展協會,文山區,63000080,臺北市文山區樟新里一壽街22號9樓,0905-156910
164,臺北市文山區興福里辦公處,文山區,63000080,臺北市文山區興福里景華街121巷7弄1號,0939-159495
165,臺北市文山區政大里辦公處,文山區,63000080,臺北市文山區政大里政大二街51號,0975-586970
166,"社團法人中華民國香柏樹長者社區
關懷協會(樟新)",文山區,63000080,"臺北市文山區樟新里實踐段三小段789地
號",0911-183802
167,臺北市文山區萬和社區發展協會,文山區,63000080,"臺北市文山區萬和里汀州路4段251號1
樓、253號1樓；萬福區民活動中心",02-89310117
168,臺北市文山區忠順社區發展協會,文山區,63000080,"臺北市文山區忠順里興隆路4段145巷9弄3
號；興隆路4段145巷30號；忠順街2段22
號2樓",0953-229598
169,"社團法人臺北市文山區德芳社區發
展協會",文山區,63000080,"臺北市文山區興邦里興隆路2段153巷6弄5
號1樓；興隆路2段97號4樓",0952-572176
170,社團法人台北市基督教萬芳浸信會,文山區,63000080,"臺北市文山區萬芳里萬美街1段19巷5號、
5-1號",0989-549622
171,"社團法人台北市北投區吉慶社區發
展協會",北投區,63000120,"臺北市北投區吉慶里致遠二路61巷2-2號
1、2樓",02-28282002
172,"社團法人台灣守護有祢生命關懷協
會(守護八禱小站)",北投區,63000120,臺北市北投區立農里吉利街231號1樓,0983-108777
173,"社團法人中華健康美好生活協會
(洲美)",北投區,63000120,臺北市北投區洲美里福美路207號,0910-302055
174,"社團法人台灣守護有祢生命關懷協
會(守護復興崗小站)",北投區,63000120,"臺北市北投區稻香里稻香路81號6樓（第
一教室）",0983-108777
175,臺北市北投區硫磺谷社區發展協會,北投區,63000120,"臺北市北投區稻香里稻香路81號6樓（稻
香區民活動中心）及臺北市北投區文化里
文化三路48號1樓",0910-412056
176,臺北市北投區新石牌社區發展協會,北投區,63000120,臺北市北投區石牌里自強街120巷15弄8號,0919-252656
177,"社團法人中華仁親社區關懷協會
(北投好厝邊)",北投區,63000120,臺北市北投區中心里大業路721號1樓,0933-057832
178,台北市石牌全人關懷協會,北投區,63000120,"臺北市北投區榮華里明德路281號1樓
臺北市北投區榮華里明德路283號2樓",0956-728508
179,財團法人台北市北投文化基金會,北投區,63000120,臺北市北投區林泉里中山路5-12號,02-28917453
180,臺北市北投區振華社區發展協會,北投區,63000120,"臺北市北投區振華里裕民一路40巷37號1
樓",02-28236110
181,台北市北投區福興社區發展協會,北投區,63000120,臺北市北投區福興里自強街5巷22號,0955-404968
182,"臺北市北投區我愛石牌社區發展協
會",北投區,63000120,臺北市北投區石牌里建民路116巷13號,0921-895893
183,臺北市北投區開明社區發展協會,北投區,63000120,臺北市北投區開明里永興路2段8號,0912-818252
184,"臺北市北投區幸福永和社區發展協
會",北投區,63000120,臺北市北投區永和里行義路63號,0928-868298
185,臺北市北投區永和社區發展協會,北投區,63000120,臺北市北投區永和里行義路138-1號1樓,0910-069290
186,臺北市北投區榮光社區發展協會,北投區,63000120,"臺北市北投區榮光里石牌路1段166巷43弄
15號",0910-911378
187,台北市石牌長青會,北投區,63000120,"臺北市北投區長安里中央北路1段12號3樓
及4樓",02-28922200
188,臺北市北投區清江社區發展協會,北投區,63000120,"臺北市北投區清江里清江路201號、清江
路218號1、2樓",02-28922543
189,社團法人台灣愛喜樂關懷協會,北投區,63000120,"臺北市北投區裕民里明德路161號1樓及地
下2樓方舟教室",02-28224466
190,臺北市北投區立群社區發展協會,北投區,63000120,"臺北市北投區立賢里尊賢街251巷18號1樓
（里民活動場所）",02-28225613
191,"社團法人國際奔享體驗教育發展協
會(吉利真光)",北投區,63000120,"臺北市北投區吉利里石牌路1段39巷80弄
41號1樓",02-28288884
192,臺北市北投區建民里辦公處,北投區,63000120,臺北市北投區建民里文林北路36號,0906-905025
193,"社團法人國際奔享體驗教育發展協
會(稻香真光)",北投區,63000120,臺北市北投區稻香里稻香路85號1樓,02-28288884
194,臺北市北投區文林里辦公處,北投區,63000120,"臺北市北投區文林里致遠一路1段9號；致
遠一路1段10巷8號1樓（H66教會）",02-28231156
195,"社團法人台灣多元社會福利協會
(溫馨園)",北投區,63000120,臺北市北投區溫泉里溫泉路68-10號,02-28927001
196,"財團法人基督教拿撒勒人會(關渡
據點)",北投區,63000120,臺北市北投區關渡里知行路260巷26號,0975-661071
197,"財團法人臺安基金會(基督復臨安
息日會松山教會)",松山區,63000010,臺北市松山區福成里敦化南路1段78號,02-27716823
198,臺北市松山區建源社區發展協會,松山區,63000010,"臺北市松山區復建里八德路3段158巷7弄
20號（復建區民活動中心）、八德路3段
158巷7弄47號",02-25791689
199,社團法人中國老人教育協會,松山區,63000010,"臺北市松山區自強里三民路35巷9號1、2
樓（一樓活動中心、二樓健安新城）",02-27565010
200,社團法人愛樂福關懷文創發展協會,松山區,63000010,臺北市松山區莊敬里撫遠街367巷4號1樓,0972-866848
201,社團法人台北市向日葵慈善協會,松山區,63000010,"臺北市松山區東勢里南京東路4段133巷7
弄9號1樓、7號1樓",02-87706501#22
202,"財團法人中華基督教衛理公會恩友
堂",松山區,63000010,臺北市松山區安平里寶清街123號,02-27670760
203,臺北市松山區東勢里辦公處,松山區,63000010,"臺北市松山區東勢里南京東路4段133巷8
弄17號",0988-179575
204,世界潘氏宗親總會,松山區,63000010,"臺北市松山區東光里南京東路5段29之3號
3樓",02-27678497
205,社團法人台北市光鹽關懷發展協會,松山區,63000010,"臺北市松山區東勢里南京東路4段107號12
樓",02-27123242
206,中華樂活推廣協會,松山區,63000010,臺北市松山區富錦里三民路136巷3號1樓,0937-073980
207,財團法人伊甸社會福利基金會,松山區,63000010,"臺北市松山區復勢里八德路3段155巷4弄
35號1樓",02-25702560
208,臺北市松山區中正里辦公處,松山區,63000010,"臺北市松山區中正里長安東路2段229號12
樓",0937-031518
209,"財團法人雙福社會福利慈善事業基
金會(蒙恩)",松山區,63000010,臺北市松山區復勢里光復北路112號8樓,0921-962292
210,臺北市松山區慈祐里辦公處,松山區,63000010,臺北市松山區慈祐里八德路4段580號1樓,0988-587216
211,"財團法人台北市私立永年社會福利
慈善基金會",松山區,63000010,臺北市松山區復勢里光復北路80巷1號1樓,02-25786677轉2232
212,臺北市松山區精忠里辦公處,松山區,63000010,"臺北市松山區精忠里民生東路4段133號1
樓",0935-934403
213,"財團法人弘道老人福利基金會(松
山)",松山區,63000010,臺北市松山區民福里復興北路451號1樓,02-66131314
214,"財團法人臺北市松年長春社會福利
基金會（松山）",松山區,63000010,"臺北市松山區慈祐里饒河街105號1樓、2
樓、3樓",0983-180401
215,社團法人台北市二村基石關懷協會,松山區,63000010,"臺北市松山區東榮里民生東路5段69巷2弄
10號、12號",02-27632002
216,財團法人台北市民生社區基督教會,松山區,63000010,"臺北市松山區三民里民生東路5段138巷3
號3樓之7",0901-355104
