序號,縣市別,機構數,各縣市序號,機構名稱,電話,地址,戒治機構模式,戒治服務內容
67,10018,67,3,林正修診所,(03)5166746,新竹市新光路38號,藥癮戒治診所,丁基原啡因
68,10004,68,1,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院(竹東院區),(03)5943248,新竹縣竹東鎮至善路52號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
69,10004,69,2,臺北榮民總醫院新竹分院,(03)5962134,新竹縣竹東鎮中豐路一段81號,藥癮戒治醫院,
70,10004,70,3,天主教仁慈醫療財團法人仁慈醫院,(03)5993500,新竹縣湖口鄉忠孝路29號,藥癮戒治醫院,丁基原啡因
71,10004,71,4,中國醫藥大學新竹附設醫院,(03)5580558,新竹縣竹北市興隆路一段199號,藥癮戒治醫院,
72,10005,72,1,為恭醫療財團法人為恭紀念醫院信義院區,(037)676811,信義院區(含替代治療)：苗栗縣頭份市信義路128號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
73,10005,73,2,為恭醫療財團法人為恭紀念醫院東興院區,(037)685569,東興院區(無提供替代治療)：苗栗縣頭份市水源路417巷13號,藥癮戒治醫院,
74,10005,74,3,大千綜合醫院,(037)357125,苗栗市恭敬路36號,替代治療醫院,美沙冬
75,10005,75,4,大千醫療社團法人南勢醫院,(037)369936,苗栗市南勢里南勢52號,藥癮戒治醫院,丁基原啡因
76,10005,76,5,李綜合醫療社團法人苑裡李綜合醫院,(037)862387分機1931,苗栗縣苑裡鎮和平路168號,藥癮戒治診所,美沙冬
77,10005,77,6,衛生福利部苗栗醫院,(037)261920分機1402,苗栗市為公路747號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
78,66000,78,1,臺中榮民總醫院,(04)23592525      ,臺中市西屯區臺灣大道四段1650號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
79,66000,79,2,中國醫藥大學附設醫院,(04)22052121,臺中市北區育德路2號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
80,66000,80,3,國軍臺中總醫院附設民眾診療服務處,(04)23934191,臺中市太平區中山路2段348號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
81,66000,81,4,童綜合醫療社團法人童綜合醫院(沙鹿院區),(04)26626161,臺中市沙鹿區成功西街8號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
82,66000,82,5,中山醫學大學附設醫院,(04)24739595,臺中市南區建國北路一段110號,藥癮戒治醫院,美沙冬
83,66000,83,6,衛生福利部臺中醫院,(04)22294411,臺中市西區三民路一段199號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
84,66000,84,7,衛生福利部豐原醫院,(04)25271180,臺中市豐原區安康路100號,藥癮戒治醫院,美沙冬
85,66000,85,8,光田醫療社團法人光田綜合醫院(大甲院區),(04)26885599,臺中市大甲區經國路321號,藥癮戒治醫院,美沙冬
86,66000,86,9,佛教慈濟醫療財團法人臺中慈濟醫院,(04)36060666,臺中市潭子區豐興路一段88號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
87,66000,87,10,仁愛醫療財團法人大里仁愛醫院,(04)24819900,臺中市大里區東榮路483號,藥癮戒治醫院,丁基原啡因
88,66000,88,11,澄清綜合醫院中港分院,(04)24632000,臺中市西屯區臺灣大道四段966號,藥癮戒治醫院,丁基原啡因
89,66000,89,12,清濱醫院,(04)26283995,臺中市清水區港埠路四段195號,藥癮戒治醫院,
90,66000,90,13,陽光精神科醫院,(04)26202949,臺中市清水區大楊南街98號,藥癮戒治醫院,美沙冬
91,66000,91,14,中山醫學大學附設醫院中興分院,(04)22621652,臺中市南區復興路二段11號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
92,66000,92,15,財團法人臺灣省私立臺中仁愛之家附設靜和醫院,(04)23711129,臺中市西區南屯路1段158號,藥癮戒治醫院,丁基原啡因
93,66000,93,16,維新醫療社團法人台中維新醫院,(04)22038585,臺中市北區育德路185、187號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
94,66000,94,17,宏恩醫院龍安分院,(04)37017188,臺中市南區德富路145巷2號,藥癮戒治醫院,丁基原啡因
95,66000,95,18,賢德醫院,(04)22732551,臺中市太平區宜昌路420號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
96,66000,96,19,清海醫院,(04)25721694,臺中市石岡區下坑巷41之2號,藥癮戒治醫院,丁基原啡因
97,66000,97,20,詹東霖心身診所,(04)22256362,臺中市中區三民路二段11號1樓,藥癮戒治診所,丁基原啡因
98,66000,98,21,新活力診所 ,(04)26622395,臺中市沙鹿區中山路493之2號1樓,替代治療診所,丁基原啡因
99,66000,99,22,劉騰光心身診所,(04)22371903,臺中市北區進化路635號1樓,替代治療診所,丁基原啡因
100,66000,100,23,詹益忠身心醫學診所,(04)22033456,臺中市北區太原路一段474 號,替代治療診所,丁基原啡因
101,66000,101,24,琉璃光診所,(04)26873051,臺中市大甲區順天路342號,替代治療診所,丁基原啡因
102,66000,102,25,臺中市大里區衛生所,(04)24061500,臺中市大里區大衛路82號,替代治療衛生所,美沙冬
103,66000,103,26,臺中市石岡區衛生所,(04)25721887,臺中市石岡區石岡街6號,替代治療衛生所,美沙冬
104,66000,104,27,臺中市和平區衛生所,(04)25942781,臺中市和平區東關路三段132號,替代治療衛生所,美沙冬
105,66000,105,28,臺中市和平區梨山衛生所,(04)25989540,臺中市和平區中正路68號,替代治療衛生所,美沙冬
106,66000,106,29,臺中市新社區衛生所,(04)25811704,臺中市新社區興社街四段1號,替代治療衛生所,美沙冬
107,66000,107,30,臺中市霧峰區衛生所,(04)23393022,臺中市霧峰區民生路1之9號,替代治療衛生所,美沙冬
108,66000,108,31,臺中市大肚區衛生所,(04)26992111,臺中市大肚區頂街里榮華街1號,替代治療衛生所,美沙冬
109,10008,109,1,衛生福利部草屯療養院,(049)2550800,南投縣草屯鎮御史里玉屏路161號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
110,10008,110,2,衛生福利部南投醫院,(049)2231150,南投縣南投市復興路478號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
111,10008,111,3,臺中榮民總醫院埔里分院,(049)2990833,南投縣埔里鎮榮光路1號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
112,10008,112,4,埔基醫療財團法人埔里基督教醫院,(049)2912151,南投縣埔里鎮鐵山路1號,藥癮戒治診所,
113,10008,113,5,惠元診所,(049)2651932,南投縣竹山鎮桂林里中正巷27之99號,替代治療診所,丁基原啡因
114,10008,114,6,澄清診所,(049)2776160,南投縣水里鄉民生路201號,替代治療診所,丁基原啡因
115,10008,115,7,南投縣竹山鎮衛生所,(049)2642026,竹山鎮雲林里公所路126號,替代治療衛生所,美沙冬
116,10008,116,8,南投縣鹿谷鄉衛生所,(049)2752002,南投縣鹿谷鄉中正路二段20號,替代治療衛生所,美沙冬
117,10008,117,9,南投縣魚池鄉衛生所,(049)2895513,南投縣魚池鄉魚池街194號,替代治療衛生所,美沙冬
118,10008,118,10,南投縣國姓鄉衛生所,(049)2721009,南投縣國姓鄉國姓村民族街42號,替代治療衛生所,美沙冬
119,10008,119,11,南投縣水里鄉衛生所,(049)2770079,南投縣水里鄉博愛路205號,替代治療衛生所,美沙冬
120,10008,120,12,南投縣信義鄉衛生所,(049)2791148,南投縣信義鄉明德村玉山路45號,替代治療衛生所,美沙冬
121,10008,121,13,南投縣仁愛鄉衛生所,(049)2802341,南投縣仁愛鄉大同村五福巷17號,替代治療衛生所,美沙冬
122,10007,122,1,衛生福利部彰化醫院,(04)8298686,彰化縣埔心鄉中正路二段80號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
123,10007,123,2,彰化基督教醫療財團法人彰化基督教醫院,(04)7238595,彰化縣彰化市光南里南校街135號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
124,10007,124,3,彰化基督教醫療財團法人鹿港基督教醫院(長青院區),(04)7789595,彰化縣鹿港鎮東崎里鹿東路二段888號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
125,10007,125,4,彰化基督教醫療財團法人二林基督教醫院,(04)8952031,彰化縣二林鎮南光里大成路一段558號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
126,10007,126,5,秀傳醫療社團法人秀傳紀念醫院,(04)7256166,彰化縣彰化市南瑤里中山路一段 542號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
127,10007,127,6,秀傳醫療財團法人彰濱秀傳紀念醫院,(04)7813888,彰化縣鹿港鎮鹿工路6號,藥癮戒治醫院,
128,10009,128,1,國立臺灣大學醫學院附設醫院雲林分院,(05)5323911分機7195,雲林縣斗六市雲林路二段579號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
129,10009,129,2,國立成功大學醫學院附設醫院斗六分院,(05)5332121分機5210,雲林縣斗六市莊敬路345號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
130,10009,130,3,天主教若瑟醫療財團法人若瑟醫院,(05)6337333分機2213,雲林縣虎尾鎮新生路74號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
131,10009,131,4,中國醫藥大學北港附設醫院,(05)7837901分機1620,雲林縣北港鎮新德路123號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
132,10009,132,5,信安醫療社團法人信安醫院,(05)5223788,雲林縣斗六市瓦厝路159號,藥癮戒治醫院,丁基原啡因
133,10009,133,6,廖寶全診所,(05)6322584,雲林縣虎尾鎮東明路182號,藥癮戒治診所,丁基原啡因
134,10009,134,7,何正岳診所,(05)5328680,雲林縣斗六市建成路115號,藥癮戒治診所,丁基原啡因
135,10009,135,8,雲林縣林內鄉衛生所,(05)5896747,雲林縣林內鄉新興路54號,替代治療衛生所,美沙冬
136,10009,136,9,雲林縣二崙鄉衛生所,(05)5981004,雲林縣二崙鄉中興路9號,替代治療衛生所,美沙冬
137,10009,137,10,雲林縣麥寮鄉衛生所,(05)6932268,雲林縣麥寮鄉光復路4號,替代治療衛生所,美沙冬
138,10009,138,11,雲林縣水林鄉衛生所,(05)7852612,雲林縣水林鄉水林路10號,替代治療衛生所,美沙冬
139,10010,139,1,佛教慈濟醫療財團法人大林慈濟醫院,(05)2648000分機5780,嘉義縣大林鎮民生路2號,藥癮戒治醫院,丁基原啡因
140,10010,140,2,臺中榮民總醫院灣橋分院,(05)2791072分機7372,嘉義縣竹崎鄉灣橋村石麻園38號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
141,10010,141,3,衛生福利部朴子醫院,(05)3790600,嘉義縣朴子市永和里42-50號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
142,10010,142,4,嘉義縣東石鄉衛生所,(05)3732340,嘉義縣東石鄉東石村3之7號,替代治療衛生所,美沙冬
143,10010,143,5,嘉義縣溪口鄉衛生所,(05)2691046,嘉義縣溪口鄉中山路1號,替代治療衛生所,美沙冬
144,10020,144,1,衛生福利部嘉義醫院,(05)2319090,嘉義市北港路312號,藥癮戒治醫院,美沙冬
145,10020,145,2,臺中榮民總醫院嘉義分院,"(05)2359630
分機6101、6104",嘉義市西區世賢路二段600號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
146,67000,146,1,衛生福利部嘉南療養院,(06)2795019,臺南市仁德區裕忠路539號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
147,67000,147,2,國立成功大學醫學院附設醫院,(06)2353535,臺南市北區勝利路138號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
148,67000,148,3,衛生福利部臺南醫院,(06)2200055,臺南市中西區中山路125號,藥癮戒治醫院,美沙冬
149,67000,149,4,衛生福利部新營醫院,(06)6351131,臺南市新營區信義街73號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
150,67000,150,5,臺南市立醫院(委託秀傳醫療社團法人經營),(06)2609926,臺南市東區崇德路670號,藥癮戒治醫院,美沙冬
151,67000,151,6,臺南市立安南醫院(委託中國醫藥大學興建經營),(06)3553111,臺南市安南區長和路二段66號,藥癮戒治醫院,美沙冬/丁基原啡因
152,67000,152,7,奇美醫療財團法人奇美醫院,(06)2228116,樹林院區(含替代治療)：臺南市南區樹林街二段442號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
153,67000,153,8,奇美醫療財團法人柳營奇美醫院,(06)6226999,臺南市柳營區太康里太康201號,藥癮戒治醫院,丁基原啡因
154,67000,154,9,郭綜合醫院,(06)2221111,臺南市中西區民生路二段22號,藥癮戒治醫院,丁基原啡因
155,67000,155,10,高雄榮民總醫院臺南分院,(06)3125101,台南市永康區復興路427號,藥癮戒治醫院,
156,67000,156,11,仁享診所,(06)2719351,臺南市永康區富強路一段20號,藥癮戒治診所,丁基原啡因
157,67000,157,12,心樂活診所,(06)2383636,臺南市東區凱旋路39號,藥癮戒治診所,
158,67000,158,13,臺南市東山區衛生所,(06)6802618,臺南市東山區東山里236號,替代治療衛生所,美沙冬
159,67000,159,14,臺南市鹽水區衛生所,(06)6521041,臺南市鹽水區武廟路1號,替代治療衛生所,美沙冬
160,67000,160,15,臺南市官田區衛生所,(06)5791493,臺南市官田區隆田里中山路一段128號,替代治療衛生所,美沙冬
161,67000,161,16,臺南市玉井區衛生所,(06)5742275,臺南市玉井區中正路5號,替代治療衛生所,美沙冬
162,67000,162,17,臺南市佳里區衛生所,(06)7224106,臺南市佳里區進學路159號,替代治療衛生所,美沙冬
163,67000,163,18,臺南市七股區衛生所,(06)7872277,臺南市七股區大埕里379號,替代治療衛生所,美沙冬
164,67000,164,19,臺南市將軍區衛生所,(06)7942007,臺南市將軍區忠嘉里忠興185-6號,替代治療衛生所,美沙冬
165,67000,165,20,臺南市關廟區衛生所,(06)5952395,臺南市關廟區中正路1000號,替代治療衛生所,美沙冬
166,64000,166,1,高雄市立凱旋醫院,(07)7513171分機2135,高雄市苓雅區凱旋二路130號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
167,64000,167,2,衛生福利部旗山醫院,(07)6613811分機1119,高雄市旗山區中學路60號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
168,64000,168,3,長庚醫療財團法人高雄長庚紀念醫院,(07)7317123分機6332,高雄市鳥松區大埤路123號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
169,64000,169,4,財團法人私立高雄醫學大學附設中和紀念醫院,(07)3121101分機6826、6843,高雄市三民區十全一路100號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
170,64000,170,5,高雄榮民總醫院,(07)3422121分機2067,高雄市左營區大中一路386號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
171,64000,171,6,義大醫療財團法人義大醫院,(07)6150011分機2663,高雄市燕巢區角宿村義大路1號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
172,64000,172,7,國軍高雄總醫院附設民眾診療服務處,(07)7496779,高雄市苓雅區中正一路2號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
173,64000,173,8,國軍左營總醫院附設民眾診療服務處,(07)5817121分機3305,高雄市左營區軍校路553號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
174,64000,174,9,財團法人臺灣省私立高雄仁愛之家附設慈惠醫院,(07)7030315分機3174,高雄市大寮區鳳屏一路509號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
175,64000,175,10,阮綜合醫療社團法人阮綜合醫院,(07)3351121分機2204,高雄市苓雅區成功一路162號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
176,64000,176,11,樂安醫院,(07)6256791,高雄市岡山區通校路300號,藥癮戒治醫院,丁基原啡因
177,64000,177,12,高雄市立聯合醫院,(07)5552565分機2718,高雄市鼓山區中華一路976號,藥癮戒治醫院,丁基原啡因
178,64000,178,14,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),(07)2911101分機8030,高雄市前金區中華三路68號,藥癮戒治醫院,
179,64000,179,15,高雄市立小港醫院(委託高雄醫學大學經營)(113.6.26增加美沙冬替療指定),(07)8036783分機3850,高雄市小港區山明路482號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
180,64000,180,16,高雄市立旗津醫院(委託財團法人私立高雄醫學大學經營),(07)5711188,高雄市旗津區旗港路33號,替代治療醫院,美沙冬
181,64000,181,17,高雄市立岡山醫院(委託秀傳醫療社團法人經營),(07)6222131,高雄市岡山區壽天路12號,替代治療醫院,美沙冬
182,64000,182,18,維心診所,(07)6231829,高雄市岡山區岡山路314號,藥癮戒治診所,丁基原啡因
183,64000,183,19,陽光診所,(07)3412598,高雄市左營區自由三路176號1樓,藥癮戒治診所,丁基原啡因
184,64000,184,20,靜安診所,(07)2239025,高雄市苓雅區大順三路197號,藥癮戒治診所,丁基原啡因
185,64000,185,21,幸生診所,(07)2151357,高雄市新興區民生一路240號1樓,替代治療診所,丁基原啡因
186,64000,186,22,梓安診所,(07)6177429,高雄市梓官區中正路71號,替代治療診所,丁基原啡因
187,64000,187,23,高雄市六龜區衛生所,(07)6891244,高雄市六龜區民治路16號,替代治療衛生所,美沙冬
188,64000,188,24,高雄市杉林區衛生所,(07)6771319,高雄市杉林區山仙路93巷2號,替代治療衛生所,美沙冬
189,64000,189,25,高雄市美濃區衛生所,(07)6812064,高雄市美濃區合和里美中路246號,替代治療衛生所,美沙冬
190,10013,190,1,衛生福利部屏東醫院,(08)7363011,屏東縣屏東市自由路270號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
191,10013,191,2,安泰醫療社團法人安泰醫院,(08)8329966,屏東縣東港鎮中正路1段210號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
192,10013,192,3,屏安醫療社團法人屏安醫院,(08)7211777,屏東縣長治鄉信義路129號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
193,10013,193,4,衛生福利部恆春旅遊醫院,(08)8892704,屏東縣恆春鎮恆南路188號,替代治療醫院,美沙冬
194,10013,194,5,瑞興診所,(08)7378888,屏東縣屏東市瑞光路2段250號之1,藥癮戒治診所,丁基原啡因
