序號,用戶名稱,縣市,縣市代碼,備註
62,中華電信股份有限公司國際電信分公司,臺北市,63000,
63,凱基人壽保險股份有限公司,臺北市,63000,
64,國防部軍備局生產製造中心第二０二廠(光華營區),臺北市,63000,
65,國立臺灣大學醫學院附設醫院(西址),臺北市,63000,
66,臺北醫學大學附設醫院,臺北市,63000,
67,振興醫療財團法人振興醫院,臺北市,63000,
68,台肥南港C2管理負責人,臺北市,63000,
69,銀豐實業股份有限公司,臺北市,63000,
70,北捷遊憩事業股份有限公司,臺北市,63000,
71,國防部空軍司令部,臺北市,63000,
72,台灣人壽保險股份有限公司,臺北市,63000,
73,晶華國際酒店股份有限公司,臺北市,63000,
74,太平洋崇光百貨股份有限公司,臺北市,63000,
75,國立臺北科技大學,臺北市,63000,
76,新光三越百貨股份有限公司台北信義分公司三館(A9),臺北市,63000,
77,台北世界貿易中心國際貿易大樓股份有限公司,臺北市,63000,
78,臺北市立萬芳醫院(委託臺北醫學大學辦理),臺北市,63000,
79,財團法人臺北醫學大學,臺北市,63000,
80,台北市環南綜合市場自治會,臺北市,63000,
81,新光醫療財團法人新光吳火獅紀念醫院,臺北市,63000,
82,國營臺灣鐵路股份有限公司北區營運處臺北運務段（南港車站）,臺北市,63000,
83,台灣電力股份有限公司,臺北市,63000,
84,新光三越百貨股份有限公司台北信義分公司四館(A4),臺北市,63000,
85,國立臺灣大學醫學院附設醫院(兒童醫療大樓),臺北市,63000,
86,國泰人壽保險股份有限公司(國泰置地廣場),臺北市,63000,
87,台灣人壽保險股份有限公司,臺北市,63000,
88,臺北市聯合醫院(仁愛院區),臺北市,63000,
89,台灣固網股份有限公司,臺北市,63000,
90,新光三越百貨股份有限公司台北南西分公司,臺北市,63000,
91,潤泰旭展股份有限公司(CITYLINK南港店),臺北市,63000,
92,豐隆大飯店股份有限公司(台北君悅酒店),臺北市,63000,
93,國泰人壽保險股份有限公司(國泰金融中心大樓),臺北市,63000,
94,財團法人公共電視文化事業基金會,臺北市,63000,
95,國立故宮博物院(北部院區),臺北市,63000,
96,中華電信股份有限公司資訊技術分公司,臺北市,63000,
97,開泰豐國際股份有限公司(台北文華東方酒店),臺北市,63000,
98,微風置地股份有限公司信義分公司,臺北市,63000,
99,華碩電腦股份有限公司,臺北市,63000,
100,台灣人壽保險股份有限公司,臺北市,63000,
101,國立臺北藝術大學,臺北市,63000,
102,國家表演藝術中心國家兩廳院,臺北市,63000,
103,微風場站開發股份有限公司,臺北市,63000,
104,領航電信股份有限公司,臺北市,63000,
105,財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店,臺北市,63000,
106,統一開發股份有限公司,臺北市,63000,
107,勇軒股份有限公司,臺北市,63000,
108,忠泰商場事業股份有限公司,臺北市,63000,
109,台北美國學校,臺北市,63000,
110,台灣高速鐵路股份有限公司(南港站),臺北市,63000,
111,國立臺灣師範大學(圖書館校區),臺北市,63000,
112,寒舍餐旅管理顧問股份有限公司(台北喜來登大飯店),臺北市,63000,
113,數位通國際網路股份有限公司,臺北市,63000,
114,交通部中央氣象署,臺北市,63000,
115,皇翔臺北廣場管理負責人,臺北市,63000,
116,臺北市立動物園,臺北市,63000,
117,城市學校財團法人臺北城市科技大學,臺北市,63000,
118,臺北市立聯合醫院（中興院區）,臺北市,63000,
119,國防醫學院三軍總醫院松山分院,臺北市,63000,
120,台灣中油股份有限公司(中油大樓),臺北市,63000,
121,臺北市立大學(天母校區),臺北市,63000,
122,統一國際大樓管理委員會,臺北市,63000,
123,國泰人壽保險股份有限公司(台北國際大樓),臺北市,63000,
124,宏匯瑞光廣場管理負責人,臺北市,63000,
125,東吳大學(雙溪校區),臺北市,63000,
126,中華電信股份有限公司資訊技術分公司(東七大樓),臺北市,63000,
127,三創數位股份有限公司,臺北市,63000,
128,美福飯店管理顧問股份有限公司(台北美福大飯店),臺北市,63000,
129,臺灣土地銀行股份有限公司受託經管國泰一號不動產投資信託基金,臺北市,63000,
130,遠雄建設事業股份有限公司,臺北市,63000,
131,皇翔臺北廣場管理負責人,臺北市,63000,
132,震怡股份有限公司(bellativita購物中心),臺北市,63000,
133,國立臺灣師範大學(公館校區),臺北市,63000,
134,宜華國際股份有限公司(台北萬豪酒店),臺北市,63000,
135,臺灣警察專科學校,臺北市,63000,
136,實踐大學,臺北市,63000,
137,中華電信股份有限公司網路技術分公司(行通大樓),臺北市,63000,
138,環球世貿大樓管理委員會,臺北市,63000,
139,統一百華股份有限公司台北分公司(統一時代百貨台北店),臺北市,63000,
140,捷福旅館管理顧問股份有限公司,臺北市,63000,
141,是方電訊股份有限公司(麗源大樓),臺北市,63000,
142,光寶科技股份有限公司(光寶科技大樓),臺北市,63000,
143,華新麗華股份有限公司(華新麗華信義大樓),臺北市,63000,
144,合作金庫商業銀行股份有限公司,臺北市,63000,
145,大都會汽車客運股份有限公司,臺北市,63000,
146,潤泰百益股份有限公司(CITYLINK松山貳號店),臺北市,63000,
147,空軍作戰指揮部,臺北市,63000,
148,大潤發流通事業股份有限公司南湖分公司,臺北市,63000,
149,潤泰旭展股份有限公司(CITYLINK南港店),臺北市,63000,
150,世新大學,臺北市,63000,
151,新世紀資通股份有限公司(內湖大樓),臺北市,63000,
152,國防部海軍司令部人事軍務處,臺北市,63000,
153,臺北市立聯合醫院和平院區,臺北市,63000,
154,漢來國際飯店股份有限公司台北分公司,臺北市,63000,
155,福華大飯店股份有限公司(台北福華大飯店),臺北市,63000,
156,臺北市立聯合醫院(陽明院區),臺北市,63000,
157,堉群實業股份有限公司(宏泰世界大樓),臺北市,63000,
158,三立電視股份有限公司,臺北市,63000,
159,臺北表演藝術中心,臺北市,63000,
160,南亞塑膠工業股份有限公司,臺北市,63000,
161,臺灣塑膠工業股份有限公司,臺北市,63000,
162,台灣人壽保險股份有限公司,臺北市,63000,
163,仰德大樓管理委員會,臺北市,63000,
164,中華電視股份有限公司(華視大樓),臺北市,63000,
165,台灣人壽保險股份有限公司,臺北市,63000,
166,保證責任臺北市台北地下街場地利用合作社,臺北市,63000,
167,臺北市政府捷運工程局,臺北市,63000,
168,華南商業銀行股份有限公司(世貿大樓),臺北市,63000,
169,國立臺灣師範大學(校本部校區),臺北市,63000,
170,是方電訊股份有限公司(宏鼎大樓),臺北市,63000,
171,微風置地股份有限公司松高分公司,臺北市,63000,
172,統領百貨股份有限公司,臺北市,63000,
173,國泰人壽保險股份有限公司,臺北市,63000,
174,科技大樓管理會管理小組,臺北市,63000,
175,德兆建設股份有限公司,臺北市,63000,
176,中國時報文化事業股份有限公司內湖廠(中天電視民權大樓),臺北市,63000,
177,國營臺灣鐵路股份有限公司北區營運處臺北運務段（松山車站）,臺北市,63000,
178,誠品生活股份有限公司南西分公司,臺北市,63000,
179,台灣三井不動產股份有限公司南港分公司,臺北市,63000,
180,家福股份有限公司桂林分公司,臺北市,63000,
181,臺北市立聯合醫院忠孝院區,臺北市,63000,
182,國泰人壽保險股份有限公司(敦南商業大樓),臺北市,63000,
183,中華民國對外貿易發展協會台北國際會議中心,臺北市,63000,
184,"大台北區瓦斯股份有限公司(光復大樓,八德大樓)",臺北市,63000,
185,大都會汽車客運股份有限公司,臺北市,63000,
186,國防大學政治作戰學院,臺北市,63000,
187,南山敦南大樓管理負責人,臺北市,63000,
188,芙蓉大樓管理委員會,臺北市,63000,
189,亞洲廣場大樓管理委員會,臺北市,63000,
190,震旦國際股份有限公司,臺北市,63000,
191,威秀影城股份有限公司信義分公司,臺北市,63000,
192,太平洋崇光百貨股份有限公司敦化分公司,臺北市,63000,
193,國立臺北教育大學,臺北市,63000,
194,全球人壽保險股份有限公司,臺北市,63000,
195,內政部警政署刑事警察局,臺北市,63000,
196,銘傳大學(台北校區),臺北市,63000,
197,台灣文創發展股份有限公司,臺北市,63000,
198,長鴻榮實業股份有限公司(大倉久和大飯店),臺北市,63000,
199,富邦人壽保險股份有限公司,臺北市,63000,
200,光華巴士股份有限公司,臺北市,63000,
201,欣欣客運股份有限公司,臺北市,63000,
202,台塑石化股份有限公司,臺北市,63000,
203,典華婚訂資源整合股份有限公司(大直典華),臺北市,63000,
204,鴻隆實業股份有限公司,臺北市,63000,
205,國泰人壽保險股份有限公司(信義經貿大樓),臺北市,63000,
206,新光三越百貨股份有限公司台北天母分公司,臺北市,63000,
207,維春商業開發股份有限公司樂群分公司,臺北市,63000,
208,第一商業銀行股份有限公司(總行大樓),臺北市,63000,
209,臺灣電視事業股份有限公司,臺北市,63000,
210,國立臺北商業大學,臺北市,63000,
211,士林電機廠股份有限公司(仰德大樓),臺北市,63000,
212,中央聯合辦公大樓南棟管理小組,臺北市,63000,
213,敦南大樓管理委員會,臺北市,63000,
214,時代國際飯店股份有限公司,臺北市,63000,
215,好市多股份有限公司北投分公司,臺北市,63000,
216,臺北市殯葬管理處,臺北市,63000,
217,遠雄人壽保險事業股份有限公司,臺北市,63000,
218,全億建設股份有限公司,臺北市,63000,
219,中國信託商業銀行股份有限公司(中國信託金融園區),臺北市,63000,
220,宏邑開發股份有限公司(宏國大樓),臺北市,63000,
221,中央聯合辦公大樓北棟管理小組,臺北市,63000,
222,新世紀資通股份有限公司,臺北市,63000,
223,中鼎工程股份有限公司,臺北市,63000,
224,昇恆昌股份有限公司(昇恆昌免稅廣場),臺北市,63000,
225,聯合大於大樓管理委員會,臺北市,63000,
226,宜家家居股份有限公司,臺北市,63000,
227,全球人壽保險股份有限公司,臺北市,63000,
228,崇聖大樓管理負責人,臺北市,63000,
229,明志大樓管理委員會,臺北市,63000,
230,國泰醫療財團法人國泰綜合醫院,臺北市,63000,
231,忠興開發股份有限公司,臺北市,63000,
232,國泰人壽保險股份有限公司(敦南財經大樓),臺北市,63000,
233,好市多股份有限公司內湖分公司,臺北市,63000,
234,中華學校財團法人中華科技大學,臺北市,63000,
235,國泰人壽保險股份有限公司(資訊大樓),臺北市,63000,
236,誠品生活股份有限公司松山分公司,臺北市,63000,
237,光華巴士股份有限公司,臺北市,63000,
238,富邦人壽保險股份有限公司,臺北市,63000,
239,遠鼎股份有限公司(商場),臺北市,63000,
240,財團法人國家實驗研究院國家生物模式中心,臺北市,63000,
241,東森得易購股份有限公司,臺北市,63000,
242,台新國際商業銀行股份有限公司,臺北市,63000,
243,國泰人壽保險股份有限公司(中央商業大樓),臺北市,63000,
244,國立臺北護理健康大學,臺北市,63000,
245,萬華企業股份有限公司(萬企育樂大樓),臺北市,63000,
246,臺北市議會,臺北市,63000,
247,時代金融廣場大樓管理委員會,臺北市,63000,
248,立法院,臺北市,63000,
249,新光中山大樓管理負責人,臺北市,63000,
250,新光三越百貨股份有限公司台北南西分公司三館,臺北市,63000,
251,臺北市立大學(博愛校區),臺北市,63000,
252,交通部民用航空局臺北國際航空站,臺北市,63000,
253,家福股份有限公司內湖分公司,臺北市,63000,
254,財團法人臺北市會展產業發展基金會,臺北市,63000,
255,國立臺北護理健康大學,臺北市,63000,
256,國立臺灣師範大學,臺北市,63000,
257,大都會汽車客運股份有限公司,臺北市,63000,
258,旭電馳科研股份有限公司,臺北市,63000,
259,新光人壽保險股份有限公司,臺北市,63000,
260,國泰人壽保險股份有限公司,臺北市,63000,
261,南山民生大樓管理負責人,臺北市,63000,
262,潤泰旭展股份有限公司,臺北市,63000,
263,六福開發股份有限公司南港分公司(台北六福萬怡酒店),臺北市,63000,
264,仁寶電腦工業股份有限公司,臺北市,63000,
265,北捷遊憩事業股份有限公司,臺北市,63000,
266,財政部財政資訊中心,臺北市,63000,
267,臺北市立美術館,臺北市,63000,
268,仰德大樓管理委員會,臺北市,63000,
269,華碩電腦股份有限公司,臺北市,63000,
270,國立臺灣科學教育館,臺北市,63000,
271,交通部,臺北市,63000,
272,健康物業管理顧問有限公司,臺北市,63000,
273,南山人壽保險股份有限公司(民權大樓),臺北市,63000,
274,中華郵政股份有限公司臺北郵局,臺北市,63000,
275,明曜百貨股份有限公司,臺北市,63000,
276,中華電信股份有限公司台北營運處（東四機房）,臺北市,63000,
277,德明財經科技大學,臺北市,63000,
278,新光人壽保險股份有限公司(新光信義金融大樓),臺北市,63000,
279,財政部關務署,臺北市,63000,
280,凱基證券股份有限公司(凱基金融大樓),臺北市,63000,
281,兆豐國際商業銀行受託國泰二號不動產投資信託基金專戶(民生商業大樓),臺北市,63000,
282,鴻菖實業股份有限公司,臺北市,63000,
283,中華郵政股份有限公司(愛國大樓後棟),臺北市,63000,
284,國防部全民防衛動員署後備指揮部,臺北市,63000,
285,中崙大樓管理委員會,臺北市,63000,
286,潤泰創新國際股份有限公司中崙分公司(大潤發中崙店),臺北市,63000,
287,台北富邦商業銀行股份有限公司(富邦內湖大樓),臺北市,63000,
288,馥裕商旅股份有限公司萬大分公司(台北凱達大飯店),臺北市,63000,
289,財團法人資訊工業策進會數位轉型研究院,臺北市,63000,
290,中國電視事業股份有限公司,臺北市,63000,
291,國裕開發股份有限公司(台北凱撒飯店),臺北市,63000,
292,仰德大樓管理委員會,臺北市,63000,
293,錢櫃企業股份有限公司台北西門分公司,臺北市,63000,
294,臺北市公共運輸處,臺北市,63000,
295,衛生福利部食品藥物管理署,臺北市,63000,
296,寒舍餐旅管理顧問股份有限公司信義分公司(台北寒舍艾美酒店),臺北市,63000,
297,台灣特斯拉汽車有限公司,臺北市,63000,
298,臺北大眾捷運股份有限公司(東區地下街),臺北市,63000,
299,國防部政務辦公室,臺北市,63000,
300,世界貿易大樓管理委員會　　　　　　　　　　　　　　,臺北市,63000,
301,台北市私立再興高級中學,臺北市,63000,
302,國立政治大學,臺北市,63000,
303,嘉新資產管理開發股份有限公司(嘉新大樓),臺北市,63000,
304,中華電視股份有限公司(光復大樓),臺北市,63000,
305,鼎鼎大飯店股份有限公司,臺北市,63000,
306,財金資訊股份有限公司,臺北市,63000,
307,臺北市立聯合醫院（松德院區）,臺北市,63000,
308,國立台灣師範大學附屬高級中學,臺北市,63000,
309,台北農產運銷股份有限公司,臺北市,63000,
310,大台北區瓦斯股份有限公司(台北瓦斯網路科技大樓),臺北市,63000,
311,中國科技大學(台北校區),臺北市,63000,
312,臺北市政府體育局,臺北市,63000,
313,全豐盛信義105大樓管理負責人,臺北市,63000,
314,財團法人台北市文化基金會松山文創園區　　　　　　　,臺北市,63000,
315,潤泰百益股份有限公司(CITYLINK松山壹號店),臺北市,63000,
316,臺北文創大樓管理負責人,臺北市,63000,
317,國立臺灣大學,臺北市,63000,
318,財團法人生物技術開發中心,臺北市,63000,
319,臺北流行音樂中心,臺北市,63000,
320,大南汽車股份有限公司,臺北市,63000,
321,大都會汽車客運股份有限公司,臺北市,63000,
322,臺北汽車客運股份有限公司,臺北市,63000,
323,元大商業銀行股份有限公司,臺北市,63000,
324,欣欣大眾市場股份有限公司(前館),臺北市,63000,
325,中華郵政股份有限公司臺北郵件處理中心,臺北市,63000,
326,臺灣銀行股份有限公司,臺北市,63000,
327,中國信託商業銀行股份有限公司(中國信託科技大樓),臺北市,63000,
328,潤泰旭展股份有限公司,臺北市,63000,
329,凱基人壽敦北大樓管理委員會,臺北市,63000,
330,中央保險大樓管理委員會,臺北市,63000,
331,海華金融中心大樓管理負責人,臺北市,63000,
332,基督復臨安息日會醫療財團法人臺安醫院,臺北市,63000,
333,臺北市立大安高級工業職業學校,臺北市,63000,
334,新光三越百貨股份有限公司台北天母分公司二館,臺北市,63000,
335,元大商業銀行股份有限公司,臺北市,63000,
336,春暉新世界東光自治區管理委員會,臺北市,63000,
337,食祿軒餐廳股份有限公司慶城分公司,臺北市,63000,
338,富邦媒體科技股份有限公司(富邦momo大樓),臺北市,63000,
339,中央百世大樓管理委員會,臺北市,63000,
340,中央銀行,臺北市,63000,
341,信誼企業股份有限公司(信誼大樓),臺北市,63000,
342,財政部臺北國稅局,臺北市,63000,
343,臺北市立天文科學教育館,臺北市,63000,
344,台灣水泥股份有限公司(台泥大樓),臺北市,63000,
345,醒吾大樓管理委員會,臺北市,63000,
346,國防醫學院三軍總醫院汀州院區,臺北市,63000,
347,聯華置產股份有限公司,臺北市,63000,
348,農業部,臺北市,63000,
349,富邦人壽保險股份有限公司,臺北市,63000,
350,衛生福利部,臺北市,63000,
351,優力國際安全認證有限公司,臺北市,63000,
352,陸軍後勤指揮部,臺北市,63000,
353,時代通商廣場大樓管理委員會,臺北市,63000,
354,兄弟大飯店股份有限公司,臺北市,63000,
355,新光人壽保險股份有限公司(新光信義傑仕堡),臺北市,63000,
356,臺灣銀行股份有限公司資訊大樓,臺北市,63000,
357,國立臺灣大學公共衛生學院,臺北市,63000,
358,國立傳統藝術中心,臺北市,63000,
359,臺北市萬華區行政中心管理委員會,臺北市,63000,
360,首都客運股份有限公司,臺北市,63000,
361,臺北市立建國高級中學,臺北市,63000,
362,雲品國際酒店股份有限公司台北分公司(台北君品酒店),臺北市,63000,
363,康和國際大樓管理委員會,臺北市,63000,
364,臺北市和平實驗國民小學(籃球館),臺北市,63000,
365,仲量聯行公寓大廈管理維護股份有限公司,臺北市,63000,
366,國家圖書館,臺北市,63000,
367,衛生福利部中央健康保險署(信義大樓),臺北市,63000,
368,福華大飯店股份有限公司人力學院新生南營業所,臺北市,63000,
369,台灣糖業股份有限公司休閒遊憩事業部台糖台北會館,臺北市,63000,
370,兆豐國際商業銀行受託國泰二號不動產投資信託基金專戶(國泰世界大樓),臺北市,63000,
371,世貿大樓管理委員會,臺北市,63000,
372,遠雄國際中心管理負責人,臺北市,63000,
373,財團法人臺北市私立育達高級商業家事職業學校,臺北市,63000,
374,臺北市立松山高級工農職業學校,臺北市,63000,
375,財團法人台北歐洲學校,臺北市,63000,
376,法官學院,臺北市,63000,
377,上海商業儲蓄銀行股份有限公司,臺北市,63000,
378,國泰人壽保險股份有限公司,臺北市,63000,
379,萬年商業大樓管理委員會,臺北市,63000,
380,財團法人張榮發基金會,臺北市,63000,
381,家福股份有限公司三民分公司,臺北市,63000,
382,大同大學,臺北市,63000,
383,財團法人慈濟傳播人文志業基金會,臺北市,63000,
384,國際商業大樓管理處,臺北市,63000,
385,富邦人壽保險股份有限公司(富邦萬國商業大樓),臺北市,63000,
386,指南汽車客運股份有限公司,臺北市,63000,
387,潤泰金融大樓管理委員會,臺北市,63000,
388,家福股份有限公司重慶分公司,臺北市,63000,
389,劍潭海外青年活動中心,臺北市,63000,
390,台灣聯想環球科技股份有限公司,臺北市,63000,
391,國立中正紀念堂管理處,臺北市,63000,
392,台新國際商業銀行股份有限公司(內湖大樓),臺北市,63000,
393,中華郵政股份有限公司(愛國大樓前棟),臺北市,63000,
394,誠品生活股份有限公司武昌第一分公司,臺北市,63000,
395,財團法人台北市私立復興國民中小學,臺北市,63000,
396,靜心學校財團法人臺北市私立靜心高級中等學校,臺北市,63000,
397,台北市私立薇閣高級中學,臺北市,63000,
398,國泰飯店管理顧問事業股份有限公司民生建國分公司(台北國泰萬怡酒店),臺北市,63000,
399,佳佳廣場管理委員會,臺北市,63000,
400,新光人壽保險股份有限公司,臺北市,63000,
401,外交部,臺北市,63000,
402,空軍松山基地指揮部,臺北市,63000,
403,內政部警政署保安警察第一總隊,臺北市,63000,
404,國防部憲兵指揮部忠貞營區,臺北市,63000,
405,中華電信股份有限公司個人家庭分公司,臺北市,63000,
406,首都客運股份有限公司,臺北市,63000,
407,國防醫學院三軍總醫院北投分院,臺北市,63000,
408,臺北市立關渡醫院(委託臺北榮民總醫院經營),臺北市,63000,
409,中國時報文化事業股份有限公司(時報大樓),臺北市,63000,
410,臺北市立南港高級工業職業學校,臺北市,63000,
411,臺北市政府體育局(臺北市天母棒球場),臺北市,63000,
412,寒舍國際酒店股份有限公司,臺北市,63000,
413,華碩電腦股份有限公司,臺北市,63000,
414,凱基人壽西湖大樓管理負責人,臺北市,63000,
415,新光產物保險股份有限公司(北投大樓),臺北市,63000,
416,台灣人壽保險股份有限公司,臺北市,63000,
417,遠百企業股份有限公司景美分公司,臺北市,63000,
418,臺北市市場處（士東市場）,臺北市,63000,
419,玉山商業銀行股份有限公司(人力資源暨資訊大樓),臺北市,63000,
420,美麗信酒店股份有限公司,臺北市,63000,
421,台灣台北地方法院,臺北市,63000,
