序號,機構名稱,機構地址,機構電話,負責人,105年評鑑成績,105年度衛福部評鑑成績,106年評鑑成績,107年評鑑成績,108年評鑑成績
26,臺北市私立仁群老人長期照顧中心(養護型),臺北市中山區民族東路512巷14號1-2樓、16號2樓,(02)25013369,朱偉仁,,,,甲等,
27,臺北市私立龍江老人長期照顧中心(養護型),臺北市中山區長安東路1段63號4樓 ,(02)25672208,吳第明,甲等,,,,
28,臺北市私立法泉老人長期照顧中心(養護型),臺北市中山區八德路2段251號2樓,(02)87731706,陳慧紅,乙等,,,,
29,臺北市私立群仁老人長期照顧中心(養護型),臺北市中山區民族東路512巷14號3~5樓,(02)25010048,陳怡岑,,,甲等,,
30,臺北市私立福成老人長期照顧中心(養護型),臺北市中山區松江路374、380、382號4樓,(02)25982507,蕭憲宗,,,甲等,,
31,臺北市私立博愛老人長期照顧中心(養護型),臺北市中正區汀州路3段56號2樓,(02)23671050,李明珊,,,,甲等,
32,臺北市私立明德老人長期照顧中心(養護型),臺北市中正區紹安街220巷2號、4號1樓,(02)23090381 ,吳嬌娥,乙等,,,,
33,臺北市私立大園老人長期照顧中心(養護型),臺北市中正區新生南路1段124之3號1-4樓,(02)33931661,李俊卿,,,,乙等,
34,臺北市私立仁泰老人長期照顧中心(養護型),臺北市中正區連雲街3號1樓、3號3樓、3之4號及新生南路1段124之3號5樓,(02)33931662,羅貴珍,,,乙等,,甲等
35,臺北市私立童音老人長期照顧中心(養護型),臺北市內湖區民權東路6段280巷19弄1、3、5、7號1樓,(02)26345131  ,林淑容,甲等,,,,
36,臺北市私立銀髮族老人養護所,臺北市內湖區成功路2段488號2、3樓及490號2樓,(02)27926006,簡美麗,,,,乙等,
37,臺北市私立祥家老人養護所,臺北市內湖區內湖路二段253巷1弄1、3號1~2樓,(02)27922281,楊貢祖,,,,優等,
38,臺北市私立瑞安老人長期照顧中心（養護型）,臺北市內湖區成功路3段88、90、92號2樓及76巷9號2樓,(02)27925292,董曉璇,乙等,,,,
39,臺北市私立湖濱老人長期照顧中心(養護型),臺北市內湖區內湖路2段179巷58、60號1樓,(02)27933081,葉雲興,乙等,,,,
40,臺北市私立文德老人長期照顧中心(養護型),臺北市內湖區陽光街70之3、72之1號1樓,(02)26581303,江光輝,,,乙等,,
41,臺北市私立慧誠老人長期照顧中心(養護型),臺北市文山區木柵路2段163、165號1-4樓,(02)29392222,劉昱光,,,乙等,,
42,臺北市私立心慈老人養護所,臺北市文山區辛亥路5段120之1號1-4樓,(02)29314730,黃林秋紅,,,乙等,,
43,臺北市文山老人養護中心,臺北市文山區興隆路2段95巷8號3-6樓,(02)89313190,王仁宏,,甲等,,,
44,臺北市兆如老人安養護中心,臺北市文山區政大二街129號,(02)86616365,胡世賢,,甲等,,,
45,臺北市私立蓮馨老人長期照顧中心(養護型),臺北市文山區萬和街6號8樓,(02)82300373,王淑琴,,,乙等,,
46,臺北市政府社會局老人自費安養中心,臺北市文山區興隆路4段109巷30弄6號,(02)29393147,馬玉貞,,乙等,,,
47,臺北市私立美安老人長期照顧中心(養護型),臺北市文山區溪口街1巷5號3-4樓,(02)29316388,吳米加,優等,,,,
48,臺北市私立吉祥老人長期照顧中心(養護型),臺北市文山區木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,(02)22343511,黃玉珍,乙等,,,,
49,臺北市私立慈安老人長期照顧中心(養護型),臺北市文山區興隆路1段2、4號1~4樓,(02)29337745,蔡淑芬,,,甲等,,
50,臺北市私立慧華老人長期照顧中心(養護型),臺北市文山區興隆路2段154巷11號1樓,(02)29356272,王輝鴻,,,甲等,,
51,臺北市私立三園老人長期照顧中心(養護型),臺北市文山區車前路12號3-4樓,(02)29321147,劉偉如,,,,甲等,
52,臺北市私立景安老人長期照顧中心(養護型),臺北市文山區溪口街1巷5號1-2樓,(02)29325698,高倪雪,,,甲等,,
53,臺北市私立景興老人長期照顧中心(養護型),臺北市文山區景興路222號3樓,(02)29349412,吳清璇,,,乙等,乙等,甲等
54,臺北市立浩然敬老院,臺北市北投區知行路75號,(02)28581081,童富泉,,甲等,,,
55,臺北市私立安立老人長期照顧中心(養護型),臺北市北投區致遠一路1段124巷23號1-2樓,(02)28208277,吳麗雪,,,,丁等,
56,臺北市私立全家老人長期照顧中心(養護型),臺北市北投區行義路96巷1號1-2樓,(02)28761692,陳立德,,,,優等,
57,臺北市私立全民老人長期照顧中心(養護型),臺北市北投區石牌路2段317號1-2樓,(02)28711625 ,陳麗瑛,,,,甲等,
58,臺北市私立榮健老人長期照顧中心(養護型),臺北市北投區文林北路94巷5弄13號1-2樓、15號2樓,(02)28216113,林立人,甲等,,,,
59,臺北市私立榮祥老人長期照顧中心(養護型),臺北市北投區文林北路166巷5弄2號1、2樓、4號1樓,(02)28213709,蔡汶儒,甲等,,,,
60,臺北市私立北投老人長期照顧中心(養護型),臺北市北投區公館路231巷20號1樓,(02)28937412,許雅惠,優等,,,,
61,臺北市私立貴族老人長期照顧中心(養護型),臺北市北投區大業路452巷2號2-5樓,(02)28965555,桑予群,,,甲等,,
62,臺北市私立豪門老人長期照顧中心(養護型),臺北市北投區大業路452巷2號6-9樓,(02)28954492,張妤安,,,甲等,,
63,臺北市私立倚青園老人長期照顧中心(養護型),臺北市北投區義理街63巷4弄7號、11之1號、11之2號、11之3號1樓,(02)28210933,郭梅玉,,,優等,,
64,臺北市私立陽明山老人長期照顧中心(養護型),臺北市北投區紗帽路116號1樓,(02)28615006,王學賢,優等,,,,
65,臺北市私立賢暉老人長期照顧中心(養護型),臺北市北投區石牌路2段315巷34弄14、16號1樓,(02)28710770,蔡玉真,乙等,,,,
66,臺北市私立崇順老人養護所,臺北市北投區知行路54號1-2樓,(02)28581979,鍾秋月,優等,,,,
67,臺北市私立建民老人長期照顧中心(養護型),臺北市北投區建民路22、24、26、26之1號1樓,(02)28250799,曹寧,甲等,,,,
68,臺北市私立全泰老人長期照顧中心(養護型),臺北市北投區行義路105號1-2樓,(02)28747739,陳莉茵,乙等,,,,
69,臺北市私立義行老人長期照顧中心(養護型),臺北市北投區石牌路2段357巷1號4-6樓,(02)28767880,林萬知,乙等,,,,
70,臺北市私立尊暉老人長期照顧中心(養護型),臺北市北投區石牌路2段343巷17號1-2樓,(02)28761997,任棟平,,,,乙等,
71,臺北市私立怡靜老人長期照顧中心(養護型),臺北市北投區致遠二路96巷3弄1、3號1樓,(02)28200437,林碧瑤,乙等,,,,
72,臺北市私立聖心老人養護所,臺北市北投區稻香路321號1樓,(02)28913890,陸秀真,,,優等,,
73,臺北市私立全寶老人長期照顧中心(養護型),台北市北投區石牌路二段315巷16弄2號1樓,(02)28710792,古倩,乙等,,,,
74,臺北市私立行義老人長期照顧中心(養護型),臺北市北投區石牌路2段357巷1號1-3樓,(02)28729599,林萬知,,,甲等,,
75,臺北市私立安安老人長期照顧中心(養護型),臺北市北投區奇岩里公館路194、196號1樓,(02)28953298,林姿君,乙等,,,,
76,財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型),臺北市北投區中和街錫安巷112號1-2樓及地下1樓,(02)28936161,焦瀛臺,,乙等,,,
77,臺北市私立同德老人長期照顧中心(養護型),臺北市北投區明德路306號1-7樓,(02)28281328,李佩芡,甲等,,,,
78,臺北市私立奇里岸老人長期照顧中心(養護型),臺北市北投區西安街2段245號1-2樓,(02)28275139,張桂英,,,甲等,,
79,臺北市私立高德老人長期照顧中心(養護型),臺北市北投區磺港路156號1-3樓,(02)28982418,鄭人豪,,,,,乙等
80,臺北市私立群英老人長期照顧中心(養護型),臺北市松山區敦化南路1段7號4樓,(02)25791400,鄭淑芬,,,,甲等,
81,臺北市私立康壯老人長期照顧中心(養護型),臺北市松山區八德路4段203號、205號1、3、4樓,(02)27686697,李碧欗,,,,優等,
82,臺北市私立仁仁老人長期照顧中心(養護型),臺北市松山區南京東路5段356號2樓,(02)27659900,王筱璇,,,乙等,,
83,臺北市私立台大老人長期照顧中心(養護型),臺北市松山區敦化南路1段7號4樓之1,(02)25792816,鄭淑卿,,,甲等,,
84,臺北市私立倚青苑老人養護所,臺北市信義區中坡北路21號1-2樓、23號2樓,(02)27477232,郭梅玉,,,甲等,,
85,臺北市私立康庭老人養護所,臺北市信義區信義路6段15巷16號1樓,(02)23460684,黃美祺,乙等,,,,
86,臺北市私立福安老人長期照顧中心(養護型),臺北市南港區玉成街140巷21號、23號2樓,(02)27850584,顧致德,乙等,,,,
87,財團法人臺北市私立恆安老人長期照顧中心(長期照護型),臺北市萬華區水源路187號,(02)23327973,胡世賢,,甲等,,,
88,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,臺北市萬華區德昌街125巷11號1-4樓及13號1樓,(02)23046715,洪山川,,優等,,,
89,財團法人臺北市私立愛愛院,臺北市萬華區大理街175巷27號,(02)23060493,陳烱松,,甲等,,,
90,臺北市私立軒儀老人長期照顧中心(養護型),臺北市萬華區和平西路3段384號1樓,(02)23088661,盧嘉富,優等,,,,
91,臺北市私立中山老人長期照顧中心(養護型),臺北市萬華區峨嵋街124號、124之1號1樓,(02)23759590,趙芬蘭,,,甲等,,
92,臺北市私立葉爸爸老人長期照顧中心(養護型),臺北市萬華區西園路2段243之14號1-4樓,(02)23329985,黃玉珍,,,,,乙等
93,臺北市私立葉媽媽老人長期照顧中心(養護型),臺北市萬華區西園路2段243之13號1-4樓,(02)23329986,郭淑媛,,,,,乙等
94,臺北市私立永青老人長期照顧中心(養護型),臺北市士林區中山北路六段427巷8號1-4樓,(02)28761908,蘇糧貳,,,,甲等,
95,臺北市私立祥寶尊榮老人長期照顧中心(養護型),臺北市大同區太原路97巷4、6號1-5樓,(02)25501118,林哲弘,,,,優等,
96,臺北市私立嘉恩老人長期照顧中心(養護型),臺北市大安區安居街27號4樓、6樓及29號4樓、5樓,(02)27371330,沈威君,,,,甲等,
97,臺北市私立晨欣老人長期照顧中心(養護型),臺北市中山區中山北路2段96巷19號3樓,(02)25365888,林保中,,,,乙等,
98,臺北市私立福喜老人長期照顧中心(養護型),臺北市中山區松江路374、380、382號7樓,(02)25919087,柯乾元,,,,甲等,
99,臺北市私立天下知老人長期照顧中心(養護型),臺北市北投區關渡路60、62之1號1樓,(02)28582701,陸秀真,,,,乙等,
100,臺北市私立萬芳老人長期照顧中心(養護型),臺北市文山區萬和街8號3樓,(02)22303000,劉宥均,,,,丙等(再予考評:乙等),
