演藝團體名稱,申請類別,立案字號,主管機關,主管機關代碼,團址,網址
臺北木偶劇團,傳統戲曲,0998,臺北市政府文化局,379590000E,臺北市北投區石牌路2段315巷28弄14之7號4樓之1,http://www.taipei-puppet.com
台北箏樂團,音樂,0997,臺北市政府文化局,379590000E,臺北市大安區辛亥路2段171巷6弄4號1樓,http://tw.myblog.yahoo.com/guzheng-lover
粘立人魔術館,雜藝,0996,臺北市政府文化局,379590000E,臺北市士林區文林路165號1樓,
台北小花劇團,戲劇,0995,臺北市政府文化局,379590000E,臺北市大安區和平東路2段16號8樓之2,
無限大演社,戲劇,0994,臺北市政府文化局,379590000E,臺北市內湖區南京東路6段451巷57號13樓之9,http://www.infinity-studio.tw/
台灣藍琴,音樂,0992,臺北市政府文化局,379590000E,臺北市萬華區南寧路43-1號8樓,
拾棲劇團,戲劇,0991,臺北市政府文化局,379590000E,臺北市松山區光復北路165巷31號1樓,
墨客樂團,音樂,0990,臺北市政府文化局,379590000E,臺北市士林區文林路165號1樓,
臺灣藝文方家,戲劇,0988,臺北市政府文化局,379590000E,臺北市中正區青島東路4之4號,
蓬瀛曲集,戲劇,0987,臺北市政府文化局,379590000E,臺北市中正區台北市林森南路140號2樓之一,http://61.218.53.80/pyqj/
夏卡緹融合印度舞團,舞蹈,0986,臺北市政府文化局,379590000E,臺北市士林區忠誠路二段70巷12號2樓,http://blog.sina.com.tw/bellydance
銀河谷音,戲劇,0984,臺北市政府文化局,379590000E,臺北市中山區民族東路452號1樓,
REAP以樂打擊樂團,音樂,0982,臺北市政府文化局,379590000E,臺北市大安區和平東路一段214號4樓,
台灣小戲團,戲劇,0981,臺北市政府文化局,379590000E,臺北市中山區明水路555號15樓之32,
鑼聲若響歌舞劇藝術表演團,戲劇,0980,臺北市政府文化局,379590000E,臺北市萬華區峨嵋街122號5樓之5,
送樂活街舞創作團隊,舞蹈,0979,臺北市政府文化局,379590000E,臺北市中正區中山北路1段33巷35-1號1樓,
安娜琪舞蹈劇場,舞蹈,0975,臺北市政府文化局,379590000E,臺北市大同區承德路3段8巷27號5樓,
茱麗亞鋼琴二重奏,音樂,0974,臺北市政府文化局,379590000E,臺北市士林區天母東路1-2號4樓,
慕風工坊,音樂,0972,臺北市政府文化局,379590000E,臺北市大安區復興南路二段148巷8號5樓,
原聲演人,戲劇,0971,臺北市政府文化局,379590000E,臺北市大安區新生南路三段56巷6號B1,
玖玖合唱團,音樂,0970,臺北市政府文化局,379590000E,臺北市中正區文盛里2鄰羅斯福路3段240巷7弄15之1號2樓,
台灣古典音樂網愛樂聯盟,音樂,0969,臺北市政府文化局,379590000E,臺北市大安區永康街4巷18號4樓,http://www.t-classical.com
瘋戲樂工作室,戲劇,0967,臺北市政府文化局,379590000E,臺北市大安區光復南路440號10樓,
PLAY劇團,戲劇,0966,臺北市政府文化局,379590000E,臺北市信義區忠孝東路5段369號10-3F,
創新騎士團,音樂,0965,臺北市政府文化局,379590000E,臺北市北投區振興街1號四樓之5,
純純文創,雜藝,0963,臺北市政府文化局,379590000E,臺北市松山區民生東路5段69巷3弄1號,
台灣國際音樂藝術,音樂,0962,臺北市政府文化局,379590000E,臺北市松山區民生東路5段69巷3弄1號,http://www.tapba.url.tw
同黨劇團,戲劇,0961,臺北市政府文化局,379590000E,臺北市萬華區漢口街2段51號13樓之1,
劇織造,戲劇,0960,臺北市政府文化局,379590000E,臺北市中正區忠孝東路一段35號11樓,
音瀑奧譜聲音藝術實驗室,雜藝,0959,臺北市政府文化局,379590000E,臺北市大安區富陽街166號5樓,http://iolab.tw
迴響劇團,戲劇,0958,臺北市政府文化局,379590000E,臺北市中山區南京東路2段160號6樓,https://www.facebook.com/ECHOTheaterCompany/
海馬,音樂,0957,臺北市政府文化局,379590000E,臺北市文山區指南路3段51號6樓之2,http://facebook.com/pages/hai-ma-tuan
台北人室內樂團,音樂,0956,臺北市政府文化局,379590000E,臺北市文山區木柵路3段85巷14弄14號2樓,
台灣兒童合唱團,音樂,0955,臺北市政府文化局,379590000E,臺北市中山區中山北路3段30號5樓,http://www.worldvision.org.tw
中正愛樂管絃樂團,音樂,0954,臺北市政府文化局,379590000E,臺北市中正區金門街9-5號1樓,
元和劇子,戲劇,0953,臺北市政府文化局,379590000E,臺北市大安區和平東路1段185號9樓之6,
采旋藝術團,舞蹈,0952,臺北市政府文化局,379590000E,臺北市文山區興隆路2段220巷31弄3號2樓,
慕音合唱團,音樂,0951,臺北市政府文化局,379590000E,臺北市士林區社中街123號7樓之一,http://www.facebook.com/moodinn/info
魔浪超劇場,戲劇,0950,臺北市政府文化局,379590000E,臺北市萬華區成都路4號10樓,
台北市蘭心合唱團,音樂,0949,臺北市政府文化局,379590000E,臺北市中山區南京東路一段16號9樓之9,
御箏樂坊,音樂,0948,臺北市政府文化局,379590000E,臺北市中正區信義路1段9之2號1樓,
台北永樂扶輪社合唱團,音樂,0947,臺北市政府文化局,379590000E,臺北市中山區長安東路一段16號11號之6,http://wretch.cc/blog/rotaryyinlog
音踏 In Tap,舞蹈,0946,臺北市政府文化局,379590000E,臺北市內湖區民權東路6段134巷34號3樓,
琴韻室內樂集 Nuance Chamber Players,音樂,0945,臺北市政府文化局,379590000E,臺北市大同區環河北路二段235巷9號4樓,http://blog.yam.com/nuancechamber
台大校友樂團,音樂,0944,臺北市政府文化局,379590000E,臺北市大安區永康街47巷10-1號5樓,
臺北市教師管樂團,音樂,0941,臺北市政府文化局,379590000E,臺北市中山區民族東路410巷23弄14之1號1樓,
台北愛樂青年管樂團,音樂,0940,臺北市政府文化局,379590000E,臺北市松山區光復北路190巷39號4樓,http://www.tpg.org.tw
自由意識表演藝術團隊,雜藝,0939,臺北市政府文化局,379590000E,臺北市大同區歸綏街227號,
同流膜跨域國際,雜藝,0938,臺北市政府文化局,379590000E,臺北市萬華區開封街二段八號四樓402室,
茵音樂坊,音樂,0937,臺北市政府文化局,379590000E,臺北市大安區龍安里2鄰和平東路一段185號2樓,http://yingying.tw
中華蕭邦音樂之友,音樂,0936,臺北市政府文化局,379590000E,臺北市大安區仁愛路四段449號11樓,
魚蹦興業,戲劇,0935,臺北市政府文化局,379590000E,臺北市士林區克強街10巷21弄20號4樓,http://www.facebook.com/yubon99
非常廟藝文空間,雜藝,0934,臺北市政府文化局,379590000E,臺北市中山區新生北路三段56巷17號地下1樓,
台北市教師管弦樂團,音樂,0933,臺北市政府文化局,379590000E,臺北市信義區忠孝東路五段424號2樓,
台灣魔術發展工作坊,雜藝,0932,臺北市政府文化局,379590000E,臺北市文山區景文街3號9樓,
天打那實驗體,戲劇,0931,臺北市政府文化局,379590000E,臺北市中山區新生北路三段56巷17號B1,
傳愛表演藝術志工團隊,戲劇,0929,臺北市政府文化局,379590000E,臺北市內湖區江南街71巷40弄3號4樓,http://www.cherrymusic.com/steven
狂想劇場,戲劇,0928,臺北市政府文化局,379590000E,臺北市士林區中山北路7段114巷61弄2號7樓,https://www.fantasytheatre.tw/
螃蟹手鼓,音樂,0927,臺北市政府文化局,379590000E,臺北市文山區福興路95巷41號8樓,http://www.facebook.com/crabensemble
傳承演藝工坊,雜藝,0926,臺北市政府文化局,379590000E,臺北市內湖區星雲街158號6樓,
台北崑曲研習社,音樂,0924,臺北市政府文化局,379590000E,臺北市南港區研究院路2段61巷2弄25號,http://www.tkqs.org.tw
台灣被壓迫者劇場推展中心,戲劇,0923,臺北市政府文化局,379590000E,臺北市文山區辛亥路6段23號2樓,http://www.ctotw.tw/
燃燈合唱團,音樂,0922,臺北市政府文化局,379590000E,臺北市中山區民權東路一段72號5樓,
乒乓藝術工作站,雜藝,0921,臺北市政府文化局,379590000E,臺北市北投區中央北路2段290號,http://www.pingpon290.org
天馬行空劇團,戲劇,0920,臺北市政府文化局,379590000E,臺北市信義區松德路65號9樓之1,
李清照私人劇團感傷動作派,戲劇,0919,臺北市政府文化局,379590000E,臺北市北投區知行路92號5樓,http://www.leeqingzhao.com.tw
傳統音樂發展聯盟,音樂,0918,臺北市政府文化局,379590000E,臺北市大同區重慶北路三段328號,
在地實驗媒體劇場,戲劇,0917,臺北市政府文化局,379590000E,臺北市大安區建國南路1段160號7樓,http://lab.etat.com
境遇者劇像體,戲劇,0916,臺北市政府文化局,379590000E,臺北市大安區建國南路1段160號7樓,
台北市松韻合唱團,音樂,0915,臺北市政府文化局,379590000E,臺北市松山區八德路四段403-2號(三樓),http://www.tsyc.org.tw/
爵瑟樂團,音樂,0913,臺北市政府文化局,379590000E,臺北市士林區大南路416號2樓,
鼓往金來鼓樂藝術團,音樂,0912,臺北市政府文化局,379590000E,臺北市中山區龍江路356巷46號,http://www.wretch.cc/mypage/deardoremi
方舟劇場,音樂,0907,臺北市政府文化局,379590000E,臺北市松山區鵬程里延壽街16號11樓之3,
公共澡堂 人聲樂團,音樂,0906,臺北市政府文化局,379590000E,臺北市大安區青田街7巷4號1F,http://pbh.gogodie.net
全民大劇團,戲劇,0904,臺北市政府文化局,379590000E,臺北市文山區育英街11號5樓之2,http://allupeople.org/web/index
Be 劇團,戲劇,0902,臺北市政府文化局,379590000E,臺北市松山區健康路九號三樓,http://betheatre.blogspot.com/
菁華音樂室內樂團,音樂,0901,臺北市政府文化局,379590000E,臺北市大安區和平東路二段163號2樓之1,
好野劇團,戲劇,0899,臺北市政府文化局,379590000E,臺北市大同區寧夏路22之2號14樓之1,
夾腳拖劇團,戲劇,0898,臺北市政府文化局,379590000E,臺北市大安區基隆路2段232號4樓,
台灣朵思藝術,音樂,0897,臺北市政府文化局,379590000E,臺北市信義區信義路五段14巷1弄6號,http://www.duos.com.tw
瑪黎柏莎樂舞坊,舞蹈,0895,臺北市政府文化局,379590000E,臺北市大安區和平東路3段308巷58號,http://www.flamencotw.com
繆思曼陀羅室內樂集,音樂,0894,臺北市政府文化局,379590000E,臺北市大安區忠孝東路四段311號9樓之8,http://www.wretch.cc/blog/musemandala
弦情逸致樂團,音樂,0893,臺北市政府文化局,379590000E,臺北市文山區辛亥路一段九十五號一樓,http://www.violinlove.blogspot.com
蓬蓬裙舞蹈團,舞蹈,0892,臺北市政府文化局,379590000E,臺北市文山區樟新街15巷2號B1,http:// yi-ling-dance.topschool.com.tw/
台北兒童青少年馬林巴樂團,音樂,0891,臺北市政府文化局,379590000E,臺北市大安區忠孝東路三段164號5樓,
台北單簧管樂集,音樂,0889,臺北市政府文化局,379590000E,臺北市士林區翠山里1鄰中社路2段185巷4弄8號2樓,
飛魔毯歌手 Fermata Singers,音樂,0888,臺北市政府文化局,379590000E,臺北市松山區南京東路4段186號9樓之2,http://www.anncku.org.tw
台北交響管樂團,音樂,0887,臺北市政府文化局,379590000E,臺北市中正區寧波西街78-2號,
台北爵士大樂團,音樂,0886,臺北市政府文化局,379590000E,臺北市中正區寧波西街78-2號,
黃鐘弦樂團,音樂,0883,臺北市政府文化局,379590000E,臺北市大安區師大路129號6樓之1,
藝術室內樂團,音樂,0882,臺北市政府文化局,379590000E,臺北市中山區中山北路2段93巷17號8樓之2,
南洋姊妹劇團,戲劇,0881,臺北市政府文化局,379590000E,臺北市文山區福興路95巷65號9F,
NAD舞團,舞蹈,0880,臺北市政府文化局,379590000E,臺北市士林區中正路358號2樓,
信望愛合唱團,音樂,0879,臺北市政府文化局,379590000E,臺北市北投區泉源路35巷13號地下一層,http://www.taosheng.org.tw
中日書香婦女合唱團,音樂,0878,臺北市政府文化局,379590000E,臺北市松山區仁愛路4段420號4樓,
拾念劇集,戲劇,0877,臺北市政府文化局,379590000E,臺北市文山區久康街107號3樓,
同樂仕女合唱團,音樂,0873,臺北市政府文化局,379590000E,臺北市信義區信義路5段150巷2號21樓之1(2101室),
亞青樂集(Aisan Young Artists Connection),音樂,0872,臺北市政府文化局,379590000E,臺北市北投區中和街20巷2號4樓之18,
同樂管樂團,音樂,0871,臺北市政府文化局,379590000E,臺北市中山區長春路167號,http://blog.yam.com/ttab
聲創教育坊,音樂,0870,臺北市政府文化局,379590000E,臺北市大安區忠孝東路三段303號4樓之5,http://www.voice-alive-creation.com
陳錫煌傳統掌中劇團,戲劇,0869,臺北市政府文化局,379590000E,臺北市大同區重慶北路二段196號6樓之13,
臺北市華聲南樂團,音樂,0868,臺北市政府文化局,379590000E,臺北市大同區玉泉里延平北路一段22號6樓之2,
長宏吉他樂坊,音樂,0866,臺北市政府文化局,379590000E,臺北市中山區民生西路3巷2之2號4樓,http://blog.xuite.net/rtgt999/twblog
羊喚劇場工作室,戲劇,0865,臺北市政府文化局,379590000E,臺北市士林區明溪街39號4樓,
台灣藥師合唱團,音樂,0864,臺北市政府文化局,379590000E,臺北市內湖區內湖路一段387巷9號1樓,http://tw.myblog.yahoo.com/happytpc
箴言詩篇聖樂團暨管絃樂團,音樂,0861,臺北市政府文化局,379590000E,臺北市中正區杭州南路1段27號5樓,http://www.psma.org.tw/
派對家兒童劇團,戲劇,0860,臺北市政府文化局,379590000E,臺北市內湖區康樂街136巷3弄18號6樓之1,http://kidspartytheatre.blogspot.com/
台音雅頌藝文社,音樂,0858,臺北市政府文化局,379590000E,臺北市大安區和平東路1段214號3樓之3,
瑜林箏樂團,音樂,0857,臺北市政府文化局,379590000E,臺北市內湖區五分里22鄰安康路434巷20弄42號5樓,
新唐人旗鼓隊,舞蹈,0856,臺北市政府文化局,379590000E,臺北市信義區松隆路102號B1,http://www.7Gu.tw
四象箏樂團,音樂,0855,臺北市政府文化局,379590000E,臺北市士林區忠義街40號4樓,https://www.facebook.com/profile.php?id=100063650322922
東方之翼創作樂坊,音樂,0853,臺北市政府文化局,379590000E,臺北市松山區民生東路四段一一二巷七弄二二號,
柘室內樂集,音樂,0851,臺北市政府文化局,379590000E,臺北市南港區舊莊路1段290巷2弄4號3樓,
米拉索佛拉明哥舞團,舞蹈,0850,臺北市政府文化局,379590000E,臺北市士林區福華路166巷10號1樓,http://www.mirasol.com.tw
台北市樂一大提琴室內樂團,音樂,0846,臺北市政府文化局,379590000E,臺北市中山區民權東路二段17號1樓,
台北市福德打擊樂團,音樂,0845,臺北市政府文化局,379590000E,臺北市信義區中坡南路215巷18號6樓,
葛莉絲室內樂團,音樂,0844,臺北市政府文化局,379590000E,臺北市大安區和平東路三段四九號二樓之四,http://new-design.myweb.hinet.net/garriss.htm
莫比斯圓環創作公社,戲劇,0843,臺北市政府文化局,379590000E,臺北市大安區通化街140巷10號4樓,https://www.facebook.com/mobiusstriptheatre/
找我劇場,戲劇,0842,臺北市政府文化局,379590000E,臺北市中正區南昌路?段142之1號3樓之9,http://www.esp-i.com/
細拉合唱團,音樂,0841,臺北市政府文化局,379590000E,臺北市內湖區康寧路3段99巷8弄1號1樓,
柏齡太鼓團,音樂,0840,臺北市政府文化局,379590000E,臺北市中山區北安路805巷4弄5號地下,http://www.facebook.com/bolingtaiko
正文劇團,戲劇,0837,臺北市政府文化局,379590000E,臺北市大同區民生西路71號2樓,
原舞素文化藝術團,舞蹈,0836,臺北市政府文化局,379590000E,臺北市中正區寧波西街97號13樓,
恁｜藝｜門 當代藝術,雜藝,0835,臺北市政府文化局,379590000E,臺北市松山區富錦街442-3號3樓,
拈花微笑聾劇團,戲劇,0834,臺北市政府文化局,379590000E,臺北市松山區南京東路3段194巷5號1樓,http://tw.myblog.yahoo.com/seeingsmiling
永約佈道團,音樂,0833,臺北市政府文化局,379590000E,臺北市中正區羅斯福路四段一一九巷五八號,
吳兆南相聲劇藝社,雜藝,0832,臺北市政府文化局,379590000E,臺北市大安區忠孝東路4段148號6樓之2,http://wuzhaonan2010.pixnet.net/blog
台北醫學大學暨輔仁大學聯合管樂團,音樂,0831,臺北市政府文化局,379590000E,臺北市士林區社新里社子街四一之一號,
?音集,音樂,0830,臺北市政府文化局,379590000E,臺北市松山區民有里一四鄰敦化北路二二二巷一八弄六號五樓之二,http://www.tritonearts.com.tw
MONSTER競技啦啦隊,舞蹈,0829,臺北市政府文化局,379590000E,臺北市松山區民生東路四段五三號七樓,http://www.facebook.com/monstercheerleadingteam/info
Taiwan Brass 臺灣銅管重奏團,音樂,0828,臺北市政府文化局,379590000E,臺北市松山區民生東路5段69巷3弄1號,
玉門舞集,舞蹈,0827,臺北市政府文化局,379590000E,臺北市北投區建民路一六一之九號七樓,https://www.facebook.com/Yuimen/
人澹如菊茶書院,雜藝,0825,臺北市政府文化局,379590000E,臺北市大安區金山南路二段一八五巷二十四號一樓,
拷秋勤(Kou Chou Ching),音樂,0824,臺北市政府文化局,379590000E,臺北市大安區敦化南路一段200號1202室,http://www.kou.com.tw
世界之音合唱團,音樂,0823,臺北市政府文化局,379590000E,臺北市文山區木柵路二段五十五之五號一樓,
FocalPlus人聲樂團,音樂,0822,臺北市政府文化局,379590000E,臺北市中正區忠孝東路一段三十五號八樓,http://blog.pixnet.net/Focalplus
台北市青少年管弦樂團,音樂,0820,臺北市政府文化局,379590000E,臺北市內湖區康寧路三段九十九巷十二弄十二號,
金頌銅管樂團,音樂,0819,臺北市政府文化局,379590000E,臺北市萬華區西藏路115巷5弄8號3樓,http://blog.roodo.com/brassband
Miss FuFu俏福舞團,舞蹈,0818,臺北市政府文化局,379590000E,臺北市大安區忠孝東路四段二五○號三樓之六,http://www.facebook/allureyang
民曲傳統樂團,音樂,0817,臺北市政府文化局,379590000E,臺北市中山區新生北路二段一二○號一樓,
齊聚一堂劇團,戲劇,0816,臺北市政府文化局,379590000E,臺北市大安區復興南路二段78巷72號4樓,http://www.wretch.cc/blog/renshindrama
風之香頌法式管樂團,音樂,0814,臺北市政府文化局,379590000E,臺北市松山區八德路四段二四五巷二十號九樓,
實驗大廈,雜藝,0813,臺北市政府文化局,379590000E,臺北市內湖區內湖里14鄰成功路四段28號十樓之一,http://buildinglab.blogspot.com/
野聲合唱團(The Cardinal Singers),音樂,0810,臺北市政府文化局,379590000E,臺北市中山區松江路 63 巷 5 號 5 樓,http://www.goodshepherd.org.tw
菁英藝術家,音樂,0809,臺北市政府文化局,379590000E,臺北市中正區濟南路2段13之1號5樓,http://www.eliteartiststrio.com
奧尼斯爵士樂團,音樂,0808,臺北市政府文化局,379590000E,臺北市萬華區廣州街80號4樓,
台北愛樂室內樂坊,音樂,0806,臺北市政府文化局,379590000E,臺北市中正區濟南路1段7號地下1樓,http://tspo.pixnet.net/blog
膛口表演劇團,戲劇,0805,臺北市政府文化局,379590000E,臺北市中山區德惠街52號7樓之2,
欣響室內管樂團,音樂,0804,臺北市政府文化局,379590000E,臺北市北投區中和街20巷2號10樓之6,
醫聲室內樂團,音樂,0803,臺北市政府文化局,379590000E,臺北市大安區忠孝東路三段二一七巷五弄二十一號,http://www.music.org.tw/
再現劇團,戲劇,0802,臺北市政府文化局,379590000E,臺北市大同區環河北路2段237巷7號4樓,http://reurl.cc/emVkrQ
林文中舞團,舞蹈,0801,臺北市政府文化局,379590000E,臺北市北投區大興街23巷7號,
增蘭音樂劇團,舞蹈,0799,臺北市政府文化局,379590000E,臺北市松山區敦化南路一段25號6樓,http://www.rosyclouds.org.tw/
葛蕾斯長笛樂坊,音樂,0795,臺北市政府文化局,379590000E,臺北市大安區羅斯福路三段九十九號八樓之二,
好主意製作,音樂,0791,臺北市政府文化局,379590000E,臺北市士林區德行東路46巷5弄7號1樓,
福爾摩沙青年合唱團,音樂,0790,臺北市政府文化局,379590000E,臺北市中山區民權東路二段61號二樓,http://www.formosasingers.com.tw
台北正心箏樂團,音樂,0789,臺北市政府文化局,379590000E,臺北市大安區和平東路3段49號10樓之3,
武童歌劇團,戲劇,0788,臺北市政府文化局,379590000E,臺北市大同區重慶北路二段一九六號六樓之十三,
Miss chamber迷香柏樂團,音樂,0787,臺北市政府文化局,379590000E,臺北市大安區忠孝東路四段216巷23號B1,
島嶼木管五重奏,音樂,0786,臺北市政府文化局,379590000E,臺北市士林區中正路187巷25號1樓,
台灣巴洛克樂團,音樂,0784,臺北市政府文化局,379590000E,臺北市士林區華岡路五十五號,
聞子儀融合風肚皮舞團,舞蹈,0782,臺北市政府文化局,379590000E,臺北市中山區中山北路二段137巷1號(地下之二),http://www.facebook.com/DanceArtCave/info
WHY NOT 劇團工作室,戲劇,0781,臺北市政府文化局,379590000E,臺北市大安區羅斯福路三段125號6樓之6,http://www.facebook.com/whynotdrama
音樂時代劇場,戲劇,0779,臺北市政府文化局,379590000E,臺北市大安區安和路2段19號2樓,http://www.allmusic-mag.net
异境樂團,音樂,0778,臺北市政府文化局,379590000E,臺北市文山區羅斯福路5段176巷3弄6號,
台北十六合唱團,音樂,0777,臺北市政府文化局,379590000E,臺北市士林區中山北路七段82巷10弄39號3樓,
西尤樂團,音樂,0774,臺北市政府文化局,379590000E,臺北市信義區和平東路三段341巷1號2樓之5,https://www.facebook.com/groups/1148377971863862
聲體藝室,雜藝,0773,臺北市政府文化局,379590000E,臺北市萬華區青年路四十四號十樓之二,
全球客家聲韻歌劇團,戲劇,0772,臺北市政府文化局,379590000E,臺北市北投區明德路一七四巷八號二樓,
莫拉非耳樂團 Mulophier,音樂,0771,臺北市政府文化局,379590000E,臺北市文山區忠順街1段26巷13弄14號4樓,
敦煌箏樂團,音樂,0770,臺北市政府文化局,379590000E,臺北市中正區信義路一段9之2號1樓,http://www.music168.com.tw
中華客家音樂團,音樂,0769,臺北市政府文化局,379590000E,臺北市大安區大安路一段一一六巷十五號一樓,
茱蒂口琴樂團,音樂,0768,臺北市政府文化局,379590000E,臺北市中山區民權東路二段七十一巷三十九號三樓,http://www.judys.idv.tw
臺北市中正國中管樂校友團,音樂,0767,臺北市政府文化局,379590000E,臺北市中正區愛國東路一五八號,
台北慶和館醒獅團,雜藝,0766,臺北市政府文化局,379590000E,臺北市中山區民權東路3段160巷15號4樓,https://www.facebook.com/chingho1977/
玩物劇場,舞蹈,0765,臺北市政府文化局,379590000E,臺北市信義區安康里1鄰虎林街164巷60弄8號2樓,
四把椅子劇團,戲劇,0764,臺北市政府文化局,379590000E,臺北市松山區敦化北路一六五巷五十六號四樓,
創價天使鼓笛隊樂團,音樂,0762,臺北市政府文化局,379590000E,臺北市中山區中山北路2段115巷3弄18號地下1樓,
世紀舞匯,舞蹈,0761,臺北市政府文化局,379590000E,臺北市大安區敦化南路2段81巷65弄7號,
伊舞集,舞蹈,0760,臺北市政府文化局,379590000E,臺北市北投區中央北路一段一三一號四樓,https://www.facebook.com/EdanceTheatre
和韻合唱團,音樂,0759,臺北市政府文化局,379590000E,臺北市南港區三重路十九之二號九樓,
飛天巴士兒童劇場,戲劇,0758,臺北市政府文化局,379590000E,臺北市中正區杭州南路一段十四巷十五號地下樓,
徐家駒低音管室內樂團,音樂,0756,臺北市政府文化局,379590000E,臺北市松山區八德路四段九十一巷三弄三十三號四樓,
塞維亞玫瑰藝術舞坊,音樂,0755,臺北市政府文化局,379590000E,臺北市大安區四維路三十四號,
O劇團,戲劇,0752,臺北市政府文化局,379590000E,臺北市中正區新生南路一段138之1號5樓之1,http://www.otheatretw.com
利未人現代樂團,音樂,0751,臺北市政府文化局,379590000E,臺北市中山區南京西路二十二號六樓,http://www.wretch.cc/mypage/levitesband
含光藝術工作室,音樂,0750,臺北市政府文化局,379590000E,臺北市大安區和平東路一段一八三巷八之一號二樓,
Rosette吉他室內樂團,音樂,0749,臺北市政府文化局,379590000E,臺北市中正區信義路一段9-2號1樓,http://www.guitarra.com.tw/igco/
五度音絃樂四重奏,音樂,0748,臺北市政府文化局,379590000E,臺北市大安區麗水街九巷六號三樓,
陽光台北交響樂團,音樂,0746,臺北市政府文化局,379590000E,臺北市大安區泰順街五十四巷十六號一樓,http://www.suntaipeiphil.org/
〈DanceJam〉DJ舞團,舞蹈,0745,臺北市政府文化局,379590000E,臺北市士林區德行東路74巷15弄16號4樓,
臺北市和鳴南樂社團,音樂,0744,臺北市政府文化局,379590000E,臺北市大同區南京西路212號,
愚韻室內管弦樂團,音樂,0743,臺北市政府文化局,379590000E,臺北市大安區光復南路五七八號十二樓之一,
台北印度愛樂中心,音樂,0741,臺北市政府文化局,379590000E,臺北市信義區松德路171號5樓之7,http://www.indianandworldmusic.com.tw
謝宇威樂團,音樂,0740,臺北市政府文化局,379590000E,臺北市文山區和興路四十四巷三弄十一號五樓,
自然舞動遊樂場舞團,舞蹈,0739,臺北市政府文化局,379590000E,臺北市中山區和平東路三段三○八巷三十九弄三號二樓,
太古琴館,音樂,0737,臺北市政府文化局,379590000E,臺北市松山區南京東路4段180號12樓,http://taigu.pixnet.net/blog
合真琴社,音樂,0736,臺北市政府文化局,379590000E,臺北市中正區寧波西街八十六號六樓,
BETA 佛拉明哥藝術坊,音樂,0735,臺北市政府文化局,379590000E,臺北市大同區赤峰街71巷5號5樓,http://blog.yam.com/beta.
向日葵豎笛重奏團,音樂,0734,臺北市政府文化局,379590000E,臺北市士林區東山路110巷12號5樓,http://www.clarinet.url.tw/
佳欣歌劇團,戲劇,0733,臺北市政府文化局,379590000E,臺北市大同區重慶北路2段196號6樓之13,
許芳宜＆藝術家,舞蹈,0732,臺北市政府文化局,379590000E,臺北市信義區松隆路102號15樓,
黑種籽單簧管合奏團,音樂,0731,臺北市政府文化局,379590000E,臺北市大安區建國南路一段304巷26號地下一層之一,
Rubato陶笛音樂藝術樂團,音樂,0730,臺北市政府文化局,379590000E,臺北市士林區文林路九十九號二樓,https://www.facebook.com/rubato.tw
台灣管樂指導者聯盟,音樂,0729,臺北市政府文化局,379590000E,臺北市萬華區長沙街2段96號7樓,http://www.taiwanclinic.com.tw
魅力四射舞團,舞蹈,0727,臺北市政府文化局,379590000E,臺北市萬華區開封街二段32號7樓,http://www.meidance.com
金色陽光青少年樂團,音樂,0725,臺北市政府文化局,379590000E,臺北市大安區永康街七十五巷九之二號三樓,
民安歌劇團,戲劇,0724,臺北市政府文化局,379590000E,臺北市萬華區青年路68巷16號,http://tw.myblog.yahoo.com/minan168/
崎 動力舞蹈劇場,舞蹈,0723,臺北市政府文化局,379590000E,臺北市中山區吉林路四十五號四樓四○三室,
躍演,戲劇,0722,臺北市政府文化局,379590000E,臺北市中山區南京東路一段25號6樓之4,
張琳琳美聲劇坊,音樂,0721,臺北市政府文化局,379590000E,臺北市中山區南京東路一段十三巷六弄十五號,
上勝古典樂團,音樂,0719,臺北市政府文化局,379590000E,臺北市內湖區內湖路二段十五號一樓,http://www.shangsheng.com.tw
莉莉安舞蹈團,舞蹈,0718,臺北市政府文化局,379590000E,臺北市大安區四維路198巷36號2樓,
台北當代合唱團,音樂,0717,臺北市政府文化局,379590000E,臺北市南港區南港路3段356號,http://tccc.main.nu
台北和樂集,音樂,0716,臺北市政府文化局,379590000E,臺北市文山區興隆路4段109巷96號5樓,
台灣絃樂四重奏樂團,音樂,0715,臺北市政府文化局,379590000E,臺北市中正區金山南路一段三十一號,
蝴蝶琴室揚琴樂團,音樂,0714,臺北市政府文化局,379590000E,臺北市文山區景後街九十五號十樓之一,
林家慶大樂團,音樂,0713,臺北市政府文化局,379590000E,臺北市南港區興華路30巷30號7樓,
悅萃坊,音樂,0711,臺北市政府文化局,379590000E,臺北市文山區興隆路二段一五三巷十七號一樓,http://tw.myblog.yahoo.com/lifestory-theatre
沈宜璇中東肚皮舞團,舞蹈,0708,臺北市政府文化局,379590000E,臺北市萬華區中華路一段110號8樓,http://www.bellydance.com.tw
前音劇廠,音樂,0707,臺北市政府文化局,379590000E,臺北市中正區臨?沂街50之4號,http://arenadiavantmusica.wordpress.com
淡江聽濤合唱團,音樂,0706,臺北市政府文化局,379590000E,臺北市中山區北安路589號5樓,http://www.catalpa.net/tku/
流浪舞蹈劇場,音樂,0705,臺北市政府文化局,379590000E,臺北市大安區復興南路一段213號5樓,http://fluxwave.com.tw
水舞台南北管樂團,音樂,0704,臺北市政府文化局,379590000E,臺北市內湖區文湖街二號八樓,
