編號,評鑑等級,機構名稱,機構地址,電話,傳真,經營業務範圍,所屬仲介公會,負責人/經理人姓名,負責人/經理人英文姓名,公司統一編號,營業項目,專業人員人數,聘僱許可雙語人員人數,從業人員人數
18,A,真理國際有限公司,臺北市內湖區民權東路六段１８０巷６號６樓之１,02-5558-2799,02-27927699,國內暨國外,臺北市就業服務商業同業公會,陳竹勝,"CHEN, CHU-SHENG",84117285,I701011,2,0,6
19,績優免評,大智國際人力仲介有限公司,臺北市中山區松江路７５之１號８樓,02-25080811,02-25071051,國內暨國外,臺北市就業服務商業同業公會,張添勇,"CHANG,TIEN-YUNG",84133594,I701011,12,6,56
20,績優免評,萬通人力資源顧問股份有限公司,臺北市松山區八德路２段３７４號９樓之３,02-27511358,02-27716866,國內暨國外,臺北市就業服務商業同業公會,侯牧村,"HOU,MU-TSUEN",86892120,I701011,2,2,9
21,A,鎵興國際股份有限公司,臺北市中正區忠孝東路１段７６號８樓之２,02-2392-0515,02-2392-0155,國內暨國外,臺北市就業服務商業同業公會,黎高興,"LI, KAO-HSINH",84126030,I701011,13,5,41
22,B,鴻明人力資源顧問有限公司,臺北市中正區開封街１段１０５號３樓之５,02-23813771,02-2312296,國內暨國外,未加入公會或不詳,張孝彬,"CHANG,HSIAO-PIN",84289028,I701011,1,1,3
23,A,協展人力仲介股份有限公司,臺北市中正區忠孝東路１段７６號８樓之４,02-23920109,02-23920155,國內暨國外,臺北市就業服務商業同業公會,彭福榮,"PEN, FU-RONG",84503955,I701011,4,0,15
24,B,美加人力資源管理顧問股份有限公司,臺北市信義區松山路１３０號８樓之１,02-87875288,02-87875250,國內暨國外,臺北市就業服務商業同業公會,郭宗周,"KUO, TSUNG-JOU",84479385,I701011,2,0,7
25,績優免評,田嘉企業股份有限公司,臺北市內湖區瑞光路３１６巷５８號２樓,02-27992169,02-26575490,國內暨國外,中華民國人力仲介協會,田慧雲,"TIEN, HUI-YUN",30906116,I701011,2,0,9
26,績優免評,飛國企業有限公司,臺北市松山區南京東路５段１５６號１０樓,02-27605750,02-27605366,國內暨國外,臺北市就業服務商業同業公會,張淑芬,CHANG SHU-FEN,84622122,I701011,3,0,6
27,績優免評,長宏人力仲介有限公司,臺北市中山區松江路３１７號４樓,02-25167566,02-25094117,國內暨國外,臺北市就業服務商業同業公會,梁正和,LIANG CHENG HO,84944377,I701011,5,7,37
28,績優免評,鎵鴻人力資源管理顧問股份有限公司台北分公司,臺北市中山區松江路３號６樓之３,(02)87718125,02-25507090,,,黎芷炘,"LI, CHIH-HSIN",16966366,I701011,1,0,3
29,A,東聯人力資源管理顧問有限公司,臺北市松山區復興南路１段４５號８樓,02-27511297,02-27416448,國內暨國外,臺北市就業服務商業同業公會,駱宜德,"LAW, I-DER",89945213,I701011,2,2,9
30,B,力得人力仲介有限公司,臺北市信義區虎林街２１２巷４０之２號３樓,02-27597410,02-27598300,國內暨國外,臺北市就業服務商業同業公會,周淑&#33565;,"CHOU,SU-CHAI",89936191,I701011,1,0,5
31,A,鎮大實業股份有限公司,臺北市松山區復興北路１９１號５樓之２,(02)25452828,(02)25452829,國內暨國外,臺北市就業服務商業同業公會,張耿榮,CHANG KENG JUNG,89451512,I701011,4,2,15
32,B,百盛人力資源顧問有限公司,臺北市松山區南京東路５段５６號１０樓,02-27567128,02-27567270,國內暨國外,臺北市就業服務商業同業公會,陳春春,"CHEN,CHUN-CHUN",89513334,I701011,1,0,5
33,B,悅元實業股份有限公司,臺北市大同區西寧北路１１２號５樓,02-25585538,02-25586938,國內暨國外,臺北市就業服務商業同業公會,閻茂鈴,"YEN,MAO-LING",84267468,I701011,1,0,2
34,績優免評,格瑞特興業有限公司,臺北市萬華區西園路１段２００號７樓、７樓之３、１０樓之２,02-23366691,02-23366690,國內暨國外,臺北市就業服務商業同業公會,陳慶陸,"CHEN,CHING-LU",89976756,I701011,8,6,50
35,A,通穩國際有限公司,臺北市內湖區安美街１６１號３樓,02-27963175,02-27951647,國內暨國外,臺北市就業服務商業同業公會,許清旺,"HSU,CHIN-WANG",89477983,I701011,3,0,5
36,B,弘楷人力資源管理顧問有限公司,臺北市內湖區成功路５段４５０巷２１弄１５號,(02)26306155,(02)26343039,國內暨國外,中華民國人力仲介協會,簡大翔,"CHIEN,TA-HSIANG",89938304,I701011,3,0,9
37,A,宏泰國際人力仲介股份有限公司台北分公司,臺北市中山區民生東路１段５４號８樓之２,02-25239861,02-25239878,,臺北市就業服務商業同業公會,周明輝,"CHOU, MING-HUI",89781936,I701011,1,0,2
38,B,宏得寶有限公司,臺北市內湖區安美街１６５號６樓,02-87920301,02-87920302,國外,臺北市就業服務商業同業公會,李惠芳,"LEE,HUI-FANG",89594027,I701011,3,0,10
39,績優免評,聯暐國際有限公司,臺北市中山區民生東路３段３６號３樓之５,02-25153988,02-25153987,國外,臺北市就業服務商業同業公會,欒可鈺,"LUAN, KO-YU",89615613,I701011,3,1,4
40,績優免評,才智企管顧問有限公司,臺北市中山區南京東路２段１６０號８樓,02-25097528,02-25097526,國內暨國外,未加入公會或不詳,朱燦然,"CHU, TSAN-JAN",84458277,I701011,1,0,2
41,B,比利佛有限公司,臺北市大安區和平東路１段５０巷１弄８號３樓之８,02-83693078,02-83693803,國內暨國外,未加入公會或不詳,許慶僚,"HSU,CHING-LIAO",97302656,I701011,1,0,3
42,B,瑞強國際股份有限公司,臺北市中山區長安東路１段３６號４樓,02-66088565,02-25431565,國內暨國外,臺北市就業服務商業同業公會,孫明中,SUN MING-CHUNG,16166456,I701011,6,2,18
43,B,弘茂人力仲介有限公司,臺北市中正區和平西路１段８８號２樓,02-23625012,02-23684374,國內暨國外,臺北市就業服務商業同業公會,王瑞瑋,"WANG, JUI-WEI",16174478,I701011,1,1,4
44,A,全國人力仲介有限公司,臺北市大安區忠孝東路４段１４８號４樓之７,02-27722122,02-87735389,國內暨國外,臺北市就業服務商業同業公會,范國永,"FAN, KUO-YUNG",97473285,I701011,2,0,5
45,績優免評,集士國際開發股份有限公司,臺北市中山區長安東路１段２７號１０樓,02-21002325,02-21002968,國內暨國外,臺北市就業服務商業同業公會,張寶釵,"CHANG, PO-TSAI",23325705,I701011,9,10,45
46,績優免評,揚捷國際有限公司,臺北市中山區朱馥里建國北路２段３３號９樓之６,02-25160759,02-25160607,國內暨國外,臺北市就業服務商業同業公會,高慧君,"KAO, HUI-CHUN",16385282,I701011,9,3,35
47,A,聯亞人力資源管理顧問有限公司,臺北市大安區和平東路２段２９５號３樓,02-27555866,02-27555115,國內暨國外,臺北市就業服務商業同業公會,蔡宗志,"TSAI, CHUNG-CHIH",16298317,I701011,6,3,26
48,A,禾畯有限公司,臺北市信義區松仁路１７８號２樓,02-27583935,02-25082689,國內暨國外,臺北市就業服務商業同業公會,曹斯崴,"TSAO,SHIH-WEI",16417849,I701011,2,0,4
49,C,安泰人力仲介有限公司,臺北市大安區信義路４段２６３號１２樓之３,02-27016636,02-27016369,國內暨國外,臺北市就業服務商業同業公會,張文祥,"CHANG, WEN-HSIANG",16586345,I701011,1,1,4
50,B,陽明人力仲介有限公司,臺北市中山區長安東路２段２３０號６樓之８,02-87736608,02-87736682,國內暨國外,臺北市就業服務商業同業公會,宋淑貞,"SUNG, SHU-CHENG",16756397,I701011,3,0,14
51,A,鴻寶國際有限公司,臺北市松山區八德路３段８１號４樓之２,02-25705509,02-25703483,國內暨國外,中華民國人力仲介協會,譚文博,"TEN,WEN-PO",16770742,I701011,1,0,4
52,績優免評,家興人力資源顧問股份有限公司,臺北市中正區忠孝東路１段７６號８樓之５,02-23920109,02-2392-0155,國內暨國外,未加入公會或不詳,黎金生,"LEE,CHIN-SHEN",16793365,I701011,17,6,66
53,績優免評,好用人力仲介有限公司,臺北市中山區南京東路２段１１號９樓之１,02-25630119,02-25210067,國內暨國外,臺北市就業服務商業同業公會,黃杲傑,"HUANG,KAO-CHIEH",70360061,I701011,3,2,9
54,績優免評,民勤國際企業有限公司,臺北市中山區吉林路１２７號３樓,02-25420230,02-25629765,國內暨國外,臺北市就業服務商業同業公會,洪水生,"HUNG,SHUI-SHENG",70356209,I701011,3,1,6
55,B,日新國際開發有限公司,臺北市松山區長安東路２段２１５號１４樓之４,02-87723160,02-87723227,國內暨國外,未加入公會或不詳,吳志強,"WU,CHIH-CHIANG",70362201,I701011,1,0,2
56,績優免評,新象人力仲介有限公司台北分公司,臺北市信義區基隆路１段１４１號９樓,02-77181885,02-77181995,,未加入公會或不詳,陳玉玲,"CHEN,YU-LING",27837559,I701011,1,1,5
57,B,德安人力仲介有限公司,臺北市大安區信義路４段１８７號７樓,02-27553268,02-27553329,國內暨國外,未加入公會或不詳,陳宗寶,"CHEN, CHUNG-PAO",70377648,I701011,1,0,1
58,B,東?企業有限公司,臺北市士林區中山北路５段６８７號２樓,02-28365656,02-28360505,國內暨國外,臺北市就業服務商業同業公會,劉吳益,"LIU, WU-I",70361224,I701011,4,2,20
59,B,亞司人力資源有限公司,臺北市信義區信義路４段４０５號１０樓之１,02-2720-2567,02-2720-2782,國內暨國外,臺北市就業服務商業同業公會,洪花,"HUNG,HUA",16900724,I701011,2,0,5
60,B,越僑國際股份有限公司,臺北市中山區民生東路１段５４號１２樓,02-25634978,02-25637883,國內暨國外,未加入公會或不詳,林錫謄,"LIN, HSI-TENG",16789192,I701011,1,0,3
61,A,凱銓企業股份有限公司,臺北市中山區長安東路２段１１０號１１樓,02-25060699,02-25040799,國內暨國外,未加入公會或不詳,梁海,"LIANG, HAI",22433038,I701011,2,0,4
62,績優免評,今源國際開發股份有限公司,臺北市大同區南京西路１８５巷６號,02-25505100,02-25553253,國內暨國外,臺北市就業服務商業同業公會,蔡坤龍,"TSAI, KUN-LUNG",70444457,I701011,5,3,14
63,B,主信人力資源有限公司,臺北市中山區南京東路１段１６號９樓之８,02-25222077,02-25215373,國內暨國外,臺北市就業服務商業同業公會,許志遠,"HSU,CHIH-YUAN",70477246,I701011,1,0,3
64,B,廣達國際專業人力仲介有限公司,臺北市中山區中山北路３段２６號９樓之３,(02)25983376,(02)25959741,國內暨國外,臺北市就業服務商業同業公會,陳瑋,"CHEN,WEI",12658395,I701011,1,1,5
65,B,新星人力仲介國際有限公司,臺北市士林區重慶北路４段２５１號４樓,(02)88115800,(02)88113010,國內暨國外,未加入公會或不詳,蔡明忻,TSAI MING HSING,12702759,I701011,1,1,4
66,績優免評,飛越國際人力資源管理顧問有限公司,臺北市中山區南京東路１段６２之１號３樓之２,02-25252000,02-25252733,國內暨國外,臺北市就業服務商業同業公會,陳玲麗,"CHEN, LING-LI",70575247,I701011,2,0,2
67,績優免評,傑宏管理顧問有限公司,臺北市信義區松山路３０８號６樓,02-27635189,02-27468025,國內暨國外,臺北市就業服務商業同業公會,張淑珍,"CHANG, SHU-CHEN",12693718,I701011,3,1,11
68,績優免評,聖洋國際股份有限公司,臺北市大同區民族西路２６９號７樓之１,02-25857330,02-25978333,國內暨國外,臺北市就業服務商業同業公會,李淑梅,"LEE,SHU-MEI",12864629,I701011,4,3,20
69,A,安仁人力資源管理顧問有限公司,臺北市松山區南京東路５段７０號１０樓之３,02-27667195,02-27649119,國內暨國外,臺北市就業服務商業同業公會,李湘君,"LEE, HSIANG-CHUN",12980845,I701011,2,0,10
70,B,山大人力有限公司,臺北市中正區忠孝西路１段５０號１２樓之３９,02-23613660,02-23612160,國內暨國外,臺北市就業服務商業同業公會,晏彩英,"YEN, TSAI-YING",13110156,I701011,2,2,4
71,B,好評國際有限公司,臺北市文山區景興路２３８巷１號５樓,02-29355515,02-29356652,國內暨國外,臺北市就業服務商業同業公會,張國強,"CHANG,KU-CHIANG",13115429,I701011,2,0,4
72,B,伯樂人才資源仲介管理顧問有限公司,臺北市中山區松江路４２號５樓之９,02-2563-5575,02-3322-9279,國內暨國外,未加入公會或不詳,莊家榮,CHUANG CHIA JUNG,13121148,I701011,2,0,4
73,B,晉展國際有限公司,臺北市大同區民權西路１３６號１５樓之２,02-2553-0004,02-2553-0414,國內暨國外,臺北市就業服務商業同業公會,仇聖潔,"CHOU, SHENG-JYE",13081271,I701011,1,0,3
74,A,亞太資源管理顧問股份有限公司,臺北市中山區樂群二路２６７號３樓之５,02-25326778,02-25325778,國內暨國外,未加入公會或不詳,陳怡寧,CHEN YI LING,80262119,I701011,5,6,20
75,績優免評,華公行有限公司,臺北市中山區中山北路３段４５之１號,02-25872200,02-25854329,國內暨國外,未加入公會或不詳,楊俊逸,"YANG,CHUN-YI",14033431,I701011,1,0,5
76,A,天賜人力資源顧問有限公司,臺北市中山區中山北路３段２７號４樓之２,02-25952569,02-25952545,國內暨國外,未加入公會或不詳,蕭璦娜,SHIAU AI NA,80160274,I701011,1,0,5
77,A,偉智人力仲介有限公司,臺北市中山區南京東路１段３４號６樓,02-25232527,02-25230196,國內暨國外,臺北市就業服務商業同業公會,張傳祥,"CHANG,CHUAN-HSIANG",80197429,I701011,3,0,6
78,A,大愛國際人力仲介有限公司,臺北市大安區復興南路二段８４號９樓之１,02-27003988,02-27086076,國內暨國外,臺北市就業服務商業同業公會,張斯堯,"CHANG, SZU-YAO",80494238,I701011,2,0,6
79,績優免評,倍斯特人力仲介股份有限公司台北分公司,臺北市北投區天母西路１３２之１５號,03-4947878,03-4947676,,,陳玉宏,CHEN YU HUNG,53982662,I701011,1,0,1
80,B,怡吉國際有限公司,臺北市大安區安和路二段２１３號２樓之１,02-23698000,02-8992-9414,國內暨國外,未加入公會或不詳,章珍甄,"CHANG,CHEN-CHEN",80531085,I701011,1,0,4
81,B,賓雅仕企業有限公司,臺北市中正區忠孝西路１段４１號４樓之２,02-23315389,02-23822346,國內暨國外,臺北市就業服務商業同業公會,許明輝,"HSU, MING-HUEI",84745187,I701011,1,0,5
82,B,俊傑國際有限公司,臺北市信義區基隆路１段１０３號１３樓之２,02-27642948,02-27644805,國內暨國外,臺北市就業服務商業同業公會,郭亞瑞,"KUO,YA-JUI",80669383,I701011,1,0,2
83,B,尚豪人力仲介有限公司,臺北市中正區博愛路１３０號６樓之１,02-23705828,02-23706082,國內暨國外,未加入公會或不詳,林重甫,"LIN,CHUNG-FU",80692194,I701011,1,0,5
84,B,靖峰人力仲介有限公司,臺北市中山區中山北路３段４９之３號１樓,02-25983113,02-25959131,國內暨國外,未加入公會或不詳,邱碧珍,SUSANA KU,27359070,I701011,1,0,3
85,績優免評,高鼎企業管理顧問有限公司,臺北市大安區復興南路２段２３７號９樓之１８,02-27001498,02-27542488,國內暨國外,臺北市就業服務商業同業公會,蔡慧玲,"TSAI,HUI-LING",80685715,I701011,6,0,27
86,績優免評,全世界人力資源開發股份有限公司,臺北市松山區塔悠路２７號４樓之１,02-27624999,02-27600909,國內暨國外,臺北市就業服務商業同業公會,林光煒,"LIN, KUANG-WEI",80698346,I701011,6,2,23
87,A,傑瑞興人力仲介有限公司,臺北市大安區忠孝東路４段２９７號３樓,02-27718166,02-27718275,國內暨國外,未加入公會或不詳,劉宜樹,LIU YI SHU,27735878,I701011,1,0,4
88,A,台力人力國際有限公司,臺北市中山區民生東路１段２５號６樓之３７,02-21002666,02-25715022,國內暨國外,中華民國人力仲介協會,陳坤鎮,"CHEN,KUN-CHENG",27752019,I701011,4,2,16
89,績優免評,萬通國際人力開發股份有限公司台北分公司,臺北市松山區中崙里八德路二段３７４號１２樓之１,02-23702258,02-23702358,,,方榮強,"FANG, JUNG-CHIANG",53272156,I701011,1,0,3
90,績優免評,台灣阿信服務事業股份有限公司,臺北市中正區忠孝西路１段６號３樓,02-23706116,02-23705958,國內暨國外,未加入公會或不詳,許美鈴,HSU MEI LING,80291352,I701011,2,2,9
91,績優免評,亞都國際事業有限公司,臺北市松山區八德路４段６０６號６樓之２,02-27620901,02-27620903,國內暨國外,未加入公會或不詳,吳雅慧,"WU, YA-HUI",27967166,I701011,1,1,5
92,A,煒晟國際股份有限公司,臺北市中山區雙城街１８巷１１號１樓,02-25865775,02-25992800,國內暨國外,中華民國人力仲介協會,吳添富,"WU,TIEN-FU",27567788,I701011,3,5,10
93,A,菁華人力資源管理顧問股份有限公司,臺北市松山區東興路１２號２樓,02-87873547,02-87876838,國內暨國外,臺北市就業服務商業同業公會,平國華,"PING,KUO-HUA",12953349,I701011,4,1,8
94,B,臺師菁英企管顧問有限公司,臺北市大安區忠孝東路４段２２２號３樓,02-27528356,02-27119116,國內暨國外,未加入公會或不詳,黃裕迪,"HUANG, YU-DI",28335105,I701011,1,0,3
95,B,立人人力資源有限公司台北分公司,臺北市松山區南京東路４段１２０巷２９弄１５號,02-25791516,02-25791216,,,張恩齊,CHANG EN CHI,85096792,I701011,1,0,2
96,A,台安人力仲介有限公司,臺北市松山區八德路２段３５６號,02-87733990,02-27519247,國內暨國外,臺北市就業服務商業同業公會,林澤瀚,LIN TSE-HAN,28218628,I701011,2,0,4
97,B,成龍通人力資源有限公司,臺北市中山區中山北路３段２７之１號,02-25935488,02-23252065,國內暨國外,未加入公會或不詳,周雅棉,"CHOU, YA-MIEN",28230144,I701011,1,0,1
98,B,宇舜國際有限公司,臺北市中正區重慶南路１段９９號８樓之１,02-23832505,02-23832506,國內暨國外,,洪志鵬,"HUNG, CHIH-PENG",28486010,I701011,2,0,3
99,績優免評,全球人力資源管理顧問有限公司,臺北市中正區中山北路１段２號７樓,02-23817639,02-23715960,國內暨國外,臺北市就業服務商業同業公會,陳福水,"CHEN, FU-SHUI",28487377,I701011,7,1,24
100,B,紳富資源開發有限公司,臺北市士林區中山北路５段６８７號３樓,02-88662289,02-88662290,國內暨國外,,林秋蘭,"LIN, CHIU-LAN",28478546,I701011,1,1,5
101,績優免評,邦雍人力仲介有限公司,臺北市松山區塔悠路８７號９樓之１,02-27470580,02-27473580,國內暨國外,,鄭鎔,CHENG RUNG,28670830,I701011,3,1,10
102,B,台灣吉金匯有限公司,臺北市中山區中山北路３段４１號,02-25980286,02-25977895,國內暨國外,,Roberto G.Medina Jr.,ROBERTO G.MEDINA JR.,28677355,I701011,1,0,4
103,績優免評,中華就業服務有限公司,臺北市大安區復興南路２段２３７號９樓之１９,02-27080838,02-27542488,國內暨國外,,陳奕儒,CHEN YI-JU,28704634,I701011,3,1,8
104,A,凱翔人力仲介有限公司,臺北市內湖區舊宗路２段１８１巷６號４樓之１,02-26562895/27998570,(02)26560528,國內暨國外,臺北市就業服務商業同業公會,田雙林,"TIEN,SHUAN-LIN",28837297,I701011,1,0,3
105,B,擎宇人力仲介有限公司,臺北市內湖區行愛路１５９號３樓,02-27951579,02-27911788,國內暨國外,臺北市就業服務商業同業公會,柯鈺庭,"KE, YU-TING",28842849,I701011,1,0,5
106,B,憲國有限公司,臺北市中山區中山北路２段７７巷１２之５號４樓,(02)25589681,(02)25589682,國內暨國外,,林輝安,"LIM,SUBANDY",28829775,I701011,1,0,2
107,尚無,同合順企業有限公司,臺北市大同區寧夏路８４號８樓,02-25535058,02-25532198,國內暨國外,,陳曉嵐,"CHEN, HSIAO-LAN",27960810,I701011,1,1,2
108,尚無,藝珂人事顧問股份有限公司,臺北市信義區忠孝東路５段６８號１０樓,02-5552-6168,02-5552-6222,國內暨國外,臺北市就業服務商業同業公會,陳玉芬,"CHEN, YU-FEN",84900645,I701011,7,0,59
109,尚無,藝珂人事顧問股份有限公司躍科分公司,臺北市信義區忠孝東路５段６８號２３樓,02-77375118,02-77180208,,,陳玉芬,"CHEN, YU-FEN",54179967,I701011,3,0,19
110,B,萱鎧國際人力仲介有限公司,臺北市大安區忠孝東路４段２２３巷５３號７樓,02-27783779,02-27786779,國內暨國外,中華民國人力仲介協會,朱慧玲,"CHU,HUI-LING",29032620,I701011,1,1,5
111,B,關懷照護人力仲介有限公司,臺北市松山區塔悠路２７號４樓,02-27627999,02-27626999,國內暨國外,,林為元,"LIN,WEI-YUAN",29048221,I701011,2,0,9
112,尚無,保聖那管理顧問股份有限公司,臺北市大安區敦化南路２段６５號６樓,02-27082929,227065533,國內暨國外,,許書揚,"HSU, SHU-YANG",23167712,I701011,13,0,47
113,B,民生國際開發有限公司,臺北市中山區長安東路２段１６２號５樓之５,02-27816623,02-27815523,國內暨國外,,周清蓮,"CHOU, CHIN-LIEN",24313592,I701011,1,1,5
114,B,晟陽國際開發有限公司,臺北市松山區八德路４段７２巷１２弄１之１號,(02)27479896,(02)27474342,國內暨國外,,陳泓建,"CHEN, HUNG-CHIEN",24346720,I701011,1,0,5
115,B,昶宏人才仲介有限公司,臺北市內湖區成功路５段７１之１號６樓,(02)26307200,(02)26307710,國內暨國外,,陳培東,"CHEN, PEI-TUNG",24416083,I701011,2,2,6
116,B,荃好國際開發有限公司,臺北市中山區中山北路２段１１５巷４３號５樓之２,02-25214488,02-25214498,國內暨國外,,劉芷榕,"LIU,CHIH-JUNG",29073451,I701011,2,1,8
117,尚無,顧得服務股份有限公司,臺北市中正區重慶南路１段７５號４樓,02-23832219,02-23830389,國內暨國外,,劉孝煦,"LIU, HSIAO-HSU",13099407,I701011,1,0,2
118,績優免評,萬寶華企業管理顧問股份有限公司,臺北市大安區敦化南路２段１０５號１０、１３樓,02-27845352,02-27845332,國內暨國外,,徐玉珊,CHUI YUK SHAN LANCY,16087755,I701011,11,0,36
119,B,錸那人力派遣有限公司,臺北市中山區中山北路２段１１５巷４３號５樓之１,(02)25213781,(02)25211473,國內暨國外,,吳雁棱,WU YEN-LING,84302649,I701011,1,0,1
120,績優免評,欣悅人力資源管理顧問股份有限公司,臺北市中正區重慶南路１段１０號９樓之８,(02)23755556,(02)23756657,國內暨國外,,李玄勳,LEE HSUAN HSUN,24495538,I701011,5,1,16
121,B,新勤人力仲介有限公司,臺北市內湖區行愛路１５９號４樓,(02)8791-0659,,國內暨國外,中華民國人力仲介協會,陳雪麗,CHEN HSUEH LI,24499632,I701011,1,0,5
122,B,驊朗企業有限公司,臺北市文山區景隆街１７之２號１樓,02-29359111,02-29359153,國內暨國外,,李日騫,"LEE, JIH-CHIEN",12438055,I701011,1,0,5
123,B,龍光科技有限公司,臺北市中山區雙城街１８巷３號３樓,02-25865479,02-25992800,國內暨國外,,陳振唐,CHEN CHEN TANG,24327688,I701011,5,4,29
124,A,怡樂人力仲介有限公司,臺北市中山區中山北路３段３９號１樓,02-25860344,02-25950258,國內暨國外,,趙世為,"CHAO,SHIH-WEI",25100239,I701011,1,1,5
125,績優免評,勤業眾信管理顧問股份有限公司,臺北市信義區松仁路１００號２１樓,02-25459988,02-25459966,國內暨國外,,鄭興,CHENG HSING,80190853,I701011,5,0,5
126,B,興橋企業管理顧問有限公司,臺北市萬華區中華路１段１８２號２樓之３,02-23318288,02-23317898、23317899,國內暨國外,,潘敏媛,"PAN, MIN-YUAN",25134940,I701011,1,0,4
127,績優免評,頂尖國際行銷顧問有限公司,臺北市中正區中華路２段７５巷８號１、２樓,(02)55710888,(02)23887699,國內暨國外,,甘秀香,"KAN, HSIU-HSIANG",53094462,I701011,2,2,8
128,B,尚榮管理顧問有限公司,臺北市中正區寧波西街２２８號,02-23035636,02-23032776,國內暨國外,,韋新慈,"WEI, HSIN-TZU",53091535,I701011,1,0,3
129,績優免評,一二三生活科技股份有限公司,臺北市內湖區瑞光路４０５號１５樓,02-26560123,02-26561016,國內暨國外,,李文明,"LI, WEN-MING",24306240,I701011,5,0,15
130,B,雅奕國際有限公司,臺北市萬華區長沙街２段９１號３樓之１１,02-23899976,02-23896290,國內暨國外,,房勝明,"FAN, SAN-MING",80186979,I701011,1,0,3
131,尚無,安永管理顧問股份有限公司,臺北市信義區基隆路１段３３３號８樓,(02)2757-8888,(02)2725-1490,國內暨國外,,傅文芳,"FUH,WEN-FUN",97479675,I701011,1,0,4
132,B,數位點子多媒體股份有限公司,臺北市內湖區安美街１８１號５樓,02-27955959,02-2796566,國內暨國外,,何明哲,"HO,MING CHE",27294437,I701011,1,0,10
