縣市,行政區,郵遞區號,特寵業字號及有效期限,許可證登記公司名,電話,地址,營業項目,評鑑等級
臺北市,大同區,103,"V1110314-00
(2028.03.22)",連夢露寵物美容室,02-2559-6369,承德路一段83號1樓,寄養,甲等
臺北市,大同區,103,"V1130399-00
(2027.10.16)",奶油米貓舍,0920-401-993,華亭街9號1樓,買賣,新設
臺北市,大安區,106,"V1070104-01
(2027.07.08)",金吉旺寵物有限公司,"02-2735-9156
0933-097-072",基隆路二段104號,"買賣
寄養",優等
臺北市,大安區,106,"V1070151-02
(2027.08.12)",禮來寵物生活館,02-2735-6877,基隆路二段144巷2號1樓,寄養,乙等
臺北市,大安區,106,"V1070189-00
(2027.07.08)",吉寵企業社,"0971-327-868
0933-914-730",基隆路二段126號1樓,"買賣
寄養",甲等
臺北市,大安區,106,"V1070199-01
(2027.07.29)","愛貓寒舍
有限公司","02-2737-0766
0932-314-613",基隆路二段110號5樓,寄養,甲等
臺北市,大安區,106,"V1070206-00
(2027.10.17)","好寵企業
有限公司",02-2707-8877,信義路三段75-1號1、2樓,寄養,特優
臺北市,大安區,106,"V1130376-00
(2027.04.16)",沐新犬貓坊,0901-413-423,基隆路二段120號1樓,"買賣
寄養",甲等
臺北市,大安區,106,"V1130394-00
(2027.08.13)",喜得貓社,0983-741-977,基隆路二路102號1樓,"買賣
寄養",新設
臺北市,大安區,106,"V1120348-01
(2027.11.17)",貓悅良犬寵物精品店,0983-711-041,基隆路二段110號1及2樓,"買賣
寄養",甲等
臺北市,大安區,106,"V1090268-00
(2026.03.31)","毛小孩美寵興業
有限公司",02-2706-6268,信義路四段293號2樓,寄養,甲等
臺北市,大安區,106,"V1090273-00
(2026.07.13)","韻羽股份
有限公司",0975-279-931,復興南路一段76號10樓之3,"買賣
寄養",特優
臺北市,大安區,106,"V1090279-00
(2026.11.08)",耀晟寵物坊,"02-2739-2705
0972-393-433",基隆路二段130號1樓,"買賣
寄養",甲等
臺北市,大安區,106,"V1090282-00
(2026.12.24)","北歐犬舍
有限公司",0933-066-543,新生南路二段60之1號和60之2號,寄養,特優
臺北市,大安區,106,"V1100287-00
(2027.02.07)",爵靈企業有限公司,0958-096-659,基隆路二段134-1號1樓,"買賣
寄養",乙等
臺北市,大安區,106,"V1110328-00
(2025.08.21)","大安旺旺愛犬屋
有限公司","0988-859-959
0955-909-230",復興南路一段321號6樓及6樓之2,寄養,優等
臺北市,大安區,106,"V1100301-01
(2027.08.04)",毛尾巴商行,"02-2700-0300
0905-239-238",大安路一段205號1樓,寄養,甲等
臺北市,大安區,106,"V1080254-00
(2025.09.16)",貓寶貝寵物園,02-2735-0050,基隆路二段128號1樓,買賣,甲等
臺北市,大安區,106,"V1110321-00
(2025.07.14)","寵愛有加
股份有限公司",0982-377-588,安和路二段41號1樓,寄養,甲等
臺北市,大安區,106,"V1110326-01
(2025.07.27)","東森寵物雲股份
有限公司通化分公司",02-2732-4986,通化街26之7號1樓,"買賣
寄養",乙等
臺北市,大安區,106,"V1110337-00
(2025.11.09)",萬達寵物事業股份有限公司台北新生分公司,02-2542-8800#151,新生南路一段147號1樓,寄養,乙等
臺北市,大安區,106,"V1110339-00
(2025.11.15)",萬達寵物事業股份有限公司台北安和分公司,02-2542-8800#151,安和路二段225號1樓,寄養,甲等
臺北市,大安區,106,"V1110343-00
(2025.12.11)",優仕寵物生活館," 02-2367-5899
0970-465-801","羅斯福路三段139號
1樓及2樓",寄養,優等
臺北市,大安區,106,"V1120360-00
(2026.08.27)",寵愛之綴寵物美容工作室," 02-3322-3272
0952-867-543",潮州街143號1樓,寄養,乙等
臺北市,大安區,106,"V1120361-00
(2026.09.10)",台北天美莊秋田犬企業社,"02-8712-6138
0960-546-889",臨江街86號1樓,買賣,甲等
臺北市,大安區,106,"V1130375-00
(2027.04.02)",唯依寵物美學企業社,"0966-413-330
0926-410-597",基隆路二段162之4號1樓,寄養,甲等
臺北市,大安區,106,"V1130382-00
(2027.05.19)",愛玩家犬貓寵物社,0911-889-977,光復南路686之1號1樓,"買賣
寄養",新設
臺北市,大安區,106,"V1130384-00
(2027.05.27)",喵喵屋有限公司,"0927-807-639
0955-601-322",建國南路二段19號1樓,寄養,新設
臺北市,大安區,106,"V1130398-00
(2027.09.10)",大小姐貓舍,"0917-971-035
0914-028-222",光復南路700號1樓,"買賣
寄養",新設
臺北市,中山區,104,"V1070094-01
(2027.07.30)",吳星慧寵物生活館,02-2599-1549 ,中山北路三段53之8號1樓,寄養,甲等
臺北市,中山區,104,"V1070103-01
(2027.05.20)",哈利寵物精緻美容,02-2598-1861 ,林森北路643號1樓,寄養,甲等
臺北市,中山區,104,"V1110322-01
(2025.07.25)",誼文寵物生活館,"02-2592-3252
0955-527-790",中山北路三段55巷20、22、24、26號1樓、20號地下1樓、26號2樓,寄養,特優
臺北市,中山區,104,"V1070127-01
(2027.05.22)",就甘心寵物美容旅館,"02-2568-2751
0932-024-272",新生北路二段60巷16號4樓,寄養,甲等
臺北市,中山區,104,"V1070154-01
(2027.09.15)",豪斯寵物服務有限公司,"02-8502-1008
0922-197-765",敬業一路160號,寄養,優等
臺北市,中山區,104,"V1070190-02
(2027.07.27)",慵懶貓寵物旅館,"02-2595-1775
0956-366-173",新生北路三段82號1樓,"買賣
寄養",甲等
臺北市,中山區,104,"V1070201-00
(2027.09.16)",米香尼寵物美容店,"02-2581-2812
0935-321-513 ",中山北路二段59巷3弄7號1樓,寄養,乙等
臺北市,中山區,104,"V1070205-00
(2027.09.24)",歐品邁國際有限公司,"02-8502-3881
0932-784-458 ",明水路672巷36號1樓,寄養,特優
臺北市,中山區,104,"V1070211-00
(2027.11.01)",貓語花香坊,"02-8772-8376
0982-034-526 ",復興南路一段36-2號2樓,寄養,甲等
臺北市,中山區,104,"V1080221-00
(2025.03.18)",宅貓商行," 02-2521-8488
0972-720-762 ",民生東路二段3號1樓,寄養,優等
臺北市,中山區,104,"V1080239-00
(2025.05.14)",貓狗同萌有限公司,"0926-438-287
0933-943-448 ",新生北路一段138號地下1樓,寄養,乙等
臺北市,中山區,104,"V1080241-00
(2025.06.30)",逸升有限公司,02-2275-3990 ,建國北路二段129號1樓及地下1樓,寄養,甲等
臺北市,中山區,104,"V1080245-00
(2025.06.18)",爪子精緻寵物沙龍店,0928-013-667 ,長春路3巷11弄3號,寄養,優等
臺北市,中山區,104,"V1130380-00
(2027.05.08)",汪堡股份有限公司,"02-8501-2134
0932-210-984",敬業一路46號1樓,寄養,新設
臺北市,中山區,104,"V1080262-01
(2025.12.29)",貝多芬寵物造型生活館,02-2551-2948 ,長安東路一段39-2號1樓,寄養,乙等
臺北市,中山區,104,"V1110340-00
(2025.11.30)",庚旺有限公司,02-2599-7058 ,德惠街4號1樓,寄養,甲等
臺北市,中山區,104,"V1090284-00
(2026.12.24)","萬達寵物事業股份
有限公司林森分公司",02-2542-6655 ,林森北路512號1樓,寄養,甲等
臺北市,中山區,104,"V1100290-00
(2027.03.15)",普奇寵物企業社,02-2731-9200 ,長安東路二段195號1樓,寄養,特優
臺北市,中山區,104,"V1100309-00
(2024.12.27)",欣薇達寵物精品沙龍,02-2773-3838,長安東路二段228號,寄養,甲等
臺北市,中山區,104,"V1070202-01
(2027.10.12)",毛旅企業社,02-2721-3091,長安東路二段232號1樓,寄養,丙等
臺北市,中山區,104,"V1110319-00
(2025.06.05)",好日子寵物美容,0926-026-008,北安路458巷39號1樓,寄養,甲等
臺北市,中山區,104,"V1110326-00
(2025.08.02)",?橙有限公司,"02-25867771
0953-552-559",雙城街49巷9-6號1樓,寄養,甲等
臺北市,中山區,104,"V1110329-00
(2025.09.04)",啵好寵物生活館,02-2533-0209,北安路472號1樓,寄養,甲等
臺北市,中山區,104,"V1110330-00
(2025.09.13)",高屋寵物股份有限公司,02-8501-5599,敬業一路128巷8號1樓,寄養,優等
臺北市,中山區,104,"V1110333-00
(2025.10.16)",三天二夜有限公司,"02-8501-5649
0916-156-311",樂群三路73號2樓及75號2樓,寄養,特優
臺北市,中山區,104,"V1120349-00
(2026.02.01)",國寶寵物股份有限公司松江分公司,"02-7726-5678
#286",松江路382號1樓,寄養,特優
臺北市,中山區,104,"V1120350-00
(2026.02.02)",九能寵物用品有限公司,0963-056-278,林森北路413號8樓之21,寄養,優等
臺北市,中山區,104,"V1120353-00
(2026.05.02)",我們和孩子們幸福的寵物沙龍,0917-155-436,長安東路二段220號1樓,寄養,優等
臺北市,中山區,104,"V1120358-00
(2026.08.10)",國寶寵物股份有限公司吉林分公司,"02-7726-5678
#286",吉林路178號1、2、3樓,寄養,特優
臺北市,中山區,104,"V1120369-00
(2026.11.30)",東森寵物雲股份有限公司大直北安分公司,07-348-6888#118,北安路554巷31號1樓及地下1樓,寄養,丙等
臺北市,中山區,104,"V1130378-00
(2027.05.01)",蕙昌寵物企業社,"02-2532-6158
0970-050-995",明水路549號1樓,寄養,新設
臺北市,中山區,104,"V1130387-00
(2027.06.17)",嘟波寵物自在生活坊,0963-088-200,民權東路一段38巷18弄1號5樓,寄養,新設
臺北市,中山區,104,"V1130387-00
(2027.06.18)",有吉寵物店,"02-2515-1491
0913-925-503",龍江路200之4號1樓及2樓,"買賣
寄養",新設
臺北市,中山區,104,"V1130403-00
(2027.11.17)",玩美小獸沙龍,"02-8693-1201
0902-267-831",新生北路三段69號1樓,寄養,新設
臺北市,內湖區,114,"V1070130-02
(2027.07.29)","萬達寵物事業股份
有限公司金龍分公司",02-2790-8725,內湖路三段3號1樓及地下1樓、5號地下1樓,寄養,乙等
臺北市,內湖區,114,"V1070147-01
(2027.09.16)","黑鼻子寵物
服務有限公司",02-8791-2541,內湖路二段263巷9弄5號1樓、7號1樓,寄養,甲等
臺北市,內湖區,114,"V1070156-02
(2027.07.08)",五號寵物店,"02-2656-2229
0958-117-148",內湖路一段737巷8弄14號1樓,寄養,甲等
臺北市,內湖區,114,"V1070217-00
(2028.01.10)",大爺股份有限公司,"02-8791-7135
0989-504-345",民權東路六段170號1、2樓,寄養,優等
臺北市,內湖區,114,"V1130373-00
(2027.01.30)",咕咕碁有限公司,"02-2275-3990
02-2634-8000",東湖路7巷29號地下室,寄養,甲等
臺北市,內湖區,114,"V1080246-00
(2025.06.30)",樂兒國際有限公司,02-2792-1719,民權東路六段123巷34弄19號1及2樓,寄養,特優
臺北市,內湖區,114,"V1090271-00
(2026.05.04)",洗澡吧寵物澡堂,02-2793-7288,成功路四段328號1樓,寄養,乙等
臺北市,內湖區,114,"V1090274-00
(2026.07.13)",古亭師大書坊,02-2634-1985,成功路四段182巷8弄7號1樓,寄養,甲等
臺北市,內湖區,114,"V1100298-00
(2027.05.18)","小客廳寵物事業
有限公司","0911-266-235
02-8791-8081",成功路四段30巷19號,寄養,特優
臺北市,內湖區,114,"V1100306-00
(2027.09.26)",哈荳米比商行,"02-2797-0333
0902-373-156",內湖路二段376巷12號1樓,寄養,甲等
臺北市,內湖區,114,"V1100289-00
(2027.03.04)",恩心寵物美容坊,02-2631-1299,康寧路三段189巷12弄19號1樓,寄養,乙等
臺北市,內湖區,114,"V1110323-00
(2025.07.27)","大爺股份有限公司
寶湖分公司","02-8791-7135
0989-504-345",民權東路六段166號1、2樓,寄養,優等
臺北市,內湖區,114,"V1110335-00
(2025.11.02)",汪福寵物美容商行,02-8751-2789,文德路208巷20號1樓,寄養,甲等
臺北市,內湖區,114,"V1110346-00
(2025.12.20)","汪堡股份有限公司
內湖分店",02-2795-2671,南京東路六段451巷21號及23號1樓,寄養,甲等
臺北市,內湖區,114,"V1120352-00
(2026.04.10)",萬達寵物事業股份有限公司內湖康樂分公司,02-2542-8800#151,康樂街116之3號1樓,寄養,乙等
臺北市,內湖區,114,"V1130374-00
(2027.02.04)",亞勵興業有限公司,"02-2794-8566
0978-099-339",成功路二段412號1樓,寄養,甲等
臺北市,內湖區,114,"V1130385-00
(2027.06.06)","大爺股份有限公司
寶吉分公司",0989-504-345,民權東路六段123巷20弄5號1樓,寄養,新設
臺北市,文山區,116,"V1070149-01
(2027.06.21)","樂福犬
寵物生活館",02-2936-0948,保儀路21號,寄養,優等
臺北市,文山區,116,"V1070153-02
(2027.03.17)","宬銘屋
寵物生活館",02-2934-5717,景隆街48號及48之1號1樓,寄養,甲等
臺北市,文山區,116,"V1070187-00
(2027.06.18)","全滿屋
寵物生活館",02-2931-3199,興隆路二段220巷31弄7號,寄養,甲等
臺北市,文山區,116,"V1070197-00
(2027.08.12)","就是貓
工作坊","02-2234-1487
02-2798-5816",木柵路三段85巷23弄18號1樓,寄養,特優
臺北市,文山區,116,"V1070208-00
(2027.10.23)","小花貓
寵物生活館",02-2933-8515,景興路223號,寄養,優等
臺北市,文山區,116,"V1080229-00
(2025.04.22)",狗窩商行,0935-231-126,興隆路四段86號1樓及地下1樓,寄養,丙等
臺北市,文山區,116,"V1080242-00
(2025.06.05)","得水集寵
股份有限公司","02-2939-8586
02-2939-3757",木柵路二段27號1樓,寄養,優等
臺北市,文山區,116,"V1080259-00
(2025.12.11)","亮亮狗戀
工作室","02-8661-5719
0975-963-979",新光路一段138號1樓,寄養,甲等
臺北市,文山區,116,"V1120368-00
(2026.11.19)",狗狗日常寵物旅館,0982-920-852,羅斯福路六段85號1樓、2樓,寄養,乙等
臺北市,文山區,116,"V1110317-00
(2025.05.08)",豆宅狗旅館,0916-549-178,木柵路一段328號1樓,寄養,甲等
臺北市,文山區,116,"V1110338-00
(2025.11.09)",萬達寵物事業股份有限公司台北興隆分公司,02-25428800#151,興隆路二段343號及345號1樓,寄養,甲等
臺北市,文山區,116,"V1120357-00
(2026.08.10)",菈菈寵物美容精品屋,"02-8931-3637
0936-108-920",興隆路一段96號1樓,寄養,甲等
臺北市,文山區,116,"V1120363-00
(2026.10.05)","豆恩凱寵物精品
有限公司","02-8661-2369
0933-745-737",木新路二段1號1樓,寄養,甲等
臺北市,文山區,116,"V1120367-00
(2026.11.16)","永樂健康有限公司
文山營業所",02-2933-1890,興隆路一段261號1樓,寄養,甲等
臺北市,文山區,116,"V1130388-00
(2027.07.10)",洗毛球寵物美容工作坊,0925-628-399,興隆路二段244巷32號1樓,寄養,新設
臺北市,文山區,116,"V1130391-00
(2027.07.14)",茱式企業社,0905-618-800,三福街1號1樓,寄養,新設
臺北市,松山區,105,"V1070188-01
(2027.06.28)",璽喵屋,02-2763-5033,八德路四段476號1樓,寄養,甲等
臺北市,松山區,105,"V1070198-01
(2027.08.15)",樓上遇見貓咖啡,02-2578-7708,光復北路38號2樓,寄養,甲等
臺北市,松山區,105,"V1070200-00
(2027.09.16)",喵喵屋,02-2763-6300,八德路四段618號3樓,寄養,特優
臺北市,松山區,105,"V1070209-00
(2027.11.01)",愛犬小屋,0927-191-100,民生東路五段36巷6弄5之1號1樓,寄養,丙等
臺北市,松山區,105,"V1080228-00
(2025.04.14)",有毛有限公司,"02-2746-6707
0958-233-196",八德路四段649號2樓,寄養,優等
臺北市,松山區,105,"V1080235-00
(2025.05.12)","宜家宜犬
寵物精品館",02-2748-5660,八德路四段259號1樓,寄養,甲等
臺北市,松山區,105,"V1130404-00
(2027.11.19)","狗窩好日子
有限公司","02-2766-6185
0973-540-167",民生東路五段137巷2之5號1樓,寄養,新設
臺北市,松山區,105,"V1090276-00
(2026.08.30)",金狗錐狗狗商行,"02-2749-4873
0972-963-015",南京東路五段163-4號1樓,寄養,甲等
臺北市,松山區,105,"V1100291-01
(2027.03.12)","北歐三狗
有限公司","02-2577-9886
0933-066-543",八德路三段224號1樓及2樓,寄養,特優
臺北市,松山區,105,"V1100308-00
(2027.12.17)",毛孩愛達人用品企業社,02-2760-7766,健康路260號1樓,寄養,優等
臺北市,松山區,105,"V1100310-00
(2027.12.27)",寵物愛達人用品企業社,02-2528-0127,八德路四段174號1樓,寄養,優等
臺北市,松山區,105,"V1110311-00
(2028.01.17)",跨樂提有限公司,02-2781-3335,八德路二段429號2-4樓,寄養,
臺北市,松山區,105,"V1120366-00
(2026.11.02)",萬旺商行,02-2275-3990,八德路四段512號1樓,寄養,甲等
臺北市,松山區,105,"V1120351-00
(2026.04.09)",星沐精緻寵物美容,"02-2712-7709
0972-432-226",民權東路三段156號1樓,寄養,乙等
臺北市,松山區,105,"V1130377-00
(2027.04.29)","金靈國際
股份有限公司","02-2748-6166
0936-880-529",八德路四段620號1樓及地下1樓,"買賣
寄養",特優
臺北市,松山區,105,"V1130383-00
(2027.05.27)",翻肚肚寵物美容,"02-2765-8131
0955-064-030",民生東路五段202號之1一樓,寄養,新設
臺北市,松山區,105,"V1130390-00
(2027.07.14)",羅娜寵兒有限公司,0956-789-733,民生東路五段206之2號1樓,寄養,新設
臺北市,松山區,105,"V1130400-00
(2027.10.24)",有間貓旅有限公司,02-2396-3963,南京東路五段137之1號(2樓),寄養,新設
臺北市,信義區,110,"V1070126-02
(2027.09.22)","搖擺狗寵物
美容店",02-2345-3383,光復南路417-4號,寄養,甲等
臺北市,信義區,110,"V1070195-01
(2027.08.03)",逗貓坊,"02-2768-6348
0919-118-732",永吉路380號1及2樓,"買賣
寄養",甲等
臺北市,信義區,110,"V1130395-00
(2027.08.29)",玉月光村股份有限公司,0972-720-762,基隆路二段117號2樓,寄養,新設
臺北市,信義區,110,"V1080234-00
(2025.05.09)",貓云殿工作坊,"02-8786-7389
0981-855-811",松仁路285號1樓,寄養,甲等
臺北市,信義區,110,"V1080253-00
(2025.09.16)",幸福寵物生活館,02-8732-5088,和平東路三段283號1樓,寄養,甲等
臺北市,信義區,110,"V1080260-00
(2025.12.24)","奇果寵物
美容生活館","02-2768-3777
0909-629-028",永吉路30巷100號1樓,寄養,乙等
臺北市,信義區,110,"V1100295-00
(2027.04.25)",寄居喵精品貓宿,"02-2720-2823
0918-700-408",信義路四段401號5樓,寄養,特優
臺北市,信義區,110,"V1100303-00
(2027.09.15)",萬達寵物事業股份有限公司_台北忠五分公司,02-2756-0667,忠孝東路五段201號、203號,寄養,乙等
臺北市,信義區,110,"V1120362-00
(2026.09.14)",愛貓成癮有限公司," 02-2758-8958
0939-455-887",莊敬路342號2樓,寄養,特優
臺北市,信義區,110,"V1130386-00
(2027.06.05)",良婷萱有限公司,0952-936-225,松山路109號2樓,買賣,新設
臺北市,信義區,110,"V1130397-00
(2027.09.02)",吹毛球痴洗澡吧,0938-721-212,松山路315之1號1樓,寄養,新設
臺北市,信義區,110,"V1130405-00
(2027.12.01)",伊芯寵物有限公司,0987-723-389,和平東路三段361號1樓,寄養,新設
臺北市,南港區,115,"V1070134-02
(2027.07.18)","俏妞寵物
生活坊","02-2786-5280
0903-050-328",興中路68巷15號,寄養,乙等
臺北市,南港區,115,"V1070138-02
(2027.07.13)","狗狗好乖
企業社",02-2783-5005,玉成街4號1樓,寄養,優等
臺北市,南港區,115,"V1070215-00
(2027.12.27)","飛朵寵物
美容坊",0955-910-226,東新街102號1樓,寄養,丙等
臺北市,南港區,115,"V1080227-00
(2028.04.24)",日巷工作室,"0905-050-700
0934-319-977",南港路一段287巷2弄6號1樓,寄養,特優
臺北市,南港區,115,"V1130389-00
(2027.07.10)",班森班比商行,0936-826-627,八德路四段917號1樓,寄養,新設
臺北市,南港區,115,"V1130379-00
(2027.05.02)",軒墨工作室,0933-190-290,向陽路162巷100號2樓,"買賣
寄養",新設
臺北市,南港區,115,"V1130406-00
(2027.12.11)",芋妮貓寵物生活館,"0988-031-807
0926-660-525",重陽路125巷16號1樓,"買賣
寄養",新設
臺北市,中正區,100,"V1070159-02
(2027.07.18)","一起寵物
生活館","02-2367-9996
0939-994399",廈門街125號1樓,寄養,甲等
臺北市,中正區,100,"V1110320-00
(2025.06.29)",樂佩有限公司,02-2321-6162,仁愛路二段68號1樓,寄養,甲等
臺北市,中正區,100,"V1090269-00
(2026.04.09)",有狗真好工作室,0983-257-246,中華路二段475號1樓,寄養,甲等
臺北市,中正區,100,"V1090275-00
(2026.07.29)","樂之寵物事業
股份有限公司","02-2322-2020
0960-621-159",濟南路二段35之1號1樓,寄養,甲等
臺北市,中正區,100,"V1090283-00
(2026.12.17)",宿喜貓商事,"0937-858-529
0910-302-132",南昌路二段206號2樓之3,寄養,甲等
臺北市,中正區,100,"V1110334-00
(2025.10.30)",烤布奇諾有限公司,0926-869-388,和平西路二段64號1樓,寄養,甲等
臺北市,中正區,100,"V1110356-00
(2026.07.25)",艾芠有限公司,"02-2383-2022
0909-200-230",信陽街9號2樓,"買賣
寄養",丙等
臺北市,中正區,100,"V1110365-00
(2026.10.26)",五個蹼生活館,"02-2365-6676
0982-136-076",羅斯福路三段92號1樓,寄養,乙等
臺北市,中正區,100,"V1130372-00
(2027.01.30)",喜寶棧有限公司,"02-2303-5540
0935-948-175",中華路二段307巷40號及42號1樓,寄養,乙等
臺北市,北投區,112,"V1070137-02
(2027.07.29)","萬達寵物事業股份
有限公司北和分公司",02-2892-4555,中和街59號1～4樓,寄養,甲等
臺北市,北投區,112,"V1070150-01
(2027.05.30)",狗崽子寵物沙龍,02-2893-6570,中央南路一段42-1號2樓,寄養,甲等
臺北市,北投區,112,"V1130396-00
(2027.09.01)",米屋寵物美容,02-2894-3635,北投路二段19號1樓,寄養,新設
臺北市,北投區,112,"V1090280-00
(2026.11.09)",艾菲斯有限公司,02-2896-7777,立德路121巷15號A棟,寄養,甲等
臺北市,北投區,112,"V1110341-00
(2025.12.08)",喵了個汪寵物生活館,"02-2898-6300
0960-630-969",中和街275號1樓及2樓,寄養,甲等
臺北市,北投區,112,"V1130393-00
(2027.07.22)",愛玩犬寵美屋,0926-988-177,中正街69號1號1樓及2樓,寄養,新設
