縣市,行政區,郵遞區號,特寵業字號,許可證有效期限,許可證登記公司名,電話,地址,營業項目,評鑑等級
臺北市,大安區,106,V1110339-00,2028.11.15,萬達寵物事業股份有限公司台北安和分公司,02-25428800#151 ,安和路二段225號1樓,寄養,乙等
臺北市,大安區,106,V1110343-00,2028.12.11,優仕寵物生活館,"0970-465801;0918-430-790
02-2367-5899",羅斯福路三段139號1樓及2樓,寄養,優等
臺北市,大安區,106,V1120348-01,2027.11.17,貓悅良犬寵物精品店,0983-711041,基隆路二段110號1樓及2樓,寄養,甲等
臺北市,大安區,106,V1120360-00,2026.08.27,寵愛之綴寵物美容工作室,0952-867543,潮州街143號1樓,寄養,乙等
臺北市,大安區,106,V1120361-00,2026.09.10,台北天美莊秋田犬企業社,02-87126138,臨江街86號1樓,寄養,甲等
臺北市,大安區,106,V1130375-00,2027.04.02,唯依寵物美學企業社,0926-410597,基隆路二段162之4號1樓,寄養,甲等
臺北市,大安區,106,V1130376-00,2027.04.16,沐新犬貓坊,0901-413423,基隆路二段120號1樓,寄養,優等
臺北市,大安區,106,V1130382-00,2027.05.19,愛玩家犬貓寵物社,0911-889977,光復南路686之1號1樓,寄養,乙等
臺北市,大安區,106,V1130384-00,2027.05.27,喵喵屋有限公司,0955-601322,建國南路二段19號1樓,寄養,特優
臺北市,大安區,106,V1130394-00,2027.08.13,喜得貓社,0983-741977,基隆路二段102號1樓,寄養,甲等
臺北市,大安區,106,V1130398-00,2027.09.10,大小姐貓舍,0917-971035,光復南路700號1樓,寄養,甲等
臺北市,大安區,106,V1130409-00,2027.12.29,貓膩會館,0925-995151,光復南路702號1樓,寄養,甲等'
臺北市,大安區,106,V1140418-00,2028.02.26,東森寵物雲股份有限公司通化分公司,02-2732-4986,通化街26之7號1樓,寄養,甲等
臺北市,大安區,106,V1140421-00,2028.03.12,朝代寵物有限公司,02-8285-7707,基隆路二段232號1樓,寄養,新設
臺北市,大安區,106,V1140423-00,2028.03.16,大御倉生物科技有限公司安和分公司,02-2708-0112,安和路二段68號1樓及地下1樓,買賣寄養,新設
臺北市,大安區,106,V1140425-00,2028.04.01,吉予貓股份有限公司,02-27091225,和平東路二段297號3樓,寄養,新設
臺北市,大安區,106,V1140441-00,2028.10.07,簇咪有限公司,966352677,復興南路二段180巷2號一樓,寄養,新設
臺北市,中山區,104,V1070094-01,2027.07.30,吳星慧寵物生活館,25991549,中山北路3段53之8號1樓,寄養,甲等
臺北市,中山區,104,V1070103-01,2027.07.30,哈利寵物精緻美容,25981861,林森北路643號1樓,寄養,甲等
臺北市,中山區,104,V1070127-01,2027.07.30,就甘心寵物美容旅館,02-25682751,新生北路2段60巷16號4樓,寄養,甲等
臺北市,中山區,104,V1070154-01,2027.07.30,豪斯寵物服務有限公司,8502-1008,敬業一路160號,寄養,優等
臺北市,中山區,104,V1070190-02,2027.07.30,慵懶貓寵物旅館,"0956366173
25951775",新生北路三段82號1樓,買賣寄養,甲等
臺北市,中山區,104,V1070201-00,2027.07.30,米香尼寵物美容店,935321513,中山北路2段59巷3弄7號1樓,寄養,乙等
臺北市,中山區,104,V1070205-01,2027.07.30,歐品邁國際有限公司,0932-784458,明水路672巷36號1樓,寄養,特優
臺北市,中山區,104,V1070211-00,2027.07.30,貓語花香坊,982034526,復興南路一段36-2號2樓,寄養,乙等
臺北市,中山區,104,V1080221-00,2027.07.30,宅貓商行,972720762,民生東路二段3號1樓,寄養,優等
臺北市,中山區,104,V1080239-00,2027.07.30,貓狗同萌有限公司,0933943448；0926438287,新生北路1段138號地下1樓,寄養,乙等
臺北市,中山區,104,V1080241-00,2027.07.30,逸升有限公司,22753990,建國北路2段129號1樓及地下1樓,寄養,甲等
臺北市,中山區,104,V1080245-00,2027.07.30,爪子精緻寵物沙龍店,0928013667,長春路3巷11弄3號,寄養,優等
臺北市,中山區,104,V1080262-01,2027.07.30,貝多芬寵物造型生活館,25512948,長安東路一段39之2號1樓,寄養,乙等
臺北市,中山區,104,V1090284-00,2027.07.30,萬達寵物事業股份有限公司_林森分公司,02-25426655,林森北路512號1樓,寄養,甲等
臺北市,中山區,104,V1100290-00,2027.07.30,普奇寵物企業社,27319200,長安東路2段195號1樓,寄養,特優
臺北市,中山區,104,V1100309-00,2027.07.30,欣薇達寵物精品沙龍,0917-155-436,長安東路二段228號,寄養,優等
臺北市,中山區,104,V1110319-00,2027.07.30,好日子寵物美容,0926-026008,北安路458巷39號1樓,寄養,甲等
臺北市,中山區,104,V1110322-00,2027.07.30,誼文寵物生活館,0955-527790 02-25923252,中山北路三段55巷20、22、24、26號1樓、20號地下1樓、26號2樓,寄養,特優
臺北市,中山區,104,V1110326-00,2027.07.30,?橙有限公司,0953-552559,雙城街49巷9之6號1樓,寄養,優等
臺北市,中山區,104,V1110329-00,2027.07.30,啵好寵物生活館,02-25330209/02-27113247/0930-077-668,北安路472號1樓,寄養,甲等
臺北市,中山區,104,V1110330-00,2027.07.30,高屋寵物股份有限公司,02-85015599/02-27932595,敬業一路128巷8號1樓,寄養,優等
臺北市,中山區,104,V1110333-00,2027.07.30,三天二夜有限公司,0916-156311,樂群三路73號2樓、75號2樓,寄養,特優
臺北市,中山區,104,V1110340-00,2027.07.30,庚旺有限公司,02-25997058,德惠街4號1樓,寄養,甲等
臺北市,中山區,104,V1120350-00,2027.07.30,九能寵物用品有限公司,0963-056278,林森北路413號8樓之21,寄養,優等
臺北市,中山區,104,V1120353-00,2027.07.30,我們和孩子們幸福的寵物沙龍,0917-155436,長安東路二段220號1樓,寄養,優等
臺北市,中山區,104,V1130378-00,2027.07.30,蕙昌寵物企業社,0970-050995,明水路549號1樓,寄養,甲等
臺北市,中山區,104,V1130380-00,2027.07.30,汪堡股份有限公司,02-85012134,敬業一路46號1樓,寄養,甲等
臺北市,中山區,104,V1130387-00,2027.07.30,嘟波寵物自在生活坊,0963-088200,民權東路一段38巷18弄1號5樓,寄養,甲等
臺北市,中山區,104,V1130401-00,2027.07.30,有吉寵物店,02-25151491,龍江路200之4號1樓及2樓,買賣寄養,優等
臺北市,中山區,104,V1130403-00,2027.07.30,玩美小獸沙龍,02-86931201,新生北路三段69號1樓,寄養,乙等
臺北市,中山區,104,V1140415-00,2027.07.30,毛旅企業社,02-2721-3091,長安東路二段232號1樓,寄養,甲等
臺北市,中山區,104,V1140419-00,2027.07.30,東森寵物雲股份有限公司大直北安分公司,02-2533-5086,北安路554巷31號1樓及地下1樓,寄養,乙等
臺北市,中山區,104,V1140431-00,2027.07.30,萬里福田寵物城堡有限公司,02-25593950,中山北路三段31號3樓,寄養,新設
臺北市,中山區,104,V1140433-00,2027.07.30,國寶寵物股份有限公司松江分公司,02-77265678#286,松江路382號1樓,寄養,新設
臺北市,中山區,104,V1140436-00,2027.07.30,貓踏踏貓旅社,09-13209482,長安東路一段16號10樓之3,寄養,新設
臺北市,中山區,104,V1140439-00,2027.07.30,肥毛粒生活館,934098431,五常街69號一樓,寄養,新設
臺北市,內湖區,114,V1070130-02,2027.07.29,萬達寵物事業股份有限公司金龍分公司,27908725,內湖路3段3號1樓及地下1樓、5號地下1樓,寄養,甲等
臺北市,內湖區,114,V1070156-02,2027.06.09,五號寵物店,"2656-2229
0958-117148",內湖路一段737巷8弄14號1樓,寄養,甲等/換發
臺北市,內湖區,114,V1070217-00,2028.01.10,大爺股份有限公司,0989504345,民權東路6段170號1、2樓,寄養,優等
臺北市,內湖區,114,V1080246-00,2028.06.30,樂兒國際有限公司,27921719,民權東路6段123巷34弄19號1及2樓,寄養,特優
臺北市,內湖區,114,V1090271-00,2026.05.04,洗澡吧寵物澡堂,27937288,成功路四段328號1樓,寄養,乙等
臺北市,內湖區,114,V1090274-00,2026.07.13,古亭師大書坊,02-26341985,成功路4段182巷8弄7號1樓,寄養,甲等
臺北市,內湖區,114,V1100298-00,2027.05.18,小客廳寵物事業有限公司,"0911266235
87918081",成功路四段30巷19號,寄養,優等
臺北市,內湖區,114,V1100306-00,2027.09.26,哈荳米比商行,0902-373-156,內湖路2段376巷12號1樓,寄養,優等
臺北市,內湖區,114,V1110323-00,2028.07.27,大爺股份有限公司寶湖分公司,0989-504345,民權東路六段166號1樓及2樓,寄養,優等
臺北市,內湖區,114,V1110335-00,2028.11.02,汪福寵物美容商行,02-87512789,文德路208巷20號1樓,寄養,甲等
臺北市,內湖區,114,V1110346-00,2028.12.20,汪堡股份有限公司內湖分店,02-27952671,南京東路六段451巷21號及23號1樓,寄養,甲等
臺北市,內湖區,114,V1120352-00,2026.04.10,萬達寵物事業股份有限公司內湖康樂分公司,02-25428800#151 ,康樂街116之3號1樓,寄養,乙等
臺北市,內湖區,114,V1130373-00,2027.01.30,咕咕碁有限公司,02-22753990,東湖路7巷29號地下室,寄養,甲等
臺北市,內湖區,114,V1130374-00,2027.02.04,亞勵興業有限公司,0978-099339,成功路二段412號1樓,寄養,甲等
臺北市,內湖區,114,V1130385-00,2027.06.06,大爺股份有限公司寶吉分公司,0989-504345,民權東路六段123巷20弄5號1樓,寄養,特優
臺北市,內湖區,114,V1140413-00,2028.01.22,雅雅愛犬專業用品店,02-2798-5827,環山路一段63號1樓,寄養,新設
臺北市,內湖區,114,V1140432-00,2028.06.26,生妍工作室,972730208,內湖路二段263巷9弄5號1樓,寄養買賣,新設
臺北市,內湖區,114,V1140434-00,2028.07.10,淘狗有限公司,975950050,新明路298巷14弄9號一樓,寄養,新設
臺北市,內湖區,114,V1140438-00,2028.09.11,玓兒豪斯寵物有限公司,922197765,文德路82號一樓,寄養,新設
臺北市,文山區,116,V1070149-01,2027.06.21,樂福犬寵物生活館,2936-0948,保儀路21號(後棟),寄養,優等
臺北市,文山區,116,V1070187-00,2027.06.18,全滿屋寵物生活館,29313199,興隆路2段220巷31弄7號,寄養,甲等
臺北市,文山區,116,V1070197-00,2027.08.12,就是貓工作坊,22341487,木柵路3段85巷23弄18號1樓,寄養,特優
臺北市,文山區,116,V1070208-00,2027.10.23,小花貓寵物生活館,29338515,景興路223號,寄養,優等
臺北市,文山區,116,V1080229-01,2028.04.22,狗窩商行,02-22342907/0935231126,興隆路四段86號1樓及地下1樓,寄養,甲等
臺北市,文山區,116,V1080242-00,2028.06.05,得水集寵股份有限公司,29393757,木柵路二段27號1樓,寄養,優等
臺北市,文山區,116,V1110317-00,2028.05.08,豆宅狗旅館,0983-661431,木柵路一段328號1樓,寄養,甲等
臺北市,文山區,116,V1110338-00,2028.11.09,萬達寵物事業股份有限公司台北興隆分公司,02-25428800#151 ,興隆路二段343號及345號1樓,寄養,甲等
臺北市,文山區,116,V1120357-00,2026.08.10,菈菈寵物美容精品屋,0936-108920,興隆路一段96號1樓,寄養,甲等
臺北市,文山區,116,V1120363-00,2026.10.05,豆恩凱寵物精品有限公司,0933-745737 02-87861001#534,木新路二段1號1樓,寄養,優等
臺北市,文山區,116,V1120367-00,2026.11.16,永樂健康有限公司文山營業所,02-29331890,興隆路一段261號1樓,寄養,優等
臺北市,文山區,116,V1120368-00,2026.11.19,狗狗日常寵物旅館,0982-920852,羅斯福路六段85號1樓、2樓,寄養,甲等
臺北市,文山區,116,V1130388-00,2027.07.10,洗毛球寵物美容工作坊,0920-782958,興隆路二段244巷32號1樓,寄養,乙等
臺北市,文山區,116,V1130391-00,2027.07.14,茱式企業社,0905-618800,三福街1號1樓,寄養,甲等
臺北市,文山區,116,V1140440-00,2028.09.11,宬銘屋寵物生活館,973829830,景隆街48號1樓及48-1號1樓,寄養,甲等
臺北市,松山區,105,V1070188-01,2027.06.28,璽喵屋,27635033,八德路4段476號1樓,寄養,甲等
臺北市,松山區,105,V1070198-01,2027.08.15,樓上遇見貓咖啡,25787708,復勢里光復北路38號2樓,寄養,甲等
臺北市,松山區,105,V1070200-00,2027.09.16,喵喵屋,27636300,八德路四段618號3樓,寄養,特優
臺北市,松山區,105,V1070209-00,2027.11.01,愛犬小屋,927191100,民生東路5段36巷6弄5之1號1樓,寄養,乙等
臺北市,松山區,105,V1080228-00,2028.04.14,有毛有限公司,0958233196,八德路四段649號2樓,寄養,優等
臺北市,松山區,105,V1090276-00,2026.08.30,金狗錐狗狗商行,0972963015,南京東路5段163之4號1樓,寄養,甲等
臺北市,松山區,105,V1100291-01,2027.03.12,北歐三狗有限公司,25779886、23224358,八德路三段224號1樓及2樓,寄養,特優
臺北市,松山區,105,V1100308-00,2027.12.27,毛孩愛達人用品企業社,0977-058-889,健康路260號1樓,寄養,優等
臺北市,松山區,105,V1100310-00,2027.12.27,寵物愛達人用品企業社,0977-058-889,八德路4段174號一樓,寄養,優等
臺北市,松山區,105,V1110311-00,2028.01.17,跨樂提有限公司,0918-340-087,八德路2段429號2樓、3樓、4樓,寄養,優等
臺北市,松山區,105,V1120351-00,2026.04.09,星沐精緻寵物美容,0972-432226,民權東路三段156號1樓,寄養,甲等
臺北市,松山區,105,V1120366-00,2026.11.02,萬旺商行,02-22753990,八德路四段512號1樓,寄養,甲等
臺北市,松山區,105,V1130383-00,2027.05.27,翻肚肚寵物美容,0955-064030,民生東路五段202號之1一樓,寄養,甲等
臺北市,松山區,105,V1130390-00,2027.07.14,羅娜寵兒有限公司,0956-789733,民生東路五段206之2號1樓,寄養,優等
臺北市,松山區,105,V1130400-00,2027.10.24,有間貓旅有限公司,02-23963963/0928-090300,南京東路五段137之1號(2樓),寄養,特優
臺北市,松山區,105,V1130404-00,2027.11.19,狗窩好日子有限公司,0973-540167,民生東路五段137巷2之5號1樓,寄養,優等
臺北市,松山區,105,V1140424-00,2028.03.25,宜家宜犬寵物精品館,02-27485660,八德路4段259號1樓,寄養,優等
臺北市,松山區,105,V1140426-00,2028.04.13,喵團錦簇貓舍,961096062,八德路四段604-1號1樓,寄養買賣,新設
臺北市,松山區,105,V1140427-00,2028.04.20,遇見貓商行,930867771,南京東路三段256巷47號1樓,寄養,新設
臺北市,信義區,110,V1070126-02,2027.09.22,搖擺狗寵物美容店,23453383,光復南路417-4號,寄養,甲等
臺北市,信義區,110,V1070195-01,2027.08.03,逗貓坊,919118732,永吉路380號1及2樓,買賣寄養,甲等
臺北市,信義區,110,V1080234-00,2028.05.09,貓云殿工作坊,0981855811,松仁路285號1樓,寄養,優等
臺北市,信義區,110,V1080253-00,2028.09.16,幸福寵物生活館,87325088,和平東路三段283號1樓,寄養,甲等
臺北市,信義區,110,V1100295-00,2027.04.25,寄居喵精品貓宿,0918-700-408,信義路四段401號5樓,寄養,特優
臺北市,信義區,110,V1100303-00,2027.09.14,萬達寵物事業股份有限公司_台北忠五分公司,02-2756-0667,忠孝東路五段201號、203號1樓,寄養,甲等
臺北市,信義區,110,V1120362-00,2026.09.14,愛貓成癮有限公司,0939-455887,莊敬路342號2樓,寄養,特優
臺北市,信義區,110,V1130386-00,2027.06.05,良婷萱有限公司,0952-936225,松山路109號2樓,買賣,甲等
臺北市,信義區,110,V1130395-00,2027.08.29,玉月光村股份有限公司,0972-720762,基隆路二段117號2樓,寄養,優等
臺北市,信義區,110,V1130397-00,2027.09.02,吹毛球痴洗澡吧,0938-721212,松山路315之1號1樓,寄養,甲等
臺北市,信義區,110,V1140416-00,2028.02.10,寵霸天寵物美容坊,02-27269645,忠孝東路五段766號1樓,寄養,新設
臺北市,信義區,110,V1140446-00,2028.11.26,喵喵屋特照寵物有限公司,924188233,松隆路221號1樓,寄養,新設
臺北市,中正區,100,V1070159-02,2027.07.18,一起寵物生活館,"2367-9996
0939-994-399",廈門街125號一樓,寄養,甲等
臺北市,中正區,100,V1090269-00,2026.04.09,有狗真好工作室,0983257246,中華路二段475號1樓,寄養,甲等
臺北市,中正區,100,V1090283-00,2026.12.17,宿喜貓商事,0910302132,南昌路二段206號2樓之3,寄養,優等
臺北市,中正區,100,V1110320-00,2028.06.29,樂佩有限公司,02-23216162,仁愛路二段68號1樓,寄養,甲等
臺北市,中正區,100,V1110334-00,2028.10.30,烤布奇諾有限公司,0926-869388,和平西路二段64號1樓,寄養,甲等
臺北市,中正區,100,V1120356-00,2026.07.25,艾芠有限公司,0909-200230；0913-949949,信陽街9號2樓,買賣寄養,乙等
臺北市,中正區,100,V1120365-00,2026.10.26,五個蹼生活館,0982-136076,羅斯福路三段92號1樓,寄養,甲等
臺北市,中正區,100,V1130372-00,2027.01.30,喜寶棧有限公司,0935-948175,中華路二段307巷40號及42號1樓,寄養,乙等
臺北市,中正區,100,V1140428-00,2028.04.17,長生皇家柯基寵物館,935201542,寧波西街6號1樓,買賣,新設
臺北市,中正區,100,V1140430-00,2028.05.27,喵吉拉寵物有限公司,908617796,金山北路1號13樓,寄養,新設
臺北市,中正區,100,V1140435-00,2028.07.22,彪騰企業社,02-23513922,杭州南路一段35-2號,寄養,新設
臺北市,中正區,100,V1140437-00,2028.08.22,吃手手寵物事業有限公司,975553702,濟南路二段35號之1一樓,寄養,新設
臺北市,南港區,115,V1070134-02,2027.07.18,俏妞寵物生活坊,27865280,興中路68巷15號,寄養,乙等
臺北市,南港區,115,V1070138-02,2027.07.13,狗狗好乖企業社,27835005,玉成街4號1樓,寄養,優等
臺北市,南港區,115,V1080227-00,2028.04.24,日巷工作室,0934319977,南港路一段287巷2弄6號1樓,寄養,特優
臺北市,南港區,115,V1130379-00,2027.05.02,軒墨工作室,0933-190290,向陽路162巷100號2樓,買賣寄養,乙等
臺北市,南港區,115,V1130389-00,2027.07.10,班森班比商行,0936-826627/0983-553168,八德路四段917號1樓,寄養,甲等
臺北市,南港區,115,V1130406-00,2027.12.11,芋妮貓寵物生活館,0988-031807,重陽路125巷16號1樓,買賣寄養,甲等
臺北市,南港區,115,V1140422-00,2028.03.06,郁笙有限公司,02-2788-1601,成福路82號,寄養,新設
臺北市,萬華區,108,V1130392-00,2027.07.21,禾鑫寵物企業社,0926-512675,青年路172號1樓,寄養,乙等
臺北市,萬華區,108,V1130402-00,2027.11.11,福福貓有限公司,02-23883722/0983-319381,武昌街二段53號3樓,寄養,甲等
臺北市,萬華區,108,V1140442-00,2028.10.08,艾妮寵物沙龍,970199992,德昌街121號一樓,寄養,新設
臺北市,萬華區,108,V1140448-00,2028.11.10,沐寓空間設計管理顧問有限公司,970015082,雙和街120號1樓,寄養,新設
臺北市,北投區,112,V1070137-02,2027.07.29,萬達寵物事業股份有限公司北和分公司,28924555,中和街59號1至4樓,寄養,乙等
臺北市,北投區,112,V1070150-01,2027.05.30,狗崽子寵物沙龍,2893-6570,中央南路1段42-1號2樓,寄養,甲等
臺北市,北投區,112,V1110341-00,2028.12.08,喵了個汪寵物生活館,0960-630969,中和街275號1樓及2樓,寄養,甲等
臺北市,北投區,112,V1130393-00,2027.07.22,愛玩犬寵美屋,0926-988177,中正街69號1樓及2樓,寄養,甲等
臺北市,北投區,112,V1130396-00,2027.09.01,米屋寵物美容,02-28943635,北投路二段19號1樓,寄養,丙等
臺北市,北投區,112,V1130407-00,2027.12.19,順?有限公司,0988-282887,復興四路16之1號1樓,寄養,甲等
臺北市,北投區,112,V1130410-00,2028.01.06,伴伴寵物美容,0963870601,中正街68號1樓,寄養,新設
臺北市,北投區,112,V1130411-00,2028.01.13,黑鼻子寵物服務有限公司,0963057715,自強街164號1樓,寄養,新設
臺北市,北投區,112,V1140412-00,2028.01.15,辛普森寵物概念館,0965807606,義理街64號1樓,寄養,新設
臺北市,北投區,112,V1140443-00,2028.11.09,云闊有限公司,937820084,石牌路一段45號,寄養,新設
臺北市,北投區,112,V1140445-00,2028.11.26,貓貓貓工作室,952921080,自強街141巷27號1樓,寄養,新設
