編號,許可證,字號,公司名稱,公司電話,手機,公司地址,負責人
43,環藥病媒,63-103,台琦環境工程企業社,(02)29323400,,臺北市文山區汀州路4段19號1樓,林明傑
44,環藥病媒,63-112,安達除蟲有限公司,(02)25490275,,臺北市中山區松江路31號8樓之1,陳中晉
45,環藥病媒,63-117,潔逵股份有限公司,(02)27602697,,臺北市松山區南京東路5段50號5樓之1,江子毅
46,環藥病媒,63-119,昱聖國際有限公司,(02)29351193,,臺北市文山區景興路137巷15號6樓,高鳳謙
47,環藥病媒,63-121,金記環境維護事業股份有限公司,(02)27197758,,臺北市松山區敦化北路262號8樓,蘇美琴
48,環藥病媒,63-125,大全清潔打腊有限公司,(02)25149100,,臺北市中山區龍江路155巷18號1樓,王洪忠
49,環藥病媒,63-130,台灣環維實業有限公司,(02)66305888,,臺北市萬華區和平西路3段30巷43號,邱瑞彬
50,環藥病媒,63-133,德安除蟲企業有限公司,(02)28765552,,臺北市士林區中山北路7段190巷18弄7號2樓,邱一華
51,環藥病媒,63-135,思瑪特股份有限公司,(02)28150088,,臺北市中山區新生北路3段82巷18號地下,楊主龍
52,環藥病媒,63-136,二馬害蟲驅除有限公司,(02)27607700,,臺北市松山區南京東路5段250巷36弄17之1號3樓,馮東興
53,環藥病媒,63-138,泰立環保服務有限公司,(02)23076939,,臺北市萬華區西藏路269巷8號1樓,李政盟
54,環藥病媒,63-139,台灣斯巴克環保工程股份有限公司,(02)25026191,,臺北市中山區民生東路2段176號10樓,林錦堂
55,環藥病媒,63-141,德凌環衛有限公司,(02)25611666,,臺北市中山區松江路42號7樓之10,謝俊德
56,環藥病媒,63-142,水瀧環保消毒工程有限公司,(02)86619113,,臺北市大安區忠孝東路4段162號10樓之2,陳政夆
57,環藥病媒,63-143,海德環境清潔工程股份有限公司,(02)25532033,,臺北市大同區錦西街52巷13號1樓,李束靜
58,環藥病媒,63-148,煒竣實業有限公司,(02)27979246,,臺北市信義區虎林街232巷12號1樓,詹娟娟
59,環藥病媒,63-150,七祥專業除蟲有限公司,(02)25571036,,臺北市大同區蘭州街12號1樓,林郁傑
60,環藥病媒,63-152,藝康企業股份有限公司,(02)28984800,,臺北市中山區中山北路2段96號9樓,塗溥仁
61,環藥病媒,63-156,洋美環境維護股份有限公司,(02)26539977,,臺北市南港區八德路4段768巷7號1樓,潘豪昌
62,環藥病媒,63-160,名揚清潔工程有限公司,(02)23038214,,臺北市萬華區西藏路251巷13號1樓,孫碧娟
63,環藥病媒,63-161,百偉企業有限公司,(02)27591336,,臺北市信義區大道路49巷10號1樓,林宗賢
64,環藥病媒,63-162,豪傑專業清潔社,(02)25711710,,臺北市中山區中山北路1段83巷5號5樓之9,葉英豪
65,環藥病媒,63-163,世屋國際環境有限公司,(02)28725575,,臺北市士林區天母西路3號7樓之20,吳淑芳
66,環藥病媒,63-168,藝晟實業股份有限公司,(02)29376247,,臺北市文山區一壽街4號1樓,高盧藝
67,環藥病媒,63-169,捷賀環保股份有限公司,(02)27398008,,臺北市大安區樂業街159巷19號1樓,林幸枝
68,環藥病媒,63-171,九鼎知識整合行銷有限公司,(02)28375100,,臺北市士林區福國路15巷7號2樓,田維國
69,環藥病媒,63-172,建成環保清潔服務社,(02)23020025,,臺北市萬華區梧州街21號2樓之1,張育順
70,環藥病媒,63-173,康庭環衛股份有限公司,(02)23458028,,臺北市信義區莊敬路391巷20-1號,張諾凌
71,環藥病媒,63-174,威務股份有限公司,(02)27766188,,臺北市中山區復興北路2號5樓之11,Tan Cheh Tian
72,環藥病媒,63-175,日月新環保企業有限公司,(02)25977066,,臺北市中正區重慶南路3段15巷6號1樓,翁士傑
73,環藥病媒,63-176,大都會專業除蟲有限公司,(02)88664577,,臺北市士林區芝玉路2段52巷1號,陳意美
74,環藥病媒,63-177,台宬環保科技有限公司,(02)23380568,,臺北市萬華區艋舺大道160號1樓,莊仁傑
75,環藥病媒,63-180,泰洋環保科技有限公司,(02)86615766,,臺北市文山區樟新街52號1樓,衛騰霖
76,環藥病媒,63-181,上好除蟲有限公司,(02)27966299,,臺北市內湖區民權東路6段180巷15號4樓,呂旺
77,環藥病媒,63-182,朝陽病媒防治有限公司,(02)23067776,,臺北市萬華區西藏路170號2樓,蕭旭良
78,環藥病媒,63-183,優世環境有限公司,(02)26629670,,臺北市萬華區西藏路263號2樓,林信良
79,環藥病媒,63-185,源朗實業有限公司,(02)27361161,,臺北市信義區和平東路3段391巷29之2號,曾玟慧
80,環藥病媒,63-188,瑞力環衛企業社,(02)26518950,,臺北市南港區合順街8巷5弄2號1樓,楊朝森
81,環藥病媒,63-191,禾銜除蟲有限公司,(02)25681050,,臺北市中山區民權東路1段72號11樓之1,胡照運
82,環藥病媒,63-192,倍立潔實業有限公司,(02)23397787,,臺北市萬華區寶興街68巷13號1樓,謝靜
83,環藥病媒,63-195,美城除蟲有限公司,(02)28926666,,臺北市北投區中華街12號1樓,黃玉安
84,環藥病媒,63-197,富士除蟲實業有限公司,(02)23326625,,臺北市萬華區萬大路534巷39號5樓,陳炯昇
85,環藥病媒,63-201,衛豐有限公司,(02)28129460,,臺北市士林區中正路642號2樓,林進隆
86,環藥病媒,63-202,敦煌興業股份有限公司,(02)23362095,,臺北市萬華區興寧街8巷6弄8號,薛珍珍
87,環藥病媒,63-204,永雅消毒有限公司,(02)27093229,,臺北市大安區瑞安街124號2樓,田尚智
88,環藥病媒,63-206,安信環保科技有限公司,(02)29332237,,臺北市文山區光輝路6號,陳文旺
89,環藥病媒,63-207,旭潔企業有限公司,(02)25932594,,臺北市中山區吉林路407巷3號,丁相斌
90,環藥病媒,63-208,優克居有限公司,(02)29680820,,臺北市北投區中央北路1段40號,陳明遠
91,環藥病媒,63-210,五八一消毒除蟲有限公司,(02)28111581,,臺北市士林區通河西街1段102號1樓,周清隆
92,環藥病媒,63-211,富森環保服務有限公司,(02)87322877,,臺北市大安區和平東路3段346巷7號3樓,朱有福
93,環藥病媒,63-212,福爾摩斯綜合病蟲害防治有限公司,(02)23418566,,臺北市大安區新生南路1段161巷39號1樓,許澔榮
94,環藥病媒,63-213,鉅麟企業股份有限公司,(02)25960096,,臺北市中山區天祥路61巷22號,高肇楊
95,環藥病媒,63-214,上佳環保有限公司,(02)22754000,,臺北市萬華區西園路2段261巷12弄22號,吳佳鍠
96,環藥病媒,63-216,香港商史偉莎企業有限公司台灣分公司台北營業所,(02)28106366,,臺北市士林區中正路690號,余永堅
97,環藥病媒,63-218,全日清企業有限公司,(02)87513688,,臺北市內湖區瑞湖街88號4樓之1 ,李協益
98,環藥病媒,63-219,清丞生技有限公司　,(02)27827307,,臺北市南港區重陽路383巷8號,劉文慶
99,環藥病媒,63-221,傳勁服務有限公司,(02)37651068,,臺北市松山區南京東路5段50號4樓,宋雨漢
100,環藥病媒,63-222,霖園實業社,(02)28729258,,臺北市士林區天母東路81巷20弄24號2樓,蔡宜修
101,環藥病媒,63-224,威力克專業除蟲有限公司,(02)26331566,,臺北市內湖區康樂街155號1樓,凌文忠
102,環藥病媒,63-226,蒙斯特農研有限公司,(02)23672907,,臺北市中正區汀州路2段285號,林暉閔
103,環藥病媒,63-227,天兵除蟲有限公司,(02)23322337,,臺北市萬華區西藏路199巷21號,林彥辰
104,環藥病媒,63-229,正佳環保有限公司,(02)55820899,,臺北市松山區南京東路5段343號2樓之4,林聖?
105,環藥病媒,63-230,金潔環衛有限公司,(02)26516831,,臺北市南港區興中路28巷28號9樓之1,呂韋萱
106,環藥病媒,63-233,普迪國際有限公司,(02)86631748,,臺北市文山區汀州路4段37號2樓,劉文平
107,環藥病媒,63-235,芳興除蟲工坊,,0980834701,臺北市內湖區港墘路37巷13號,林芳輝
108,環藥病媒,63-236,國雲公寓大廈管理維護股份有限公司,(02)25573722,,臺北市大同區鄭州路139號4樓,林治方
109,環藥病媒,63-237,震大有限公司,(02)27954988,,臺北市內湖區新明路321巷10弄14號,林光鴻
110,環藥病媒,63-238,藍寶環境科技有限公司,(02)27838916,,臺北市南港區中南街74巷31號1樓,廖鈺娟
111,環藥病媒,63-241,宸家專業除蟲企業社,(02)25569855,,臺北市大同區天水路46號10樓之2,郭淑宸
112,環藥病媒,63-243,克萊兒國際商行,,0958865083,臺北市文山區福興路63巷4弄16號,陳英文
113,環藥病媒,63-244,錦衣衛企業有限公司,(02)77186817,,臺北市信義區松德路65號11樓之1,葉智文
114,環藥病媒,63-245,永春友有限公司,(02)27022736,,臺北市大安區通化街39巷49弄23號1樓,陳永茂
115,環藥病媒,63-246,潔適能害蟲防治有限公司,(02)25986555,,臺?市中山區新生??3段93巷6號1?,歐哲廷
116,環藥病媒,63-248,日通物業管理股份有限公司,(02)27292610,,臺北市信義區虎林街132巷77號1樓,謝正信
117,環藥病媒,63-250,雅比斯環保科技有限公司,(02)86631239,,臺北市文山區汀州路4段37號2樓,邱沛婕
118,環藥病媒,63-252,明泰清潔服務有限公司,(02)25000860,,臺北市中山區長安東路2段230號11樓之6,劉玥潁
119,環藥病媒,63-253,九業事業有限公司,(02)27820255,,臺北市南港區昆陽街140巷15號4樓,諶岳宏
120,環藥病媒,63-254,翊誠科技環保企業社,(02)27047195,,臺北市大安區嘉興街363巷15之1號,趙志誠
121,環藥病媒,63-257,偉健科技有限公司,(02)87516574,,臺北市中山區民生西路30號4樓之3,紀承志
122,環藥病媒,63-258,海億專業除蟲有限公司,(02)23825800,,臺北市內湖區安康路434巷17號2樓,詹馥桂
123,環藥病媒,63-259,敦瀚股份有限公司,(02)25026191,,臺北市中山區民生東路2段174號10樓,林錦堂
124,環藥病媒,63-261,易立病媒防治科技有限公司,(02)23089152,,臺北市萬華區和平西路3段396號1樓,鄧力瑋
125,環藥病媒,63-262,富潔環保服務有限公司,(02)23216925,,臺北市中正區紹興北街31巷6號3樓之2,許則銀
126,環藥病媒,63-264,頂嘉除蟲有限公司,(02)23032427,,臺北市中正區詔安街36之2號1樓, 鄭媺玲
127,環藥病媒,63-265,環寶除蟲有限公司,(02)26335231,,臺北市內湖區內湖路1段629巷40弄10號,黃亦合
128,環藥病媒,63-266,除害達人病媒防治有限公司,(03)2205692,,臺北市松山區八德路4段465號12樓,葉咸亨
129,環藥病媒,63-269,台灣奇樂潔國際有限公司,(02)23450488,,臺北市信義區信義路5段150巷401弄19號1樓,江怡靜
130,環藥病媒,63-270,沛森綠美景有限公司,(02)26880712,,臺北市中山區建國北路3段75巷1號3樓,沈  佩
131,環藥病媒,63-272,潔寶環衛股份有限公司,(02)28150055,,臺北市士林區延平北路5段50號1樓,張柏鈞
132,環藥病媒,63-273,宜家事業有限公司,(02)27886086,,臺北市南港區南港路3段130巷3弄8號,蔡有驊
133,環藥病媒,63-274,綠勵國際有限公司,(02)23698116,,臺北市中正區莒光路15號,朱正國
134,環藥病媒,63-275,青樺開發有限公司,(02)27491008,,臺北市信義區光復南路495號14樓之10,楊金蓮
135,環藥病媒,63-276,彤昇管理顧問有限公司,(02)23968939,,臺北市中正區金山南路一段67巷10號1樓,鄧雅真
136,環藥病媒,63-277,維克多有限公司,(02)27635773,,臺北市松山區八德路4段604號2樓之8,張介石
137,環藥病媒,63-279,官荻病媒防治企業社,(02)25580660,,臺北市大同區南京西路163號2樓之46,吳芳婷
138,環藥病媒,63-280,良福公寓大廈管理維護股份有限公司,(02)25238939,,臺北市中山區南京東路2段8號12樓之1,郭永宗
139,環藥病媒,63-281,威斯盾除蟲企業有限公司,(02)25621241,,臺北市中山區新生北路2段60巷50號1樓,曾威就
140,環藥病媒,63-283,大樹環衛有限公司,(02)23331728,,臺北市中正區泉州街155號,廖鳳心
141,環藥病媒,63-284,治耀環保有限公司,(02)23020460,,臺北市信義區忠孝東路5段474號4樓,王文鴻
142,環藥病媒,63-288,克星蟲害防治有限公司,(02)28324941,,臺北市士林區忠誠路2段21巷45弄4號3樓,楊頎?
143,環藥病媒,63-290,雅賦環保科技有限公司,(02)28981607,,臺北市北投區大同街125巷2號,林一輊
144,環藥病媒,63-291,興同有限公司,(02)27713277,,臺北市大安區忠孝東路3段263號2樓,范玉婷
145,環藥病媒,63-292,開利登環保科技有限公司,(02)85011177,,臺北市中山區明水路600號8樓,潘淑娟
146,環藥病媒,63-295,佳迪恩環保科技有限公司,(02)23321123,,臺北中山區民生東路1段42號5樓之3,楊鈞涵
147,環藥病媒,63-296,韡隼消毒有限公司,(02)29356908,,臺北市大安區和平東路1段66號9樓,陳書民
148,環藥病媒,63-298,維家紅火蟻防治有限公司,(02)23653300,,臺北市中正區晉江街51號 ,孫潔瑩
149,環藥病媒,63-299,長城清潔有限公司,(02)27058714,,臺北市中山區長安東路2段230號6樓之4,潘家棟
150,環藥病媒,63-300,佳立芳有限公司,(02)27931884,,臺北市內湖區內湖路3段141巷7號3樓,王明賢
151,環藥病媒,63-301,正新環保企業有限公司,(02)25321656,,臺北市中山區北安路726之2號,洪銓璟
152,環藥病媒,63-302,環固企業社,(02)27652191,,臺北市信義區松信路33號4樓,簡慶宏
153,環藥病媒,63-303,安可環保有限公司,(02)29480843,,臺北市文山區景後街145號3樓,黃善智
154,環藥病媒,63-304,毅潔環保有限公司,(02)22199131,,臺北市中山區南京東路1段25號10樓之2,林淳婷
155,環藥病媒,63-305,越凡股份有限公司,(02)25955816,,臺北市中正區師大路170之3號,殷念祖
156,環藥病媒,63-306,大台環保科技有限公司,(02)86661114,,臺北市信義區忠孝東路5段474號4樓,丁憶秦
157,環藥病媒,63-307,專業淨實業有限公司,(02)27908646,,臺北市萬華區環河南路2段55號1樓,鍾政憲
158,環藥病媒,63-308,山達森環保科技有限公司,(02)23091668,,臺北市萬華區西園路2段320巷36弄36號,余俊諺
159,環藥病媒,63-309,駿和環衛有限公司,(02)25325118,,臺北市中山區北安路518巷8號1樓,陳奕先
160,環藥病媒,63-311,優志旺股份有限公司,(02)23123358,,臺北市中正區忠孝西路1段4號8樓 ,安部建吉
161,環藥病媒,63-312,駿誠專業除蟲有限公司,(02)23012305,,臺北市萬華區西藏路147號1樓,劉和澔
162,環藥病媒,63-313,康佐環衛有限公司,(02)25110963,,臺北市松山區民生東路3段121號3樓,陳炎培
163,環藥病媒,63-315,樂沛國際股份有限公司 ,(02)66261290,,臺北市大安區忠孝東路4段107號12樓,林靜谷
164,環藥病媒,63-317,綠巨人清潔實業有限公司,(02)23889292,,臺北市萬華區長沙街2段61號2樓,呂文彬
165,環藥病媒,63-318,永遠工程行,(02)28280129,,臺北市北投區裕民六路120號4樓,謝炎昇
166,環藥病媒,63-319,純淨殺菌除蟲有限公司,(02)27782900,,臺北市大安區忠孝東路4段2號6樓之3,張濠鵬
167,環藥病媒,63-320,兆基清潔股份有限公司,(02)27617799,,臺北市松山區八德路4段453巷7號1樓,李建成
168,環藥病媒,63-322,雅杉企業有限公司,(02)23253976,,臺北市中山區長安東路1段19號10樓,林育群
169,環藥病媒,63-324,得勝興業有限公司,(02)86632279,,臺北市中山區中山北路2段170號8樓,鄭勝朋
170,環藥病媒,63-325,品頡環保有限公司,(02)22522389,,臺北市大同區南京西路163號2樓之73,郭懿輝
171,環藥病媒,63-327,揚杰除蟲有限公司,(02)27066040,,臺北市大安區臨江街85號4樓,許揚杰
172,環藥病媒,63-328,宜伯客公寓大廈管理維護有限公司,(02)27886086,,臺北市南港區南港路2段99之8號,蔡有驊
173,環藥病媒,63-329,運達環境管理顧問有限公司,(02)89522719,,臺北市大同區民權西路233號1樓,陳應祥
174,環藥病媒,63-330,台業環境清潔維護股份有限公司,(02)27416869,,臺北市中山區復興北路40號5樓,莊  淳
175,環藥病媒,63-331,愛潔客消毒有限公司,(02)23385115,,臺北市萬華區和平西路3段261之18號1樓,林品豪
176,環藥病媒,63-332,穩潔實業有限公司,(02)27660098,,臺北市松山區塔悠路192號,陳文杰
177,環藥病媒,63-333,金榛岑有限公司,(02)25574231,,臺北市大同區安西街39號,楊素芬
178,環藥病媒,63-336,康庭環衛股份有限公司忠孝分公司,(02)23458028,,臺北市大安區忠孝東路4段107號12樓之1,張諾凌
179,環藥病媒,63-337,精隼病媒防治顧問有限公司,(02)25996150,,臺北市大同區重慶北路3段113巷10號1樓,曹榮哲
180,環藥病媒,63-338,吉森治所專業病蟲害防治有限公司,(02)25955957,,臺北市中山區新生北路3段93巷6號,蘇育群
181,環藥病媒,63-339,第一社會企業股份有限公司,(02)27224136 ,,台北市信義區松隆路329巷8號1樓,廖春芬
182,環藥病媒,63-340,久濰環衛有限公司,(02)26270110,,臺北市內湖區內湖路1段91巷24弄8號1樓,林擎天
183,環藥病媒,63-341,維興環衛有限公司,(02)27626986,,臺北市松山區八德路4段839號1樓,楊家維
184,環藥病媒,63-342,御展病媒防治有限公司  ,,0970175844,臺北市萬華區環河南路1段23號6樓之2,朱顯政
185,環藥病媒,63-345,宏文管理顧問有限公司,(02)25000860,,臺北市中山區長安東路2段230號11樓之6,劉玥潁
186,環藥病媒,63-346,勁安心環衛整合有限公司,(02)27889090,,臺北市南港區南港路3段80巷29號,袁傑
187,環藥病媒,63-347,永信除蟲消毒有限公司,(02)25350527,,臺北市大同區庫倫街45號5樓,劉姵君
