行政區,醫療院所,地址,電話,其他聯絡方式
63000110,祐聖眼科診所,臺北市士林區延平北路5段316號,(02)28118583,
63000110,士林大學眼科診所,臺北市士林區文林路498號,(02)28316938,
63000110,佳視得眼科診所,臺北市士林區天母北路11之1號1樓,(02)28756230,
63000110,吳俊昇眼科診所,臺北市士林區中山北路6段434號1樓,(02)28734987,
63000110,元群眼科診所,臺北市士林區文林路437號1、2樓,(02)28881711,
63000110,梁如蘭眼科診所,臺北市士林區中山北路6段266號1樓,(02)28338539,
63000110,境靜眼科診所,臺北市士林區中山北路5段626號,(02)28322382,
63000110,志明眼科診所,臺北市士林區天母東路8巷83號,(02)28743105,
63000110,天母忠明2020眼科診所,臺北市士林區天母西路10號2樓之1,(02)28732020,
63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,(02)28332211,
63000110,保安眼科診所,臺北市士林區大東路44號,(02)28832868,
63000110,明澄眼科診所,臺北市士林區劍潭路68號1樓,(02)28858186,
63000110,橙光耳鼻喉科診所附設親子眼科,臺北市士林區大南路284號1樓、286號1樓,(02)28883222,
63000060,余自興眼科診所,臺北市大同區重慶北路3段213號,(02)25959320,
63000060,包眼科診所,臺北市大同區保安街54之1號,(02)25537526,
63000060,黃眼科診所,臺北市大同區重慶北路3段256號2樓,(02)25933039,
63000060,臺北市立聯合醫院-中興院區,臺北市大同區鄭州路145號,(02)25523234,
63000060,台全診所,臺北市大同區承德路1段17之1號,(02)25558111,
63000030,忠孝大學眼科診所,臺北市大安區忠孝東路4段178號1-2樓,(02)27407890,
63000030,新南大學眼科診所,臺北市大安區新生南路3段54-3號,(02)23688055,
63000030,星星親子眼科診所,臺北市大安區信義路3段114號2樓,(02)27080809,
63000030,宸光眼科診所,臺北市大安區信義路4段199巷13號1樓,(02)27019168,
63000030,大安眼科診所,臺北市大安區和平東路1段258號1樓,(02)23656363,
63000030,大安聚英視光眼科診所,臺北市大安區金山南路2段2號3樓,(02)33936868,
63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路4段280號,(02)27082121,
63000030,東方美學診所,臺北市大安區信義路4段63號四樓,(02)37076539,
63000030,和欣視光眼科診所,臺北市大安區和平東路3段274號,(02)27381568,
63000030,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路2段276號,(02)23690211,
63000030,優爾視眼科診所,臺北市大安區敦化南路1段283號2樓,(02)27086609,
63000030,敦南諾貝爾眼科診所,臺北市大安區敦化南路1段216號3樓,(02)27400960,
63000030,珍世明眼科診所,臺北市大安區信義路4段98號2樓,(02)27552298,
63000030,臺北市立聯合醫院-仁愛院區,臺北市大安區仁愛路4段10號,(02)27093600,
63000030,和平大愛眼科診所,臺北市大安區和平東路1段6號2樓,(02)23652727,
63000040,聚英視光眼科診所,臺北市中山區民權東路3段56號,(02)25025091,
63000040,長春眼科聯合診所,臺北市中山區建國北路2段66號,(02)25177060,
63000040,民生展欣眼科診所,臺北市中山區民生東路3段92號,(02)25017958,
63000040,優視眼科診所,臺北市中山區民生東路1段30號2樓,(02)25681718,
63000040,瑞光眼科診所,臺北市中山區南京東路1段25號1樓,(02)25236949,
63000040,德容聯合診所,臺北市中山區吉林路197號,(02)25643076,
63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路2段92號,(02)25111152,電話語音掛號:2511-1152
63000040,聚英尊爵視光眼科診所,臺北市中山區樂群二路173號1樓,(02)85026011,
63000040,惟廉診所 ,臺北市中山區北安路613號,(02)25323038,
63000040,臺北市立聯合醫院-林森院區,臺北市中山區林森北路530號,(02)25916681,
63000050,站前大學眼科診所,臺北市中正區館前路8號3樓,(02)23752558,
63000050,博士眼科診所,臺北市中正區羅斯福路2段70號4樓,(02)2394-3660,
63000050,台北公園諾貝爾眼科診所,臺北市中正區公園路13號5樓,(02)23705666,
63000050,郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,(02)2395675,
63000050,臺北市立聯合醫院-和平院區,臺北市中正區中華路2段33號 ,(02)23889595,
63000050,臺北市立聯合醫院-婦幼院區,臺北市中正區福州街12號,(02)23916470,
63000050,國立臺灣大學醫學院附設醫院(總院),臺北市中正區常德街1號,(02)23123456,轉274253
63000100,內湖大學眼科診所,臺北市內湖區文德路100號1樓,(02)27951001,
63000100,吳振光眼科診所,臺北市內湖區成功路4段42號3樓,(02)27925399,
63000100,哈佛眼科診所,臺北市內湖區基湖路10巷66號,(02)26270707,
63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號c棟,(02)87972121,
63000100,展欣眼科診所,臺北市內湖區金湖路382號,(02)26342538,
63000100,成功眼科診所,臺北市內湖區成功路4段28號四樓,(02)27933544,
63000100,內湖翰林眼科診所,臺北市內湖區成功路3段183號,(02)87922296,
63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路 2 段 360 號,(02)27919696,
63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路2段325號,(02)87923311,
63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路5段420巷26號,(02)26345500,
63000100,大愛眼科診所,臺北市內湖區東湖路15號,(02)26312338,
63000080,目欣眼科診所,臺北市文山區木新路2段120號,(02)29391900,
63000080,李信成眼科診所,臺北市文山區興隆路4段54之7號,(02)29375637,
63000080,景福眼科診所,臺北市文山區羅斯福路6段318號,(02)89318988,
63000080,陳啟義眼科診所,臺北市文山區興隆路3段204號,(02)22395988,
63000080,高鳴傑眼科診所,臺北市文山區木新路3段223號,(02)29376108,
63000080,臺北市立萬芳醫院－委託臺北醫學大學辦理,臺北市文山區興隆路3段111號,(02)29307930,
63000080,文山上明眼科診所,台北市文山區興隆路二段198號,(02)86637879,
65000020,信林大學眼科診所,新北市三重區重新路1段51-1號,(02)29729741,
65000020,三重大學眼科診所,新北市三重區重新路3段30號,(02)29729873,
65000020,五華眼科診所,新北市三重區五華街82號,(02)89852729,
65000020,美視眼科診所,新北市三重區正義北路210號3樓,(02)29861878,
65000020,及美眼科診所,新北市三重區集美街1號,(02)29779902,
65000020,游眼科診所,新北市三重區福德北路63號,(02)29776415,
65000020,靜明眼科診所,新北市三重區三和路4段153之2號,(02)22803383,
65000020,(新北)大愛眼科診所,新北市三重區正義北路 201 號 1 、 2樓,(02)89858585,
65000020,新北市立聯合醫院三重院區,新北市三重區新北大道1段3號,(02)29829111,
65000020,寶島眼科診所,新北市三重區集賢路189號1樓,(02)82861856,
65000090,行天宮醫療志業醫療財團法人恩主公醫院,新北市三峽區中山路258號,(02)26723456,
65000130,祐生眼科診所,新北市土城區中央路2段223之9號,(02)82614588,
65000030,精湛眼科診所,新北市中和區景新街450號1樓2樓,(02)89432567,
65000030,尚明眼科診所,新北市中和區復興路260號,(02)22428958,
65000030,信望愛眼科診所,新北市中和區中和路468號,(02)86601760,
65000030,光點眼科診所,新北市中和區景安路88號,(02)22422543,
65000030,永安眼科診所,新北市中和區宜安路129號,(02)29490178,
65000030,中和大愛眼科診所,新北市中和區景新街410巷2號,(02)86683113,
65000030,光晶妍寶島診所,新北市中和區漢生東路353號,(02)22231919,
65000040,德美診所,新北市永和區中正路455之1號,(02)29273001,
65000040,李廣德眼科診所,新北市永和區中正路643號,(02)29290678,
65000040,頤康診所,新北市永和區中和路581號,(02)29261259,
65000040,王新亞眼科診所,新北市永和區中正路81號,(02)29425123,
65000040,蔡維中眼科診所,新北市永和區民權路30號,(02)29412080,
65000040,雙和聚英視光眼科診所,新北市永和區安樂路242號2樓,(02)29292020,
65000040,博宏眼科診所,新北市永和區中正路514號,(02)29266599,
65000110,皓明眼科診所,新北市汐止區中興路199號,(02)26923088,
65000010,瑞信眼科診所,新北市板橋區中山路2段305號,(02)29578781,
65000010,新象眼科診所,新北市板橋區文化路2段394號,(02)82583730,
65000010,常春聯合診所,新北市板橋區四川路1段47號,(02)29642694,
65000010,當代聯合診所,新北市板橋區中正路319號,(02)29651535,
65000010,瑞明眼科診所,新北市板橋區文化路1段13號,(02)29685558,
65000010,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路2段21號,(02)89667000,
65000010,高端眼科診所,新北市板橋區文化路2段182巷3弄46號1F,(02)22531092,
65000010,韓眼科診所,新北市板橋區中山路2段300號,(02)29512284,
65000010,(新北)日光眼科診所,新北市板橋區陽明街124號,(02)82526490,
65000010,王瑞熙眼科診所,新北市板橋區公園街30號,(02)29511450,
65000010,板橋諾貝爾眼科診所,新北市板橋區文化路1段145號1樓,(02)29633456,
65000010,板橋大愛眼科診所,新北市板橋區文化路1段294號,(02)22569666,
65000010,達特楊眼科診所,新北市板橋區文化路1段148號1至3樓,(02)22508000,
65000060,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路362號,(02)22193391,
65000060,星展眼科診所,新北市新店區安康路2段117之1號,(02)86667868,
65000060,新店大愛眼科診所,新北市新店區北新路3段2號,(02)29150538,
65000060,佛教慈濟醫療財團法人台北慈濟醫院,新北市新店區建國路289號,(02)66289779,
65000060,(新北)德明眼科診所,新北市新店區建國路136號,(02)29112680,
65000070,康普生眼科診所,新北市樹林區中山路1段186號,(02)26879198,
65000140,佑明眼科診所,新北市蘆洲區長安街285巷1號,(02)82811109,
65000140,東大眼科診所,新北市蘆洲區三民路19號,(02)22819988,
65000140,潘眼科診所,新北市蘆洲區中正路11號,(02)28483497,
65000140,慶明眼科診所,新北市蘆洲區中山二路32號,(02)22852288,
65000140,蘆洲大愛眼科診所,新北市蘆洲區長榮路98號,(02)28472345,
65000140,蘆洲諾貝爾眼科診所,新北市蘆洲區三民路86號1樓,(02)82858828,
65000170,耀耀親子眼科診所,新北市林口區仁愛路2段269號,(02)26069072,
65000100,永光眼科診所,新北市淡水區中正東路47-1號,(02)26292616,
65000100,祐銘眼科診所,新北市淡水區民族路31號,(02)88095239,
65000050,衛生福利部樂生療養院,新北市新莊區中正路794號,(02)82006600,
65000050,昭明眼科診所,新北市新莊區民安西路17號,(02)22060836,
65000050,照明眼科診所,新北市新莊區新泰路174號,(02)29977748,
65000050,新泰綜合醫院,新北市新莊區新樹路176號,(02)29905320,
65000050,衛生福利部臺北醫院,新北市新莊區思源路127號,(02)22765566,
65000050,明醫達特楊眼科診所,新北市新莊區中平路274號1、2樓,(02)29987666,
65000050,新莊大愛眼科診所,新北市新莊區中正路333號,(02)82015050,
65000050,新莊寶島眼科診所,新北市新莊區新泰路110號,(02)66370092,
65000050,藍主仕眼科診所,新北市新莊區建安街102號,(02)22063987,
65000050,幸福大愛眼科診所,新北市新莊區幸福路743號,(02)29973270,
