單位名稱,統一編號,負責人,登記地址,公司電話,產業範疇,位置X座標,位置Y座標
信成實業股份有限公司,55757155,吳秀玲,臺北市南港區忠孝東路6段21號8樓之1&#160;&#160;,02-8797-1741,製藥產業,308787,2771099
強生復健器材製造廠有限公司,15324941,葉步麟,臺北市內湖區舊宗路二段95號2樓,02-8792-0556,醫療器材產業,308009,2773450
安可勝股份有限公司,69713019,韓文尊,臺北市內湖區堤頂大道2段15號5樓之2,02-8751-5986,醫療器材產業,307699,2774272
新加坡商希米科亞太股份有限公司台灣分公司,27951517,林卓儀,臺北市大安區信義路三段149號5樓,02-2706-9947,應用生技,304710,2769611
華瑞生技股份有限公司,53762180,梁賢吉,臺北市中山區長安東路2段67號9樓之1,02-2503-2950,應用生技,303872,2771260
台灣諾和諾德藥品股份有限公司,23528693,PROFITEDWARDSTEPHEN,臺北市大安區敦化南路2段207號10樓,02-7704-9988,製藥產業,305431,2768771
台灣展鑫醫療器材有限公司,27763698,張鑫永,臺北市內湖區陽光街321巷18號5樓之1,02-2627-1986,醫療器材產業,308386,2773940
洞視科技有限公司,90220687,塗明達,臺北市中山區南京東路2段150號11樓,02-2506-6615,應用生技,303900,2771625
益康企業股份有限公司,22454960,李惠珠,臺北市士林區延平北路5段163巷43號1樓,02-2813-3001,應用生技,301302,2775025
天群健康事業股份有限公司,20865299,郭洢帆,臺北市松山區南京東路4段171號12樓,02-2659-2277,醫療器材產業,306132,2771627
日名國際藥品有限公司,97129636,傅俊文,臺北市大安區敦化南路1段183號6樓,02-2731-0039,製藥產業,305423,2770623
信榮生物科技有限公司,80506706,施偉智,臺北市內湖區陽光街347號2樓,02-8797-3960,應用生技,308280,2773997
路明思生技股份有限公司,83502330,蘇隆畯,臺北市南港區園區街3號17樓,02-2655-8680,醫療器材產業,311745,2772394
聯新生物科技股份有限公司,80268471,黃英晋,臺北市內湖區洲子街52號3樓,02-2657-9886 ?,醫療器材產業,307816,2774662
璽安醫美生技有限公司,28861036,張元嘯,臺北市信義區信義路五段五號5樓5F14室,02-2808-4888,應用生技,306748,2769567
佳穎健康生技股份有限公司,43401201,許瑞麟,臺北市內湖區瑞光路302號9樓之1,尚無資料,應用生技,307932,2774373
承寶生技股份有限公司,83505884,陳瑞聰,臺北市內湖區瑞光路581之1號,02-2658-1868,製藥產業,307282,2774738
上鼎生技有限公司,80146479,胡雅婷,臺北市松山區饒河街144號,02-2788-8601,應用生技,308048,2771486
永福藥業股份有限公司,24565745,白宏欽,臺北市內湖區港墘路82巷7弄13號1樓,02-8797-8569,製藥產業,308259,2774923
創睿企業股份有限公司,24321903,廖進祿,臺北市大安區羅斯福路3段29號6F,02-2455-3111,醫療器材產業,303008,2768502
保瑞管理顧問股份有限公司,90702609,盛保熙,臺北市內湖區瑞光路26巷36弄2號4樓,02-2790-1555,製藥產業,308737,2773545
友照醫療儀器股份有限公司,90897034,林茂嘉,臺北市內湖區港墘路185號3樓之1,02-8753-6255,醫療器材產業,307996,2774311
駿緯醫藥科技股份有限公司,84806965,許武慶,臺北市中山區民生東路1段51號5樓之1,02-2567-6228,應用生技,303094,2772327
豪德生物科技股份有限公司,50881015,鄭   翔,臺北市內湖區湖元里行愛路７７巷１１號３樓、１３號３樓,02-2790-6566,應用生技,308686,2772847
造鑫企業有限公司,05024641,賴國鑫,臺北市北投區明德路113巷4弄2號1樓,02-2825-0661,醫療器材產業,302390,2778101
聚展實業股份有限公司,52288525,黃紹展,臺北市內湖區內湖路1段306號9樓之1,02-2712-9298,應用生技,307415,2774952
佳展科技股份有限公司,24767432,邱秋津,臺北市內湖區瑞光路358巷30弄2之1號6樓,02-8797-6636,醫療器材產業,307732,2774373
鉑森生技股份有限公司,83171161,林成龍,臺北市內湖區新湖二路87號3樓,02-2793-9951,應用生技,308089,2772617
多益得生物科技股份有限公司,80203533,吳芸言,臺北市內湖區文湖街60巷2號3樓,02-2658-0102,應用生技,306903,2775459
同心生物科技股份有限公司,80522558,李明宗,臺北市內湖區民權東路6段109號7樓之4,02-2790-0580,醫療器材產業,309682,2773567
建豐健康科技股份有限公司,52564893,林凱馳,臺北市內湖區瑞光路168號9樓,0938-932-306,應用生技,308375,2774089
華鋒科技股份有限公司,28388566,楊宏培,臺北市內湖區洲子街50號7樓,02-8983-5039,醫療器材產業,307808,2774642
達爾豪森台灣股份有限公司,00102679,Ulrich Helmut Dahlhausen,臺北市內湖區內湖路1段322號5樓,02-2627-0936,醫療器材產業,307489,2774941
維春醫材股份有限公司,43640300,陳春生,臺北市內湖區洲子街116號9樓,02-2659-8898,醫療器材產業,307435,2774822
首美達實業股份有限公司,97292799,李萬得,臺北市內湖區民權東路6段15巷16號4樓之3,02-2796-7222,醫療器材產業,308399,2773451
沛智生醫科技股份有限公司,52539369,劉家宏,臺北市中山區德惠街9號4樓之1,02-2585-8586,醫療器材產業,302929,2773279
台灣法迪亞股份有限公司,80695185,楊淑雯,臺北市南港區忠孝東路7段508號4樓之3,02-2656-7890,醫療器材產業,311506,2771689
博泰醫療器材股份有限公司,28476907,李柱漢-LEE JOOHAN,臺北市內湖區洲子街62號5樓,02-8751-1578,醫療器材產業,307753,2774685
鳴醫股份有限公司,52635428,謝懿,臺北市內湖區瑞光路335號7樓,02-2795-5390,應用生技,308012,2774271
邦本生技有限公司,80197808,葉安時,臺北市內湖區瑞光路258巷50號3樓,02-2627-4366,醫療器材產業,307996,2774170
㭼波斯生物科技股份有限公司,94113457,陳鵬威,臺北市南港區園區街3號17樓,02-2550-1899,應用生技,311745,2772394
伊凡維納生醫股份有限公司,85001058,莊至義,臺北市內湖區金莊路26號3樓之3,02-2792-2658,製藥產業,309281,2772811
艾昆緯藥品資訊股份有限公司,16083364,宓子厚-BrianZihouMi,臺北市松山區民生東路3段138號12樓,02-2175-6500,應用生技,305200,2772260
巨量移動科技股份有限公司,24616337,黃超明,臺北市中山區建國北路3段92之1號7樓,03-579-7686,醫療器材產業,303912,2773276
矽新科技有限公司,89976849,唐炳武,臺北市中正區南昌路2段216號8樓,02-2362-8585,應用生技,302924,2768531
宏騏實業股份有限公司,54338466,劉柯斌,臺北市內湖區瑞光路583巷25號2樓,02-7720-1566,應用生技,307286,2774835
宸品有限公司,80680508,徐婉麗,臺北市南港區八德路四段778號4樓,02-2788-6279,應用生技,308549,2771490
台灣曼秀雷敦股份有限公司,23931630,冼啟聰,臺北市內湖區基湖路10巷57號6樓,02-8751-8818,應用生技,306869,2775017
永悅醫療儀器有限公司,28471939,劉牧君,臺北市內湖區陽光街347號6樓,02-2658-7718,醫療器材產業,308280,2773997
波仕特生物科技股份有限公司,23283894,計宜明,臺北市南港區園區街3號14樓之2,02-2655-7677,醫療器材產業,311745,2772394
瑞鑫生技股份有限公司,83072486,韓文尊,臺北市內湖區堤頂大道2段15號5樓之2,0-28751-5986,應用生技,307699,2774272
伊賀本生技企業股份有限公司,12862185,許碧蕙,臺北市中正區開封街1段78巷16號1樓,02-2755-0639 02-2715-0751,應用生技,301557,2770912
勁因科技有限公司,84906514,仲志慶,臺北市南港區園區街3號12樓之6,02-2655-7678,應用生技,311745,2772394
汐音生化科技有限公司,22720860,郭麗蓉,臺北市內湖區洲子街61號1樓,02-2797-3898,應用生技,307796,2774702
佳友化工股份有限公司,22193425,黃妃壽,臺北市內湖區行愛路57號3樓,02-2794-3415,應用生技,308686,2772797
歐柏股份有限公司,16291320,江邦卿,臺北市大安區忠孝東路4段297號9樓,02-2772-3568,醫療器材產業,306015,2770501
永茂藥業股份有限公司,25102546,白宏欽,臺北市內湖區港都里港墘路８２巷７弄１３號１樓,02-8797-8005,製藥產業,308259,2774923
鷗博科技有限公司,89268281,黃美麗,臺北市士林區基河路17號11樓,02-2883-5317,醫療器材產業,302952,2775527
實用醫療器材有限公司,22461300,許美足,臺北市內湖區行愛路78巷24號,02-2793-8549,醫療器材產業,308555,2772797
芯芮生技開發股份有限公司,27765794,莊勝博,臺北市內湖區民權東路6段16號地下1層,02-7720-8266,應用生技,308249,2773229
碩景股份有限公司,80672330,張家碩,臺北市信義區松德路74號8樓,02-2758-2606；02-2658-3322,醫療器材產業,308103,2770144
台灣赫曼有限公司,50769420,Jennifer Anne Luke,臺北市內湖區石潭路67號7樓,02-2790-7992,醫療器材產業,309265,2772863
起元生物科技股份有限公司,42980667,邱一帆,臺北市信義區信義路5段109號地下1樓,02-3393-1118,醫療器材產業,307836,2769587
仲智數位健康股份有限公司,89183306,宋穗佳,臺北市中正區忠孝西路一段72號2樓之1,02-2331-3971,醫療器材產業,301870,2771063
新加坡商榮晶生技有限公司台灣分公司,54956754,夏汝文,臺北市內湖區堤頂大道2段251號8樓,02-87516620*3776,應用生技,307145,2774572
瑞群生技股份有限公司,83051166,賀士郡,臺北市大安區忠孝東路四段219號8樓,02-2771-1070,應用生技,305752,2770506
鴻億實業股份有限公司,72109562,李茂盛,臺北市中山區南京東路3段201號11樓,02-2713-6677,醫療器材產業,304740,2771657
鎂迪生醫股份有限公司,83550183,林明德,臺北市大同區南京西路163號2樓之34,02-2655-8597,應用生技,301774,2771868
台灣塞爾克斯應用生技有限公司,24472275,JosephPatrickFox,臺北市內湖區瑞光路631號4樓及633號4樓,02-2656-7592,應用生技,307140,2774803
雅寶企業有限公司,84793933,陳彩枝,臺北市內湖區瑞光路478巷18弄32號,02-2788-3922,醫療器材產業,307272,2774611
創健雲生醫股份有限公司,83587718,趙書萱,臺北市內湖區內湖路1段512號5樓,02-2388-1766,醫療器材產業,307887,2774804
海蓮產業股份有限公司,23133158,許懷月,臺北市中山區中山北路二段112號14樓之5,02-2561-1516 02-2723-2250,應用生技,302740,2772600
康百佳實業有限公司,89333570,彭瑞斌,臺北市大同區南京西路76號6樓之3,02-2556-6136 02-2796-7222,製藥產業,302306,2771743
博克科技股份有限公司,12675508,蔡錦承,臺北市內湖區新湖二路162號4樓之1,02-8791-2769,醫療器材產業,308481,2772876
台灣寶赫曼企業股份有限公司,16783937,王文屏,臺北市內湖區瑞光路513巷31號9樓,02-2658-0199,醫療器材產業,307516,2774738
正雍有限公司,12413884,許耀元,臺北市內湖區行愛路77巷69號7樓,02-2790-0799,製藥產業,308845,2772967
博圓生技有限公司,27395391,羅國榮,臺北市內湖區瑞光路358巷38弄36號3樓之3,02-2809-5058,醫療器材產業,307796,2774312
葉博士科技輔具股份有限公司,27365853,黃敏夫,臺北市大同區南京西路62號7樓,02-2821-9562,醫療器材產業,302370,2771721
麗鑫生技股份有限公司,90713253,洪正益,臺北市內湖區陽光街345巷12號4樓,02-2795-4175,應用生技,308303,2773912
浚鴻數據開發股份有限公司,90741862,楊雅惠,臺北市中正區愛國西路9號7樓,02-2331-5133；02-2331-5552,醫療器材產業,301245,2770002
麥博森股份有限公司,24950178,周聖燁,臺北市中山區松江路51號10樓,02-2517-5455,醫療器材產業,303797,2771205
艾沛生醫股份有限公司,90329217,黃瑞蓮,臺北市南港區園區街3號17樓,02-2653-7792,製藥產業,311745,2772394
台灣赫而司有限公司,16305859,陳漢章,臺北市內湖區成功路5段460號15樓,02-2633-3810,應用生技,311186,2774110
國基生技股份有限公司,80694664,林侑頤,臺北市南港區玉成街140巷25號1樓,02-2761-1313,應用生技,308794,2770769
鷹視有限公司,23890693,黃美麗,臺北市士林區承德路4段150號7樓,02-2883-5317；02-2713-6227,醫療器材產業,302768,2775310
蓓蕾莉生技股份有限公司,24472628,胡鴻渝,臺北市內湖區瑞光路316巷56號2樓,02-2627-2197,醫療器材產業,307825,2774302
綠霖生技有限公司,27294035,陳子建,臺北市中山區吉林路24號4樓之2,02-2536-6086；02-2556-6136,應用生技,303472,2771568
珩陞行生物科技股份有限公司,23616838,劉永詳,臺北市南港區南港路3段130巷3弄11號3樓,02-2788-3621,應用生技,309283,2771857
海伸有限公司,09452686,王盈翔,臺北市大安區新生南路1段165巷35之3號,02-2708-1337；02-2658-1622,醫療器材產業,304091,2769683
台灣荃新股份有限公司,70654116,袁瑞坊,臺北市中正區羅斯福路二段11號3樓,02-3322-5957,應用生技,302635,2769048
勝博國際股份有限公司,55753881,謝銘金,臺北市內湖區行善路56號4樓之3、之4、之5,02-8791-9165,醫療器材產業,308103,2772200
彩智醫材股份有限公司,90466020,陳春生,臺北市內湖區港墘路183號,02-2659-8898,醫療器材產業,308001,2774318
登富企業有限公司,22424684,鄧新健,臺北市內湖區基湖路35巷49號5樓之1,02-8752-6501,應用生技,307146,2774694
景新製藥股份有限公司,07410900,鄭裕豐,臺北市大同區重慶北路3段244號,02-2594-0530 02-2504-2121,製藥產業,301810,2773708
傳聲國際電子股份有限公司,20659811,蔡志一,臺北市松山區南京東路5段274號1樓,02-2768-2174 02-2658-2503,醫療器材產業,307209,2771561
信恆有限公司,09489086,陳本生,臺北市士林區後港街118號5樓,02-2880-6637,醫療器材產業,302605,2775459
聖德生技新藥有限公司,24779079,林帥宏,臺北市內湖區新湖一路155號4樓,02-2797-3777,製藥產業,308266,2772400
久保雅司國際股份有限公司,80492409,黃惠玲,臺北市內湖區洲子街73號3樓之2,02-8751-8100,應用生技,307678,2774744
基業生物科技股份有限公司,04908201,劉素瓊,臺北市內湖區行忠路60號7樓之1,02-2792-3111,應用生技,308484,2773229
越聖儀器廠股份有限公司,20811718,劉國樑,臺北市士林區前港街29號2樓,02-2882-2212,醫療器材產業,302641,2775274
台灣雅培醫療器材有限公司,27967047,黃維新,臺北市內湖區瑞光路407號5樓,02-8752-2200,醫療器材產業,307636,2774567
睿聯生醫有限公司,12653053,黃銘志,臺北市內湖區港墘路187號9樓,02-2659-8566,應用生技,307991,2774304
奈力生醫股份有限公司,52374205,詹維康,臺北市松山區敦化北路170號3樓,02-2365-7579,製藥產業,305346,2772165
艾斯創生醫股份有限公司,83211918,黃毅熙,臺北市南港區園區街3號17樓,02-6605-7607,醫療器材產業,311745,2772394
萊富生命科技股份有限公司,84310768,楊淑雯YeoSho-Wen,臺北市中正區忠孝東路2段123號8樓,02-2358-2838；02-2728-3517,醫療器材產業,303733,2770620
佳捷生技股份有限公司,27336176,余蕙德,臺北市中山區松江路318號10樓之6,02-2536-1488,應用生技,303764,2772604
川富科技開發股份有限公司,81086436,鍾昆金,臺北市松山區民族東路687號7樓,02-2600-1761,應用生技,305310,2772927
正茂生物科技股份有限公司,28683504,楊承熹,臺北市內湖區新湖一路145號6樓,02-2796-2656,醫療器材產業,308208,2772412
源富生物科技股份有限公司,12964937,吳順興,臺北市內湖區內湖路1段356號3樓,03-475-1988,應用生技,307553,2774919
台灣分子檢驗股份有限公司,80297980,李玉鼎,臺北市中山區南京東路二段218號7樓,02-2506-7667,醫療器材產業,304101,2771624
長安儀器有限公司,12168691,楊淑惠,臺北市中山區林森北路63號2樓,02-2571-9829,醫療器材產業,302934,2771234
勸奉堂製藥股份有限公司,31221350,蔡士城,臺北市士林區社子街1120號6樓,03-473-7996,製藥產業,301138,2775556
三泰儀器工業股份有限公司,30939849,孫玫兒,臺北市南港區成功路1段63之2號及2、3、4樓,02-2783-2854,醫療器材產業,309818,2772168
生訊科技股份有限公司,80152632,盧智成,臺北市內湖區新湖一路145號5樓,02-8791-2600,醫療器材產業,308208,2772412
益新生技股份有限公司,25132274,蔡孟哲,臺北市北投區承德路6段120號14樓,02-2381-3799,應用生技,301690,2777351
奈威生技股份有限公司,52805302,徐弘昆,臺北市內湖區洲子街12號2樓,02-2647-9488,製藥產業,308009,2774565
生資有限公司,80541041,蘇秦法,臺北市松山區復興北路1號13樓之4,02-2751-9955,應用生技,304907,2771201
奇祁科技有限公司,16149669,黃大可,臺北市大安區敦化南路2段128號7樓之2,02-2696-8338 02-2755-4881,醫療器材產業,305342,2768780
奧澄生醫股份有限公司,83515383,徐仲儀,臺北市松山區南京東路4段130號2樓之1,02-852-14085,醫療器材產業,306070,2771585
銓安生物科技股份有限公司,43940361,簡昭隆,臺北市內湖區舊宗路2段97號2樓,02-2792-8987,應用生技,308022,2773449
寶及第股份有限公司,25120657,黃偉俊,臺北市內湖區陽光街300號7樓之2,02-2659-5890,應用生技,307980,2773973
救心生技藥業股份有限公司,29821218,藍文昌,臺北市中正區幸市里臨沂街25巷18號,0985-167-173、02-2341-3376,製藥產業,303605,2770457
丞燕國際股份有限公司,23752615,黎林新瑢,臺北市大安區忠孝東路4段270號4樓,02-2781-3311,應用生技,305988,2770454
登盛企業股份有限公司,23443294,黃銘志,臺北市內湖區港墘路189號9樓,02-2659-8566,應用生技,307985,2774296
台灣瑞慶合股份有限公司,90156432,羅麗芬,臺北市松山區南京東路3段259號5樓之1,尚無資料,應用生技,304981,2771651
華新醫材股份有限公司,12564904,鄭永柱,臺北市信義區忠孝東路5段508號19樓之3,02-2727-7347 02-2577-8899,醫療器材產業,308401,2770456
