編號,許可證,許可證字號,公司名稱,公司電話,分機,公司地址,負責人
33,環藥販賣,63-106,悠禾生技實業有限公司,(02)86635585,,臺北市文山區羅斯福路5段192巷35號1樓,歐迪華
34,環藥販賣,63-107,恆澤興業有限公司,(02)27274888,,臺北市信義區虎林街202巷61號1樓,魏承輝
35,環藥販賣,63-111,台灣大昌華嘉股份有限公司,(02)87526666,,臺北市內湖區堤頂大道2段407巷22號10樓,鑫必傑
36,環藥販賣,63-112,但以理興業有限公司,(02)29324812,,臺北市大安區臥龍街1號4樓,黃陳玉玲
37,環藥販賣,63-119,福信有限公司,(02)27115597,,臺北市中山區長安東路2段181號6樓,廖培嵐
38,環藥販賣,63-120,維家企業有限公司,(02)23685000,,臺北市中正區晉江街51號,潘秋萍
39,環藥販賣,63-121,德凌環衛有限公司,(02)25611666,,臺北市中山區松江路42號7樓之10,謝俊德
40,環藥販賣,63-124,愛心化學有限公司,(02)28323211,,臺北市士林區承德路5段24號4樓,馬靜芳
41,環藥販賣,63-126,影響力股份有限公司,(02)27132758,,臺北市中山區復興北路150號11樓之2,許玉碧
42,環藥販賣,63-127,九鼎知識整合行銷有限公司,(02)28375100,,臺北市士林區福國路15巷7號2樓,田維國
43,環藥販賣,63-128,威群國際有限公司,(02)27979218,,臺北市內湖區內湖路1段91巷35弄64號3樓,蔡崇禮
44,環藥販賣,63-131,妮蒂歐國際貿易有限公司,(02)85225678,,臺北市大同區太原路22巷6號4樓,黃光佑
45,環藥販賣,63-133,瑞瀚國際有限公司,(02)85011176,,臺北市松山區撫遠街249巷6號1樓,胡瑞青
46,環藥販賣,63-137,台灣康美克環境衛生器材股份有限公司,(02)25929068,,臺北市中山區天祥路61巷22號,?明昌
47,環藥販賣,63-138,福爾摩斯綜合病蟲害防治有限公司,(02)23418566,,臺北市大安區新生南路1段161巷39號1樓,許澔榮
48,環藥販賣,63-139,鉅麟企業股份有限公司,(02)25960096,,臺北市中山區天祥路61巷22號,高肇楊
49,環藥販賣,63-140,津川實業股份有限公司,(02)55511266,6701,臺北市大安區信義路4段1之87號,林宗林
50,環藥販賣,63-142,海韻國際股份有限公司,(02)28769497,,臺北市士林區天母西路3號4樓之12,賴欣國
51,環藥販賣,63-143,多益得生物科技股份有限公司,(02)26580102,,臺北市內湖區文湖街60巷2號3樓,吳芸言
52,環藥販賣,63-144,石偉貿易股份有限公司,(02)23511697,,臺北市中山區南京東路3段19號4樓之1,石欣榮
53,環藥販賣,63-145,震大有限公司,(02)27954988,,臺北市內湖區新明路321巷10弄14號,林光鴻
54,環藥販賣,63-149,日月通生技藥品股份有限公司,(02)27857945,,臺北市南港區玉成街199號,賴相佑
55,環藥販賣,63-150,藝康企業股份有限公司,(02)89787029,,臺北市士林區承德路4段172號10樓及174號10樓,王鐵
56,環藥販賣,63-151,進昌貿易股份有限公司,(02)25780777,,臺北市松山區八德路3段2號7樓,黃振進
57,環藥販賣,63-152,綠色技術科技股份有限公司,(02)23672650,,臺北市大安區羅斯福路3段75號5樓,羅玉松
58,環藥販賣,63-153,泰立環保服務有限公司,(02)23076939,,臺北市萬華區西藏路269巷8號1樓,李政盟
59,環藥販賣,63-154,樂斯科生物科技股份有限公司,(02)26518669,,臺北市南港區重陽路316號3樓,陳振忠
60,環藥販賣,63-157,懷得國際有限公司,(02)27945003,,臺北市內湖區行愛路140巷27號5樓,范育俊
61,環藥販賣,63-159,亮星有限公司,(02)23075899,,臺北市萬華區德昌街198號1樓,陳威志
62,環藥販賣,63-161,智捷新創股份有限公司,(02)87921002,,臺北市內湖區民權東路6段180巷6號9樓之2,陳永豪
63,環藥販賣,63-162,雅賦環保科技有限公司,(02)28981607,,臺北市北投區大同街125巷2號,林一輊
64,環藥販賣,63-164,康庭環衛股份有限公司,(02)23458028,,臺北市信義區莊敬路391巷20-1號,張諾凌
65,環藥販賣,63-166,富資開發有限公司,(02)27047630,,臺北市大安區信義路4段265巷22號,李天元
66,環藥販賣,63-169,合緣環球股份有限公司,(02)27185120,,臺北市松山區復興北路99號10樓,胡振豪
67,環藥販賣,63-170,百玖香股份有限公司,(02)22481186,,臺北市萬華區長沙街2段40巷2號1樓,黃舜弘
68,環藥販賣,63-171,永利恆能食品科技有限公司,(02)26571053,,臺北市內湖區洲子街52號5樓,林美利
69,環藥販賣,63-172,永豐商店股份有限公司 ,(02)23411320,,臺北市中正區重慶南路2段51號16樓,何奕達
70,環藥販賣,63-174,台灣曼秀雷敦股份有限公司,(02)87518818,,臺北市內湖區基湖路10巷57號6樓,冼啟聰
71,環藥販賣,63-175,昱辰科技股份有限公司,(02)87927968,,臺北市內湖區民權東路6段109號9樓之3,李淑儀
72,環藥販賣,63-176,富邦媒體科技股份有限公司,(02)21626693,,臺北市內湖區洲子街96號4樓,蔡明忠
73,環藥販賣,63-178,台灣日產化工股份有限公司,(02)27217371,,臺北市松山區復興北路57號10樓,劉又菱
74,環藥販賣,63-179,優迪國際股份有限公司,(02)25576991,,臺北市信義區基隆路2段77號12樓之3,林立人
75,環藥販賣,63-180,台灣阿卡將本舖股份有限公司,(02)77261155,,臺北市中正區衡陽路51號5樓之7,藤原研一
76,環藥販賣,63-182,誠鑠企業有限公司,(02)89136967,,臺北市大安區忠孝東路4段162號10樓之2,盧元惠
77,環藥販賣,63-183,默克先進科技材料股份有限公司,(02)21621111,,臺北市內湖區堤頂大道2段89號6樓,李俊隆
78,環藥販賣,63-184,興中美生技有限公司,(02)87513383,,臺北市內湖區瑞光路618號5樓之1,李阿利
79,環藥販賣,63-185,日星實業股份有限公司,(02)27217371,,臺北市松山區復興北路57號10樓,劉又菱
80,環藥販賣,63-186,六和化工股份有限公司,(02)25954321,,臺北市中山區德惠街9號6樓,李友青
81,環藥販賣,63-188,三寶產業有限公司,(02)26905588,,臺北市北投區光明路240-6號7樓,江含少
82,環藥販賣,63-190,帛汯佺有限公司,(02)25169039,,臺北市中山區建國北路一段96號3樓,蔡苡岑
83,環藥販賣,63-191,香港商香港利潔時有限公司臺灣分公司,(02)27680669,,臺北市大安區仁愛路三段136號6樓,Boudewijn FEITH
84,環藥販賣,63-192,蓁創新開發展業股份有限公司,(02)28125230,,臺北市士林區大南路419號8樓,蔡巧貴
85,環藥販賣,63-194,國盛生化股份有限公司,(02)23955636,,臺北市中正區忠孝東路二段112號8樓,林建宏
86,環藥販賣,63-195,艾購購數位生活行銷有限公司,(02)85113022,,臺北市中山區復興北路150號11樓之2,張李德
87,環藥販賣,63-196,曖麗嬰童百貨店,(02)23946681,,臺北市中正區南昌路1段163號1樓,黃俊龍
88,環藥販賣,63-197,香港商利潔時曼倫商貿有限公司,(02)87738870,100,臺北市大安區敦化南路1段205號6樓之8,呂有名
89,環藥販賣,63-198,高事達農化有限公司,(02)25319311,,臺北市中山區中山北路2段46號4樓之2,陳順郎
90,環藥販賣,63-199,欣新網股份有限公司,(02)87683830,,臺北市中山區南京東路3段70號4樓,陳德仁
91,環藥販賣,63-200,美德向邦股份有限公司,(02)27392222,,臺北市信義區松高路9號11樓,陳素甜
92,環藥販賣,63-201,葛雷士國際有限公司基隆路分公司,(02)27389099,,臺北市信義區基隆路2段131之10號3樓,吳榮家
93,環藥販賣,63-202,酷澎股份有限公司,(02)77515656,,臺北市信義區信義路5段7號13樓、13樓之1、13樓之2,Ankit Dewan
