序號,縣市,行政區,郵遞區號,課照中心代碼,課照中心名稱,地址,許可證日期,營業狀態,設立別,電話,負責人,立案狀態,核定人數【人】
17,臺北市,中山區,104,AS10400004,臺北市私立立智兒童課後照顧服務中心,臺北市中山區德惠街158號1樓,2013/8/15,正常營運,私立-私人,(02)2596-4546,詹麗色,立案,26
18,臺北市,中山區,104,AS10400005,臺北市私立馬老師兒童課後照顧服務中心,臺北市中山區合江街93巷5號3樓,2013/9/13,已歇業(主管機關應廢止其原設立許可),私立-私人,2503-3595,陳正修,立案,20
19,臺北市,中山區,104,AS10400006,臺北市私立至優兒童課後照顧服務中心,臺北市中山區長春路99號1、2樓,2013/10/2,正常營運,私立-私人,(02)2581-6200、2581-5670,劉?憶,立案,40
20,臺北市,中山區,104,AS10400007,臺北市私立大直兒童課後照顧服務中心,臺北市中山區北安路595巷21號1樓,2013/10/14,已歇業(主管機關應廢止其原設立許可),私立-私人,2533-1015,高英玲,立案,26
21,臺北市,中山區,104,AS10400008,臺北市私立愛德華兒童課後照顧服務中心,臺北市中山區南京東路3段48巷6號2至3樓,2013/10/31,已歇業(主管機關應廢止其原設立許可),私立-私人,2508-2880,張?民,立案,45
22,臺北市,中山區,104,AS10400009,臺北市私立友丞兒童課後照顧服務中心,臺北市中山區錦州街426巷1弄12號1樓,2013/11/6,已歇業(主管機關應廢止其原設立許可),私立-私人,2501-3399,李采屏,立案,20
23,臺北市,中山區,104,AS10400010,臺北市私立翰聲兒童課後照顧服務中心,臺北市中山區堤頂大道2段376及378號1、2樓,2013/11/28,正常營運,私立-私人,(02)8501-2580,魏寶蓮,立案,82
24,臺北市,中山區,104,AS10400011,臺北市私立親親寶貝兒童課後照顧服務中心,臺北市中山區遼寧街63巷14號1至2樓,2013/12/27,已歇業(主管機關應廢止其原設立許可),私立-私人,2752-7070,王玉緣,立案,23
25,臺北市,中山區,104,AS10400012,臺北市私立艾立卡兒童課後照顧服務中心,臺北市中山區基湖路120巷30弄28號1、2、3樓,2013/12/5,正常營運,私立-私人,(02)8502-0908,黃湘晴,立案,75
26,臺北市,中山區,104,AS10400013,臺北市私立企鵝村兒童課後照顧服務中心,臺北市中山區一江街21號3、4樓,2017/12/28,已歇業(主管機關應廢止其原設立許可),私立-私人,25628898,吳鳳珠,立案,27
27,臺北市,中山區,104,AS10400014,臺北市私立晨星兒童課後照顧服務中心,臺北市中山區龍江路114巷6號2樓,2018/10/11,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2504-7216,李佑倫,立案,30
28,臺北市,中山區,104,AS10400015,臺北市私立欣兒園兒童課後照顧服務中心,臺北市中山區堤頂大道2段346號1、2樓,2020/9/8,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)8502-1515,楊明智,立案,54
29,臺北市,中山區,104,AS10400016,國際蒙特梭利教育事業股份有限公司附設臺北市私立國際課程兒童課後照顧服務中心,臺北市中山區樂群二路126號3樓,2021/5/6,正常營運,私立-私人,(02)8502-1521,林佑宇,立案,45
30,臺北市,中山區,104,AS10400017,三語有限公司附設臺北市私立三語學堂兒童課後照顧服務中心,臺北市中山區樂群二路66號1樓,2023/11/21,正常營運,私立-私人,(02)-85012937,鄭堡文,立案,28
31,臺北市,松山區,105,AS10500001,臺北市私立鍾老師兒童課後照顧服務中心,臺北市松山區三民路167巷16號1樓,2013/4/12,正常營運,私立-私人,(02)2764-3535,鍾玉香,立案,36
32,臺北市,松山區,105,AS10500002,臺北市私立吳老師兒童課後照顧服務中心,臺北市松山區八德路4段194號2樓,2013/5/17,正常營運,私立-私人,(02)2764-2904,顏麗華,立案,29
33,臺北市,松山區,105,AS10500003,臺北市私立葡萄園兒童課後照顧服務中心,臺北市松山區三民路167巷12號1樓,2013/6/24,已歇業(主管機關應廢止其原設立許可),私立-私人,2753-4321,駱芬美,立案,35
34,臺北市,松山區,105,AS10500004,臺北市私立美德堡兒童課後照顧服務中心,臺北市松山區八德路2段437巷10弄8號1樓,2013/7/19,正常營運,私立-私人,(02)2777-3235,林佳惠,立案,31
35,臺北市,松山區,105,AS10500005,臺北市私立學習家兒童課後照顧服務中心,臺北市松山區三民路102巷20號1樓,2013/8/19,已歇業(主管機關應廢止其原設立許可),私立-私人,2769-3648,李玉清,立案,20
36,臺北市,松山區,105,AS10500006,名星社會責任有限公司附設臺北市私立名星兒童課後照顧服務中心,臺北市松山區三民路166巷1號1樓,2013/8/28,正常營運,私立-私人,(02)2762-2069,名星社會責任有限公司(蘇建名),立案,25
37,臺北市,松山區,105,AS10500007,臺北市私立愛兒兒童課後照顧服務中心,臺北市松山區民生東路4段80巷7之6號、7之7號1樓,2013/9/2,正常營運,私立-私人,(02)2719-3596,許靜惠,立案,26
38,臺北市,松山區,105,AS10500008,臺北市私立加佳兒童課後照顧服務中心,臺北市松山區南京東路5段123巷2弄28號1樓,2013/9/2,正常營運,私立-私人,(02)2769-7343,盧妙蓮,立案,20
39,臺北市,松山區,105,AS10500009,臺北市私立樓蘭兒童課後照顧服務中心,臺北市松山區富錦街373號1樓,2013/9/4,正常營運,私立-私人,(02)8787-0638,陳銘珠,立案,40
40,臺北市,松山區,105,AS10500010,臺北市私立牧童兒童課後照顧服務中心,臺北市松山區富錦街359巷2弄46號1樓,2013/9/4,正常營運,私立-私人,(02)2763-5570、2756-4209,高碧鈺,立案,35
41,臺北市,松山區,105,AS10500011,臺北市私立親親兒童課後照顧服務中心,臺北市松山區民生東路4段80巷1弄5號1樓,2013/9/12,正常營運,私立-私人,(02)2717-7053,林欽雄,立案,36
42,臺北市,松山區,105,AS10500012,臺北市私立立欣兒童課後照顧服務中心,臺北市松山區民生東路4段112巷1弄10號1樓,2013/10/14,正常營運,私立-私人,(02)2715-4473,陳啟光,立案,40
43,臺北市,松山區,105,AS10500013,臺北市私立天喜兒童課後照顧服務中心,臺北市松山區富錦街574巷3、5號1樓,2013/11/6,正常營運,私立-私人,(02)2767-2568,沈文威,立案,33
44,臺北市,松山區,105,AS10500014,臺北市私立艾可兒童課後照顧服務中心,臺北市松山區民生東路5段69巷1弄30號1樓,2013/11/8,已歇業(主管機關應廢止其原設立許可),私立-私人,2756-5859,張若君,立案,29
45,臺北市,松山區,105,AS10500015,臺北市私立北寧兒童課後照顧服務中心,臺北市松山區南京東路4段53巷10弄22之1號2樓,2013/12/25,已歇業(主管機關應廢止其原設立許可),私立-私人,2715-3141,王美琪,立案,20
46,臺北市,松山區,105,AS10500016,臺北市私立純青兒童課後照顧服務中心,臺北市松山區光復北路190巷35號2樓,2014/9/20,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)-,張琛惠,立案,78
47,臺北市,松山區,105,AS10500017,臺北市私立親親民生兒童課後照顧服務中心,臺北市松山區民生東路4段80巷1弄7號1樓,2014/10/16,正常營運,私立-私人,(02)2717-7053,林欽雄,立案,36
48,臺北市,松山區,105,AS10500019,臺北市私立關心兒童課後照顧服務中心,松山區敦化北路143號2樓,2018/1/29,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)-8770-5850,蕭漢妮,立案,25
49,臺北市,松山區,105,AS10500020,臺北市私立睿智兒童課後照顧服務中心,臺北市松山區光復北路230巷29號1樓,2020/5/27,正常營運,私立-私人,(02)2715-1177分機25,唐睿哲,立案,24
50,臺北市,大安區,106,AS10600001,臺北市私立博格兒童課後照顧服務中心,臺北市大安區安居街118巷20號2樓,2013/4/23,已歇業(主管機關應廢止其原設立許可),私立-私人,2732-1992,陳慶華,立案,20
51,臺北市,大安區,106,AS10600002,臺北市私立健智兒童課後照顧服務中心,臺北市大安區臥龍街151巷27號2樓,2013/6/17,已歇業(主管機關應廢止其原設立許可),私立-私人,2378-2667,張淑珍,立案,26
52,臺北市,大安區,106,AS10600003,臺北市私立馨苑兒童課後照顧服務中心,臺北市大安區光復南路116巷28號3樓,2013/7/15,已歇業(主管機關應廢止其原設立許可),私立-私人,2772-9617,傅月玲,立案,27
53,臺北市,大安區,106,AS10600004,臺北市私立芝?愛愛兒童課後照顧服務中心,臺北市大安區光復南路268號2樓,2013/7/17,正常營運,私立-私人,(02)8773-6099,鄭佩莉,立案,35
54,臺北市,大安區,106,AS10600006,臺北市私立芝?愛愛學園兒童課後照顧服務中心,臺北市大安區光復南路268號3樓,2013/7/17,正常營運,私立-私人,(02)8773-6100,林俊傑,立案,34
55,臺北市,大安區,106,AS10600007,臺北市私立童心兒童課後照顧服務中心,臺北市大安區樂業街186號1樓,2013/7/24,正常營運,私立-私人,(02)2732-0003,廖振發,立案,22
56,臺北市,大安區,106,AS10600008,臺北市私立楓樹兒童課後照顧服務中心,臺北市大安區光復南路262號2樓之1,2013/7/25,正常營運,私立-私人,(02)8773-6622、8773-4070,夏秋霞,立案,35
57,臺北市,大安區,106,AS10600009,臺北市私立富陽兒童課後照顧服務中心,臺北市大安區和平東路3段308巷39弄24號1樓,2013/8/1,正常營運,私立-私人,(02)2732-9984,游淑卿,立案,17
58,臺北市,大安區,106,AS10600010,臺北市私立長春藤兒童課後照顧服務中心,臺北市大安區安和路1段78巷13號1樓,2013/8/13,正常營運,私立-私人,(02)2700-2248,童秀戀,立案,46
59,臺北市,大安區,106,AS10600011,臺北市私立及愛兒童課後照顧服務中心,臺北市大安區溫州街48巷14號1樓,2013/9/3,已歇業(主管機關應廢止其原設立許可),私立-私人,2365-1861,劉淑玲,立案,35
60,臺北市,大安區,106,AS10600012,臺北市私立史丹福兒童課後照顧服務中心,臺北市大安區金山南路2段185巷19號1樓,2013/9/13,正常營運,私立-私人,(02)2341-3418,周筱琪,立案,20
61,臺北市,大安區,106,AS10600013,臺北市私立哈佛兒童課後照顧服務中心,臺北市大安區金山南路2段185巷19號2樓,2013/9/13,正常營運,私立-私人,(02)2341-6206,周嘉真,立案,21
62,臺北市,大安區,106,AS10600014,臺北市私立啟登兒童課後照顧服務中心,臺北市大安區復興南路2段151巷45號2樓,2013/9/16,已歇業(主管機關應廢止其原設立許可),私立-私人,2701-7656,蔡麗月,立案,21
63,臺北市,大安區,106,AS10600015,臺北市私立康靜兒童課後照顧服務中心,臺北市大安區和平東路2段265巷29之1號1樓,2013/9/27,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2755-4657,康靜,立案,27
64,臺北市,大安區,106,AS10600016,臺北市私立博偉兒童課後照顧服務中心,臺北市大安區大安路2段142巷1號1樓,2013/10/4,正常營運,私立-私人,(02)2755-5299,郭莉莉,立案,29
65,臺北市,大安區,106,AS10600017,臺北市私立新象兒童課後照顧服務中心,臺北市大安區忠孝東路3段217巷1弄15號1樓,2013/10/30,已歇業(主管機關應廢止其原設立許可),私立-私人,2740-6809,游景發,立案,40
66,臺北市,大安區,106,AS10600018,臺北市私立小貴族兒童課後照顧服務中心,臺北市大安區敦化南路1段295巷42號1樓,2013/11/25,正常營運,私立-私人,(02)2708-8331,葉云芸,立案,43
67,臺北市,大安區,106,AS10600019,臺北市私立儒育兒童課後照顧服務中心,臺北市大安區仁愛路3段5巷1弄17號1至2樓,2013/11/25,已歇業(主管機關應廢止其原設立許可),私立-私人,2771-6600,陳靖芷,立案,40
68,臺北市,大安區,106,AS10600020,臺北市私立好小子兒童課後照顧服務中心,臺北市大安區安居街60巷8號1樓,2013/11/25,已歇業(主管機關應廢止其原設立許可),私立-私人,2736-3338,龍濟民,立案,12
69,臺北市,大安區,106,AS10600021,臺北市私立長青兒童課後照顧服務中心,臺北市大安區基隆路2段232號4樓,2013/8/8,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2733-5083,陳貞如,立案,72
70,臺北市,大安區,106,AS10600022,臺北市私立凱特兒童課後照顧服務中心,臺北市大安區光復南路288號,2013/8/19,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2781-3436,林森一,立案,55
71,臺北市,大安區,106,AS10600023,臺北市私立如苑兒童課後照顧服務中心,臺北市大安區和平東路3段228巷21號3樓,2016/7/1,正常營運,私立-私人,(02)8732-1937,楊濟豪,立案,25
72,臺北市,大安區,106,AS10600024,臺北市私立固德兒童課後照顧服務中心,臺北市大安區新生南路1段137之1號2樓,2016/9/20,正常營運,私立-私人,(02)2706-1119,陳_中,立案,36
73,臺北市,大安區,106,AS10600026,臺北市私立派森兒童課後照顧服務中心,臺北市大安區樂利路11巷19號2樓,2016/10/7,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2377-9191,陳柏升,立案,29
74,臺北市,大安區,106,AS10600027,臺北市私立蔚思兒童課後照顧服務中心,臺北市大安區安和路2段217巷3號1樓,2018/2/8,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2735-0557,魏佼安,立案,35
75,臺北市,大安區,106,AS10600028,小樹苗家庭教育股份有限公司附設臺北市私立柏森兒童課後照顧服務中心,臺北市大安區樂利路5巷14弄5號2樓,2018/4/24,正常營運,私立-私人,(02)2378-2200,小樹苗家庭教育股份有限公司,立案,26
76,臺北市,大安區,106,AS10600029,臺北市私立乖乖國際兒童課後照顧服務中心,臺北市大安區辛亥路1段79號3樓,2019/3/11,正常營運,私立-私人,0936-156-886,張瑜玲,立案,35
77,臺北市,大安區,106,AS10600030,臺北市私立芬尼根兒童課後照顧服務中心,臺北市大安區樂利路11巷23號2樓,2020/9/23,正常營運,私立-私人,(02)2378-2200,陳柏升,立案,26
78,臺北市,大安區,106,AS10600031,臺北市私立乖乖仁愛兒童課後照顧服務中心,臺北市大安區仁愛路4段145號2樓,2024/6/27,正常營運,私立-私人,(02)-27753099,張瑜玲,立案,30
79,臺北市,萬華區,108,AS10800001,臺北市私立金森林兒童課後照顧服務中心,臺北市萬華區環河南路2段300號2樓,2013/4/26,正常營運,私立-私人,(02)2308-5960,詹惠雯,立案,43
80,臺北市,萬華區,108,AS10800002,綸堡國際教育股份有限公司附設臺北市私立綸堡兒童課後照顧服務中心,臺北市萬華區康定路56巷11號2樓,2013/5/6,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2389-8988,綸堡國際教育股份有限公司,立案,40
81,臺北市,萬華區,108,AS10800003,臺北市私立名人園兒童課後照顧服務中心,臺北市萬華區西園路2段227之1號4樓,2013/5/6,正常營運,私立-私人,(02)2332-8768、2301-6998,李依霖,立案,37
82,臺北市,萬華區,108,AS10800004,臺北市私立名人兒童課後照顧服務中心,臺北市萬華區寶興街130號2樓,2013/5/13,已歇業(主管機關應廢止其原設立許可),私立-私人,2332-8768 2301-6998,李依霖,立案,16
83,臺北市,萬華區,108,AS10800005,臺北市私立金博士兒童課後照顧服務中心,臺北市萬華區環河南路2段250巷7號1樓,2013/6/4,正常營運,私立-私人,(02)2304-3957,陳玉,立案,17
84,臺北市,萬華區,108,AS10800006,臺北市私立宜鑫兒童課後照顧服務中心,臺北市萬華區萬大路329巷3弄12號1樓,2013/7/3,正常營運,私立-私人,(02)2337-8974,汪仁傑,立案,32
85,臺北市,萬華區,108,AS10800007,臺北市私立嘟嘟園兒童課後照顧服務中心,臺北市萬華區萬大路337號1至3樓及341號1、2、3樓,2013/7/29,正常營運,私立-私人,(02)2303-9494,邱榮隆,立案,38
86,臺北市,萬華區,108,AS10800008,臺北市私立藍鯨兒童課後照顧服務中心,臺北市萬華區東園街73巷68號2樓,2013/8/7,正常營運,私立-私人,(02)2337-9481,鍾美娟,立案,50
87,臺北市,萬華區,108,AS10800013,臺北市私立恬欣兒童課後照顧服務中心,臺北市萬華區長泰街133號1、2樓,2013/8/19,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2339-5499,林慧燕,立案,28
88,臺北市,萬華區,108,AS10800014,臺北市私立全能兒童課後照顧服務中心,臺北市萬華區寶興街222巷26號1樓,2013/8/20,正常營運,私立-私人,(02)2337-8187,楊肯誠,立案,17
89,臺北市,萬華區,108,AS10800015,臺北市私立庭園兒童課後照顧服務中心,臺北市萬華區萬大路347號1-2樓及349號1、2、3樓,2013/9/20,正常營運,私立-私人,(02)2305-1987,江若庭,立案,37
90,臺北市,萬華區,108,AS10800016,臺北市私立快樂童年兒童課後照顧服務中心,臺北市萬華區國興路90之3號1樓,2013/10/18,正常營運,私立-私人,(02)2332-2311,陳丹,立案,25
91,臺北市,萬華區,108,AS10800017,臺北市私立彼德堡兒童課後照顧服務中心,臺北市萬華區西藏路176號3樓,2013/10/18,已歇業(主管機關應廢止其原設立許可),私立-私人,2306-2978,陳李良子,立案,22
92,臺北市,萬華區,108,AS10800018,臺北市私立傑出兒童課後照顧服務中心,臺北市萬華區國興路92之8號1樓,2013/10/18,正常營運,私立-私人,(02)2337-0309,蘇錦梅,立案,35
93,臺北市,萬華區,108,AS10800019,臺北市私立雪拉比兒童課後照顧服務中心,臺北市萬華區環河南路2段129號2樓之3、2樓之4,2013/2/7,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2308-0911,石政欽,立案,57
94,臺北市,萬華區,108,AS10800020,臺北市私立大理兒童課後照顧服務中心,臺北市萬華區雙園街69之1號1樓,2013/5/23,正常營運,私立-私人,(02)2306-2201,余俊寬,立案,38
95,臺北市,萬華區,108,AS10800021,臺北市私立何嘉仁中華兒童課後照顧服務中心,臺北市萬華區中華路2段662、664、666之1及666之2號1樓,2013/10/21,正常營運,私立-私人,(02)2309-4745、2309-4815,歐宸緁,立案,100
96,臺北市,萬華區,108,AS10800022,洋學有限公司附設臺北市私立大理兒童課後照顧服務中心,臺北市萬華區西園路2段292號4樓,2017/4/5,正常營運,私立-團體,(02)2332-7785,勞德禎,立案,40
97,臺北市,萬華區,108,AS10800024,臺北市私立辰耕兒童課後照顧服務中心,臺北市萬華區萬大路138號3樓、3樓之1,2021/9/28,正常營運,私立-私人,(02)2339-3319,彭成旭,立案,43
98,臺北市,萬華區,108,AS10800025,臺北市私立辰耘兒童課後照顧服務中心,臺北市萬華區萬大路138號4樓,2023/7/3,正常營運,私立-私人,(02)-2339-3319,彭成旭,立案,25
99,臺北市,萬華區,108,AS10800026,臺北市私立寧馨苑兒童課後照顧服務中心,臺北市萬華區西藏路239號1樓,2024/2/5,正常營運,私立-私人,(02)-2339-2488,吳政隆,立案,41
100,臺北市,信義區,110,AS11000007,臺北市私立小牛津甲子兒童課後照顧服務中心,臺北市信義區光復南路419巷153號1樓,2013/6/24,已歇業(主管機關應廢止其原設立許可),私立-私人,2729-7946,周語湄,立案,17
101,臺北市,信義區,110,AS11000008,臺北市私立小豆芽兒童課後照顧服務中心,臺北市信義區松山路119巷17弄12號2樓,2013/7/5,正常營運,私立-私人,(02)2746-7137,洪素枝,立案,20
102,臺北市,信義區,110,AS11000009,臺北市私立甲子園兒童課後照顧服務中心,臺北市信義區富陽街72巷29號1樓,2013/7/19,正常營運,私立-私人,(02)2735-2269,王偉庸,立案,27
103,臺北市,信義區,110,AS11000010,臺北市私立達德兒童課後照顧服務中心,臺北市信義區莊敬路423巷2弄6號2樓,2013/8/13,正常營運,私立-私人,(02)2720-6643,李麗莉,立案,23
104,臺北市,信義區,110,AS11000011,臺北市私立快樂兒童課後照顧服務中心,臺北市信義區中坡南路84號2樓,2013/9/10,已歇業(主管機關應廢止其原設立許可),私立-私人,2726-2952,廖婉秀,立案,21
105,臺北市,信義區,110,AS11000012,臺北市私立毅佳兒童課後照顧服務中心,臺北市信義區永吉路191號2樓,2013/10/4,正常營運,私立-私人,(02)2761-9699,吳彩霞,立案,25
106,臺北市,信義區,110,AS11000013,臺北市私立學昇兒童課後照顧服務中心,臺北市信義區福德街300巷15號1樓,2013/10/25,正常營運,私立-私人,(02)2759-0366,劉思妤,立案,20
107,臺北市,信義區,110,AS11000014,臺北市私立菁英孩子國兒童課後照顧服務中心,臺北市信義區基隆路2段79巷1弄2號1樓,2013/11/8,已歇業(主管機關應廢止其原設立許可),私立-私人,2736-1415,林世華,立案,30
108,臺北市,信義區,110,AS11000015,臺北市私立孩子國兒童課後照顧服務中心,臺北市信義區基隆路2段79巷1號1樓,2013/11/21,正常營運,私立-私人,(02)2736-1415,林世華,立案,19
109,臺北市,信義區,110,AS11000016,臺北市私立明明兒童課後照顧服務中心,臺北市信義區光復南路421巷16號1樓,2013/11/28,正常營運,私立-私人,(02)2723-3748,徐愛貞,立案,30
110,臺北市,信義區,110,AS11000017,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗兒童課後照顧服務中心,臺北市信義區虎林街120巷270號3、4樓,2013/11/29,正常營運,私立-團體,(02)2767-9264分機345,財團法人中華文化社會福利事業基金會,立案,405
111,臺北市,信義區,110,AS11000018,財團法人台北市中華基督教青年會附設臺北市私立永吉兒童課後照顧服務中心,臺北市信義區永吉路500號3樓、4樓,2013/12/17,正常營運,私立-團體,(02)2760-1672,(財團法人台北市中華基督教青年會)賴允亮,立案,180
112,臺北市,信義區,110,AS11000019,臺北市私立何嘉仁兒童課後照顧服務中心,臺北市信義區莊敬路225號、227號2、3樓,2013/10/14,正常營運,私立-私人,(02)2722-5696,朱嘉俊,立案,74
113,臺北市,信義區,110,AS11000021,小樹苗家庭教育股份有限公司附設臺北市私立威斯特屋兒童課後照顧服務中心,臺北市信義區信安街52號2樓、3樓,2016/10/25,正常營運,私立-私人,(02)2378-7666,陳柏升,立案,38
114,臺北市,士林區,111,AS11100001,臺北市私立欣託兒童課後照顧服務中心,臺北市士林區天玉街7號2樓,2013/12/17,正常營運,私立-私人,(02)2871-5972,鄭又萍,立案,75
115,臺北市,士林區,111,AS11100002,臺北市私立復強兒童課後照顧服務中心,臺北市士林區永平街42號4樓,2013/6/10,正常營運,私立-私人,(02)2815-0996,黃其忠,立案,45
116,臺北市,士林區,111,AS11100003,臺北市私立翰林兒童課後照顧服務中心,臺北市士林區承德路4段10巷22號1樓,2013/11/15,正常營運,私立-私人,(02)2885-6119,顏麗卿,立案,20
117,臺北市,士林區,111,AS11100004,臺北市私立賦聲兒童課後照顧服務中心,臺北市士林區大東路174號、176號3樓,2013/9/18,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2881-2803,潘鳴燕,立案,39
118,臺北市,士林區,111,AS11100005,臺北市私立陳悅兒童課後照顧服務中心,臺北市士林區德行東路234號2樓,2013/11/27,正常營運,私立-私人,(02)2836-9048,徐存香,立案,50
119,臺北市,士林區,111,AS11100007,臺北市私立心愛兒童課後照顧服務中心,臺北市士林區中山北路7段190巷104之2號,2013/7/23,正常營運,私立-私人,(02)2873-3583,陳芳蘭,立案,46
120,臺北市,士林區,111,AS11100008,臺北市私立倍智兒童課後照顧服務中心,臺北市士林區延平北路5段231巷19號1至2樓,2013/9/27,正常營運,私立-私人,(02)2816-6731,李碧娥,立案,46
121,臺北市,士林區,111,AS11100009,臺北市私立明音奧福兒童課後照顧服務中心,臺北市士林區大東路57號2、3、4樓,2013/9/13,已歇業(主管機關應廢止其原設立許可),私立-私人,2881-2731,劉智燻,立案,38
122,臺北市,士林區,111,AS11100010,臺北市私立頂尖兒童課後照顧服務中心,臺北市士林區社中街269之1號1樓,2013/10/25,已歇業(主管機關應廢止其原設立許可),私立-私人,8811-2285,陳薏如,立案,20
123,臺北市,士林區,111,AS11100011,臺北市私立迪士堡兒童課後照顧服務中心,臺北市士林區社中街251巷4號1樓,2013/7/29,正常營運,私立-私人,(02)2816-8889,李美花,立案,35
124,臺北市,士林區,111,AS11100012,臺北市私立熊寶貝兒童課後照顧服務中心,臺北市士林區士東路46巷28號1樓,2013/11/21,正常營運,私立-私人,(02)2836-4523,許雯娟,立案,90
125,臺北市,士林區,111,AS11100013,臺北市私立優睿兒童課後照顧服務中心,臺北市士林區葫蘆街137號2樓、139號2樓,2013/10/28,正常營運,私立-私人,(02)2813-6115,林陳靜宜,立案,30
126,臺北市,士林區,111,AS11100014,臺北市私立千代兒童課後照顧服務中心,臺北市士林區天母西路13巷7之3號3樓,2013/11/21,已歇業(主管機關應廢止其原設立許可),私立-私人,2873-9820,胡正文,立案,23
127,臺北市,士林區,111,AS11100015,臺北市私立心德兒童課後照顧服務中心,臺北市士林區福港街272巷4號1至2樓,2013/7/23,已歇業(主管機關應廢止其原設立許可),私立-私人,8861-3043,陳滿春,立案,48
