行政區,院所,機構類別,院所名稱,地址,電話,語音預約
63000030,診所,基層診所,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,(02)23629088,
63000030,診所,基層診所,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,(02)27313305,
63000030,診所,基層診所,劉建宏診所,臺北市大安區大安路二段139號,(02)27002368,
63000040,醫院,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,(02)25433535,
63000040,醫院,區域醫院,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,(02)25433535,
63000040,醫院,地區醫院,協和婦女醫院,臺北市中山區松江路85巷5號,(02)25072222,
63000040,診所,門診部,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,(02)25013363,
63000040,診所,基層診所,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,(02)25012312,
63000040,診所,基層診所,四季和安婦幼診所,臺北市中山區林森北路458號,(02)25677310,
63000040,診所,基層診所,永育樂群診所,臺北市中山區樂群二路210之2號,(02)85012268,
63000040,診所,基層診所,莊宇龍診所,臺北市中山區北安路637號1樓,(02)25331255,
63000040,診所,基層診所,陳炯輝診所,臺北市中山區民生東路二段103號,(02)25221796,
63000040,診所,基層診所,愛鄰診所,臺北市中山區北安路520-1號,(02)25322333,
63000040,診所,基層診所,寧康聯合診所,臺北市中山區龍江路209巷6-1號,(02)25013862,
63000040,診所,基層診所,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,(02)25222350,
63000040,診所,基層診所,綠葉親子診所,臺北市中山區農安街12-1號1樓,(02)25935559,
63000050,醫院,醫學中心,國?臺灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,(02)23123456,(02)23567890
63000050,醫院,區域-院區,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,(02)23889595,
63000050,醫院,區域-院區,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,(02)23916470,
63000050,醫院,區域醫院,國?臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,(02)23123456,(02)23567890
63000050,診所,門診部,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,(02)23210168,
63000050,診所,基層診所,小禾馨懷寧小兒專科診所,臺北市中正區重慶南路一段99號2樓,(02)23110353,
63000050,診所,基層診所,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,(02)23612323,
63000050,診所,基層診所,朱小兒科診所,臺北市中正區汀州路二段220號,(02)23651810,
63000050,診所,基層診所,周正成小兒科診所,臺北市中正區徐州路24號,(02)23516830,
63000060,醫院,區域-院區,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,(02)25523234,
63000060,診所,門診部,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,(02)25948971,
63000060,診所,基層診所,寧夏診所,臺北市大同區民生西路236號1樓,(02)25586060,
63000060,診所,基層診所,澤康診所,臺北市大同區重慶北路三段71號,(02)25960922,
63000060,診所,基層診所,羅源彰診所,臺北市大同區長安西路137號,(02)25552500,
63000060,診所,基層診所,悅昇診所,臺北市大同區錦西街50-1號,(02)25502664,
63000070,醫院,地區醫院,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,(02)23717101,
63000070,醫院,地區醫院,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,(02)23076968,
63000070,診所,門診部,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,(02)23395383,
63000070,診所,基層診所,快樂兒童診所,臺北市萬華區寶興街121號,(02)23328610,
63000070,診所,基層診所,青年診所,臺北市萬華區中華路二段424號,(02)23032450,
63000070,診所,基層診所,漢宗小兒科診所,臺北市萬華區中華路二段434號,(02)23039022,
63000080,醫院,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,(02)29307930,
63000080,診所,門診部,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,(02)82377441,
63000080,診所,基層診所,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,(02)29333096,
63000080,診所,基層診所,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,(02)29308518,
63000080,診所,基層診所,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,(02)29334933,
63000080,診所,基層診所,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,(02)29364708,
63000080,診所,基層診所,徐慧玲診所,臺北市文山區興隆路四段97號,(02)22340000,
63000080,診所,基層診所,黃偉志小兒科診所,臺北市文山區萬慶街12號,(02)29354556,
63000080,診所,基層診所,葉洪小兒科診所,臺北市文山區興隆路三段202號,(02)22300055,
63000080,診所,基層診所,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,(02)29395299,
63000080,診所,基層診所,興隆內科小兒科診所,臺北市文山區興隆路二段17號,(02)29311736,
63000090,醫院,區域-院區,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,(02)27861288,
63000090,診所,門診部,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,(02)27868756,
63000090,診所,基層診所,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,(02)27853913,
63000090,診所,基層診所,天仁小兒科診所,臺北市南港區成福路21號,(02)27862687,
63000090,診所,基層診所,天仁健康診所,臺北市南港區成福路21號,(02)27862687,
63000090,診所,基層診所,永育醫療福德診所,臺北市南港區福德街320號,(02)27850700,
63000090,診所,基層診所,李文珍小兒科診所,臺北市南港區研究院路二段74號,(02)26511871,
63000090,診所,基層診所,義仁兒科診所,臺北市南港區玉成街138號1樓,(02)26515929,
63000090,診所,基層診所,維康診所,臺北市南港區研究院路二段84巷1號1樓,(02)26517748,
63000090,診所,基層診所,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,(02)26513761,
63000100,診所,基層診所,謝小兒科診所,臺北市內湖區東湖路147號2樓,(02)26334535,
63000100,醫院,醫學中心,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,(02)87923311,
63000100,醫院,地區醫院,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,(02)27919696,
63000100,醫院,地區醫院,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,(02)26345500,
63000100,診所,門診部,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,(02)27908387,
63000100,診所,基層診所,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,(02)55713333,
63000100,診所,基層診所,永育醫療大湖診所,臺北市內湖區成功路四段366號,(02)27906002,
63000100,診所,基層診所,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,(02)55713333,
63000100,診所,基層診所,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,(02)87972121,
63000100,診所,基層診所,康樂診所,臺北市內湖區康樂街80號、82號、84號,(02)26308800,
63000100,診所,基層診所,焉醫師診所,臺北市內湖區內湖路二段21號,(02)27995008,
63000100,診所,基層診所,湖欣診所,臺北市內湖區成功路四段327號,(02)27918350,
63000100,診所,基層診所,劉淦華診所,臺北市內湖區金龍路43號,(02)27905374,
63000100,診所,基層診所,魏穀年診所,臺北市內湖區內湖路一段403號,(02)26572691,
63000100,診所,基層診所,佳霖診所,臺北市內湖區東湖路147號2樓,(02)26334535,
63000100,診所,基層診所,大湖診所,臺北市內湖區成功路四段366號,(02)27906002,
63000110,醫院,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,(02)28332211,
63000110,醫院,區域-院區,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,(02)28353456,
63000110,診所,門診部,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,(02)28836268,
63000110,診所,基層診所,士林小兒科診所,臺北市士林區中正路249號,(02)28812485,
63000110,診所,基層診所,小禾馨士林小兒專科診所,臺北市士林區中正路289號,(02)28827333,
63000110,診所,基層診所,存德小兒科診所,臺北市士林區文林路460號,(02)28342567,
63000110,診所,基層診所,李世澤小兒科內科診所,臺北市士林區社子街67號,(02)28111472,
63000110,診所,基層診所,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,(02)28729980,
63000110,診所,基層診所,佩佩婦幼診所,臺北市士林區中山北路六段182號,(02)28386262,
63000110,診所,基層診所,科安診所,臺北市士林區社中街116號,(02)28110699,
63000110,診所,基層診所,張虔熙小兒科診所,臺北市士林區中山北路六段282號,(02)28361368,
63000110,診所,基層診所,愛林診所,臺北市士林區承德路四段222號,(02)28836881,
63000110,診所,基層診所,樹爸爸親子診所,臺北市士林區德行東路286號,(02)28381838,
63000110,診所,基層診所,蘇慧卿診所,臺北市士林區大南路274號,(02)28829955,
63000120,醫院,醫學中心,臺北榮民總醫院,臺北市北投區石牌路二段201號,(02)28712121,
63000120,醫院,區域醫院,振興醫療財團法人振興醫院,臺北市北投區振興路45號,(02)28264400,
63000120,醫院,地區醫院,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,(02)28587000,
63000120,診所,門診部,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,(02)28912670,
63000120,診所,基層診所,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,(02)28210501,
63000120,診所,基層診所,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,(02)28206886,
63000120,診所,基層診所,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,(02)28271110,
63000120,診所,基層診所,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,(02)28221212,
63000120,診所,基層診所,昱德聯合診所,臺北市北投區光明路102號1樓,(02)28975050,
63000120,診所,基層診所,清田婦產科家醫科診所,臺北市北投區中和街268號,(02)28931323,
63000120,診所,基層診所,陳信方小兒科診所,臺北市北投區明德路106號,(02)28201068,
63000120,診所,基層診所,陳柏宏親子診所,臺北市北投區明德路124號,(02)28225257,
63000120,診所,基層診所,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,(02)28928950,
63000120,診所,基層診所,黃正宏診所,臺北市北投區西安街一段359號,(02)28217076,
63000120,診所,基層診所,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,(02)28983256,
63000120,診所,基層診所,蔡秉勳小兒科診所,臺北市北投區中和街281號,(02)28966525,
