序號,主管機關文件代碼,補習班中文名稱,補習班中文住址,電話,立案日期,立案文號,教室數,教室面積,班舍總面積
38,8414,赫琪資訊有限公司附設臺北市私立赫琪電腦技藝短期補習班,100中正區開封街1段37號4樓之1,(02)2375-3888,2024/9/18,北市教終字第1133017094號,10,90.94,187.96
39,8413,臺北市私立劉益和文理短期補習班木柵分班,116文山區開元街1號（一層、二層）,(02)2937-8399,2024/9/10,北市教終字第1133016343號,3,34.94,97.36
40,8410,臺北市私立恩迪文理技藝短期補習班光復二分班,105松山區光復北路214號1樓,(02)2712-8985,2024/9/9,北市教終字第1133015719號,2,33.29,72.51
41,8412,臺北市私立孚玨藝術空間技藝短期補習班,114內湖區內湖路2段357號2樓,(02)26272357/0966179130,2024/9/6,北市教終字第1133016160號,3,49.83,104.56
42,8411,臺北市私立快樂城堡技藝短期補習班,105松山區八德路3段34號8樓之1,910929428,2024/9/6,北市教終字第1133015788號,2,91.46,96.92
43,8409,臺北市私立博學堂文理技藝短期補習班,110信義區虎林街164巷12號1樓,0919-503-223,2024/9/2,北市教終字第1133015721號,2,34.1,86.92
44,8407,翱翔學苑顧問有限公司附設私立翱翔學苑文理技藝短期補習班,103大同區長安西路106號3樓之3,(02)27293665,2024/8/27,北市教終字第1133014536號,1,46,150.54
45,8408,臺北市私立恩迪文理技藝短期補習班光復分班,105松山區光復北路216號1樓,(02)27180079,2024/8/23,北市教終字第1133014457號,3,74.29,193.58
46,8405,國際數感教育股份有限公司附設私立美數文理技藝短期補習班,106大安區新生南路2段8之1號1樓,(02)23587521,2024/8/23,北市教終字第1133014036號,2,97.99,196.6
47,8398,臺北市私立小天心米米文理技藝短期補習班,106大安區羅斯福路3段273號2樓,(02)23630063,2024/8/19,北市教終字第1133013801號,4,68.36,114.64
48,8406,臺北市私立動勵學技藝文理短期補習班,111士林區中山北路6段350號2樓,(02)2835-5262,2024/8/16,北市教終字第1133015030號,3,39.85,97.55
49,8403,網安智慧科技股份有限公司附設私立網安智慧科技電腦技藝短期補習班,104中山區天祥路59號2樓,(02)25856900,2024/8/15,北市教終字第1133014198號,2,50.37,97.03
50,8402,臺北市私立璽典美學文理技藝短期補習班,114內湖區石潭路65號1樓,912490361,2024/8/15,北市教終字第1133013900號,1,48.16,85.42
51,8404,臺北市私立謙誠文理短期補習班,111士林區忠誠路1段171巷8號1樓,(02)2833-1606,2024/8/14,北市教終字第1133014144號,3,51.15,97.19
52,8401,共學堂文教有限公司附設臺北市私立共學堂文理短期補習班,116文山區忠順街1段127號1樓,(02)2939-7900,2024/8/13,北市教終字第1133014035號,1,31.46,79.83
53,8400,喜閱樹有限公司附設臺北市私立喜閱樹文理短期補習班,116文山區興隆路1段235號1樓,(02)2931-1340,2024/8/13,北市教終字第1133014034號,2,30.84,71.05
54,8399,臺北市私立唯思文理短期補習班,114內湖區康寧路3段165巷25弄6號1樓,(02)26332933,2024/8/8,北市教終字第1133013278號,3,36.43,90.86
55,8397,長清民生有限公司附設臺北市私立長清圍棋技藝短期補習班民生分班,105松山區富錦街489號1樓,(02)27670178,2024/8/5,北市教終字第1133013190號,4,80.3,135.52
56,8396,臺北市私立艾瑪畫室技藝短期補習班,110信義區松隆路208號1樓,-2,2024/7/31,北市教終字第1133012089　號,2,37.92,82.61
57,8394,揚昇樂器有限公司附設臺北市私立樂揚音樂文理技藝短期補習班,112北投區西安街一段349號2樓,(02)28222018,2024/7/29,北市教終字第1133011916　號,5,53.85,91.09
58,8393,智慧樹教育出版股份有限公司附設臺北市私立好筆文理短期補習班,106大安區復興南路2段125巷17號1樓,(02)27005166,2024/7/26,北市教終字第1133012681號,5,52.41,126.12
59,8395,臺北市私立保儀巨星文理短期補習班,116文山區保儀路9號3樓,(02)2939-3456,2024/7/22,北市教終字第1133012739號,5,103.37,159.62
60,8392,程育科技有限公司臺北市私立探險家文理技藝短期補習班,111士林區中山北路6段405巷64號1樓,0912-718685,2024/7/15,北市教終字第1133011001號,3,77.28,151.41
61,8391,臺北市私立思構易文理短期補習班,106大安區和平東路1段202號3樓,965031056,2024/7/10,北市教終字第1133011104號,4,42.39,83.87
62,8390,模範生文教有限公司附設臺北市私立模範生文理技藝短期補習班,106大安區永康街17巷21之1號1樓,(02)23210268,2024/7/9,北市教終字第1133011105號,4,50.6,119.38
63,8389,臺北市私立永主意技藝短期補習班,100中正區館前路36號11樓,(02)2331-3366,2024/7/4,北市教終字第1133011503號,3,151.82,194.19
64,8388,吱吱文創事業有限公司附設臺北市私立秧秧文理技藝短期補習班,114內湖區成功路2段320巷54號1樓,(02)27935757,2024/7/2,北市教終字第1133011166號,5,36.72,78.21
65,8386,文府教育興業有限公司附設臺北市私立文府教育興業文理短期補習班,106大安區羅斯福路3段335號2樓、2樓之1,(02)33652698,2024/6/28,北市教終字第1133010769號,7,118.48,231.86
66,8387,臺北市私立張赫數學文理短期補習班康寧分班,114內湖區康寧路3段189巷6號2樓,(02)26310890,2024/6/27,北市教終字第1133010854號,1,77.02,101.28
67,8385,艾思程式教育股份有限公司附設臺北市私立艾思程式技藝文理短期補習班,104中山區北安路538巷1弄5號1樓,(02)2533-2133,2024/6/13,北市教終字第1133009940號,3,56.41,99.58
68,8384,臺北市私立文城文理短期補習班天母甲分班,111士林區忠誠路2段170號2樓,(02)28766722,2024/6/6,北市教終字第1133009305號,2,70.63,116.41
69,8376,臺北市私立邦妮兔音樂文理技藝短期補習班,106大安區忠孝東路3段217巷6弄12號1樓,0987092138、0921888864,2024/6/4,北市教終字第1133010023號,2,32.1,95.3
70,8383,臺北市私立文城文理短期補習班天母分班,111士林區忠誠路2段170號1樓,(02)28766722,2024/5/31,北市教終字第1133008848號,1,61.93,146.83
71,8382,台灣碳淨零股份有限公司附設臺北市私立碳淨零文理短期補習班,100中正區公園路38號3樓,(02)2388-6661,2024/5/16,北市教終字第1133008014號,1,68.38,119.09
72,8381,臺北市私立張赫數學文理短期補習班東湖分班,114內湖區康寧路3段189巷2號2、3、4、5樓,(02)26310890,2024/5/10,北市教終字第1133007797號,2,64.15,194.3
73,8380,臺北市私立多佳文理短期補習班麗山分班,114內湖區麗山街348巷1號1樓,(02)87977999,2024/5/10,北市教終字第1133000038號,4,60.51,107.87
74,8379,舞育文創有限公司附設臺北市私立私立舞動世界新生技藝短期補習班,106大安區忠孝東路3段100號3樓,(02)2778-8007,2024/5/10,北市教終字第1133007816號,1,73.38,144.66
75,8378,臺北私立晨新文理短期補習班,110信義區永吉路127巷30弄2號1樓,(02)27672658,2024/5/9,北市教終字第1133007643號,4,44.9,94.49
76,8377,臺北市私立路易思文理短期補習班,116文山區景華街165之1號1樓、之2號1樓,(02)2931-8599,2024/5/8,北市教終字第1133007648號,2,35.33,82.32
77,8375,臺北市私立寶鳴故事島文理短期補習班,110信義區信義路5段150巷401弄14號1樓,987540694,2024/4/26,北市教終字第1133006786號,4,48.32,82.38
78,8374,林瀚英語教育訓練有限公司附設臺北市私立林瀚英語文理短期補習班木柵分班,116文山區忠順街1段26巷3弄1號1樓,(02)2397-0100,2024/4/15,北市教終字第1133006305號,3,36.74,71.66
79,8373,福爾摩莎華語交流文化事業有限公司附設臺北市私立寶島文理短期補習班,106大安區羅斯福路3段335號3樓,0970-629824/0900551999,2024/4/12,北市教終字第1133006220號,15,131.68,232.07
80,8372,臺北市私立白石美術技藝短期補習班,114內湖區港華街59號1樓,910602009,2024/4/10,北市教終字第1133005424號,2,34.75,88.85
81,8370,臺北市私立寰兒文理技藝電腦短期補習班,104中山區復興北路154號9樓,(02)27127272,2024/4/8,北市教終字第1133004939號,3,108.88,178.48
82,8371,臺北市私立鑽攻英文文理短期補習班,106大安區信義路3段106號2樓之4,0912094965/0909555202,2024/4/1,北市教終字第1133005645號,3,55.08,96.49
83,8369,智慧樹教育出版股份有限公司附設臺北市私立鉛筆文理短期補習班,103大同區承德路3段58號9樓之5、之6,(02)25921233,2024/3/27,北市教終字第1133000022號,5,83.83,134.31
84,8367,臺北市私立共學小花園文理技藝短期補習班,114內湖區康寧路1段128號3樓,921423220,2024/3/21,北市教終字第1133004472號,4,152.3,127.38
85,8366,臺北市私立哲任文理技藝短期補習班,111士林區中山北路6段405巷74號1樓及76號1樓,(02)2876-2777,2024/3/21,北市教終字第1133003458號,5,78.23,190.95
86,8363,臺北市私立瀚軒文理技藝短期補習班,111士林區天母北路39號1樓,(02)2872-4565,2024/3/21,北市教終字第1133003662號,4,59.51,106.82
87,8365,臺北市私立愛爾文理短期補習班,116文山區景福街240號1樓,(02)2931-0499,2024/3/20,北市教終字第1133004636號,4,53.02,92.1
88,8364,臺北市私立美好藝文文理技藝短期補習班,105松山區復興北路179號4樓之1,921608416,2024/3/18,北市教終字第1133004516號,1,38.84,73.47
89,8362,臺北市私立新生學園文理技藝短期補習班,116文山區仙岩路46號1樓、1樓夾層,(02)8931-2011,2024/3/6,北市教終字第1133003194號,4,47.73,109.54
90,8361,臺北市私立樂學文理技藝短期補習班,105松山區富錦街359巷2弄2號1樓,(02)2765-2755,2024/2/27,北市教終字第1133002920號,3,68.14,149.22
91,8360,臺北市私立慈暉文理技藝短期補習班,111士林區永平街46巷1弄4號1樓,(02)2811-3589,2024/2/6,北市教終字第1133002468號,2,49.8,82.55
92,8359,享知文教股份有限公司附設臺北市私立探險家英語文理短期補習班,106大安區和平東路2段34號2樓,(02)23686068,2024/2/5,北市教終字第1133002126號,5,70.79,126.8
93,8358,網路地球村語文資訊有限公司附設臺北市私立地球村文理短期補習班松北分班,105松山區南京東路3段346號6樓,(02)5556-7777,2024/2/5,北市教終字第1133002128號,6,71.64,109.01
94,8357,臺北市私立想放美術技藝短期補習班,114內湖區民權東路6段49號1樓,927101736,2024/1/29,北市教終字第1133001738號,2,31.71,76.64
95,8356,弋果文化事業股份有限公司附設臺北市私立弋果文理短期補習班,110信義區信義路5段111號1樓,(02)2722-0558,2024/1/24,北市教終字第1133001737號,13,261.717,525.52
96,8355,臺北市私立享趣學文理技藝短期補習班,106大安區敦化南路2段63巷46號1樓,(02)23250820,2024/1/24,北市教終字第1133000001號,1,69.52,87.04
97,8354,誠果文化有限公司附設臺北市私立永安文理短期補習班,104中山區明水路479號1樓,(02)25332111,2024/1/17,北市教終字第1133001254號,4,66.68,117.09
98,8352,臺北市私立振瀧文理短期補習班,108萬華區東園街73巷78號1樓、地下1樓,(02)2301-0328,2024/1/11,北市教終字第1123068239號,3,69.88,125.33
99,8353,臺北市私立奇蹟家族技藝文理短期補習班,110信義區永吉路127巷23號1樓,(02)7729-0339,2024/1/11,北市教終字第1123068567號,3,46.71,89.71
100,8351,臺北市私立奎奇英文文理短期補習班,106大安區新生南路1段155號4樓,955896067,2024/1/10,北市教終字第1123068240號,4,81.99,167.79
101,8350,臺北市私立寰國文理短期補習班,112北投區石牌路1段188號8樓,(02)28226791,2023/12/22,北市教終字第1123066566號,3,87.51,144.05
102,8349,臺北市私立心禾文理技藝短期補習班,114內湖區港墘路63號1、2層,933897586,2023/12/12,北市教終字第1123066764號,2,45.02,77.1
103,8348,鹿學教育股份有限公司附設臺北市私立鹿學文理技藝短期補習班,100中正區信義路2段157號1、2樓,(02)2536-1116,2023/12/5,北市教終字第1123065901號,3,80.43,197.06
104,8346,臺北市私立普朗克文理短期補習班,105松山區民生東路4段80巷3號1樓,(02)25453399,2023/11/27,北市教終字第1123061583號,3,47.67,93.8
105,8344,臺北市私立東門文理技藝短期補習班東門分班,100中正區信義路1段13之2號1樓,(02)2321-9995,2023/11/15,北市教終字第1123065280號,3,53.65,87
106,8345,臺北市私立寰泰文理短期補習班,112北投區石牌路1段188號8樓之1,(02)2822-8989,2023/11/14,北市教終字第1123061579號,3,64.86,110.65
107,8343,賀蘭德有限公司附設臺北市私立賀蘭德文理短期補習班,106大安區安和路2段145號2樓,(02)2377-8891,2023/11/3,北市教終字第1123064200號,4,35.89,73.44
108,8342,臺北市私立曦望文理短期補習班,111士林區天母北路87巷14號1樓,(02)2874-9141,2023/11/3,北市教終字第1123063455號,5,84.62,152.13
109,8339,臺北市私立唐采潛能開發技藝短期補習班,103大同區承德路3段229號3樓之1、3樓之2,0928-100-893,2023/11/1,北市教終字第1123064109號,2,75.69,125.61
110,8341,臺北市私立贏家文理短期補習班松德分班,110信義區松德路28號9樓,(02)7756-2238,2023/11/1,北市教終字第1123064198號,4,56.13,95.49
111,8340,史丹利英語教育有限公司附設臺北市私立史丹利英語文理短期補習班忠孝分班,106大安區忠孝東路4段176號3樓及178號3樓,(02)7709-5331,2023/11/1,北市教終字第1123063886號,9,182.77,400.26
112,8338,臺北市私立凱瑞莎美語文理短期補習班,106大安區延吉街257號1樓,(02)2702-2828,2023/10/17,北市教終字第1123062855號,4,33.6,121.52
113,8337,臺北市私立唯藝術技藝短期補習班,105松山區八德路3段12巷51弄9號1樓,(02)25775335,2023/10/6,北市教終字第1123062306號,1,53.97,106
114,8336,臺北市私立舞點舞集技藝短期補習班,111士林區中山北路6段435號2樓,(02)2876-0555,2023/10/2,北市教終字第1123062024號,1,44.61,72.98
115,8335,臺北市私立大直嘉蒔美語文理技藝短期補習班,104中山區明水路568號1樓,(02)85015920,2023/9/25,北市教終字第1123061573號,10,363.65,745.92
116,8334,臺北市私立禮物星球技藝文理短期補習班,105松山區延壽街390號1樓,(02)27605088,2023/9/23,北市教終字第1123061571號,2,40.29,83.46
117,8333,雲諾科技股份有限公司附設臺北市私立冠傑文理短期補習班,115南港區興華路134號1樓、98號1樓,(02)26559297,2023/9/19,北市教終字第1123061250號,4,75.59,138.86
118,8332,臺北市私立絟真文理短期補習班,103大同區重慶北路2段110號1樓、2樓,(02)25509359,2023/9/11,北市教終字第1123032069 號,3,41.09,90.36
119,8331,有果藝術有限公司附設臺北市私立有果音樂技藝短期補習班,104中山區復興北路80號9樓,(02)27529953,2023/9/7,北市教終字第1123060620號,9,62.14,105.86
120,8330,蓁澄文教股份有限公司附設臺北市私立蓁澄文理短期補習班,112北投區實踐街64號1樓,(02)2823-0576,2023/9/5,北市教終字第1123059985號,4,39.44,81.9
121,8329,臺北市私立鑫升文理短期補習班天母分班,111士林區士東路86之2號1樓,(02)2831-5050,2023/8/31,北市教終字第1123059986號,1,64.6,88.57
122,8328,超能創意有限公司附設臺北市私立超能創意技藝短期補習班,116文山區興隆路2段220巷53號1樓,(02)2933-0081,2023/8/24,北市教終字第1123032420號,3,51.76,111.44
123,8325,金品教育事業股份有限公司附設臺北市私立讀思塾明湖校文理短期補習班,114內湖區康寧路三段23號2樓之9,(02)26306777,2023/8/22,北市教終字第1123076069號,3,59.09,107.58
124,8326,臺北市私立有間樹屋文理短期補習班,116文山區興隆路1段84號1樓,(02)8931-3655,2023/8/21,北市教終字第1123032317號,2,31.54,75.7
125,8327,福嘉國際有限公司附設臺北市私立嘉圓文理技藝短期補習班,111士林區延平北路5段203號1樓,(02)2812-8318,2023/8/21,北市教終字第1123032318號,2,38.52,85.65
126,8324,有意思藝文整合有限公司附設臺北市私立有意思音樂技藝短期補習班,106大安區信義路4段265巷2號7樓,975537231,2023/8/18,北市教終字第1123031997號,4,60.38,123.07
127,8322,臺北市私立乖乖國際文理技藝短期補習班仁愛一分班,106大安區仁愛路4段145號2樓之1及147號2樓之1,936156886,2023/8/15,北市教終字第1123031828號,7,98.94,173.7
128,8323,臺北市私立學務處文理短期補習班,103大同區承德路2段175巷3號1樓,919018016,2023/8/15,北市教終字第1123031472號,3,40.91,81.53
129,8320,臺北市私立好樂笛音樂技藝短期補習班,112北投區中央北路1段173號2樓,0917-898-185,2023/8/7,北市教終字第1123029029號,4,51.72,119.19
130,8319,晨光教育股份有限公司附設臺北市私立晨光文理短期補習班明湖分班,114內湖區康寧路3段182號2樓之1、2樓之2,(02)26333555,2023/8/4,北市教終字第1123031034號,2,118.05,125.54
131,8321,優生教育股份有限公司附設臺北市私立希望領袖文理短期補習班,105松山區富錦街453號1樓,(02)2764-1887,2023/8/4,北市教終字第1123030941號,4,54.74,98.36
132,8317,臺北市私立森棠技藝文理短期補習班,104中山區民族東路2號5樓之2,(02)25943131,2023/8/4,北市教終字第1123030693號,3,57.5,75.39
133,8316,晨光教育股份有限公司附設臺北市私立晨光文理短期補習班,114內湖區康寧路3段182號2樓,(02)26333555,2023/8/4,北市教終字第1123031033號,2,67.81,82.91
134,8318,好繪有限公司附設臺北市私立阿丘藝術技藝短期補習班,104中山區中山北路2段126之3號6樓,(02)23933068,2023/8/4,北市教終字第1123030836號,2,56.52,123.53
135,8315,何嘉仁文教事業股份有限公司附設臺北市私立佳全文理短期補習班,111士林區文林路338號1樓及7樓之2,(02)2883-7050,2023/7/28,北市教終字第1123030517號,3,114.74,146.06
136,8314,美加文化實業股份有限公司附設臺北市私立策展學習空間文理技藝短期補習班,111士林區天母東路69巷1號1樓,0917-674-308,2023/7/24,北市教終字第1123029831號,3,58.59,117.45
137,8313,臺北市私立樂學一百文理短期補習班,116文山區保儀路26巷1號2樓之3,(02)2938-6707,2023/7/20,北市教終字第1123030151號,4,64.19,125.37
138,8312,浩學私塾股份有限公司附設臺北市私立新貴介壽文理短期補習班,105松山區延壽街408號1樓,(02)27533328,2023/7/10,北市教終字第1123026490號,1,43.33,86.29
139,8311,臺北市私立探索家文理短期補習班,114內湖區大湖山莊街195號1樓,(02)2795-3896,2023/7/10,北市教終字第1123026489號,2,53.65,90.07
140,8310,臺北市私立萬芳文理短期補習班,116文山區興隆路3段100號2樓,(02)2933-6688,2023/7/10,北市教終字第1123029098號,2,53.47,95.22
141,8308,臺北市私立康靜文理短期補習班,106大安區復興南路2段151巷8號2樓之5,(02)2755-4657,2023/7/4,北市教終字第1123029091號,3,37.47,106.31
142,8309,臺北市私立湖畔語文文理短期補習班金湖分班,114內湖區民權東路6段483號2樓,(02)26346070,2023/7/4,北市教終字第1123029090號,5,75.06,158.33
143,8307,臺北市私立橙實文理短期補習班,112北投區中央北路1段180巷2號2樓,(02)2891-1928,2023/6/28,北市教終字第1123026553號,4,52.06,84.89
144,8306,艾思程式教育股份有限公司附設臺北市私立艾思程式技藝文理短期補習班安和分班,106大安區安和路1段112巷15號1樓,(02)3707-3991,2023/6/26,北市教終字第1133028577號,4,72.26,124.17
145,8305,臺北市私立童學文理短期補習班,106大安區和平東路1段274號2樓,921899962,2023/6/26,北市教終字第1123026484號,3,61,109.67
146,8304,臺北市私立毅佳文理技藝短期補習班,110信義區永吉路187巷17號1樓,(02)27669488,2023/6/20,北市教終字第1123028464號,2,38.12,76.77
147,8303,臺北市私立孩想創造美學空間技藝短期補習班,105松山區八德路4段666號2樓之3,916039250,2023/6/20,北市教終字第1123028066號,3,42,102.2
148,8302,臺北市私立耕福文理短期補習班一分班,115南港區東新街128號1樓、130號1樓,(02)2788-0296,2023/6/17,北市教終字第1123001028號,5,81.99,133.88
149,8301,大黑天音樂有限公司附設臺北市私立那球音樂技藝短期補習班,110信義區基隆路1段163號8樓之1,(02)7755-7720,2023/6/17,北市教終字第1123028689號,5,50.75,117.79
150,8300,臺北市私立可麥文理短期補習班,114內湖區內湖路1段629巷33弄2號1樓,0956-238-898,2023/6/16,北市教終字第1123027985號,2,37.68,82.47
151,8299,臺北市私立冠博文理短期補習班信義分班,100中正區信義路2段257號3樓,(02)2351-6096,2023/6/1,北市教終字第1123027761號,2,62.03,104.34
152,8298,藝勤有限公司附設臺北市私立兒童國際文理技藝短期補習班,110信義區仁愛路4段520號1樓及2樓,(02)27222020,2023/5/31,北市教終字第1123024863號,4,67.59,194.75
153,8296,遠見知識科技股份有限公司附設臺北市私立美利堅文理短期補習班行善分班,114內湖區行善路258號1樓,(02)87929859,2023/5/30,北市教終字第1123025842號,4,66.94,123.23
154,8297,遠見知識科技股份有限公司附設臺北市私立美利堅文理短期補習班潭美分班,114內湖區行善路256號1樓,(02)87929859,2023/5/30,北市教終字第1123025843號,4,76.6,150.32
155,8295,臺北市私立小朋友創意文理短期補習班,104中山區明水路397巷7弄25號1樓,(02)28059922,2023/5/25,北市教終字第1123025746號,3,48.77,98.5
156,8294,臺北市私立堅利美文理短期補習班,105松山區三民路18-1號、18號2樓之2,(02)27425048,2023/5/25,北市教終字第1123001032號,7,115.57,192.24
157,8293,臺北市私立悠米復星文理技藝短期補習班,105松山區民權東路3段106巷21弄22號2樓,930280150,2023/5/25,北市教終字第1123025338號,5,72.08,157.04
158,8288,臺北市私立思躍軟實力文理短期補習班,111士林區中山北路7段55號2樓,(02)28772352,2023/5/23,北市教終字第1123025657號,4,56.9,116.11
159,8292,一九八零室內樂集坊附設臺北市私立學思文理技藝短期補習班,100中正區南昌路1段33號3樓,(02)2321-4333,2023/5/24,北市教終字第1123025490號,4,72.23,110.2
160,8291,臺北市私立學懿文理短期補習班,106大安區忠孝東路4段169號10樓之2,(02)27769199,2023/5/23,北市教終字第1123024991號,5,87.32,144.26
161,8287,臺北市私立李鋒文教文理短期補習班成功分班,100中正區林森北路9巷21號2樓,(02)2391-6958,2023/5/16,北市教終字第1123024740號,3,143.37,188.95
162,8290,臺北市私立立心文理短期補習班,105松山區民生東路4段55巷32號,(02) 2712-1000、(0800) 001-000,2023/5/16,北市教終字第1123024727號,4,57.79,129.07
