行政區,機構名稱,機構地址,聯絡電話,其他聯絡方式,網路成癮服務類型,官方網站
63000030,國泰綜合醫院,臺北市大安區仁愛路四段280號,"(02)26482121
",分機3606,"醫療門診服務, 個別心理治療／心理諮商",https://www.cgh.org.tw/
63000030,盼心理諮商所,臺北市大安區四維路198巷38弄11號3樓,(02)27011116,,"個別心理治療／心理諮商, 家庭治療／諮商",https://taipeifamilytherapy.com/
63000030,淨開心心理治療所,臺北市大安區和平東路一段218號5樓之1,(02)23660060,,"個別心理治療／心理諮商, 家庭治療／諮商",https://jingkaixiningsite.wixsite.com/jingkaixining
63000030,國立臺北教育大學心理諮商暨健康促進研究中心芳蘭心理諮商所,臺北市大安區和平東路二段134-18號,"(02)27321104
",分機86001,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.facebook.com/NTUEPsycHealth/
63000030,財團法人基督教宇宙光全人關懷機構,臺北市大安區和平東路二段24號8樓,(02)23627278,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.cosmiccare.org/Counseling/Index
63000030,伯特利敦南身心診所,臺北市大安區和平東路三段1巷51號2樓,(02)27010622,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商",https://www.bethel-clinics.tw/
63000030,晴天身心科診所,臺北市大安區延吉街135-3號2樓,(02)87716545,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.comein-wellbeing.com/Info/Information/Sunny
63000030,自體心理診所,臺北市大安區延吉街153-9號3樓,(02)27754121,,"個別心理治療／心理諮商, 家庭治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://selfpsychology.weebly.com/
63000030,財團法人台北市任兆璋修女林美智老師教育基金會-諮商中心      ,臺北市大安區忠孝東路三段100號5樓      ,"(02)27780703
",分機19,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.jenlinst.org.tw/List.aspx?tid=3247
63000030,伴旅心理治療所,臺北市大安區忠孝東路三段136號7樓之3,(02)27318180,,個別心理治療／心理諮商,https://wellnesspartner.com.tw/
63000030,中崙諮商中心,臺北市大安區忠孝東路三段54號4樓之1,(02)27319731,,個別心理治療／心理諮商,https://www.counseling.com.tw/
63000030,杏語心靈診所,臺北市大安區忠孝東路四段71-23號11樓,(02)87736755,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.reangel.com/index.php
63000030,沐寬心理治療所,臺北市大安區忠孝東路四段76號10樓之2,(02)27500079,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://mukuanpsy.com/
63000030,格桑美度心理諮商所,臺北市大安區東豐街7號14樓,(02)27095598,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://kelsang-mind.com/
63000030,啟宗心理諮商所,臺北市大安區東豐街7號5樓之2,(02)23254066,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.mindsopen.com.tw
63000030,心園心理治療所（台北所）,臺北市大安區信義路三段106號8樓之6,(02)27015095,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.mind-garden.org/home.aspx
63000030,同伴心理諮商所,臺北市大安區信義路三段190號10樓,(02)27555429,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商",https://www.acmate-group.com/about/accomany/
63000030,童伴心理治療所,臺北市大安區信義路三段190號6樓,(02)27555429,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座",https://www.acmate-group.com/
63000030,毛蟲藝術心理諮商所,臺北市大安區信義路三段202號6樓之1,(02)27551338,,個別心理治療／心理諮商,https://maochongart.com/
63000030,初和心理諮商所,臺北市大安區信義路四段155號8樓,(02)27013392,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.true-heart.com.tw/index.html
63000030,綻芯安和心理諮商所,臺北市大安區信義路四段187號7樓,(02)27010030,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.bloomingcenter.tw/
63000030,輕輕說心理諮商所,臺北市大安區信義路四段263號11樓之5,,目前無電話,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.talktalkgently.com/
63000030,格瑞思心理諮商所,臺北市大安區信義路四段265巷21弄26號1樓,(02)23254648,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.gracecc.com.tw/
63000030,振芝映煦心身醫學診所,臺北市大安區信義路四段341號8樓之1,(02)27030082,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商",https://www.promise-clinic.com/
63000030,福樂心理治療所,臺北市大安區信義路四段58號12樓之3,,0919-517-774,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商",https://fulllove5.webnode.tw/
63000030,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路三段155巷57號,"(02)23220322
",分機238072,個別心理治療／心理諮商,https://reg.ntuh.gov.tw/WebReg/WebReg/RegByDrName?vHospCode=C0&selectAll=true&QueryID=A01888
63000030,特殊情緒心理諮商所,臺北市大安區復興南路一段380號3樓,(02)23250206,,"個別心理治療／心理諮商, 家庭治療／諮商, 家屬（照顧者）團體／講座",https://uepsy.com/
63000030,力人心理治療所,臺北市大安區復興南路二段139號10樓,(02)27081412,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.lijen.net/
63000030,歸心心理諮商所,臺北市大安區復興南路二段178號3樓,(02)27039156,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://innerjourney.com.tw/
63000030,捷思身心醫學診所,臺北市大安區復興南路二段236號12樓之3,(02)23221739,,"醫療門診服務, 個別心理治療／心理諮商, 網路成癮諮詢",https://www.justmentalhealth.com.tw/
63000030,宇寧身心診所,臺北市大安區復興南路二段6號3樓,(02)27080706,,"醫療門診服務, 個別心理治療／心理諮商, 家屬（照顧者）團體／講座",http://www.yuning.tw/
63000030,心識康心身健康中心心理治療所,臺北市大安區敦化南路一段192號7樓之3,(02)27218900,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.wisecaremhc.com
63000030,日好心理治療所,臺北市大安區敦化南路二段59號7樓之1,,0979-659-938,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢, 親子諮商、家長親職教養諮詢、兒童早療、婚姻諮商",https://www.lifewellpsy.com/
63000030,拉第石心理諮商所,臺北市大安區新生南路一段103巷9-1號1樓,(02)27527588,,"個別心理治療／心理諮商, 家庭治療／諮商",https://facebook.com/pull.first.stone
63000030,馨思診所,臺北市大安區羅斯福路二段41號7樓之1,(02)33933369,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商",https://www.fragrancesoul.com
63000030,財團法人旭立文教基金會附設心理諮商中心,臺北市大安區羅斯福路三段245號8樓之2,"(02)23635939
",分機9,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.shiuhli.org.tw/counseling/taipei/#environment
63000030,心寓心理諮商所,臺北市大安區羅斯福路三段61號2樓,,0910-080-536,個別心理治療／心理諮商,https://www.xinyupsy.com.tw/
63000040,張老師基金會台北心理諮商所,臺北市中山區大直街20巷16號,"(02)25326180
",分機136,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.1980.org.tw/service_item_show.php?service_item_id=2
63000040,心日上心理諮商所,臺北市中山區中山北路一段66號6樓,(02)25116825,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.sunmind.tw/
63000040,微煦心靈診所,臺北市中山區中山北路二段39巷6號2樓之1,(02)25312626,,個別心理治療／心理諮商,http://www.wish-mental.com
63000040,馬偕紀念醫院,臺北市中山區中山北路二段92號,(02)25433535,,醫療門診服務,https://www.mmh.org.tw/doctor_view.php?depid=52&did=697
63000040,元思心理諮商所,臺北市中山區中山北路二段99號3樓之1,(02)25677795,,"個別心理治療／心理諮商, 家庭治療／諮商, 家屬（照顧者）團體／講座",https://www.opin.tw/about2_3.html#main
63000040,天光心理諮商所,臺北市中山區天祥路22號2樓,(02)25117403,,個別心理治療／心理諮商,https://www.thinnkng.com.tw
63000040,沐慕身心診所,臺北市中山區四平街20號5樓,(02)25817765,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.lumosclinic.com.tw/
63000040,舒心心理諮商所,臺北市中山區民生東路一段42號11樓之2,(02)25113206,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://suxinweb.com/
63000040,山陵路聆心理治療所,臺北市中山區民生東路一段42號7樓,,0972-886-171,"個別心理治療／心理諮商, 家庭治療／諮商, 家屬（照顧者）團體／講座",https://www.listening-throughclinic.com/
63000040,謐鏡心理諮商所,臺北市中山區民生東路二段83號3樓之47,,"0975-828-569
（簡訊聯繫）","個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://sites.google.com/view/quietmirror/總覽
63000040,以賽亞心理諮商所,臺北市中山區吉林路231號3樓,,0933-569-611,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.isaiah611bcc.com/
63000040,初色心理治療所,臺北市中山區吉林路24號10樓,(02)25210212,,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://psychotherapy.neo-psy.com/truecolors
63000040,財團法人吾心文教基金會,臺北市中山區松江路17號2樓,(02)25093707,,"個別心理治療／心理諮商, 家庭治療／諮商",http://www.wushin.org.tw/
63000040,點亮心燈諮商中心心理諮商所,臺北市中山區松江路289-910號,,0968-138-838,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://tolightheartweb.mystrikingly.com/
63000040,沐昂心理諮商所,臺北市中山區松江路297巷4號2樓 ,(02)23708442,,"個別心理治療／心理諮商, 網路成癮諮詢",https://moveon4u.mystrikingly.com/?fbclid=IwQ0xDSwMJQG9leHRuA2FlbQIxMAABHucl8Asfnb7GlpsOQPi92vKyErcDpovudVyAlM8CPi9npByqTDsXfU9I9nqQ_aem_0ExKX9u-Fh5SJWrMCokAQg
63000040,亞和心理諮商所,臺北市中山區長安東路二段189號7樓之8,(02)27500010,,個別心理治療／心理諮商,https://www.yahecounseling.com/
63000040,黃雅芬兒童心智診所,臺北市中山區南京西路5-1號12樓之1,,"0910-222-280
（不接聽，僅簡訊聯繫）","醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",www.黃雅芬.tw
63000040,綻芯心理諮商所,臺北市中山區復興北路280巷2號3樓,(02)25016199,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.bloomingcenter.tw/
63000040,振芝心身醫學診所,臺北市中山區復興北路282號2樓,(02)25069169,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.blossomclinic.com.tw/
63000040,新田身心診所,臺北市中山區復興北路344號2樓,(02)25000301,,醫療門診服務,https://clinic-fuxing-n.neo-psy.com/
63000040,伴旅馥心心理治療所,臺北市中山區復興北路58號7樓,(02)27522282,,個別心理治療／心理諮商,https://wellnesspartnerfuxin.com/
63000040,得心身醫學台北總診所,臺北市中山區復興北路60號3樓之2,(02)27510089,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商",https://www.devenir-psy.com/blog/931ed61860e
63000050,冬青心理治療所,臺北市中正區中山北路一段2號6樓之6,(02)23882552,,"個別心理治療／心理諮商, 家庭治療／諮商",https://hollyclinic.weebly.com/
63000050,臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,"(02)23889595
",分機8003,"醫療門診服務, 網路成癮諮詢",https://tpech.gov.taipei/mp109161/Default.aspx
63000050,好窩心理諮商所,臺北市中正區和平西路一段17號3樓,(02)23568846,,個別心理治療／心理諮商,https://www.psysweethome.com/
63000050,璞願心理諮商所,臺北市中正區忠孝西路一段41號10樓之17,(02)23897535,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://pure-wish.com/
63000050,可言心理諮商所,臺北市中正區忠孝西路一段50號13樓,,0916-606-877,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.talktalk.tw/
63000050,捷思心理治療所,臺北市中正區忠孝東路二段100號5樓之7,(02)23210031,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.justcounselingcenter.com.tw/
63000050,開心心理諮商所,臺北市中正區杭州南路一段131巷35-1號1樓,,0971-252-866,"個別心理治療／心理諮商, 網路成癮諮詢",https://lin.ee/MHS5g4Z
63000050,諦聽心理諮商所,臺北市中正區重慶南路一段121號7樓之6（東方大樓）,"(02)23120721
",0979-511-691,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.facebook.com/profile.php?id=61563998981198
63000050,蘅芯心理諮商所,臺北市中正區重慶南路一段99號11樓1107室,,"0917-579-873
（簡訊聯繫）","個別心理治療／心理諮商, 家庭治療／諮商, 家長親職諮詢",https://reurl.cc/MzOnMm
63000050,慢活靜心診所,臺北市中正區博愛路105號3樓,(02)77529829,,"醫療門診服務, 個別心理治療／心理諮商",www.adagioclinic.com
63000050,擁抱心理博愛館心理諮商所,臺北市中正區博愛路76號10樓之2,"(02)77480995
(02)23715808",,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://mental-hug.com.tw/
63000050,點晴心理諮商所,臺北市中正區寧波西街87號7樓之2,,0976-710-756,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://2022sunlight.mystrikingly.com/
63000050,昕心理諮商所,臺北市中正區羅斯福路二段56號7樓,,0905-866-222,"個別心理治療／心理諮商, 家庭治療／諮商",https://xincounseling.com/
63000050,魚心理治療所,臺北市中正區羅斯福路二段70號11樓之2,,0909-043-687,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",官網設置中
63000050,吉兒心理治療所,臺北市中正區羅斯福路二段70號9樓,(02)23560511,,"個別心理治療／心理諮商, 團體治療／諮商",https://www.facebook.com/psychology.jill
63000050,安然心理諮商所,臺北市中正區羅斯福路四段68號8樓之10,,0917-002-762,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 網路成癮諮詢",https://walksecurely.weebly.com
63000050,過好生活心理諮商所,臺北市中正區重慶南路一段10號9樓之6 （911室）,,0938-818-761,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.gooodlifehub.com/
63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,(02)27919696,,醫療門診服務,http://taipei.cmuh.org.tw/
63000100,擁抱心藝心理諮商所,臺北市內湖區內湖路二段466號2樓,(02)77480995,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://mental-hug.com.tw/
63000100,財團法人赤子心教育基金會,臺北市內湖區文德路22巷8號1樓,(02)87971510,,"家屬（照顧者）團體／講座, 網路成癮諮詢",官網設置中
63000100,螺旋梯心理諮商所,臺北市內湖區安康路261巷7號1樓,(02)26309650,,"個別心理治療／心理諮商, 家庭治療／諮商",https://spiralstairwaycc.tw/
63000100,夏一新身心精神科診所,臺北市內湖區成功路三段143號4樓,(02)87928213,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 網路成癮諮詢",https://www.softmind.com.tw/index.php
63000100,沐云心理諮商所,臺北市內湖區成功路四段30巷49號2樓,,0910-927-995,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.muyun.tw
63000100,擁抱心理諮商所,臺北市內湖區成功路四段32號4樓,(02)87920568,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://mental-hug.com.tw/
63000100,好好玩心理治療所,臺北市內湖區康寧路三段16巷78號1樓,(02)26305631,,"個別心理治療／心理諮商, 網路成癮諮詢",https://wellplaypsy.com.tw/
63000100,詠安心理諮商所,臺北市內湖區港華街57號,(02)26276655,,"個別心理治療／心理諮商, 網路成癮諮詢",https://yacounseling.com
63000080,利伯他茲心理諮商所,臺北市文山區木柵路二段62號2樓,(02)29361183,,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.facebook.com/heartgrowing/?locale=zh_TW
63000080,財團法人臺北市基督教伯大尼兒少家庭基金會附設芯芽諮商中心,臺北市文山區保儀路129號9樓,"(02)29396396
",分機1901,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 心理衛教講座",https://btn3019.wixsite.com/yacounseling
63000080,島語心理諮商所,臺北市文山區羅斯福路六段10號4樓之2,(02)29302022,,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://murmurland2022.com/
63000080,誠心身心醫學診所,臺北市文山區羅斯福路六段138號,(02)86631380,,"醫療門診服務, 個別心理治療／心理諮商, 網路成癮諮詢",https://www.drccareyou.com.tw/
63000080,依懷心理諮商所,臺北市文山區羅斯福路六段297號6樓,,0909-416-020,個別心理治療／心理諮商,https://listentoyou2023.com/
63000080,拾月拾日心理治療所,臺北市文山區羅斯福路六段391號2樓,,0919-591-010,個別心理治療／心理諮商,https://1010psy.com.tw
63000120,奇岩身心診所,臺北市北投區中央南路一段191號,(02)28919008,,"醫療門診服務, 網路成癮諮詢",https://818clinic.com.tw/
63000120,石牌鄭身心醫學診所,臺北市北投區石牌路一段69號,(02)28227660,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",http://www.shipaicheng.com.tw/index.php
63000120,天母愛舒眠心理治療所,臺北市北投區石牌路一段71巷3弄3號1樓,(02)28235600,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",http://lovesleep169.com.tw/index.php
63000120,辰光心理治療所,臺北市北投區立農街二段202巷2弄1號1樓,,0910-557-233,個別心理治療／心理諮商, https://lin.ee/Le2c7P4
63000120,北辰身心醫學診所,臺北市北投區光明路2巷9-3號,(02)28925500,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商",無
63000120,心不懶心理諮商所,臺北市北投區西安街一段165巷9弄1號,(02)28216965,,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.unlazy-mind.com/counseling
63000120,臺北市立關渡醫院,臺北市北投區知行路225巷12號,(02)28587000,,醫療門診服務,https://www.gandau.gov.tw/
63000120,三軍總醫院北投分院,臺北市北投區新民路60號,(02)28959808,,"醫療門診服務, 個別心理治療／心理諮商",https://beitou.tsgh.ndmctsgh.edu.tw/
63000010,愛牽手心理諮商所,臺北市松山區八德路666號6樓之1,,0909-046-181,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.icarry.com.tw/
63000010,聊聊心理治療所,臺北市松山區八德路三段106巷67號1樓,(02)25798519,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商",https://www.talktalkpsy.com/
63000010,劉宗憲身心診所,臺北市松山區八德路三段134號,(02)25794888,,"醫療門診服務, 個別心理治療／心理諮商",無
63000010,李政洋身心診所,臺北市松山區三民路84號,(02)27620086,,"醫療門診服務, 個別心理治療／心理諮商",https://www.leepsyclinic.com/
63000010,賦能心理治療所,臺北市松山區民生東路五段202-3號1樓,(02)27680668,,個別心理治療／心理諮商,https://psyclinic.dingup.cc/
63000010,象家園心理諮商所,臺北市松山區民生東路五段69巷25號1樓,(02)27650285,,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.elephantsheaven.com/
63000010,博仁綜合醫院,臺北市松山區光復北路66號,(02)25786677,,"醫療門診服務, 個別心理治療／心理諮商",http://iregister.pojengh.com.tw/
63000010,我們心理諮商所,臺北市松山區南京東路5段154號9樓,,0979-796-896,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",weness.asia
63000010,台北長庚紀念醫院,"臺北市松山區南京東路三段337號 
亞細亞通商大樓南京微風百貨同5、6、9、10樓（暫址）","(02)27135211
","03-328-1200
分機5102",醫療門診服務,https://register.cgmh.org.tw/Department_WEEK/1/13600A1K360A?id=&name=%E9%98%AE%E6%B7%B3%E8%97%9D
63000010,昱捷診所,臺北市松山區南京東路四段143號5樓,(02)27002709,,醫療門診服務,https://www.facebook.com/Yujie.Clinic/
63000010,山曉心理治療所,臺北市松山區南京東路四段186號12樓之8,,0978-150-785,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 網路成癮諮詢",https://www.yamaakira.com/
63000010,轉轉心理治療所,臺北市松山區南京東路四段50號9樓之6,,無（以LINE聯繫）,"個別心理治療／心理諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://creativitypsy.com/
63000010,覓汨心理治療所,臺北市松山區健康路325巷24弄8號,(02)27587798,,個別心理治療／心理諮商,https://www.misquare-psy.com/
63000010,擁抱甯心理諮商所,臺北市松山區復興北路15號5樓之10,(02)27751298,,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 網路成癮諮詢",https://mental-hug.com.tw/
63000010,財團法人加惠文教基金會附設心理諮商所,臺北市松山區復興北路181號7樓之5,(02)25582771,,"個別心理治療／心理諮商, 家庭治療／諮商",https://www.jcf.org.tw/
63000020,伯特利身心診所,臺北市信義區光復南路421號2樓,(02)27200938,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商",https://bethelpsychiatry.mystrikingly.com/?
63000020,豁然心理治療所,臺北市信義區松山路421號8樓之3,,0937-958-918,"個別心理治療／心理諮商, 家庭治療／諮商",https://ahapsyclinic.com/
63000020,松德精神科診所,臺北市信義區松德路108號,(02)87894477,,"醫療門診服務, 個別心理治療／心理諮商",https://hwc.com.tw/
63000020,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,"(02)27263141
",分機1135,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://tpech.gov.taipei/mp109201/
63000020,星星碼頭心理治療所,臺北市信義區基隆路一段141號5樓之2,,0981-047-214,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.starpier.com.tw/
63000020,荳點心理諮商所,臺北市信義區基隆路一段149號12樓之2,,0965-711-589,"個別心理治療／心理諮商, 家庭治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.hicomma.com.tw
63000090,開馨診所,臺北市南港區南港路二段38巷6-1號1樓,(02)26532987,,"醫療門診服務, 個別心理治療／心理諮商, 網路成癮諮詢",https://www.beingaliveclinic.com/
63000090,華昕藝心心理諮商所,臺北市南港區研究院路一段99號2樓103室,(02)66057103,,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.hua-sin.com/
63000070,萬華身心精神科診所,臺北市萬華區和平西路三段142號1樓,(02)23088878,,"個別心理治療／心理諮商, 家庭治療／諮商",http://www.wellmind.com.tw/
63000070,哈米思心理諮商所,臺北市萬華區柳州街六號4樓,(02)23820667,,個別心理治療／心理諮商,https://counseling.heart-miss.com/
63000070,理馨西門館心理諮商所,臺北市萬華區漢口街二段51號2樓,,0968-989-195,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://lixincounseling.wordpress.com/
