販賣業許可證,統一編號,公司名稱,公司地址,公司電話
北市動藥販字0449,22720518,漢勳企業股份有限公司,台北巿民生東路三段一七號二樓,25012057
北市動藥販字0456,22443021,仁友興業有限公司,台北市信義路4段341號6樓之2,27092296
北市動藥販字0467,22853066,裕利股份有限公司,臺北市松山區南京東路4段126號10樓、10樓之1至之3,25700064
北市動藥販字0476,23167184,台灣拜耳股份有限公司,台北市信義區信義路5段7號53樓,0932123351楊蕙
北市動藥販字0481,23421806,雋亞國際股份有限公司,台北巿天母西路十一之三號六樓,28739881
北市動藥販字0482,11008280,明治製果製藥股份有限公司,臺北市大同區長安西路106號4樓之3,25596993
北市動藥販字0498,23823301,世強化學製藥股份有限公司,台北巿松江路七十二號十樓,25364220-1
北市動藥販字0500,22898991,紳堡企業股份有限公司,臺北市內湖區行忠路27號4樓,25093369
北市動藥販字0511,23757371,尹記貿易有限公司,台北市吉林路168巷2號1樓,25221005
北市動藥販字0512,23887698,昱興實業有限公司,臺北市大安區安和路1段113號9樓之2,27063683
北市動藥販字0518,23910157,台灣百靈佳殷格翰動物事業股份有限公司,臺北市中山區民生東路3段2號12樓,25032636
北市動藥販字0521,23059100,政寬股份有限公司,台北市信義區松德路161號29樓,27282000
北市動藥販字0522,86168273,鴻鎰有限公司,11164台北市士林區社正路5號,28160996
北市動藥販字0525,23770944,煌昇貿易有限公司,104台北市北安路720巷2號,25326056
北市動藥販字0527,22730311,台灣全農興業股份有限公司,台北市長安西路119號6樓,25561111
北市動藥販字0544,86493290,齊立實業有限公司,台北市中山區長安東路2段169號3樓之3,27686236  ?         
北市動藥販字0550,23746564,健聖興業有限公司,台北市北投區自強街31巷59號4樓,28107777
北市動藥販字0551,22887615,偉淳企業股份有限公司,台北市民生東路二段174號二樓,25016125
北市動藥販字0566,89283375,衛采製藥股份有限公司,台北市長安東路一段十八號九樓,25314175
北市動藥販字0570,86063469,珂昇實業有限公司,臺北市信義區信義路5段5號,27235958
北市動藥販字0573,22151023,龍門實業有限公司,臺北市松山區八德路3段225號11樓之4,25996189
北市動藥販字0579,89486809,諦昇實業有限公司,台北市信義區信義路5段5號,"27403238, 27313518"
北市動藥販字0580,89610032,忻禾興業股份有限公司,臺北市大安區復興南路一段126巷1號2樓之5,23432433
北市動藥販字0587,65601110,上來新科化股份有限公司,台北市大安區羅斯福路三段125號12樓,23632156
北市動藥販字0596,97303825,穩拿鴿藥有限公司,24886新莊市五股鄉五權路17號8樓,22999060
北市動藥販字0598,84291805,國茂實業有限公司,台北市中正區忠孝東路2段112號8樓,23955116-7
北市動藥販字0600,23277289,銓星國際有限公司,中壢郵政八之十五號信箱,03-4021280-1
北市動藥販字0602,22318396,台灣英特威動物藥品股份有限公司,臺北市信義區信義路五段106號12樓,66316000
北市動藥販字0603,12504821,尹太有限公司,台北市中山區吉林路168巷2號,25221005
北市動藥販字0608,04967670,府泉實業有限公司,台北市大安區安和路2段118號5樓,27352233
北市動藥販字0618,16842416,新加坡商英特威藥品股份有限公司,台北市中山區民權東路3段6號5樓,27123163
北市動藥販字0619,70373880,亞洲默克動物藥品有限公司,台北市大安區安和路1段113號9樓之2,27063688
北市動藥販字0620,70359536,晟揚國際貿易股份有限公司,臺北市松山區八德路3段12巷52弄4號2樓,25703789
北市動藥販字0622,70437272,太僕國際行銷有限公司,台北市大安區仁愛路4段71巷8號3樓,27418870
北市動藥販字0623,31145826,天麒股份有限公司,台北市士林區中山北路7段14巷34號2樓,28765908
北市動藥販字0626,70370053,金昇禾貿易有限公司,臺北市中山區松江路289-602號,02-27940626
北市動藥販字0627,97129636,日名國際藥品有限公司,臺北市大安區敦化南路一段183號6樓,27310039
北市動藥販字0629,70569370,禾盛生技股份有限公司,臺北市長安東路二段七七號三樓之1,25074732
北市動藥販字0630,16752012,金達信股份有限公司,臺北市中山區吉林路26巷7號1樓,25313799
北市動藥販字0631,52621803,貿王實業股份有限公司,臺北市中山區復興南路1段34號12樓之1(限辦公室用),27721840
北市動藥販字0635,12666830,益瑞國際有限公司,台北市大安區忠孝東路4段320號5樓(限辦公室用),(02) 27816099
北市動藥販字0637,70553237,環茂國際實業有限公司,台北市大安區信義路4段6號6樓,25160161
北市動藥販字0638,84141187,弘如洋企業股份有限公司,臺北市大安區忠孝東路4段289號11樓,27115988
北市動藥販字0646,12858470,安牧威國際有限公司,臺北市文山區光輝路104號2樓,29365198
北市動藥販字0647,12973041,泰豪國際股份有限公司,臺北市大安區忠孝東路4段320號5樓(限辦公室用),27816099
北市動藥販字0648,12968309,國盛生化股份有限公司,台北市忠孝東路二段一一二號八樓,23411288
北市動藥販字0650,12469866,台灣百靈佳殷格翰股份有限公司,台北市民生東路三段四九號、五一號12樓,25032636
北市動藥販字0651,12391994,福信有限公司,台北市長安東路二段一八一號六樓,27115597
北市動藥販字0661,20884177,勤裕企業股份有限公司,台北市內湖區行愛路一五九號四樓,27772369
北市動藥販字0662,59863903,廣華貿易有限公司,臺北市中山區吉林路218巷9號5樓,02 -25221005
北市動藥販字0667,77169899,和平動物藥品行,台北市萬華區和平西路3段11之1號1樓,23025654
北市動藥販字0668,06540320,富懋行,台北市中山區合江街116巷13之1號2樓,22518505
北市動藥販字0669,04742997,寶齡富錦生技股份有限公司,臺北市南港區園區街3號16樓(限辦公室用),26558218
北市動藥販字0674,27571072,世詠實業有限公司,臺北市中正區忠孝東路2段112號8樓,23955116
北市動藥販字0676,28223376,益吉國際有限公司,臺北市中山區德惠街170巷8號,25920199
北市動藥販字0680,28462615,善宏企業有限公司,臺北市新生北路3段11巷43號  (24142新北市三重區文化南路46號16樓之1),02-25957386
北市動藥販字0681,28488018,安適股份有限公司,台北市大安區信義路4段45號9樓之4,02-27557385
北市動藥販字0683,28686024,點晶企業股份有限公司,台北市中山區新生北路１段２３號３樓之２,02-25672182
北市動藥販字0684,28184768,業展畜產事業有限公司,台北市復興南路1段135巷9號11樓,02-27116060
北市動藥販字0688,24308134,佳力德實業有限公司,臺北市大安區信義路四段341號6樓之2,02-27003163
北市動藥販字0690,,慈愛動物醫院寧夏分院,台北市大同區寧夏路1號3樓,02-25563320
北市動藥販字0693,,太僕動物醫院,台北市龍江路260號,2517-0902
北市動藥販字0695,24347397,台灣禮藍動保股份有限公司,臺北市松山區民生東路三段156號9樓,2719-1115
北市動藥販字0697,F221958705,班特動物醫院,台北市內湖區成功路三段164號,02-27939638
北市動藥販字0705,T122246221,芝山動物醫院,台北市士林區福國路17-1號及19-1號1樓,02-28328385
北市動藥販字0707,12931726,全民生物科技股份有限公司,臺北市大同區民生西路249號,02-25573464
北市動藥販字0708,,龍江獸醫院,台北市龍江路21巷1號1樓,02-27727989
北市動藥販字0715,27329479,福爾摩沙國際貿易有限公司,臺北市大同區民生西路249號,02-25504183
北市動藥販字0717,27554496,宇麥國際有限公司,臺北市松山區民權東路3段142號7樓之7,27176001
北市動藥販字0728,,台愛動物醫院,台北市士林區中正路629號,88115729
北市動藥販字0729,,東宏動物醫院,臺北市吉林路432號,25957369
北市動藥販字0740,,西湖動物醫院,臺北市內湖路一段341之2號,27990700
北市動藥販字0746,16590431,麥可貿易有限公司,臺北市文山區溪州街69號,2608-6677
北市動藥販字0747,,麥可貿易有限公司,臺北市文山區溪州街69號,2608-6677
北市動藥販字0748,,諾亞動物醫院,臺北市中山區長春路112號,2564-2121
北市動藥販字0749,25122162,每均國際貿易有限公司,臺北市中山區林森北路575號6樓之2,2595-7599
北市動藥販字0751,97441876,章魚舫水族有限公司,台北市士林區士東路236號1樓,28346367
北市動藥販字0752,01678275,小張水族企業社,台北市南港區東新街114-1號,26515831
北市動藥販字0754,17546027,皇佳水族館,臺北市松山區民權東路5段4號1樓,27661168
北市動藥販字0763,53099157,裕興生物科技有限公司,台北市中正區忠孝東路1段76號10樓之3,
北市動藥販字0764,48785281,賓果彩?行,台北市信義區虎林街42號,
北市動藥販字0765,N122069738,台欣動物醫院,臺北市松山區健康路187號,02-25285119
北市動藥販字0772,89626196,吉程股份有限公司,臺北市中山區敬業1路139號5樓之7樓,02-25700064
北市動藥販字0773,G120987292,勝利動物醫院,臺北市內湖區康樂街116之2號1樓,02-26327815
北市動藥販字0774,,風采水族有限公司,臺北市士林區中山北路6段732號1樓,
北市動藥販字0775,26249955,透明魚水族館,臺北市中正區林森南路133號,
北市動藥販字0780,,映像水族館,臺北市松山區市民大道4段151號1樓,25778681
北市動藥販字0782,,泰隆生技藥品有限公司,臺北市大安區臥龍街1號8樓之1,27396768
北市動藥販字0785,,源泰企業社,臺北市士林區社正路67號,28118865
北市動藥販字0788,53772498,昇儷有限公司,臺北市中山區吉林路24號7樓之5,25213795
北市動藥販字0789,,世翔國際有限公司,臺北市文山區興隆路3段304巷28號2樓之2,27912007
北市動藥販字0790,31339626,仁輝水族館,臺北市北投區石牌路1段6號1樓,28234328
北市動藥販字0795,,凡賽爾賽鴿寵物鳥醫院,臺北市大同區民族西路53號1樓,25869933
北市動藥販字0799,12953312,宇笛生物科技股份有限公司,臺北市中正區羅斯福路2段11號4樓,02-33226006#277朱小姐
北市動藥販字0800,70654116,台灣荃新股份有限公司,臺北市中正區羅斯福路2段11號3樓,23397514
北市動藥販字0801,12946410,明宸企業有限公司,臺北市士林區文林路68號1樓,28099688
北市動藥販字0803,24466219,永佳寵物用品有限公司,台北市文山區木柵路2段4號,02-26705500
北市動藥販字0806,,萬達寵物事業股份有限公司天母分公司,臺北市士林區天母西路12之1號、12之2號及12之3號,2876-7477
北市動藥販字0813,F125342818,孔雀魚坊,臺北市大同區重慶北路3段74號,25952886
北市動藥販字0826,24320432,津川實業股份有限公司,臺北市信義區信義路5段5號5樓E16室,02-87864087
北市動藥販字0827,38500526,水森林水族館,台北市大同區重慶北路3段243巷7號1樓,2592-4291
北市動藥販字0828,17525515,衛生福利部食品藥物管理署管制藥品製藥工廠,台北市南港區忠孝東路6段467號地下一樓,2787-8036
北市動藥販字0829,53763619,瑞亞生技有限公司,台北市大同區重慶北路三段152巷37號,2596-2990
北市動藥販字0831,,康新動物醫院,台北市大安區文昌街89號,23255190
北市動藥販字0832,54690621,萬達寵物事業股份有限公司文德分公司,臺北市內湖區文德路108號,8751-3700
北市動藥販字0833,53463985,萬達寵物事業股份有限公司林森分公司,臺北市中山區林森北路512號(一樓),2567-6551
北市動藥販字0835,F104101451,沅慶企業有限公司,臺北市萬華區昆明街280號5樓,
北市動藥販字0841,,古亭動物醫院,臺北市大安區羅斯福路２段１３８號,02-23693373
北市動藥販字0844,,樂沛動物醫院,臺北市內湖區成功路4段368號,(02)27909218
北市動藥販字0846,22327769,冠成化學有限公司,台北市中山區民權西路11號10樓之2,25969520
北市動藥販字0851,,和欣動物醫院,台北市北投區雙全街7號,28973439
北市動藥販字0852,84119592,誠康貿易有限公司,台北市中山區德惠街9號4樓之2,25868385
北市動藥販字0854,,和的獸醫院,臺北市中山區民權東路二段152巷22弄2號A室,25081009
北市動藥販字0858,,圓霖動物醫院信安分院,臺北市信義區信安街99號,(02)27330008
北市動藥販字0859,50113329,新東水族設計館,臺北市中正區仁愛路一段6號,23512472
北市動藥販字0861,24930960,杏眾生物科技股份有限公司,臺北市松山區民生東路3段107巷6號3樓,02-27151651
北市動藥販字0863,42633506,台灣糧品股份有限公司,臺北市士林區忠誠路2段78號,(02)88665680
北市動藥販字0864,53466028,萬達寵物事業股份有限公司通化分公司,臺北市大安區基隆路二段106號、108號,(02)27351888
北市動藥販字0866,16793323,新健南股份有限公司,台北市民權東路六段一六○號八樓,27941604
北市動藥販字0871,,傳奇水族館,臺北市松山區民權東路5段6號,02-2760-2398
北市動藥販字0874,53703063,永鴻國際生技股份有限公司,臺北市松山區民權東路三段181號12樓,02-27186200
北市動藥販字0876,53703084,臺灣碩騰股份有限公司,臺北市北投區石牌路一段188號3樓,02-2826-7500
北市動藥販字0877,77177912,衣心行,臺北市萬華區西園路二段175號,02-23055518
北市動藥販字0878,30880713,第一泉有限公司,臺北市大安區樂業街15巷2號,02-27352233
北市動藥販字0880,,全民連鎖動物醫院總院,臺北市大同區民生西路247、249號1、2樓,2557-1567
北市動藥販字0881,80676997,裕翔藥品股份有限公司,臺北市中山區敬業1路182號6樓,27952329
北市動藥販字0882,54728936,動物雲網路科技,臺北市大安區基隆路二段118號,2732-6130
北市動藥販字0884,12128328,必強實業股份有限公司,臺北市中山區松江路54號7樓,25618026
北市動藥販字0885,43802753,鯨棧貿易有限公司,臺北市北投區中央北路3段98號1樓,02-2895-5256
北市動藥販字0887,07057442,六和化工股份有限公司,臺北市中山區德惠街9號6樓,02-25954321
北市動藥販字0888,12932921,恒亞貿易股份有限公司,臺北市士林區延平北路6段485號4樓,02-28169388
北市動藥販字0890,70824858,台灣大昌華嘉股份有限公司,臺北市內湖區堤頂大道2段407巷20弄1、3、5、7號10樓，及407巷22、24、26號10樓及407巷22號10樓之1,02-87526666
北市動藥販字0891,52945556,台灣海博萊有限公司,臺北市松山區南京東路5段188號11樓之6,02-25672182
北市動藥販字0892,42563473,樂泓生物科技有限公司,臺北市中山區長安東路2段108號4樓之1,02-27513018
北市動藥販字0894,01283343,信泓水族?,臺北市中山區農安街243號1樓,02-25025614
北市動藥販字0895,42991474,德豫實業有限公司,臺北市文山區羅斯福路6段146號12樓之8,
北市動藥販字0896,23024594,科懋生物科技股份有限公司,臺北市南港區園區街3號14樓之6,2655-7568#601
北市動藥販字0898,55690090,東翔實業股份有限公司,臺北市中山區松江路283號7樓,25047733
北市動藥販字0899,53935134,華牠有限公司,臺北市南港區南港路三段50巷16號5樓,27852870
北市動藥販字0901,27314406,泰和碩藥品科技股份有限公司,臺北市中山區南京東路2段206號7樓,25182201
北市動藥販字0903,04404855,昭元化成股份有限公司,臺北市中山區松江路129號9樓,2506-2356
北市動藥販字0904,,愛貓園動物醫院,臺北市大安區基隆路2段124號,27363521
北市動藥販字0905,53930551,斯特普科技有限公司,臺北市中山區南京東路3段201號3樓,02-2302-1766
北市動藥販字0906,82797589,鉅效股份有限公司,臺北市松山區南京東路3段287號2樓,02-77248377
北市動藥販字0907,80205808,金魚世家水族有限公司,臺北市松山區民權東路5段42號及44號1樓,02-27661856
北市動藥販字0908,20514787,中美嘉吉股份有限公司,臺北市大安區信義路3段149號7樓,04-26992726
北市動藥販字0910,82864171,富紀盛有限公司,臺北市信義區忠孝東路5段423巷5弄30號3樓,27633989
北市動藥販字0913,82902359,西華動物藥品股份有限公司,臺北市大安區復興南路1段303號7樓,27013666#17
北市動藥販字0914,,東京頂尖寵物醫院,臺北市松山區八德路三段164號、164號-1,02-25770919
北市動藥販字0915,80207616,瑩碩生技醫藥股份有限公司,臺北市中山區南京東路2段206號8樓之3,(02)25042121
北市動藥販字0916,82885247,宜圃股份有限公司,臺北市中山區南京東路2段88號18樓,(02)2560-3566
北市動藥販字0917,12698116,福又達生物科技股份有限公司,臺北市內湖區內湖路1段120巷16號4樓,02-26579181
北市動藥販字0918,25142998,普瑞德生技有限公司,臺北市信義區信義路5段5號4C28室,(02)8786-2543
北市動藥販字0920,53547937,台灣維克法蘭斯股份有限公司,臺北市內湖區基湖路35巷13號8樓,2798-7667#208翁筠婷
北市動藥販字0921,26311388,鴻景水族商行,臺北市萬華區大理街133巷23號,23061115
北市動藥販字0922,85074827,龍燈動物生技有限公司,臺北市大同區承德路2段81號3樓,02-25555218
北市動藥販字0924,54690586,萬達寵物事業股份有限公司-健康分公司,臺北市松山區健康路241號,2748-8500
北市動藥販字0929,,核心動物醫院,臺北市內湖區舊宗路一段50號,02-87910059
北市動藥販字0930,83213459,東森寵物雲股份有限公司-士林文林分公司,臺北市士林區文林路74號1樓,2883-1359
北市動藥販字0933,83235469,富祿佳藥業股份有限公司,臺北市中正區八德路1段40號3樓,2395-2377
北市動藥販字0934,90537469,極地哈士奇有限公司,臺北市信義區中坡南路62號1樓,27276027
北市動藥販字0935,53105974,豐秀實業有限公司,臺北市中正區重慶南路3段36巷12之1號1樓,23037111
北市動藥販字0936,04610454,順華藥品工業股份有限公司,臺北市中正區重慶南路3段36巷12號1樓,23037111
北市動藥販字0937,04408775,武昌貿易有限公司,臺北市中山區南京西路13號8樓,25219097
