十碼章,醫院名稱,縣市別,行政區,地址,連絡電話
3501014225,弘光耳鼻喉科診所,63000,松山區,臺北市松山區民生東路4段117號,(02)27181177
3501014743,延壽耳鼻喉科診所,63000,松山區,臺北市松山區延壽街113號,(02)87878431
3501014823,澄東耳鼻喉科診所,63000,松山區,臺北市松山區三民路37號,(02)27420552
3501014976,駿昂耳鼻喉科診所,63000,松山區,臺北市松山區八德路二段395號,(02)87728086
3501015026,佑家診所,63000,松山區,臺北市松山區八德路三段233號,(02)25785658
3501020161,劉耳鼻喉科診所,63000,大安區,臺北市大安區復興南路2段151巷27號,(02)27546060
3501020625,黃禎祥診所,63000,大安區,臺北市大安區師大路７１號,(02)23626607
3501021391,全家聯合診所,63000,大安區,臺北市大安區和平東路2段353號2樓,(02)27067575
3501021480,林青穀家庭醫學科診所,63000,大安區,臺北市大安區大安路1段2-1號,(02)27317557
3501091133,羅志弘診所,63000,大同區,臺北市大同區重慶北路三段115號,(02)25921666
3501092890,建成診所,63000,大同區,臺北市大同區長安西路82號,(02)25500712
3501093057,中華民國防癆協會第一胸腔病防治所,63000,大同區,臺北市大同區民權西路104號2樓,(02)25538828
3501093093,延平耳鼻喉科診所,63000,大同區,臺北市大同區臺北市大同區重慶北路2段235-4號,(02)25536612
3501093299,羅源彰診所,63000,大同區,臺北市大同區長安西路137號,(02)25552500
3501093539,慶吉診所,63000,大同區,臺北市大同區重慶北路 3 段 209 號,(02)25973896
3501093557,澤康診所,63000,大同區,臺北市大同區重慶北路三段71號,(02)25960922
3501093584,建順診所,63000,大同區,臺北市大同區甘州街51號1樓,(02)25573250
3501093806,祥恩耳鼻喉科診所,63000,大同區,臺北市大同區民生西路195號,(02)25535185
3501093913,寧夏診所,63000,大同區,臺北市大同區民生西路236號,(02)25586060
3501100217,陳炯輝診所,63000,中山區,臺北市中山區民生東路二段103號,(02)25221796
3501101385,王三郎婦產科診所,63000,中山區,臺北市中山區中山北路2段166號之2 ,(02)25948758
3501101769,林錦祥耳鼻喉科診所,63000,中山區,臺北市中山區五常街91號,(02)25053069
3501101787,周賢章耳鼻喉科診所,63000,中山區,臺北市中山區中山區天祥路26號,(02)25213101
3501101849,北安聯合診所,63000,中山區,臺北市中山區北安路569之3號,(02)25337777
3501102622,宗北內科診所,63000,中山區,臺北市中山區民生西路24號2樓,(02)25411001
3501102720,陳正熹耳鼻喉科診所,63000,中山區,臺北市中山區雙城街10巷18號,(02)25857518
3501106559,杏慈診所,63000,中山區,臺北市中山區民權東路2段152號1F,(02)25013109
3501107047,哲民診所,63000,中山區,臺北市中山區中山區龍江路356巷24號,(02)25026854
3501107369,晴光診所,63000,中山區,臺北市中山區林森北路556號,(02)25853210
3501107565,雙連婦產科小兒科診所,63000,中山區,臺北市中山區民生西路30號4樓,(02)25560264
3501107574,榮星診所,63000,中山區,臺北市中山區龍江路272號,(02)25168112
3501107645,惟?診所,63000,中山區,臺北市中山區北安路607號、613號及595巷1號地下一層樓,(02)25323038
3501107725,大直佳恩診所,63000,中山區,臺北市中山區北安路591號,(02)25323301
3501108008,四季和安婦幼診所,63000,中山區,臺北市中山區林森北路452號地下1樓、458號及458號3樓 ,(02)25677310
3501108366,上直診所,63000,中山區,臺北市中山區北安路458巷41弄49號,(02)85091776
3501108482,詹益偉耳鼻喉科診所,63000,中山區,臺北市中山區北安路611號,(02)25334711
3501108535,麗安耳鼻喉科診所,63000,中山區,臺北市中山區龍江路289號1樓,(02)25068080
3501109130,李宜霖診所,63000,中山區,臺北市中山區296號、298號、308號3樓之5,(02)26582669
3501110080,陳森豊診所,63000,內湖區,臺北市內湖區環山路1段2號1樓,(02)27990361
3501110188,魏穀年診所,63000,內湖區,臺北市內湖區內湖路1段403號,(02)26572691
3501110231,康育診所,63000,內湖區,臺北市內湖區成功路3段189號,(02)27909134
3501110455,東湖張耳鼻喉科診所,63000,內湖區,臺北市內湖區康寧路3段169號,(02)26331864
3501110482,雙湖診所,63000,內湖區,臺北市內湖區金龍路49號1樓,(02)27910066
3501113750,禾馨內湖婦幼診所,63000,內湖區,臺北市內湖區民權東路六段42號5樓,(02)87921103
3501113778,禾安耳鼻喉科診所,63000,內湖區,臺北市內湖區康寧路一段75號,(02)87918066
3501113812,連安診所,63000,內湖區,臺北市內湖區內湖路1段619號及619號2樓,(02)26276705
3501113849,育睿診所,63000,內湖區,臺北市內湖區內湖路一段217巷35號,(02)26560801
3501113858,詠盛診所,63000,內湖區,臺北市內湖區東湖路43巷3號,(02)26318758
3501113929,禾馨民權婦幼診所,63000,內湖區,臺北市內湖區民權東路六段42號2樓,(02)55713333
3501114006,湖欣診所,63000,內湖區,臺北市內湖區成功路四段327號,(02)27918350
3501114042,新明診所,63000,內湖區,臺北市內湖區新明路386號,(02)87921282
3501114113,思維診所,63000,內湖區,臺北市內湖區文德路25號,(02)26575779
3501114122,陽光活力診所,63000,內湖區,臺北市內湖區瑞光路500號1樓,(02)87973828
3501114186,小禾馨民權小兒專科診所,63000,內湖區,臺北市內湖區行忠路191號,(02)27910233
3501114202,葫洲診所,63000,內湖區,臺北市內湖區康寧路三段35、37號,(02)26306606
3501114300,麗康診所,63000,內湖區,臺北市內湖區金湖路362號,(02)26342296
3501114328,瑞康診所,63000,內湖區,臺北市內湖區江南街96巷3號,(02)26599691
3501120200,翊群耳鼻喉科診所,63000,南港區,臺北市南港區南港區興東街29之1號1樓,(02)26512156
3501120228,蔣小兒科診所,63000,南港區,臺北市南港區玉成街166巷30號1樓,(02)26513761
3501120353,劉聖亞診所,63000,南港區,臺北市南港區興華路82號1樓,(02)27880713
3501120451,冠德耳鼻喉科診所,63000,南港區,臺北市南港區研究院路1段17號,(02)26519569
3501121583,中坡耳鼻喉科診所,63000,南港區,臺北市南港區中坡南路29號,(02)27850329
3501121592,陳勝吉診所,63000,南港區,臺北市南港區研究路一段115號1樓,(02)27836972
3501150575,鄭醫師診所,63000,士林區,臺北市士林區延平北路5段120號,(02)28127412
3501150806,何啟?診所,63000,士林區,臺北市士林區德行東路63號1樓,(02)28373890
2501180018,國軍臺北門診中心附設民眾診療服務處,63000,中正區,臺北市中正區紹興南街七號,(02)23918235
3501010012,榮恩耳鼻喉科小兒科聯合診所,63000,松山區,臺北市松山區南京東路5段258號,(02)27688749
3501010094,劉內兒科診所,63000,松山區,臺北市松山區民生東路5段148號,(02)27603922
3501010478,王俊彰耳鼻喉科診所,63000,松山區,臺北市松山區民生東路五段１７號,(02)27665698
3501010692,陳大昕耳鼻喉科診所,63000,松山區,臺北市松山區八德路四段100號,(02)27676349
3501010736,林忠志診所,63000,松山區,臺北市松山區南京東路5段291巷20弄3之3號,(02)27689577
3501010754,吳耳鼻喉科診所,63000,松山區,臺北市松山區三民路113巷1-1號,(02)27679897
3501010763,陳炳堅內科診所,63000,松山區,臺北市松山區延壽街327號,(02)27637199
3501010790,王世興醫師診所,63000,松山區,臺北市松山區八德路3段249號1樓,(02)25792361
3501010834,康瑞耳鼻喉科診所,63000,松山區,臺北市松山區八德路3段154號1樓,(02)25790045
3501010932,吳慶南內科診所,63000,松山區,臺北市松山區民生東5段138巷1號1樓,(02)27630322
3501010987,華南小兒科診所,63000,松山區,臺北市松山區延吉街30巷15號,(02)25786018
3501011260,江崇萍小兒科診所,63000,松山區,臺北市松山區南京東路五段２５１巷２４弄２７號,(02)27632260
3501021711,施崇仁耳鼻喉科診所,63000,大安區,臺北市大安區和平東路2段311巷13號,(02)27091100
3501021720,林繼國診所,63000,大安區,臺北市大安區忠孝東路3段217巷1弄12號,(02)27315568
3501022361,簡萬居耳鼻喉科診所,63000,大安區,臺北市大安區辛亥路1段28號,(02)23680279
3501022496,仁安診所,63000,大安區,臺北市大安區和平東路2段175巷34號,(02)27065995
3501022610,陳建銓耳鼻喉科診所,63000,大安區,臺北市大安區樂利路93號,(02)27365811
3501022825,萬通耳鼻喉科診所,63000,大安區,臺北市大安區延吉街64之2號1樓,(02)27518909
3501022843,啟誠聯合診所,63000,大安區,臺北市大安區和平東路二段120號,(02)23784380
3501023555,黃清浩耳鼻喉科診所,63000,大安區,臺北市大安區大安區光復南路430號,(02)27085413
3501025648,延吉診所,63000,大安區,臺北市大安區延吉街241巷2弄5號1樓,(02)27035082
3501027491,劉建宏診所,63000,大安區,臺北市大安區大安路二段139號,(02)27002368
3501027884,安吉耳鼻喉科診所,63000,大安區,臺北市大安區和平東路三段226號,(02)27385008
3501028050,許靜瑛小兒科診所,63000,大安區,臺北市大安區和平東路1段230號1樓,(02)23629088
3501028210,博安家庭醫學科診所,63000,大安區,臺北市大安區麗水街3號,(02)23567066
3501028845,那明珠診所,63000,大安區,臺北市大安區和平東路3段8號,(02)27360589
3501029351,邱醫師診所,63000,大安區,臺北市大安區和平東路3段288號,(02)27392696
3501029593,聖侯診所,63000,大安區,臺北市大安區樂業街139號,(02)27350220
3501029628,黃文香兒科診所,63000,大安區,臺北市大安區忠孝東路4段250號2樓之1,(02)27313305
3501029888,春暘診所,63000,大安區,臺北市大安區敦化南路2段46號16樓,(02)27019586
3501029922,健華診所,63000,大安區,臺北市大安區和平東路2段255號1樓,(02)27072990
3501029931,松德診所,63000,大安區,臺北市大安區四維路170巷16號1樓,(02)27073326
350102A107,夏爾診所,63000,大安區,臺北市大安區信義路4段265巷54號 ,(02)23255508
350102C576,小禾馨小兒專科診所,63000,大安區,臺北市大安區新生南路3段4號,(02)23698833
350102D135,李細祥內科診所,63000,大安區,臺北市大安區四維路198巷30弄5號,(02)27018159
350102F157,樂活診所,63000,大安區,臺北市大安區師大路12號,(02)23683883
350102F184,安東診所,63000,大安區,臺北市大安區和平東路2段98-1號,(02)23786111
350102F719,杏保醫網信誠診所,63000,大安區,臺北市大安區信義路4段197號,(02)27068208
3501090172,鈞生診所,63000,大同區,臺北市大同區甘州街28號,(02)25570048
3501090458,施小兒科診所,63000,大同區,臺北市大同區重慶北路3段28號,(02)25941935
3501103076,德容聯合診所,63000,中山區,臺北市中山區吉林路197號,(02)25643076
3501103272,大直診所,63000,中山區,臺北市中山區北安路595巷2弄2號,(02)25332339
3501103334,德美診所,63000,中山區,臺北市中山區北安路596號1樓,(02)25326618
3501103414,正恩耳鼻喉科診所,63000,中山區,臺北市中山區錦州街321號,(02)25052293
3501103503,龍江小兒科診所,63000,中山區,臺北市中山區龍江路181－1號1樓,(02)25152433
3501103665,寧康聯合診所,63000,中山區,臺北市中山區遼寧街224號,(02)25013862
3501103790,潘外科內科診所,63000,中山區,臺北市中山區長春路135之1號2樓,(02)25711993
3501103978,吳振力診所,63000,中山區,臺北市中山區長春路309號,(02)25095909
3501104091,慶恩小兒科診所,63000,中山區,臺北市中山區吉林路117號,(02)25683199
3501104304,蔡國賢耳鼻喉科診所,63000,中山區,臺北市中山區長安東路2段108之2號1樓,(02)25178178
3501104322,民生承安診所,63000,中山區,臺北市中山區民生東路3段90號,(02)25032633
3501104742,光華家醫科診所,63000,中山區,臺北市中山區松江路21號,(02)25063981
3501105310,高固?診所,63000,中山區,臺北市中山區北安路613號,(02)25323036
3501105445,莊宇龍診所,63000,中山區,臺北市中山區北安路637號,(02)25331255
3501105543,長春耳鼻喉科診所,63000,中山區,臺北市中山區民生東路二段110號1樓,(02)25235575
3501105767,愛鄰診所,63000,中山區,臺北市中山區北安路520之1號,(02)25322333
3501106102,中山民權王耳鼻喉科診所,63000,中山區,臺北市中山區中山北路二段166號之2,(02)25948759
3501106111,信安診所,63000,中山區,臺北市中山區中山區民生西路24號3樓,(02)25118112
3501106264,農安診所,63000,中山區,臺北市中山區農安街62號,(02)25978590
3501110679,施耳鼻喉科診所,63000,內湖區,臺北市內湖區東湖路127號1樓,(02)26331018
3501110777,林永正診所,63000,內湖區,臺北市內湖區康樂街130號,(02)26315567
3501110928,成功耳鼻喉科診所,63000,內湖區,臺北市內湖區成功路四段16號1樓,(02)27940064
3501110982,馬思特診所,63000,內湖區,臺北市內湖區成功路4段53號1樓,(02)27925994
3501112771,東湖謝耳鼻喉科診所,63000,內湖區,臺北市內湖區東湖路148號,(02)26332605
3501112851,日新診所,63000,內湖區,臺北市內湖區成功路5段446號,(02)26342743
3501112860,林孟勳診所,63000,內湖區,臺北市內湖區成功路四段61巷32弄2號1樓,(02)87920955
3501112904,成安耳鼻喉科診所,63000,內湖區,臺北市內湖區成功路4段61巷10號,(02)27935940
3501112913,薈安診所,63000,內湖區,臺北市內湖區內湖區江南街6號,(02) 26578803
3501113072,加安耳鼻喉科診所,63000,內湖區,臺北市內湖區內湖路一段401號,(02)26277869
3501113090,誠康診所,63000,內湖區,臺北市內湖區內湖路1段585號1樓,(02)26572585
3501113134,焉醫師診所,63000,內湖區,臺北市內湖區內湖路2段357之1號,(02)27932008
3501113321,林登山耳鼻喉科診所,63000,內湖區,臺北市內湖區文德路96號1樓,(02)26596638
3501113330,仁弘耳鼻喉科診所,63000,內湖區,臺北市內湖區內湖路一段737巷50弄37號1樓,(02)26596360
3501113410,康樂診所,63000,內湖區,臺北市內湖區康樂街82號1樓,(02)26308800
3501113456,杜耳鼻喉科診所,63000,內湖區,臺北市內湖區成功路四段222號,(02)27906738
3501151018,林博通醫師診所,63000,士林區,臺北市士林區通河街60號,(02)28851148
3501151054,德泰耳鼻喉科診所,63000,士林區,臺北市士林區通河街42之1號,(02)28851570
3501151161,蘇慧卿診所,63000,士林區,臺北市士林區大南路274號,(02)28829955
3501151269,粱耳鼻喉科診所,63000,士林區,臺北市士林區社正路12之1號,(02)28168456
3501151849,忠誠聯合診所,63000,士林區,臺北市士林區德行東路109巷102弄6號,(02)88661176
3501151901,慈田耳鼻喉科診所,63000,士林區,臺北市士林區延平北路五段185號1樓,(02)28123595
3501151938,何小兒科診所,63000,士林區,臺北市士林區福港街176號,(02)28827401
3501152006,陳彥銘耳鼻喉科診所,63000,士林區,臺北市士林區士東路12號之1,(02)28381770
3501153496,杏暉診所,63000,士林區,臺北市士林區社子街15號,(02)28117094
3501153665,張虔熙小兒科診所,63000,士林區,臺北市士林區中山北路六段282號,(02)28361368
3501153745,愛林診所,63000,士林區,臺北市士林區承德路四段222號,(02)28836881
3501160973,蔡秉勳小兒科診所,63000,北投區,臺北市北投區中和街281號,(02)28966525
3501160982,清田婦產科家醫科診所,63000,北投區,臺北市北投區中和街２６８號,(02)28931323
3501160991,張參雄診所,63000,北投區,臺北市北投區光明路166號,(02)28926555
3501161032,陳獻明小兒科診所,63000,北投區,臺北市北投區中央南路1段69號,(02)28928950
3501161121,邱耳鼻喉科診所,63000,北投區,臺北市北投區石牌路一段二十三號,(02)28279222
3501161185,李伯匯小兒科診所,63000,北投區,臺北市北投區石牌路一段93號1F,(02)28221212
3501161238,祐民聯合診所,63000,北投區,臺北市北投區中央南路一段207號,(02)28951301
3501161363,昱德聯合診所,63000,北投區,臺北市北投區光明路102號,(02)28975050
3501161372,萬泰診所,63000,北投區,臺北市北投區中央北路二段52號,(02)28230727
3501161505,慈恩耳鼻喉科診所,63000,北投區,臺北市北投區中央南路一段十三號,(02)28978787
3501162664,王永良診所,63000,北投區,臺北市北投區自強街94號,(02)28227287
3501162673,翰譽耳鼻喉科診所,63000,北投區,臺北市北投區中央南路一段189號,(02)28959986
3501162806,康田診所,63000,北投區,臺北市北投區自強街76號,(02)28210988
3501162879,陳珀勳診所,63000,北投區,臺北市北投區明德路85號,(02)28206263
3501162940,何叔芳小兒科診所,63000,北投區,臺北市北投區裕民四路4號1樓,(02)28206886
3501163036,黃正宏診所,63000,北投區,臺北市北投區西安街1段359號,(02)28217076
3501163072,宏恩兒科診所,63000,北投區,臺北市北投區致遠一路2段99號,(02)28271110
3501163170,黃浩魁小兒科診所,63000,北投區,臺北市北投區中央北路一段168號,(02)28983256
3501163232,陳柏宏親子診所,63000,北投區,臺北市北投區明德路124號,(02)28225257
3501163241,陳信方小兒科診所,63000,北投區,臺北市北投區北投區明德路106號,(02)28201068
3501163303,慧捷診所,63000,北投區,臺北市北投區中央北路3段59號,(02)28975183
3501163312,臺北欣安耳鼻喉科診所,63000,北投區,臺北市北投區石牌路一段152號,(02)28210501
3501163438,鄭宇廷耳鼻喉科診所,63000,北投區,臺北市北投區中央北路1段94號,(02)28916835
3501163509,常哲診所,63000,北投區,臺北市北投區明德路157之4號,(02)28285515
3501170255,朱耳鼻喉科診所,63000,信義區,臺北市信義區忠孝東路5段452號,(02)27209172
3501170835,黃啟彰診所,63000,信義區,臺北市信義區松山路261之1號,(02)27696218
3501170979,劉彥煌耳鼻喉專科診所,63000,信義區,臺北市信義區莊敬路462號1F,(02)27229173
3501171010,王寬仁診所,63000,信義區,臺北市信義區虎林街121巷11號1樓,(02)27204952
3501171092,春田耳鼻喉科診所,63000,信義區,臺北市信義區光復南路555號,(02)27297135
3501171225,張育驍診所,63000,信義區,臺北市信義區吳興街467巷2弄4號6號12號1樓,(02)27291011
3501171716,長風小兒科診所,63000,信義區,臺北市信義區莊敬路351號1樓,(02)27227943
3501172848,松仁耳鼻喉科診所,63000,信義區,臺北市信義區松仁路231號,(02)87808580
3501172964,永吉聯合診所,63000,信義區,臺北市信義區永吉路329號1、2樓及331號1、2樓,(02)27618780
3501181810,周正成小兒科診所,63000,中正區,臺北市中正區徐州路24號1樓,(02)23516830
3501181918,丞泰耳鼻喉科診所,63000,中正區,臺北市中正區南昌路一段78號,(02)23973668
3501181945,蕭耳鼻喉科診所,63000,中正區,臺北市中正區汀州路2段261號,(02)23653284
3501183056,池振坤耳鼻喉科診所,63000,中正區,臺北市中正區南昌路一段88號2樓,(02)23972684
3501183547,怡和診所,63000,中正區,臺北市中正區汀州路2段212號,(02)23625100
3501183592,奕康耳鼻喉科診所,63000,中正區,臺北市中正區雲街72號2樓,(02)23212788
3501183789,李世輝耳鼻喉科診所,63000,中正區,臺北市中正區南昌路1段79號,(02)23979639
3501183850,健康101診所,63000,中正區,臺北市中正區牯嶺街97號1樓,(02)23645143
3501184393,悅心診所,63000,中正區,臺北市中正區羅斯福路2段7之2號、7之3號,(02)23961008
3501184731,禾馨婦產科診所,63000,中正區,臺北市中正區中正區懷寧街78號、78號2樓,(02)23612323
3501185425,宜康診所,63000,中正區,臺北市中正區新生南路一段148號,(02)23417696
3501185658,立光診所,63000,中正區,臺北市中正區博愛路76號2樓,(02)23112276
3501185676,和眾綜合診所,63000,中正區,臺北市中正區忠孝西路一段6號1樓,(02)23817866
3501185827,李明儒耳鼻喉科診所,63000,中正區,臺北市中正區中華路二段341號,(02)23038181
3501186011,鈞安診所,63000,中正區,臺北市中正區中華路二段431號,(02)23092030
3501192144,盧漢隆耳鼻喉科診所,63000,萬華區,臺北市萬華區環河南路二段197號,(02)23361363
3501192162,萬華蔡耳鼻喉科診所,63000,萬華區,臺北市萬華區昆明街312-1號,(02)23063897
3501192251,漢宗小兒科診所,63000,萬華區,臺北市萬華區中華路2段434號,(02)23039022
3501192420,慧洋診所,63000,萬華區,臺北市萬華區莒光路125號,(02)23020209
3501192528,聖約翰婦產科診所,63000,萬華區,臺北市萬華區東園街175號,(02)23098502
3501200534,興隆內科小兒科診所,63000,文山區,臺北市文山區興隆路二段17號,(02)29311736
3501200785,陳建業診所,63000,文山區,臺北市文山區景文街86號、90巷1號,(02)29358181
3501200927,景升診所,63000,文山區,臺北市文山區興隆路2段93之1號,(02)29351705
3501200963,葉洪小兒科診所,63000,文山區,臺北市文山區興隆路三段202號,(02)22300055
3501201004,洪佑承小兒專科診所,63000,文山區,臺北市文山區興隆路四段64之2號1樓,(02)29364708
3501201095,德安小兒科診所,63000,文山區,臺北市文山區興隆路四段6-10號1樓,(02)29395299
3501201219,官世英診所,63000,文山區,臺北市文山區景興路45號,(02)86638189
3501201228,慈幼診所,63000,文山區,臺北市文山區指南路２段２１號１樓,(02)22344815
3501201237,平安耳鼻喉科診所,63000,文山區,臺北市文山區木新路3段106號,(02)86611963
3501202467,瑞萱診所,63000,文山區,臺北市文山區景華街124號,(02)29305313
3501202510,徐慧玲診所,63000,文山區,臺北市文山區興隆路四段97號1樓,(02)22340000
3501202592,震杰小兒科診所,63000,文山區,臺北市文山區景興路129號1樓,(02)89351869
3501202636,黃偉志小兒科診所,63000,文山區,臺北市文山區萬慶街12號1樓,(02)29354556
3501202798,定安診所,63000,文山區,臺北市文山區景興路165號,(02)29323755
3501202823,林正豐診所,63000,文山區,臺北市文山區保儀路25號,(02)29363665
3501202912,王令時內科診所,63000,文山區,臺北市文山區興隆路二段200號,(02)29326912
3501202949,林坤霖耳鼻喉科診所,63000,文山區,臺北市文山區羅斯福路六段14號,(02)86633288
3501202967,東翰診所,63000,文山區,臺北市文山區興隆路二段139號,(02)29308330
3501203080,秀心診所,63000,文山區,臺北市文山區保儀路26巷1號2樓之1,(02)29383838
3501203106,王家庭醫學科診所,63000,文山區,臺北市文山區萬安街９號,(02)82301875
3501121627,天仁小兒科診所,63000,南港區,臺北市南港區成福路21號,(02)26539467
3501121725,義仁兒科診所,63000,南港區,臺北市南港區玉成街138號1樓,(02)26515929
3501121743,永育醫療福德診所,63000,南港區,臺北市南港區福德街313號,(02)27850700
3501121814,李文珍小兒科診所,63000,南港區,臺北市南港區研究院路2段74號,(02)26511871
3501121823,天仁健康診所,63000,南港區,臺北市南港區成福路21號,(02)27862687
3501121832,維康診所,63000,南港區,臺北市南港區研究院路二段84巷1號,(02)26517748
3501121912,泓安耳鼻喉科診所,63000,南港區,臺北市南港區興華路75號,(02)27831083
3501122124,友力耳鼻喉科診所,63000,南港區,臺北市南港區忠孝東路5段970號,(02)27853913
3501122142,松展診所,63000,南港區,臺北市南港區忠孝東路6段110巷18號,(02)27631373
3501150226,健原診所,63000,士林區,臺北市士林區中正路627號,(02)28116409
3501150413,柯耳鼻喉科診所,63000,士林區,臺北市士林區大東路144號,(02)28828825
3501150422,存德小兒科診所,63000,士林區,臺北市士林區文林路460號,(02)28342567
3501154180,士林小兒科診所,63000,士林區,臺北市士林區中正路249號,(02)28812485
3501154215,和謙耳鼻喉科診所,63000,士林區,臺北市士林區社中街362號,(02)28165678
3501154279,科安診所,63000,士林區,臺北市士林區士林區社中街116號,(02)28110699
3501154288,天母康健身心診所,63000,士林區,臺北市士林區德行西路100號,(02)28378787
3501154420,榮清耳鼻喉科診所,63000,士林區,臺北市士林區文林路483號1樓,(02)28316878
3501154448,耀明診所,63000,士林區,臺北市士林區中正路322號,(02)28320657
