序號,機構名稱,郵遞區號,地址,電話
25,又喜明眼科診所,104,臺北市中山區北安路594號(1樓),02-25323089
26,優視眼科診所,104,臺北市中山區民生東路一段30號2樓,2568-1718
27,聚英視光眼科診所,104,臺北市中山區民權東路3段46號1樓、48號1樓、54號1樓及56號1樓,2502-5091
28,德容聯合診所,104,臺北市中山區吉林路197號、197號2樓,(02) 2564-3076
29,蔡瓊瑤眼科診所,104,臺北市中山區龍江路２７１巷６號,(02) 2505-9276
30,長春眼科聯合診所,104,臺北市中山區建國北路二段６６號,(02) 2517-7060
31,三軍總醫院松山分院附設民眾診療服務處,105,臺北市松山區健康路１３１號,(02) 2746-2151
32,長庚醫療財團法人台北長庚紀念醫院,105,臺北市松山區敦化北路199號(暫未開放)、197號(暫未開放)、臺北市松山區敦化北路199巷6號、 臺北市松山區民生東路三段130巷9號2、3、B1、B2樓、臺北市松山區南京東路3段337號5、6、9、10樓。,(02) 2713-5211
33,基督復臨安息日會醫療財團法人臺安醫院,105,"臺北市松山區八德路二段424,426號",(02) 2771-8151
34,博仁綜合醫院,105,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,(02) 2578-6677
35,林志聖眼科診所,105,臺北市松山區三民路１４０號,(02) 2769-2376
36,尚群眼科診所,105,臺北市松山區南京東路五段４３號１樓,(02) 2749-3176
37,傅眼科診所,105,臺北市松山區八德路三段156號3樓,(02) 2577-2112
38,方一強眼科診所,105,臺北市松山區民生東路四段１０１號２樓,(02) 8712-6815
39,日聖眼科診所,105,臺北市松山區新中街３５號,2746-5068
40,奧斯卡眼科診所,105,臺北市松山區敦化南路1段7號2樓及3樓之1,2570-2299
41,怡碩視光眼科診所,105,臺北市松山區復興北路313巷28號,2546-2219
42,松山信合美眼科診所,105,臺北市松山區三民路      9號、9之3號、9之4號、9之5號、9之6號、9之8號,2756-2626
43,?眼明眼科診所,105,臺北市松山區南京東路三段309號2樓,2712-0777
44,松山大愛眼科診所,105,臺北市松山區南京東路五段269號1、2、3樓,2633-0142
45,聖光眼科診所,105,臺北市松山區南京東路四段181、183號,02-2718-3663
46,曹眼科診所,106,臺北市大安區和平東路二段２６９號２樓,(02) 2705-6576
47,東方美學診所,106,臺北市大安區信義路4段63號4樓,(09) 6622-3098
48,宏恩醫療財團法人宏恩綜合醫院,106,臺北市大安區仁愛路四段71巷1號、仁 愛路四段61號、仁愛路四段91巷16號,(02) 2771-3161
49,中心診所醫療財團法人中心綜合醫院,106,臺北市大安區忠孝東路四段７７號,(02) 2751-0221
50,國泰醫療財團法人國泰綜合醫院,106,臺北市大安區仁愛路四段266巷6號，280號,(02) 2708-2121
51,敦南諾貝爾眼科診所,106,臺北市大安區敦化南路1段216號3樓,2740-0960
52,朝沐和安診所,106,臺北市大安區仁愛路4段137號6樓之1,02-27754606
53,仁愛濰視眼科診所,106,臺北市大安區復興南路1段 243號3樓、3樓之1,(02)2703-3168
54,宸光眼科診所,106,臺北市大安區信義路4段199巷13號1樓,(02)2701-9168
55,董曉青眼科診所,106,臺北市大安區安和路二段69巷6號2樓,(02) 2738-3591
56,劉達昌眼科診所,106,臺北市大安區和平東路三段２３８號,(02) 2732-3792
57,大學眼科診所,106,臺北市大安區新生南路3段54之3號1樓、54巷2號2樓、54巷2號2樓之1,02-23688055
58,通化延吉診所,106,臺北市大安區信義路四段２６５巷３６號,2705-9009
59,忠孝大學眼科診所,106,臺北市大安區忠孝東路4段178號1樓、178號2樓、178之1號1樓、178之1號2樓,2740-7890
60,和平大愛眼科診所,106,臺北市大安區和平東路一段六號二樓,2365-2727
61,長松眼科診所,106,臺北市大安區大安路一段一二六巷一號,2740-2102
62,中山醫療社團法人中山醫院,106,臺北市大安區仁愛路四段112巷11號、12號、13弄6、8號1樓,02-27081166
63,國立臺灣大學醫學院附設醫院癌醫中心分院,106,臺北市大安區基隆路 3段155巷57號,02-23220322
64,王暉政眼科診所,106,臺北市大安區師大路１１０號１Ｆ,(02) 2362-9033
65,星星親子眼科診所,106,臺北市大安區信義路三段114號2樓,2708-0809
66,永悅診所,106,臺北市大安區忠孝東路四段50號7樓,2731-1949
67,珍世明眼科診所,106,臺北市大安區信義路4段98號2樓,2755-2298
68,優爾視眼科診所,106,臺北市大安區敦化南路一段283號2樓、2樓之1,2708-6609
69,和欣視光眼科診所,106,臺北市大安區和平東路3段274號(實際營業地址:1樓、地下層),2738-1568
70,大安聚英視光眼科診所,106,臺北市大安區金山南路2段2號3樓,02-33936868
71,大安眼科診所,106,臺北市大安區和平東路1段258號,02-23656363
72,大安?眼明眼科診所,106,臺北市大安區復興南路1段103號2樓之1,2778-1988
73,尹書田醫療財團法人書田泌尿科眼科診所,106,臺北市大安區建國南路2段276號1樓、2樓、4樓、4樓之1、B1、B1之1、278號1樓,2369-0211
74,陽光眼科診所,108,臺北市萬華區貴陽街二段81號、83號2樓,02-23716961
75,光晶妍寶島眼科診所,108,臺北市萬華區萬大路355號1樓(含夾層),2301-3556
76,日光眼科診所,108,臺北市萬華區和平西路三段85號(實際營業地址：1、2樓),2306-3789
77,吳淑芬眼科診所,108,臺北市萬華區環河南路二段195號,2306-0328
78,好視多眼科診所,108,臺北市萬華區萬大路257號,2339-2100
79,視強眼科診所,108,臺北市萬華區中華路二段５９８號之４,(02) 2307-5344
80,鄭眼科診所,108,臺北市萬華區莒光路１２３號,(02) 2308-1086
81,財團法人台灣省私立台北仁濟院附設仁濟醫院,108,臺北市萬華區廣州街２００，２４３號,(02) 2302-1131
82,西園醫療社團法人西園醫院,108,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,02-23329888
83,國立臺灣大學醫學院附設醫院北護分院,108,臺北市萬華區康定路３７號、臺北市萬華區內江街87號、臺北市萬華區內江街87號、臺北市萬華區內江街89號 (文教大樓1樓及供應樓1至2樓),(02) 2371-7101
84,新眼光眼科診所,110,臺北市信義區忠孝東路五段508之1號及518號,2346-0266
85,遠見眼科診所,110,臺北市信義區信義路5段7號84樓之1,
86,合安眼科診所,110,臺北市信義區基隆路2段189號,2378-8288
87,晶愛眼科診所,110,臺北市信義區莊敬路454號、454號2樓,02-87809696
88,陳逸川眼科診所,110,臺北市信義區松德路89號(1樓)及松德路95號、97號1樓,2346-6262
89,德明眼科診所,110,臺北市信義區松山路二一二號,2766-9980
90,101諾貝爾眼科診所,110,臺北市信義區信義路5段18號1樓(含夾層),02-27582889
91,黎明眼科診所,110,臺北市信義區忠孝東路五段135號七樓,2762-5333
92,吳潮峰眼科診所,110,臺北市信義區永吉路３４１號１Ｆ,(02) 2761-9240
93,高眼科診所,110,臺北市信義區莊敬路２１６號１Ｆ,(02) 2758-9595
94,臺北醫學大學附設醫院,110,臺北市信義區吳興街２５2號、250號,(02) 2737-2181
95,保安眼科診所,111,臺北市士林區大東路44號,2883-2868
96,明澄眼科診所,111,臺北市士林區劍潭路68號1樓,(02)2885-8186
97,天母忠明2020眼科診所,111,臺北市士林區天母西路10號2樓之1、2樓之4,2873-2020
98,元群眼科診所,111,"臺北市士林區文林路437號1,2樓",2888-1711
99,志明眼科診所,111,臺北市士林區天母東路8巷83號,2874-3105
100,祐聖眼科診所,111,臺北市士林區延平北路五段３１６號,(02) 2811-8583
101,士林眼科診所,111,臺北市士林區文林路488之1號4樓,(02) 2836-4668
102,葉眼科診所,111,臺北市士林區延平北路5段173號(實際使用1、2層）,02-28129595
103,橙光耳鼻喉科診所,111,臺北市士林區大南路284號1樓、286號1樓,02-28883222
104,境靜眼科診所,111,臺北市士林區中山北路5段626號1樓,02-28322382
105,士林大學眼科診所,111,臺北市士林區文林路496號(含夾層)、498號(含夾層)、500號及500號2樓,02-28316938
106,吳俊昇眼科診所,111,臺北市士林區中山北路六段４３4號１樓,(02) 2873-4987
107,梁如蘭眼科診所,111,臺北市士林區中山北路六段２６６號１樓,(02) 2833-8539
108,張松柏眼科診所,111,臺北市士林區忠誠路二段58號2樓,(02) 2835-7668
109,新光醫療財團法人新光吳火獅紀念醫院,111,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號、臺北市士林區基河路252號1樓,(02) 2833-2211
110,佳視得眼科診所,111,臺北市士林區天母北路11-1號1樓,02-28756230
111,陳如芬眼科診所,112,臺北市北投區石牌路一段50號(1、2樓),(02) 2822-3745
112,怡鳴眼科診所,112,臺北市北投區中央北路一段一三六號一樓,02-28954952
113,臺北榮民總醫院,112,臺北市北投區石牌路二段201號、322號,(02) 2871-2121
114,牛津眼科診所,112,臺北市北投區石牌路2段364號1樓及366號1樓,02-28756586
115,倍視眼科診所,112,臺北市北投區西安街一段357號(實際使用:1樓),02-28282020
116,劉怜瑛眼科診所,112,臺北市北投區裕民六路126號,02-28250126
117,孫劍鴻眼科診所,112,臺北市北投區東華街一段392號1樓,"02-28235931,28201913"
118,王景平眼科診所,112,臺北市北投區中央南路一段205號,2894-6580
119,臺北市立聯合醫院附設北投門診部,112,臺北市北投區新市街30號5樓,2891-2670
120,昱新眼科診所,112,臺北市北投區光明路一○四號一樓,02-28919380
121,振興醫療財團法人振興醫院,112,臺北市北投區振興街４５號,(02) 2826-4400
122,醫療財團法人辜公亮基金會和信治癌中心醫院,112,臺北市北投區立德路１２５號,02-28970011
123,中國醫藥大學附設醫院臺北分院,114,臺北市內湖區內湖路二段360號、362號,02-27919696
124,魏穀年診所,114,臺北市內湖區內湖路一段４０３號,(02) 2657-2691
125,宋小兒科診所,114,臺北市內湖區內湖路二段２５號,(02) 2799-9366
126,鑫美光視光眼科診所,114,"臺北市內湖區內湖路1段	512號1樓",8791-9990
127,展欣眼科診所,114,臺北市內湖區金湖路382號（1樓）,02-26342538
128,禾馨眼科診所,114,臺北市內湖區行忠路195號1、2樓,2790-3833
129,內湖大學眼科診所,114,臺北市內湖區文德路100號1、2樓,2795-1001
130,內湖翰林眼科診所,114,臺北市內湖區成功路3段183號2樓,8792-2296
131,哈佛眼科診所,114,臺北市內湖區基湖路10巷66號1樓,2627-0707
132,陳喬鴻眼科診所,114,臺北市內湖區內湖路一段300號3樓之2、3樓之3,8751-5125
133,宏仁眼科診所,114,臺北市內湖區環山路一段2號,2799-0361
134,大愛眼科診所,114,臺北市內湖區東湖路15號1樓,2631-2338
135,東湖眼科診所,114,臺北市內湖區東湖路137號,2633-6728
136,國泰醫療財團法人內湖國泰診所,114,臺北市內湖區瑞光路337號(1、2、3、4樓),02-87972121
137,成功眼科診所,114,臺北市內湖區成功路四段２８號４樓之２,(02) 2793-3544
138,吳振光眼科診所,114,臺北市內湖區成功路四段四十二號三樓、五樓,(02) 2792-5399
139,三軍總醫院附設民眾診療服務處,114,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,
140,湯眼科診所,115,臺北市南港區研究院路一段１６９號１樓,(02) 2788-8739
141,南港諾貝爾眼科診所,115,臺北市南港區忠孝東路五段980號(1、2樓),7709-7388
142,李信成眼科診所,116,臺北市文山區興隆路四段54之7號1樓,2937-5637
143,旭明眼科診所,116,臺北市文山區景興路203號,02-86638683
144,蘇黎世診所,116,臺北市文山區興隆路3段28號(1樓、2樓),(09) 8381-7697
145,文山上明眼科診所,116,臺北市文山區興隆路2段198號(1樓)、196號2樓之1,
146,晶贊眼科診所,116,臺北市文山區興隆路3段73號(1樓、2樓),02-29325558
147,達特楊璟美眼科診所,116,臺北市文山區羅斯福路6段292號1樓,
148,臺北市立萬芳醫院-委託臺北醫學大學辦理,116,臺北市文山區興隆路三段111號,(02) 2930-7930
149,慈慧內科眼科聯合診所,116,臺北市文山區羅斯福路五段264號,(02) 2932-8036
150,瀚霖眼科診所,116,臺北市文山區興隆路二段６７號,(02) 2933-3771
151,目欣眼科診所,116,臺北市文山區木新路二段１２０號,(02) 2939-1900
152,高鳴傑 眼科診所,116,臺北市文山區木新路三段223號,(02) 2937-6108
153,陳啟義眼科診所,116,臺北市文山區興隆路三段204號１樓,02 22395988
154,景福眼科診所,116,臺北市文山區羅斯福路六段318號,2395-8620
