序號,行政區域代碼,診所名稱,地址,電話
34,63000050,沐慕身心診所,臺北市中山區四平街20號5樓,02-25817765
35,63000050,慶生診所,臺北市中山區林森北路561號2樓之7及之8,02-25963456
36,63000050,黃雅芬兒童心智診所,臺北市中山區南京西路5之1號12樓之1,02-25675690
37,63000050,鈺璽診所,臺北市中山區南京東路二段132號4樓,02-25095569
38,63000050,振芝心身醫學診所,臺北市中山區復興北路282號2樓,02-55963919
39,63000050,振芝沃本診所,臺北市中山區復興北路290號2樓之1,02-2502-2205
40,63000050,新田身心診所,臺北市中山區復興北路344號2樓,02-25000301
41,63000050,得心身醫學台北總診所,臺北市中山區復興北路60號3樓之2,02-227510089
42,63000050,心禾診所,臺北市中山區復興北路92號11樓、11樓之1,02-27506122
43,63000050,偉俐民生診所,臺北市中山區龍江路245號(1樓),02-25168123
44,63000050,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,臺北市中正區永綏街8至14號,02-23111525
45,63000050,永康身心診所,臺北市中正區金山南路1段127號1樓,02 2358 1818
46,63000050,孫睿亮診所,臺北市中正區金山南路一段１２１號,02-223926233
47,63000050,蘭心診所,臺北市中正區南昌路二段11號、15號,02-23515995
48,63000050,大心古亭診所,臺北市中正區南昌路二段206號5樓之1,02-23676883
49,63000050,慢活靜心診所,臺北市中正區博愛路105號3樓,02-7752-9829
50,63000050,平安身心精神科診所,臺北市中正區羅斯福路三段218號,02-23680055
51,63000100,內湖身心精神科診所,臺北市內湖區內湖路1段439號1樓,02-26271028
52,63000100,抱抱心身醫學診所,臺北市內湖區文德路70號1樓及72號(1樓),02-87974422
53,63000100,夏一新身心精神科診所,臺北市內湖區成功路三段143號4樓,02-87928213
54,63000100,林威廷身心精神科診所,臺北市內湖區東湖路10號,02-26308128
55,63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號(1、2、3、4樓),02-87972121
56,63000080,木柵身心診所,臺北市文山區辛亥路四段246號,02-29301550
57,63000080,方舟身心診所,臺北市文山區興隆路3段84號2樓,02-29308080
58,63000080,誠心身心醫學診所,臺北市文山區羅斯福路6段138號1樓,02-86631380
59,63000080,和沛身心醫學診所,臺北市文山區羅斯福路五段232號,02-29350330
60,63000120,奇岩身心診所,臺北市北投區中央南路一段191、193號,02-28919008
61,63000120,石牌鄭身心醫學診所,臺北市北投區石牌路一段69號(實際使用:1、2樓),02-28229183
62,63000120,北辰身心醫學診所,臺北市北投區光明路2巷9之3號1樓、9之3號2樓,02-28925500
63,63000120,舒眠身心醫學診所,臺北市北投區自強街141巷17號1樓,02-28214412
64,63000120,辰寧身心醫學診所,臺北市北投區裕民一路40巷31號1樓,02-28236019
65,63000010,樂康診所,臺北市松山區八德路3段 213號(1樓),02-25788360
66,63000010,劉宗憲身心診所,臺北市松山區八德路3段134號(1、2樓),02-25794888
67,63000010,李政洋身心診所,臺北市松山區三民路84號(1樓),02-27620086
68,63000010,邱楠超診所,臺北市松山區延吉街20號1樓,02-25702296
69,63000010,新澄診所,臺北市松山區南京東路3段305號7樓,
70,63000010,蔚禾身心診所,臺北市松山區南京東路4段106號5樓,02-2570-1768
71,63000010,昱捷診所,臺北市松山區南京東路4段143號5樓,02-27002709
72,63000010,得悅身心診所,臺北市松山區南京東路4段47號2樓,02-25468086
73,63000010,双悅診所,臺北市松山區南京東路5段163之1號(1、2樓),02-27609122
74,63000010,靜萱身心診所,臺北市松山區健康路118號(1樓),02 2715 0393
75,63000020,長源身心診所,臺北市信義區永吉路525號1樓,02 2765 5077
76,63000020,伯特利身心診所,臺北市信義區光復南路421號2樓,02-27200938
77,63000020,新佑泉診所,臺北市信義區忠孝東路5段508之4號,02-23465772
78,63000020,圓舞曲身心診所,臺北市信義區忠孝東路5段71巷32弄1號1樓,02-27666200
79,63000020,聿康診所,臺北市信義區忠孝東路五段250號2樓,02-87867727
80,63000020,松德精神科診所,臺北市信義區松德路108號,02-87894477
81,63000020,太陽雨信義身心診所,臺北市信義區莊敬路176號(1樓),02-77015667
82,63000020,信義身心精神科診所,臺北市信義區莊敬路412號,02-27580988
83,63000090,開馨診所,臺北市南港區南港路二段38巷6之1號,02-26532987
84,63000070,福全身心科診所,臺北市萬華區中華路二段600號,02-23327712
85,63000070,萬華維沐身心診所,臺北市萬華區西藏路113號1樓,02-23035690
86,63000070,萬華身心精神科診所,臺北市萬華區和平西路3段142號,02-23088878
