機構名稱,行政區代碼,理事長,屆期,郵遞區號,地址,電話,傳真,電子郵件,立案字號,成立日期,經度,緯度,機關代碼,提供單位,上傳日期
臺北市信義區黎平社區發展協會,63000020,周貴久,4,110,臺北市信義區黎平里和平東路三段435巷32-4號4樓,0936-337385,,sixsix0128@yahoo.com.tw,北市社區字第0432號,1040415,121.5563656,25.0233525,379120000J,人民團體科,1040709
臺北市信義區黎順社區發展協會,63000020,林文杰,2,110,臺北市信義區黎順里崇德街15號,(02)23770037,,t35152@gmail.com,北市社區字第0505號,1090108,,,379120000J,人民團體科,1090325
臺北市信義區黎雙社區發展協會,63000020,林靜美,2,110,臺北市信義區雙和里吳興街284巷24弄16號1樓,27389750,,,北市社七字第09743667200號,0971105,121.5638510,25.0239529,379120000J,人民團體科,1020523
臺北市信義區興雅社區發展協會,63000020,馬強,1,110,臺北市信義區興雅里基隆路一段143號3樓之3,0937-086546,,,北市社區字第0561號,1140526,,,379120000J,人民團體科,1140704
臺北市信義區興雅祥社區發展協會,63000020,宋美玲,2,110,臺北市信義區雅祥里基隆路一段35巷9弄2號,,,,,,,,379120000J,人民團體科,1140416
臺北市信義區雙和社區發展協會,63000020,宋祥輝,9,110,臺北市信義區雙和里吳興街284巷24弄12號,02-27381447,(02)87328206,,北市社七字第42175號,0810920,121.5630768,25.0243627,379120000J,人民團體科,1060303
臺北市信義區雙春社區發展協會,63000020,白雅雯,3,110,臺北市信義區長春里松山路294號2樓,27695123,(02)27607370,,北市社七字第10448997900號,1041122,121.5775774,25.0430691,379120000J,人民團體科,1050111
臺北市大安區大安新龍社區發展協會,63000030,,2,106,臺北市大安區新龍里信義路三段134巷98號1樓,27067771,(02)27091844,,,1070817,121.53894,25.02907,379120000J,人民團體科,1081113
臺北市大安區大學社區發展協會,63000030,林金生,8,106,臺北市大安區大學里溫州街50號,23636809,(02)23622674,,北市社七字第63253號,0831022,121.5330208,25.0210997,379120000J,人民團體科,1020523
臺北市大安區仁愛里社區發展協會,63000030,楊禧瑜,1,106,臺北市大安區仁愛里仁愛路四段27巷31號1樓,,,,,,121.54533,25.04075,379120000J,人民團體科,1120816
臺北市大安區仁愛復興社區發展協會,63000030,林宜蓁,2,106,臺北市大安區仁愛里忠孝東路四段112號5樓之6,27216159,(02)27218997,,北市社字第號,1070107,121.54684,25.04137,379120000J,人民團體科,1080223
臺北市大安區仁慈社區發展協會,63000030,胡沛晴,3,106,臺北市大安區仁慈里復興南路一段295巷18號1樓,0988-136600,,,北市社字第號,1090215,121.54501,25.03505,379120000J,人民團體科,1090427
臺北市大安區六張犁社區發展協會,63000030,沈立威,2,106,臺北市大安區黎和里和平東路三段422號5樓,27381336,,,北市社字第號,1051126,121.559293,25.0179139,379120000J,人民團體科,1060802
臺北市大安區六張犁長青社區發展協會,63000030,劉康秀論,1,106,臺北市大安區黎元里安居街118巷15號2樓,0937-081867,,,北市社字第北市社區字第0551號號,1130206,121.5518,25.01892,379120000J,人民團體科,1130530
臺北市大安區古風社區發展協會,63000030,邱信賢,4,106,臺北市大安區古風里師大路135巷1號,33651622,,,北市社字第號,1000330,121.5308359,25.0224155,379120000J,人民團體科,1080409
臺北市大安區古莊社區發展協會,63000030,陳香女,3,106,臺北市大安區古莊里羅斯福路二段81巷16弄1-2號2樓,02-23696262,(02)25060181,,北市社區字第0425號,1040301,121.5246448,25.025542,379120000J,人民團體科,1080403
臺北市大安區台大龍門社區發展協會,63000030,簡丞志,6,106,臺北市大安區龍淵里和平東路二段118巷52弄20-1號,23779780,(02)23779780,,北市社字第號,0920425,121.54202,25.0222784,379120000J,人民團體科,1080122
臺北市大安區台北龍雲社區發展協會,63000030,黃廣明,6,106,臺北市大安區龍雲里大安路二段160巷24號,27094222,(02)27045014,yihshen2001@yahoo.com.tw,北市社字第號,0911103,121.545502,25.02846,379120000J,人民團體科,1030403
臺北市大安區台灣油杉社區發展協會,63000030,周秀蓮,9,106,臺北市大安區錦安里潮州街130巷3號,23910587,,,北市社字第號,0930904,121.526778,25.027374,379120000J,人民團體科,1080329
臺北市大安區正義新城社區發展協會,63000030,,1,106,臺北市大安區義村里忠孝東路三段248巷20號1樓,27733921,,alex.wsl@msa.hinet.net,北市社字第號,1060913,121.541063,25.040898,379120000J,人民團體科,1070221
臺北市大安區民炤社區發展協會,63000030,林香睿,2,106,臺北市大安區民炤里仁愛路三段24巷1-6號1樓,27056829,,mdchen@netown.org.tw,北市社字第號,1000827,121.536014,25.0372186,379120000J,人民團體科,1060427
臺北市大安區永福生活圈社區發展協會,63000030,許文炳,13,106,臺北市大安區永康里永康街41巷23號,23225451,,,北市社字第號,0890218,121.5294194,25.0323172,379120000J,人民團體科,1050705
臺北市大安區光明社區發展協會,63000030,張美霞,1,106,臺北市大安區光明里杭州南路二段9巷3-1號1樓,0921-896686,,paulpeter0921@gmail.com,北市社字第北市社區字第0541號號,1120517,121.52408,25.03431,379120000J,人民團體科,1120715
臺北市大安區光武社區發展協會,63000030,韓修和,1,106,臺北市大安區光武里復興南路一段135巷17號5樓,87583853,,,北市社區字第0503號,1081217,121.54513,25.04271,379120000J,人民團體科,1090408
臺北市大安區光信延吉社區發展協會,63000030,,0,106,臺北市大安區光信里延吉街239號地下1樓,27091288,,,北市社字第號,1031224,121.5557133,25.0362998,379120000J,人民團體科,1080124
臺北市大安區安和社區發展協會,63000030,林若蘭,3,106,臺北市大安區全安里安和路二段227巷4號,27368446,(02)27362860,,北市社字第號,0981126,121.5506341,25.0252736,379120000J,人民團體科,1080104
臺北市大安區安東社區發展協會,63000030,劉麗容,7,106,臺北市大安區誠安里安東街28號1樓,0932-154320,,,北市社字第號,0950603,121.542405,25.044265,379120000J,人民團體科,1080507
臺北市大安區百年民炤社區發展協會,63000030,郭其松,1,106,臺北市大安區民炤里新生南路一段145巷10號,27043507,,Kuochisung1959@yahoo.com.tw,北市社字第號,1001113,121.5336082,25.0356946,379120000J,人民團體科,1060427
臺北市大安區住安社區發展協會,63000030,歐秀珠,4,106,臺北市大安區住安里信義路四段60-12號1樓,27550387,(02)27550367,,北市社字第號,1000224,121.5455924,25.0331728,379120000J,人民團體科,1080515
臺北市大安區昌隆社區發展協會,63000030,王志剛,5,106,臺北市大安區昌隆里忠孝東路三段217巷6弄20-1號,27512118,(02)27512118,,北市社字第號,0960720,121.5398348,25.043448,379120000J,人民團體科,1081230
臺北市大安區欣龍陣社區發展協會,63000030,王自立,4,106,臺北市大安區龍陣里瑞安街65-1號4樓,27014636,,,北市社字第號,1000415,121.541682,25.028752,379120000J,人民團體科,1060427
臺北市大安區青田社區發展協會,63000030,,3,106,臺北市大安區龍安里和平東路一段199巷4-9號1樓,23659279,(02)23214423,lakecharles2003@gmail.com,北市社字第號,0930428,121.534035,25.0268979,379120000J,人民團體科,1080321
臺北市大安區師大龍泉社區發展協會,63000030,龎金德,4,106,臺北市大安區龍泉里泰順街16巷24-1號,02-23661135,,caudry@ms23.hinet.net,北市社字第號,0990101,121.531243,25.024029,379120000J,人民團體科,1080701
臺北市大安區統領商圈暨社區發展協會,63000030,林秀緞,3,106,臺北市大安區建安里敦化南路一段161巷69弄4號2樓,27716279,,,北市社字第號,1020420,121.5522503,25.0438475,379120000J,人民團體科,1060427
臺北市大安區敦煌社區發展協會,63000030,傅吉田,4,106,臺北市大安區敦煌里安和路一段135巷8號,27047360,,,北市社字第號,0980619,121.5532009,25.0342003,379120000J,人民團體科,1080408
臺北市大安區華聲社區發展協會,63000030,陳淑媛,6,106,臺北市大安區華聲里市民大道四段248號B1樓,27213058,(02)27212115,,北市社字第號,0930116,121.5573444,25.044723,379120000J,人民團體科,1080223
臺北市大安區愛在大學里社區發展協會,63000030,高樹森,3,106,臺北市大安區大學里新生南路三段68-4號2樓,23622674,,daxueli88@gmail.com,北市社字第號,1051228,121.533617,25.019689,379120000J,人民團體科,1090215
臺北市大安區新民炤社區發展協會,63000030,陳濬廷,4,106,臺北市大安區民炤里建國南路一段286巷35號1樓,27068275,(02)27013389,,北市社字第號,1000917,121.5352713,25.0357033,379120000J,人民團體科,1081023
臺北市大安區新法治社區發展協會,63000030,,2,106,臺北市大安區法治里通化街181巷1號2樓,27368077,(02)27391689,,北市社字第號,1070724,121.5533489,25.0271574,379120000J,人民團體科,1070828
臺北市大安區新義安社區發展協會,63000030,劉昱甫,3,106,臺北市大安區義安里敦化南路二段11巷38弄9號1樓,27060518,,sujiao8221@gmail.com,北市社字第號,1050813,121.5484885,25.0258716,379120000J,人民團體科,1060427
臺北市大安區新錦泰社區發展協會,63000030,范燕淇,1,106,臺北市大安區錦泰里潮州街71號1樓,0963-098579,(02)23912316,,北市社字第北市社區字第0526號號,1100908,121.52553,25.02909,379120000J,人民團體科,1101213
臺北市大安區新龍生社區發展協會,63000030,劉禎賢,3,106,臺北市大安區龍生里和平東路二段141號,27064529,(02)27010497,hhongli868tw@yahoo.com.tw,北市社字第號,0990911,121.538482,25.0258297,379120000J,人民團體科,1060427
臺北市大安區新龍社區發展協會,63000030,陳惠嘉,3,106,臺北市大安區新龍里建國南路二段115號,27067771,,,北市社字第號,1020221,121.538317,25.029801,379120000J,人民團體科,1060427
臺北市大安區溫州社區發展協會,63000030,何承翰,1,106,臺北市大安區大學里溫州街74巷14號,02-23653151,,hi.darkasuka@gmail.com,北市社字第號,0990814,121.5318192,25.0198016,379120000J,人民團體科,1060501
臺北市大安區瑞安社區發展協會,63000030,劉長青,5,106,臺北市大安區龍陣里瑞安街49-1號,27090308,(02)23255952,,北市社字第9030263900號,0901125,121.455532,25.022373,379120000J,人民團體科,1040603
臺北市大安區義村社區發展協會,63000030,邱顯猶,11,106,臺北市大安區義村里建國南路一段175巷27號1樓之0,27318214,(02)27732440,,北市社七字第41063號,0830521,121.538691,25.0410469,379120000J,人民團體科,1051204
臺北市大安區誠安社區發展協會,63000030,許文進,1,106,臺北市大安區誠安里忠孝東路三段251巷6弄1-1號,27762225,,,北市社字第號,1000331,121.5415565,25.0427574,379120000J,人民團體科,1060427
臺北市大安區福住社區發展協會,63000030,李欣芠,1,106,臺北市大安區福住里永康街47巷10-1號,,,,北市社字第號,,121.53011,25.03004,379120000J,人民團體科,1120816
臺北市大安區黎元社區發展協會,63000030,李重義,1,106,臺北市大安區黎元里基隆路二段281號,23788808,,,北市社字第號,1000529,121.5498504,25.0217983,379120000J,人民團體科,1060427
臺北市大安區黎孝社區發展協會,63000030,方丁輝,1,106,臺北市大安區黎孝里臥龍街267-10號,23772022,,,北市社區字第0504號,1081220,121.55597,25.0187,379120000J,人民團體科,1090408
臺北市大安區學府社區發展協會,63000030,王永芝,2,106,臺北市大安區學府里羅斯福路四段119巷68弄15號,27383703,(02)27386710,wgygch@ms28.hinet.net,北市社區字第0471號,1070120,121.539744,25.0093569,379120000J,人民團體科,1070201
臺北市大安區錦町社區發展協會,63000030,歐陽采綾,3,106,臺北市大安區錦安里潮州街130巷3號,23515967,,,北市社字第號,1050309,121.5275375,25.028671,379120000J,人民團體科,1060427
臺北市大安區錦泰社區發展協會,63000030,張慶東,2,106,臺北市大安區錦泰里杭州南路二段61巷17號7樓之1,27391965,(02)23916709,,北市社區字第0482號,1080217,121.52338,25.03024,379120000J,人民團體科,1080329
臺北市大安區錦華社區發展協會,63000030,溫美珠,9,106,臺北市大安區錦華里杭州南路二段93巷1-1號,23937306,(02)23512999,t2783929@ms23.hinet.net,北市社字第號,0890401,121.5232702,25.0285855,379120000J,人民團體科,1040709
臺北市大安區龍坡社區發展協會,63000030,曹培西,8,106,臺北市大安區龍坡里泰順街13號1樓,(02)23623674,(02)23636118,,北市社七字第61428號,0830924,121.531544,25.025102,379120000J,人民團體科,1020610
臺北市大安區龍淵社區發展協會,63000030,汪吉秋,5,106,臺北市大安區龍淵里和平東路二段118巷2弄6號,23773535,(02)27332523,,北市社字第號,0910227,121.542471,25.024355,379120000J,人民團體科,1030310
臺北市大安區龍雲社區發展協會,63000030,鄭進華,5,106,臺北市大安區龍雲里大安路二段160巷24號,27094222,(02)27059854,,北市社字第號,0910909,121.5446267,25.029666,379120000J,人民團體科,1060206
臺北市大安區龍圖社區發展協會,63000030,黃智宏,1,106,臺北市大安區龍圖里瑞安街208巷21號b1樓,02-27061269,,,北市社字第號,1040520,121.540689,25.0291134,379120000J,人民團體科,1060427
臺北市中山區新興社區發展協會,63000040,熊清勳,1,104,臺北市中山區新生里新生北路二段137巷43號1樓,25213778,,beichin1202@yahoo.com.tw,北市社七字第10036432700號,1000305,121.5277821,25.0578198,379120000J,人民團體科,1060427
臺北市中山區新安社區發展協會,63000040,,10,104,臺北市中山區新喜里德惠街167巷10號1樓,25916068,(02)25944211,,北市社七字第42338號,0810829,121.532816,25.0674219,379120000J,人民團體科,1060303
臺北市中山區民安社區發展協會,63000040,,4,104,臺北市中山區民安里民生西路30號1樓,25414221,,,北市社七字第10041196300號,1000723,121.52181,25.0576741,379120000J,人民團體科,1080917
臺北市中山區大直社區發展協會,63000040,,12,104,臺北市中山區大直里大直街39巷3號,0916-780645,(02)25333820,,北市社七字第65204號,0831028,121.5467244,25.0826262,379120000J,人民團體科,1090221
臺北市中山區寧山社區發展協會,63000040,陳勝雄,5,104,臺北市中山區江山里合江街130巷17號1樓,25022215,(02)25181296,,北市社七字第47317號,0830427,121.538304,25.059577,379120000J,人民團體科,1020523
臺北市中山區中央里民社區發展協會,63000040,,3,104,臺北市中山區中央里伊通街125巷11-1號,25063324,,,北市社七字第10642675300號,1060710,,,379120000J,人民團體科,1080510
臺北市中山區中央社區發展協會,63000040,陳永成,6,104,臺北市中山區中央里四平街83號,25018531,(02)25018531,,北市社七字第21639號,0830312,121.5344491,25.0537957,379120000J,人民團體科,1030903
臺北市中山區雙城社區發展協會,63000040,,0,104,臺北市中山區聚葉里中山北路二段137巷10-1號1樓,25930684,,,北市社七字第20258號,0830419,121.523887,25.061651,379120000J,人民團體科,1020523
臺北市中山區晴光美好社區發展協會,63000040,葉寶春,1,104,臺北市中山區恆安里農安街47-1號,,,C.B.sunny917@gmail.com,北市社字第0539號,1120602,,,379120000J,人民團體科,1140619
臺北市中山區大佳社區發展協會,63000040,鄂基安,5,104,臺北市中山區大佳里濱江街176號2樓,25023022,(02)25023022,,北市社七字第31248號,0830419,121.53788,25.072279,379120000J,人民團體科,1020523
臺北市中山區劍潭社區發展協會,63000040,,10,104,臺北市中山區劍潭里通北街111號1樓,25973146,(02)25940499,,北市社七字第32883號,0850303,121.538042,25.0837409,379120000J,人民團體科,1020902
臺北市中山區朱園社區發展協會,63000040,,0,104,臺北市中山區朱園里長安東路二段108號1樓之後,25094377,(02)25094374,,北市社七字第21727號,0900324,121.535716,25.048159,379120000J,人民團體科,1040506
臺北市中山區興亞社區發展協會,63000040,,9,104,臺北市中山區興亞里新生北路一段11-2號1樓,25232222,(02)25214007,,北市社七字第8825036600號,0880725,121.532357,25.046355,379120000J,人民團體科,1030107
臺北市中山區朱厝崙社區發展協會,63000040,,13,104,臺北市中山區力行里龍江路45巷6號,27312362,(02)27760427,,北市社七字第9022738900號,0890710,121.5413514,25.0491712,379120000J,人民團體科,1040506
臺北市中山區北安社區發展協會,63000040,,11,104,臺北市中山區北安里北安路805巷22號5樓,25332333,(02)25321686,,北市社七字第9231483900號,0920208,121.5564179,25.086299,379120000J,人民團體科,1050705
臺北市中山區樂業社區發展協會,63000040,許阿性,7,104,臺北市中山區金泰里敬業三路184號7樓,85098472,(02)85092957,,北市社七字第09131660600號,0900922,121.5567237,25.0782775,379120000J,人民團體科,1041208
臺北市中山區成功社區發展協會,63000040,彭麗玲,7,104,臺北市中山區成功里明水路598號1樓,25326598,(02)25324563,,北市社七字第18088號,0830312,121.551996,25.08134,379120000J,人民團體科,1050328
臺北市中山區榮江社區發展協會,63000040,,4,104,臺北市中山區行仁里龍江路342巷53號5樓,25017138,(02)25176402,,北市社七字第09843553900號,0980927,121.5353563,25.0671898,379120000J,人民團體科,1080522
臺北市中山區恩主公社區發展協會,63000040,,7,104,臺北市中山區行政里民權東路二段135巷20弄7號,0920-017988,(02)25012693,,北市社七字第09436359800號,0940528,121.5369133,25.065287,379120000J,人民團體科,1090319
臺北市中山區行政社區發展協會,63000040,鄭春華,1,104,臺北市中山區行政里農安街227巷3弄22-1號1樓,0933-021776,,,北市社七字第1076042473號,1070715,,,379120000J,人民團體科,1080906
臺北市中山區中原社區發展協會,63000040,,3,104,臺北市中山區中原里新生北路二段77巷1-1號,,,kuo.666@gmail.com,北市社七字第10731937700號,1070101,,,379120000J,人民團體科,1080515
臺北市中山區新力行社區發展協會,63000040,,6,104,臺北市中山區力行里建國北路一段67巷15號1樓,27217218,(02)27713935,,北市社七字第9237991200號,0920707,121.5302099,25.0486369,379120000J,人民團體科,1041109
臺北市中山區正守里社區發展協會,63000040,陳育群,1,104,臺北市中山區正守里長安東路一段52巷9弄1-1號,,,,北市社七字第1083072593號,1080426,,,379120000J,人民團體科,1080507
臺北市中山區大正町條通商圈暨社區發展協會,63000040,,4,104,臺北市中山區正義里林森北路100號6樓之5,25518951,,,,0981229,121.5250538,25.0502582,379120000J,人民團體科,1060119
臺北市中山區康樂社區發展協會,63000040,,5,104,臺北市中山區康樂里林森北路259巷9-11號,25629158,,,北市社七字第09543198600號,0951126,121.5266782,25.0543898,379120000J,人民團體科,1080508
臺北市中正區南機場社區發展協會,63000050,方荷生,6,100,臺北市中正區忠勤里中華路二段303巷14號,23056741,,,北市社七字第09240388100號,0920829,121.5053150,25.0295050,379120000J,人民團體科,1020523
臺北市中正區南福社區發展協會,63000050,李秀霞,3,100,臺北市中正區南福里重慶南路三段3巷26號4樓,23223818,,,北市社七字第10433380700號,1040704,121.5208314,25.0281943,379120000J,人民團體科,1051204
臺北市中正區南門口社區發展協會,63000050,趙鍊成,8,100,臺北市中正區龍福里牯嶺街28-1號,23912025,(02)23962052,,北市社七字第57347號,0840812,121.5161634,25.0303013,379120000J,人民團體科,1041229
臺北市中正區大三愛社區發展協會,63000050,郭展峻,1,100,臺北市中正區三愛里新生南路一段132巷6弄4號1樓,,,,北市社區字第0546號,1120614,,,379120000J,人民團體科,1120818
臺北市中正區廈安社區發展協會,63000050,涂光宇,8,100,臺北市中正區廈安里中華路二段175巷24號1樓,23069525,(02)23087249,,北市社七字第42025號,0830510,121.5048927,25.0305879,379120000J,人民團體科,1050411
臺北市中正區文盛社區發展協會,63000050,吳瑞華,4,100,臺北市中正區文盛里羅斯福路三段286巷4弄4號,23677325,,,北市社七字第09739574600號,0970805,121.5320840,25.0159860,379120000J,人民團體科,1060303
臺北市中正區文祥社區發展協會,63000050,李淑珍,3,100,臺北市中正區文祥里金山南路一段100號1樓,23944529,(02)2391-1931,,北市社七字第10437330800號,1040429,121.5271187,25.0356804,379120000J,人民團體科,1080411
臺北市中正區新林興社區發展協會,63000050,吳寶燕,3,100,臺北市中正區林興里水源路21號,23686919,,,北市社七字第10631583300號,1060329,,,379120000J,人民團體科,1081107
