序號,行政區域代碼,醫事機構名稱,醫事機構電話,醫事機構地址
40,63000010,松山內兒科診所,02-27658676,臺北市松山區八德路４段２５５號
41,63000010,林忠志診所,02-27689577,臺北市松山區南京東路５段２９１巷２０弄３－３號
42,63000010,陳炳堅內科診所,02-27637199,臺北市松山區延壽街３２７號
43,63000010,吳慶南內科診所,02-27659566,臺北市松山區民生東路５段１３８巷１號
44,63000010,江建中診所,02-27647883,臺北市松山區八德路４段２８５號１樓
45,63000010,安德聯合診所,02-25705886,臺北市松山區八德路３段３４號４樓、１２樓
46,63000010,黎博彥診所,02-27682802,臺北市松山區民生東路５段２３０號
47,63000010,朱家庭醫學科診所,02-25795004,臺北市松山區八德路３段１２巷５７弄３９之１號１樓
48,63000030,大安黃耳鼻喉科診所,02-27327331,臺北市大安區和平東路３段２３４號
49,63000030,黃禎祥診所,02-23626607,臺北市大安區師大路７１號
50,63000030,沈德昌診所,02-27035300,臺北市大安區四維路１８９號
51,63000030,張尚哲婦產科診所,02-27721222,臺北市大安區忠孝東路４段２１０號４樓
52,63000030,張渝醫師診所,02-27321318,臺北市大安區基隆路２段２７０號１樓
53,63000030,新長安診所,02-23775056,臺北市大安區和平東路３段２２８巷３９號
54,63000030,李唯通診所,02-23773506,臺北市大安區安居街１９號
55,63000030,家安復健科診所,02-27353710,臺北市大安區敦化南路２段１６８及１７０號地下１樓
56,63000030,松德診所,02-27073326,臺北市大安區四維路１７０巷１６號
57,63000030,夏爾診所,02-23255508,臺北市大安區信義路４段２６５巷５２號、５４號
58,63000030,安民家庭醫學科診所,02-27218556,臺北市大安區大安路１段６５號２樓之１
59,63000030,樂活診所,02-23683883,臺北市大安區師大路１２號（實際營業地址：１樓、３樓）
60,63000030,杏保醫網信誠診所,02-27068208,臺北市大安區信義路４段１９７號、１９９巷２號
61,63000030,東風診所,02-27775868,臺北市大安區忠孝東路４段１３２號４樓
62,63000030,瑞森診所,02-27076002,臺北市大安區信義路３段１３４巷１００號１樓
63,63000060,鈞生診所,02-25570048,臺北市大同區甘州街２８號
64,63000060,廣安診所,02-25926735,臺北市大同區大龍街１７７巷３號
65,63000060,聖心婦家醫診所,02-25531346,臺北市大同區保安街１－１號１樓
66,63000040,柏泉內科小兒科診所,02-25331730,臺北市中山區北安路５９５巷２０弄５號
67,63000040,王三郎婦產科診所,02-25948759,臺北市中山區中山北路２段１６６號－２
68,63000040,北安聯合診所,02-25337777,臺北市中山區北安路５６９之１號２樓．之２、３、４號１、２樓
69,63000040,陳世澤內科診所,02-25011239,臺北市中山區龍江路２８４－１號
70,63000040,宗北內科診所,02-25411001,臺北市中山區民生西路２４號２樓
71,63000040,德容聯合診所,02-25643076,臺北市中山區吉林路１９７號、１９７號２樓
72,63000040,大直診所,02-25332339,臺北市中山區北安路５９５巷２弄２號（１樓及地下層）及６號
73,63000040,晉宏診所,02-25054727,臺北市中山區復興北路５１４巷５６號１樓
74,63000040,吳振力診所,02-25095909,臺北市中山區長春路３０９號
75,63000040,民生承安診所,02-25032633,臺北市中山區民生東路３段９０號１、２樓
76,63000040,高固?診所,02-25323036,臺北市中山區北安路６１３號及５９５巷１號地下１層
77,63000040,中山民權王耳鼻喉科診所,02-25948758,臺北市中山區中山北路２段１６６號之２
78,63000040,信安診所,02-25118112,臺北市中山區民生西路２４號３樓
79,63000040,興安診所,02-25052228,臺北市中山區民生東路３段９０號２樓、９０號２樓之３
80,63000040,杏慈診所,02-25013109,臺北市中山區民權東路２段１５２巷２之１號
81,63000040,榮星診所,02-25168112,臺北市中山區龍江路２７４號１樓及２８０號１樓、２樓
82,63000040,大直佳恩診所,02-25323301,臺北市中山區北安路５９１號１樓及地下層
83,63000040,永育樂群診所,02-85012268,臺北市中山區樂群二路２１０之２號（１樓）
84,63000040,中崙國際診所,02-27711501,臺北市中山區八德路２段３０３號１樓３０５號３０７號１樓２樓
85,63000040,晨昕診所,02-25181268,臺北市中山區復興北路３５０號３樓
86,63000100,陳森豊診所,02-27990361,臺北市內湖區環山路１段２號１樓及２樓
87,63000100,王慶森診所,02-27986052,臺北市內湖區港墘路６５號
88,63000100,康育診所,02-27909134,臺北市內湖區成功路３段１８９號２樓
89,63000100,劉淦華診所,02-27905374,臺北市內湖區金龍路４３號１樓
90,63000100,馬思特診所,02-27925994,臺北市內湖區成功路４段５３號１樓
91,63000100,內湖長春診所,02-27926868,臺北市內湖區民權東路６段６４號
92,63000100,誠康診所,02-26572585,臺北市內湖區內湖路１段５８５號
93,63000100,康樂診所,02-26308800,臺北市內湖區康樂街８０號、８２號、８４號
94,63000100,育睿診所,02-26560801,臺北市內湖區內湖路１段２１７巷３５號
95,63000100,禾馨民權婦幼診所,02-55713333,臺北市內湖區民權東路６段４２號２－４樓（之１、之２、之３）
96,63000100,康研診所,02-26577257,臺北市內湖區瑞光路４１９號１樓
97,63000100,葫洲診所,02-26306606,臺北市內湖區康寧路３段３５、３７號
98,63000100,麗康診所,02-26342296,臺北市內湖區金湖路３６２號
99,63000100,瑞康診所,02-26599691,臺北市內湖區江南街９６巷３號
100,63000100,禾馨民權內科診所,02-87919633,臺北市內湖區民權東路６段４０號（１樓）及４２號１樓
101,63000100,永育醫療大湖診所,02-27906002,臺北市內湖區成功路４段３６６號１、２樓
102,63000090,黃家庭醫學科診所,02-27820908,臺北市南港區研究院路１段１６１號
103,63000090,陳勝吉診所,02-27836972,臺北市南港區研究院路１段１１５號１樓
104,63000090,永育醫療福德診所,02-27850700,臺北市南港區福德街３２０號１樓
105,63000090,李文珍小兒科診所,02-26511871,臺北市南港區研究院路２段７４號
106,63000110,黃金喜婦產科診所,02-28118236,臺北市士林區延平北路５段２０１號
107,63000110,天母許內科家醫科診所,02-28729367,臺北市士林區天母北路４９號
108,63000110,邱世昌診所,02-28343565,臺北市士林區文林路７１８號
109,63000110,存德小兒科診所,02-28342567,臺北市士林區文林路４６０號
110,63000110,鄭醫師診所,02-28127412,臺北市士林區延平北路５段１２０號１、２樓
111,63000110,何啟?診所,02-28373890,臺北市士林區德行東路６３號１樓
112,63000110,林博通醫師診所,02-28851148,臺北市士林區通河街６０號
113,63000110,德泰耳鼻喉科診所,02-28851570,臺北市士林區通河街４２－１號
114,63000110,粱耳鼻喉科診所,02-28168456,臺北市士林區社正路１２－１號
115,63000110,德福診所,02-28811982,臺北市士林區大東路７７號
116,63000110,芝山診所,02-28362780,臺北市士林區忠義街８２號１樓
117,63000110,杏暉診所,02-28117094,臺北市士林區社子街１５號
118,63000110,和謙耳鼻喉科診所,02-28165678,臺北市士林區社中街３６２號１樓
119,63000110,科安診所,02-28110699,臺北市士林區社中街１１６號
120,63000110,榮清耳鼻喉科診所,02-28316878,臺北市士林區文林路４８３號（１、２樓）
121,63000110,耀明診所,02-28320657,臺北市士林區中正路３２２號
122,63000110,橙光耳鼻喉科診所,02-28883222,臺北市士林區大南路２８６號
123,63000110,心福內科診所,02-28331115,臺北市士林區中山北路６段１６７號（實際使用：１、２樓）
124,63000110,宜達診所,02-28833678,臺北市士林區前港街８６號１樓
125,63000110,永捷診所,02-28111472,臺北市士林區社子街６７號１樓
126,63000120,永安家庭醫學科診所,02-28940888,臺北市北投區中央北路１段１７２號（實際使用：一、二層）
127,63000120,杏華診所,02-28585522,臺北市北投區知行路２１８號１樓
128,63000120,張參雄診所,02-28926555,臺北市北投區光明路１６６號、１６６－１號１．２．３樓
129,63000120,祐民聯合診所,02-28951301,臺北市北投區中央南路１段２０７號１、２、３樓
130,63000120,王永良診所,02-28227287,臺北市北投區自強街９４號
131,63000120,陳珀勳診所,02-28206263,臺北市北投區明德路７５號１樓
132,63000120,黃正宏診所,02-28217076,臺北市北投區西安街１段３５９號
133,63000120,榮陽安心診所,02-28211566,臺北市北投區自強街１６８號
134,63000120,常哲診所,02-28285515,臺北市北投區明德路１５７－４號（實際使用：１樓）
135,63000120,文遠診所,02-28739991,臺北市北投區石牌路２段３４６號（１、２樓）
136,63000020,信義邱婦產科診所,02-27278275,臺北市信義區虎林街１９８號
137,63000020,連小兒科診所,02-27285487,臺北市信義區松山路４６５巷１１號
138,63000020,有成外科診所,02-27613891,臺北市信義區永吉路２１３號
139,63000020,富陽劉內兒科診所,02-27325132,臺北市信義區富陽街４３號１樓
140,63000020,張育驍診所,02-27291011,臺北市信義區吳興街４６７巷２弄４號、６號、６號２樓（詳大事記
141,63000020,悠亞診所,02-87851233,臺北市信義區忠孝東路５段７２７號
142,63000020,姚醫師診所,02-87898822,臺北市信義區忠孝東路５段３９６號２樓
143,63000020,陳育鵬內科診所,02-23461010,臺北市信義區松山路５６８號
144,63000020,自在診所,02-27268199,臺北市信義區中坡南路８４號
145,63000020,博文診所,02-27321016,臺北市信義區吳興街２８４巷１之４號
146,63000020,德佑診所,02-27596037,臺北市信義區福德街２１５號
147,63000020,莊敬診所,02-27589258,臺北市信義區莊敬路２８０號
148,63000020,桂其安家醫科診所,02-27229173,臺北市信義區莊敬路４６２號
149,63000020,松山班廷建興診所,02-27652295,臺北市信義區市民大道６段３１８號（實際營業地址：１樓、２樓）
150,63000050,同泰診所,02-23678511,臺北市中正區汀州路２段１３６，１３８號
151,63000050,張孟源內科診所,02-23098600,臺北市中正區中華路２段３２５號
152,63000050,親子診所,02-23058122,臺北市中正區和平西路２段５０號
153,63000050,惠恩診所,02-23919572,臺北市中正區濟南路２段４８巷３之２號
154,63000050,怡和診所,02-23625100,臺北市中正區汀州路２段２１２號
155,63000050,禾馨婦產科診所,02-23612323,臺北市中正區懷寧街７８號、７８號２樓
156,63000050,好甘心診所,02-23700887,臺北市中正區公園路３０號９樓之１、９樓之２、１１樓之１
157,63000050,銘人診所,02-77557566,臺北市中正區博愛路９號３樓
158,63000050,德和診所,02-23563088,臺北市中正區南昌路１段１０７號（１樓）
159,63000070,益生婦產科診所,02-23031112,臺北市萬華區萬大路４０６－１號
160,63000070,顏克文診所,02-23310413,臺北市萬華區貴陽街２段１０３號
161,63000070,漢宗小兒科診所,02-23039022,臺北市萬華區中華路２段４３４號
162,63000070,慧洋診所,02-23020209,臺北市萬華區莒光路１２５號
163,63000070,聖約翰婦產科診所,02-23098502,臺北市萬華區東園街１７５號
164,63000070,天行健診所,02-23320688,臺北市萬華區寶興街１２１、１２５、１２７號
165,63000070,新和診所,02-23077007,臺北市萬華區萬大路２８４號
166,63000070,永康診所,02-23123455,臺北市萬華區桂林路４７號１樓２樓及地下１樓
167,63000070,萬華衛康內科診所,02-23092807,臺北市萬華區萬大路２１７號
168,63000070,瑞生診所,02-23012788,臺北市萬華區西園路２段２５０號、２５０號２樓、２５０號３樓、
169,63000070,東京生活診所,02-23090990,臺北市萬華區萬大路４９１號（１、２樓）
170,63000080,興隆李內兒科診所,02-29314537,臺北市文山區興隆路１段１２號
171,63000080,興隆內科小兒科診所,02-29311736,臺北市文山區興隆路２段１７號
172,63000080,泓仁診所,02-29382627,臺北市文山區木新路２段２７３號
173,63000080,陳建業診所,02-29358181,臺北市文山區景文街８６號（１樓、２樓）、１０７號６樓
174,63000080,瑞杏診所,02-29339718,臺北市文山區羅斯福路６段１５９巷１弄１２號１、２樓
175,63000080,春林復健科診所,02-29392500,臺北市文山區木新路３段２２９號１樓
176,63000080,官世英診所,02-86638189,臺北市文山區景興路４５號
177,63000080,瑞萱診所,02-29305313,臺北市文山區景華街１２４號
178,63000080,景安診所,02-29330551,臺北市文山區羅斯福路６段１３６號２樓
179,63000080,定安診所,02-29323755,臺北市文山區景興路１６５號
180,63000120,長生堂牙醫診所,02-28943906,臺北市北投區中央南路１段１９５號１９５號－１
181,63000030,尹書田醫療財團法人書田泌尿科眼科診所,02-23690211,臺北市大安區建國南路２段２７６號１樓、２７８號１樓
182,63000100,國泰醫療財團法人內湖國泰診所,02-87972121,臺北市內湖區瑞光路３３７號（１、２、３、４樓）
183,63000050,醫療財團法人好心肝基金會好心肝診所,02-23700827,臺北市中正區公園路３０號２樓之２、８樓之１、８樓之２
