課程名稱,開課起始日期,開課結束日期,地點,電話,人數,授課老師
預防及延緩失能,2025-01-07,2025-10-07,財團法人福智慈善基金會(天母),(02)28382503,15,洪嘉鴻、楊淑華
健康動一動,2025-10-14,2025-12-30,財團法人福智慈善基金會(天母),(02)28382503,15,游國輝
(一上)樂活休閒,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(百齡長青),(02)28815100,25,雷靄蓮、王玉萍、洪奕葳、徐牧萱
(三上)國際會話,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(百齡長青),(02)28815100,25,近藤光夫
(五上)全能活力健身操(下半年),2025-11-07,2025-12-31,財團法人新北市基督教新希望教會(百齡長青),(02)28815100,25,游宏義
(五上)延緩失能,2025-02-07,2025-11-14,財團法人新北市基督教新希望教會(百齡長青),(02)28815100,25,游宏義
(五下)知識生活．科技悠活,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(百齡長青),(02)28815100,25,雷靄蓮、王玉萍、洪奕葳、徐牧萱
經絡養生操,2025-02-04,2025-12-31,財團法人天主教遣使會-聖文生之友社區關懷據點,(02)28763236,20,沈芯如等講師群
彩繪人生,2025-02-06,2025-12-31,財團法人天主教遣使會-聖文生之友社區關懷據點,(02)28763236,16,李麗雯等講師群
預防及延緩失能,2025-06-06,2025-08-22,財團法人天主教遣使會-聖文生之友社區關懷據點,(02)28763236,16,田珈瑞等講師群
運動與健康,2025-08-29,2025-12-31,財團法人天主教遣使會-聖文生之友社區關懷據點,(02)28763236,16,田珈瑞等講師群
體適能,2025-05-27,2025-12-31,財團法人天主教遣使會-聖文生之友社區關懷據點,(02)28763236,16,李宇翔等講師群
健康人生,2025-01-08,2025-12-31,財團法人基督教台灣信義會(士林歌珊堂),(02)28826663,45,陳素秋老師
幸福生活,2025-01-02,2025-12-31,財團法人基督教台灣信義會(士林歌珊堂),(02)28826663,45,王姚萍老師
音符生活,2025-01-03,2025-12-31,財團法人基督教台灣信義會(士林歌珊堂),(02)28826663,45,張路得老師
健康美學,2025-01-01,2025-12-31,財團法人台灣基督長老教會三角埔教會,0933-125685,35,彭珊珊老師、王淑惠老師
資訊養生,2025-01-01,2025-12-31,財團法人台灣基督長老教會三角埔教會,0933-125685,35,李子強老師、楊錦華老師
太極拳訓練班(9月-12月),2025-09-01,2025-12-31,財團法人台北市華夏婦女文教基金會,(02)28318025,50,范儒賢
國標舞訓練班(9月-12月),2025-09-01,2025-12-31,財團法人台北市華夏婦女文教基金會,(02)28318025,50,梁金雪
樂齡慢舞班(9月-12月),2025-09-01,2025-12-31,財團法人台北市華夏婦女文教基金會,(02)28318025,50,國際慢舞協會
土風舞訓練班(9月-12月),2025-09-01,2025-12-31,財團法人台北市華夏婦女文教基金會,(02)28318025,50,劉香蘭
怡情健康咖啡班(9月-12月),2025-09-01,2025-12-31,財團法人台北市華夏婦女文教基金會,(02)28318025,50,潘沐萱
預防及延緩失能,2025-09-05,2025-11-28,財團法人台北市華夏婦女文教基金會,(02)28318025,50,愛迪樂有限公司
樂齡運動系列「全能活力健身操」,2025-01-11,2025-11-14,財團法人台北市天母基督教會,(02)28714742,25,甘鴻英
天母開心書法研習班,2025-08-01,2025-12-31,財團法人台北市天母基督教會,(02)28714742,15,曹靜琍
天母全人活力班,2025-08-01,2025-12-31,財團法人台北市天母基督教會,(02)28714742,30,金蘭
電影欣賞,2025-01-01,2025-12-31,財團法人台北市中華基督教浸信會慈光堂,(02)28412290,10,孫開賢
樂齡彈力帶＆熟齡青春樂舞,2025-01-01,2025-12-31,財團法人台北市中華基督教浸信會慈光堂,(02)28412290,20,曾海欣
預防及延緩失能,2025-03-01,2025-12-31,財團法人台北市中華基督教浸信會慈光堂,(02)28412290,20,吳永昌
智慧型裝置實務與應用,2025-03-01,2025-12-31,財團法人台北市中華基督教浸信會慈光堂,(02)28412290,20,李婕如
動齡樂活課程,2025-03-01,2025-12-31,財團法人台北市中華基督教浸信會慈光堂,(02)28412290,20,曾海欣
週二上午低強度功能性肌力訓練,2025-01-01,2025-12-30,臺北市體適能指導工作人員職業工會(福林里),(02)28922200,15,林瑀臻、葉童、羅雅萱、劉紫柔等
律動操(秋),2025-09-24,2025-12-17,臺北市天母全人關懷協會,(02)28746222,35,章冠清
中級日本語(1),2025-05-23,2025-08-15,臺北市天母全人關懷協會,(02)28746222,30,片岡雅彥
中級日本語(2),2025-09-05,2025-12-12,臺北市天母全人關懷協會,(02)28746222,30,片岡雅彥
肌肉強化與心理減壓,2025-07-02,2025-09-17,臺北市天母全人關懷協會,(02)28746222,30,鄭雅云
體適能健身班,2025-01-08,2025-12-17,臺北市天母全人關懷協會,(02)28746222,36,張嫦娟
樂活舞蹈班,2025-01-10,2025-12-19,臺北市天母全人關懷協會,(02)28746222,30,張嫦娟
有氧輕倫巴,2025-01-10,2025-12-19,臺北市天母全人關懷協會,(02)28746222,35,汪碧玲
快樂輕鬆畫,2025-01-10,2025-12-12,臺北市天母全人關懷協會,(02)28746222,20,邱白湄
樂齡運動-健康體適能,2025-02-10,2025-12-31,臺北市士林海光社區發展協會,(02)28162459,20,柯雅馨
日文課,2025-02-10,2025-12-31,臺北市士林海光社區發展協會,(02)28162459,20,林娟如
預防及延緩失能,2025-02-10,2025-10-02,臺北市士林海光社區發展協會,(02)28162459,20,王俊翔
瑜珈課,2025-02-10,2025-12-31,臺北市士林海光社區發展協會,(02)28162459,20,陳素忻
養生保健大家一起來,2025-01-01,2025-12-31,臺北市士林區蘭興里辦公處,(02)88664298,80,
銀髮健康有氧瑜珈,2025-01-01,2025-12-31,臺北市士林區蘭興里辦公處,(02)88664298,80,
多元健康活力班,2025-01-01,2025-12-31,臺北市士林區葫蘆里辦公處,0958-972685,30,
健康講座,2025-01-01,2025-12-31,臺北市士林區葫蘆里辦公處,0958-972685,30,
日語教授及歡唱,2025-01-06,2025-12-15,臺北市士林區葫東里辦公處,0933-716265,50,林永和
預防及延緩失能課程,2025-01-07,2025-12-16,臺北市士林區葫東里辦公處,0933-716265,50,醫師群
樂齡有氧肌力體適能,2025-01-07,2025-12-16,臺北市士林區葫東里辦公處,0933-716265,50,林業展
活力雕塑有氧運動,2025-01-08,2025-12-17,臺北市士林區葫東里辦公處,0933-716265,50,賴老師
文字之生活美學,2025-01-08,2025-12-17,臺北市士林區葫東里辦公處,0933-716265,50,陳煖慧
心靈上色,2025-01-03,2025-12-19,臺北市士林區葫東里辦公處,0933-716265,25,郭老師
多元健康活力班,2025-01-01,2025-12-31,臺北市士林區芝山岩社區發展協會,0911-328596,25,周哲名、陳明弟
太極拳,2025-01-01,2025-12-31,臺北市士林區芝山岩社區發展協會,0911-328596,15,葉淑華
長者活躍鬥陣班,2025-01-01,2025-12-31,臺北市士林區芝山岩社區發展協會,0911-328596,25,周佩瑾、廖卿枝、周哲名
舒活健康動一動+卡啦ok,2025-01-01,2025-12-31,臺北市士林區芝山岩社區發展協會,0911-328596,25,陳志銘、林良玉
樂活有氧肌力課程,2025-01-01,2025-12-31,臺北市士林區福順里辦公處,(02)28160989,40,
頭好壯壯呷百二（預防延緩失智課程）,2025-01-01,2025-12-31,臺北市士林區福順里辦公處,(02)28160989,20,林克享
預防及延緩失能,2025-03-01,2025-11-20,財團法人臺北市松年長春社會福利基金會(中山),(02)25000206,35,蘇淑娟、廖子嫻
肌力運動及身心活化,2025-11-27,2025-12-25,財團法人臺北市松年長春社會福利基金會(中山),(02)25000206,35,蘇淑娟、廖子嫻
樂齡瑜珈,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,曾靖媛
能量律動健康操-上,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,曾靖媛
認識運動與健康,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,丁嘉威
手機網路使用教學-下,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,甘路得
說藝術、學美術-上,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,葛曼麗
遊藝素描-下,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,葛曼麗
延緩失能-「肌肉強化與心理減壓」本土研發方案 （第二期）,2025-06-06,2025-08-22,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,廖珮甄
延緩失能-「肌肉強化與心理減壓」本土研發方案 （第三期）,2025-08-29,2025-11-21,財團法人新北市基督教新希望教會(中山五常),(02)25154949,25,廖珮甄
全能活力健身操,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(新喜),(02)25993693,25,游宏義
銀髮族手機教學,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(新喜),(02)25993693,25,游美花、張家豪
國際語言-日文,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(新喜),(02)25993693,25,游美花
樂齡彩繪,2025-01-01,2025-12-31,財團法人新北市基督教新希望教會(新喜),(02)25993693,25,游美花
延緩失能-「肌肉強化與心理減壓」本土研發方案 （第二期）,2025-06-06,2025-08-22,財團法人新北市基督教新希望教會(新喜),(02)25993693,25,李國銓
延緩失能-「肌肉強化與心理減壓」本土研發方案 （第三期）,2025-08-29,2025-11-21,財團法人新北市基督教新希望教會(新喜),(02)25993693,25,李國銓
有氧健康伸展,2025-01-02,2025-12-25,財團法人天主教中華道明會,(02)25942294,35,李珮瑄、羅昱馨、白馨雅
低衝擊運動,2025-01-01,2025-12-31,財團法人味全文化教育基金會,(02)25065001,25,吳依玶
英文會話班,2025-01-01,2025-12-31,財團法人味全文化教育基金會,(02)25065001,20,林孟賢
有氧伸展操,2025-01-01,2025-12-31,財團法人味全文化教育基金會,(02)25065001,25,鍾萱儀
肌耐力俱樂部,2025-01-01,2025-12-31,財團法人味全文化教育基金會,(02)25065001,25,黃昱文
麗敏料理教室,2025-01-08,2025-12-31,財團法人味全文化教育基金會,(02)25065001,20,黃麗敏
姿勢矯正運動班,2025-01-01,2025-12-31,財團法人味全文化教育基金會,(02)25065001,30,莊銘修
經絡養生,2025-01-01,2025-12-31,財團法人味全文化教育基金會,(02)25065001,35,陳桂慧
樂齡才藝班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(龍洲據點),(02)25224388,15,張如汮
延緩失能班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(龍洲據點),(02)25224388,15,吳永昌
手機教學班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(龍洲據點),(02)25224388,15,吳淑敬
手作才藝班,2025-01-06,2025-12-31,財團法人台灣老人急重症基金會(聚盛據點),(02)25224388,15,郭思廷
延緩失能,2025-01-06,2025-12-31,財團法人台灣老人急重症基金會(聚盛據點),(02)25224388,15,菲特邦健康管理顧問公司
長青樂活班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(聚盛據點),(02)25224388,15,會務人員
科技應用班,2025-01-06,2025-12-20,財團法人台灣老人急重症基金會(聚盛據點),(02)25224388,15,吳淑敬
手機教學班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(聚盛據點),(02)25224388,15,吳淑敬
養樂多班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(中山據點),(02)25224388,15,菲特邦健康管理顧問公司
座椅伸展班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(中山據點),(02)25224388,15,菲特邦健康管理顧問公司
延緩失能班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(中山據點),(02)25224388,15,吳永昌
肌力瑜珈班,2025-01-01,2025-12-20,財團法人台灣老人急重症基金會(中山據點),(02)25224388,15,菲特邦健康管理顧問公司
延緩與預防濕能照護方案,2025-09-02,2025-11-18,財團法人台北市台北中華基督教會,(02)25118021,30,郭玟妤
樂齡活力學堂,2025-11-25,2025-12-16,財團法人台北市台北中華基督教會,(02)25118021,30,游秀子、周慧禎、吳雅芳、張英杰
多元化課程,2025-09-05,2025-12-19,財團法人台北市台北中華基督教會,(02)25118021,30,林增坤、陳俊堯、蘇美玲、馬偕醫院社區醫學中心醫師及護理師、台北市政府消防局講師
彈力帶肌力運動,2025-03-06,2025-12-18,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(松江靈糧福音中心),(02)25171835,25,賴玉雯
活躍筋骨下,2025-09-04,2025-12-31,財團法人佳音文教基金會,(02)25962342,30,彭振維
健康養生講座,2025-01-01,2025-12-31,臺北市長青福利會,(02)25079552,15,唐中成
肌肉強化唱跳遊,2025-01-01,2025-12-31,臺北市中山區行政里辦公處,(02)25092994,25,陳采婕
有氧肌力健康體適能,2025-01-01,2025-12-31,臺北市中山區行政里辦公處,(02)25092994,25,陳緒銘
瑜珈提斯身心適能,2025-01-01,2025-12-31,臺北市中山區行政里辦公處,(02)25092994,25,劉乙華
躍動身心樂創作,2025-01-01,2025-12-31,臺北市中山區行政里辦公處,(02)25092994,25,劉乙華
瑜珈班,2025-01-01,2025-12-31,臺北市中山區行孝里辦公處,(02)25172230,50,蕭勝文
樂齡快樂學習班,2025-01-01,2025-12-31,臺北市中山區行孝里辦公處,(02)25172230,50,陳淑華
排舞班,2025-01-01,2025-12-31,臺北市中山區行孝里辦公處,(02)25172230,50,藍麗桂
日語講唱班,2025-01-01,2025-12-31,臺北市中山區行孝里辦公處,(02)25172230,50,劉鵖儀
社區衛教暨醫學健康講座課程,2025-03-04,2025-12-30,臺北市中山區聚葉里辦公處,(02)25812320,12,游啟業
多元學習,2025-01-01,2025-12-31,臺北市中山區永安里辦公處,0910-857885,35,外聘講師
長青樂齡課程,2025-01-01,2025-12-31,臺北市中山區永安里辦公處,0910-857885,35,外聘講師
樂齡學堂(二上),2025-01-01,2025-12-30,臺北市中山區民安里辦公處,(02)25817770,30,樂齡師資
瑜珈伸展(四下),2025-01-01,2025-12-25,臺北市中山區民安里辦公處,(02)25817770,30,里內師資
樂齡律動(五上),2025-01-01,2025-12-26,臺北市中山區民安里辦公處,(02)25817770,30,樂齡師資
易筋經,2025-01-31,2025-12-31,臺北市中山區朱園里辦公處,0922-161726,30,莊雪櫻
經絡拳,2025-01-01,2025-12-31,臺北市中山區朱園里辦公處,0922-161726,30,帶班志工
防失智課程,2025-01-01,2025-12-31,臺北市中山區朱園里辦公處,0922-161726,30,賴建仁
達摩氣功班(6號教室),2025-01-06,2025-12-08,財團法人福智慈善基金會(東湖據點),(02)26335547,20,廖悅佑
烹飪點心烘焙,2025-01-07,2025-12-30,財團法人福智慈善基金會(東湖據點),(02)26335547,20,葉麗雲
瑜珈伸展養生操,2025-01-08,2025-12-31,財團法人福智慈善基金會(東湖據點),(02)26335547,20,林秀鳳
禪繞創意畫字,2025-01-08,2025-12-31,財團法人福智慈善基金會(東湖據點),(02)26335547,20,林華香
靜心禪繞畫班,2025-01-03,2025-12-26,財團法人福智慈善基金會(東湖據點),(02)26335547,20,陳彤
預防與延緩失能照護方案-第2期(6號教室),2025-07-07,2025-09-22,財團法人福智慈善基金會(東湖據點),(02)26335547,20,黃柏軒
中醫臟腑與經絡(8號教室),2025-09-08,2025-12-29,財團法人福智慈善基金會(東湖據點),(02)26335547,20,邱傳生
工筆國畫班,2025-09-04,2025-12-25,財團法人福智慈善基金會(東湖據點),(02)26335547,20,馮克茵
易經與生活運用(8號教室),2025-09-08,2025-12-29,財團法人福智慈善基金會(東湖據點),(02)26335547,20,邱傳生
動健康班(6號教室),2025-09-29,2025-11-24,財團法人福智慈善基金會(東湖據點),(02)26335547,20,黃柏軒
易筋經氣功班,2025-01-01,2025-12-31,財團法人福智慈善基金會(內湖據點),(02)27963275,15,陳漢龍
唱歌學外語,2025-01-01,2025-12-31,財團法人福智慈善基金會(內湖據點),(02)27963275,20,郭志信
樂齡好肌力,2025-01-01,2025-12-31,財團法人福智慈善基金會(內湖據點),(02)27963275,15,黃柏軒
預防延緩失能第2期,2025-07-28,2025-10-20,財團法人福智慈善基金會(內湖據點),(02)27963275,18,黃柏軒
健康動一動,2025-10-21,2025-12-31,財團法人福智慈善基金會(內湖據點),(02)27963275,15,黃柏軒
手機應用班,2025-09-02,2025-11-19,財團法人基督教救世軍(內湖隊),(02)27990098,15,李明峰
舞動樂齡活力人生,2025-09-02,2025-11-18,財團法人基督教救世軍(內湖隊),(02)27990098,15,徐菲柔
預防與延緩失能第二期,2025-09-04,2025-11-20,財團法人基督教救世軍(內湖隊),(02)27990098,15,吳茂維
活力運動班,2025-01-01,2025-12-31,財團法人基督教台灣信義會(內湖思恩堂),0936-649973,30,
英文老歌欣賞,2025-01-01,2025-12-31,財團法人基督教台灣信義會(內湖思恩堂),0936-649973,30,
正形健膝操,2025-01-01,2025-12-31,財團法人基督教台灣信義會(內湖思恩堂),0936-649973,30,
健康促進(樂齡運動),2025-10-13,2025-12-31,財團法人基督教台灣信義會(內湖思恩堂),0936-649973,30,張安秝
預防及延緩失能第3期,2025-07-21,2025-10-09,財團法人基督教台灣信義會(內湖思恩堂),0936-649973,30,張安秝
9月-12月 動動體適能,2025-09-02,2025-12-16,財團法人基督教中國佈道會,(02)26320867,22,林志勳
9月-12月 卡拉ok團體A班,2025-09-04,2025-12-16,財團法人基督教中國佈道會,(02)26320867,12,邱海光、翁嘉恩
9月-12月 喜樂英文班,2025-09-10,2025-12-17,財團法人基督教中國佈道會,(02)26320867,20,Nick
9月-12月 名片名曲英文,2025-09-05,2025-12-19,財團法人基督教中國佈道會,(02)26320867,30,Nick等人
預防延緩失能課程第二期,2025-09-10,2025-11-26,財團法人基督教中國佈道會,(02)26320867,22,孫立瑋
9月-12月 輕鬆學畫畫,2025-09-10,2025-12-17,財團法人基督教中國佈道會,(02)26320867,18,遆怡誠
週二快樂讀書會,2025-01-07,2025-12-30,財團法人台福基督教會,(02)87928125,50,張舒莉
週六健康知識分享,2025-01-11,2025-12-27,財團法人台福基督教會,(02)87928125,50,張舒莉、李秀玲、高偉華、趙強、黃昭源、徐敏燕
日文班-303教室,2025-01-06,2025-12-31,財團法人台灣基督教恩惠福音會,(02)27971000,30,江金龍
英文班-副堂教室,2025-01-08,2025-12-31,財團法人台灣基督教恩惠福音會,(02)27971000,30,鄭素芳
保健團體-副堂教室,2025-01-02,2025-12-31,財團法人台灣基督教恩惠福音會,(02)27971000,30,志工群
慢活樂齡運動班-副堂教室,2025-01-02,2025-12-31,財團法人台灣基督教恩惠福音會,(02)27971000,30,施子胤
湖光山攝-副堂教室,2025-01-02,2025-12-31,財團法人台灣基督教恩惠福音會,(02)27971000,30,劉台新
飲食指南班-301教室,2025-03-06,2025-12-31,財團法人台灣基督教恩惠福音會,(02)27971000,10,葉凡綾
預防延緩與失能課程-第三期-副堂教室,2025-07-07,2025-09-22,財團法人台灣基督教恩惠福音會,(02)27971000,30,莊惠茹
緩按摩拉筋班,2025-09-03,2025-12-31,財團法人台北市基督教台灣貴格會(忠湖教會),(02)27923347,13,朱明珍
書法班,2025-01-01,2025-12-31,臺北市內湖區週美里辦公處,0921-140488,30,陳小燕、謝國龍
手工拼布班,2025-01-01,2025-12-31,臺北市內湖區週美里辦公處,0921-140488,30,劉惠雅
綜合活動,2025-01-01,2025-12-31,臺北市內湖區週美里辦公處,0921-140488,30,蔡明諺、莊雅雯、劉明富、張育華、何宜親
手機實用班,2025-01-01,2025-12-31,臺北市內湖區週美里辦公處,0921-140488,30,邵維恩、呂彥伯
紫雲樂活繪,2025-03-03,2025-11-24,臺北市內湖區紫雲社區發展協會,(02)27913337,20,楊錦梅
長青樂齡享生活(手機教學/族群藝文傳講/懷舊分享/電影欣賞/外丹功),2025-03-03,2025-11-24,臺北市內湖區紫雲社區發展協會,(02)27913337,20,王素琴、替代役、志工、客委會、原民會、智齡科技、林瑀臻、巨匠電腦、國泰診所
銀髮青春、好學堂(醫療保健/桌遊/養身律動/認知創新藝術/美食教學),2025-03-04,2025-11-25,臺北市內湖區紫雲社區發展協會,(02)27913337,20,
樂活唱青春好食在(手工藝/桌遊/讀劇溝通/環保警消講座/合唱團/美食教學),2025-03-05,2025-11-26,臺北市內湖區紫雲社區發展協會,(02)27913337,20,
家常料理示範教學,2025-03-06,2025-11-27,臺北市內湖區紫雲社區發展協會,(02)27913337,20,軒秀鳳、洪秀枝、汪蜀玥、周淑娟
壺鈴踏板交叉訓練,2025-01-07,2025-12-31,臺北市內湖區碧湖社區發展協會(金瑞據點),(02)87926024,20,王瓊婷
筋膜舒緩肌力鞏固,2025-01-03,2025-12-31,臺北市內湖區碧湖社區發展協會(金瑞據點),(02)87926024,20,王瓊婷
