醫事機構名稱,顯示用地址,系統辨識用地址,電話,分機,手機
葫州診所,臺北市內湖區康寧路三段35號,臺北市內湖區康寧路三段35號,(02)26306606,,
內湖國泰診所,臺北市內湖區瑞光路337號,臺北市內湖區瑞光路337號,(02)87972121,321,
永育大湖診所,臺北市內湖區成功路四段366號,臺北市內湖區成功路四段366號,(02)27906002,,
內湖長春診所,臺北市內湖區民權東路六段64號,臺北市內湖區民權東路六段64號,(02)27926868,,
陳森豊診所,臺北市內湖區環山路一段2號,臺北市內湖區環山路一段2號,(02)27990361,,
高峰診所,臺北市內湖區內湖路二段39號1樓,臺北市內湖區內湖路二段39號1樓,(02)27926868,,
聯醫內湖門診部,臺北市內湖區民權東路6段99號,臺北市內湖區民權東路6段99號,(02)27908387,,
新光醫院,臺北市士林區文昌路95號,臺北市士林區文昌路95號,(02)28332211,1234,
聯醫陽明院區,臺北市士林區雨聲街105號,臺北市士林區雨聲街105號,(02)28389198,,
樹爸爸親子診所,臺北市士林區德行東路286號,臺北市士林區德行東路286號,(02)28381838,,
愛林診所,臺北市士林區承德路四段222號,臺北市士林區承德路四段222號,,,0916474764
科安診所,臺北市士林區社中街116號,臺北市士林區社中街116號,(02)28110699,,
揚德健康診所,臺北市士林區中正路436號,臺北市士林區中正路436號,(02)28362868,,
榮清耳鼻喉科診所,臺北市士林區文林路483號,臺北市士林區文林路483號,(02)28316878,,
政吉診所,臺北市士林區士東路67號1樓,臺北市士林區士東路67號1樓,(02)28748318,,
聯醫士林門診部,臺北市士林區中正路439號1樓,臺北市士林區中正路439號1樓,(02)28836268,,
臺北榮總,臺北市北投區石牌路二段201號,臺北市北投區石牌路二段201號,,,0938592697
關渡醫院,臺北市北投區知行路225巷12號,臺北市北投區知行路225巷12號,(02)28587107,,
振興醫院,臺北市北投區振興街45號,臺北市北投區振興街45號,(02)28267489,,
張參雄診所,臺北市北投區光明路166-1號,臺北市北投區光明路166-1號,(02)28926555,,
惠康診所,臺北市北投區西安街二段113號,臺北市北投區西安街二段113號,(02)28283964,,
常哲診所,臺北市北投區明德路157-4號,臺北市北投區明德路157-4號,(02)28285515,,
王志靈診所,臺北市北投區實踐街44號,臺北市北投區實踐街44號,(02)28227397,,
文遠診所,臺北市北投區石牌路二段346號,臺北市北投區石牌路二段346號,(02)28739991,,
洪耳鼻喉科診所,臺北市北投區中央南路一段43號,臺北市北投區中央南路一段43號,(02)28928769,,
聯醫北投門診部,臺北市北投區新市街30號5樓,臺北市北投區新市街30號5樓,(02)28912670,,
