序號,行政區域代碼,院所名稱,地址,電話
29,63000020,王寬仁診所,臺北市信義區虎林街121巷11號1樓,02-2720-4952
30,63000020,台灣中油股份有限公司員工診所,臺北市信義區松仁路3號3樓,02-8725-9796
31,63000020,永吉羅耳鼻喉科診所,臺北市信義區永吉路272號,02-2768-3191
32,63000020,朱耳鼻喉科診所,臺北市信義區忠孝東路五段452號,02-2720-9172
33,63000020,松山班廷建興診所,臺北市信義區市民大道六段318號,02-2765-2295
34,63000020,信義邱婦產科診所,臺北市信義區虎林街198號,02-2727-8275
35,63000020,栢麗恆全人診所,臺北市信義區忠孝東路五段431號2樓,02-2765-7065
36,63000020,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,02-2729-6611
37,63000020,登瑞安診所,臺北市信義區林口街232號,02-2726-5228
38,63000020,黃啟彰診所,臺北市信義區松山路261-1號,02-2769-6218
39,63000020,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,02-2726-5025
40,63000020,臺北產業醫診所,臺北市信義區信義路五段7號35樓,02-8101-6355
41,63000020,福德郭耳鼻喉科診所,臺北市信義區福德街62號,02-2759-1051
42,63000020,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,02-2760-1618
43,63000020,原力復健科診所,臺北市信義區基隆路二段145號,02-2732-7311
44,63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,02-2708-2121
45,63000030,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,02-2709-3600
46,63000030,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路三段155巷57號,02-2322-0322
47,63000030,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,02-2708-1166
48,63000030,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,02-2751-0221
49,63000030,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,02-2771-3161
50,63000030,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,02-2739-0997
51,63000030,啟誠聯合診所,臺北市大安區和平東路二段120號,02-2378-4380
52,63000030,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,02-2369-0211
53,63000030,仁安診所,臺北市大安區和平東路二段175巷34號,02-2706-5995
54,63000030,全家聯合診所,臺北市大安區和平東路二段353號,02-2706-7575
55,63000030,安仁診所,臺北市大安區安和路一段29號6樓,02-8773-3676
56,63000030,安東診所,臺北市大安區和平東路二段229號,02-2708-8995
57,63000030,行一診所,臺北市大安區新生南路三段19巷8號3樓之1,02-2784-0735
58,63000030,吳坤光婦產科診所,臺北市大安區信義路四段59號,02-2705-9320
59,63000030,呂小兒科診所,臺北市大安區通化街24巷6號1樓,02-2700-0708
60,63000030,李唯通診所,臺北市大安區安居街19號,02-2377-3506
61,63000030,李細祥內科診所,臺北市大安區四維路198巷30弄5號,02-2701-8159
62,63000030,沈德昌診所,臺北市大安區四維路189號,02-2703-5300
63,63000030,松德診所,臺北市大安區四維路170巷16號1樓,02-2707-3326
64,63000030,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,02-2731-5568
65,63000030,邱醫師診所,臺北市大安區和平東路三段288號,02-2739-2696
66,63000030,夏爾診所,臺北市大安區信義路四段265巷54號,02-2325-5508
67,63000030,家齡診所,臺北市大安區敦化南路一段191號B1,02-2721-1258
68,63000030,健華診所,臺北市大安區和平東路二段299號,02-2707-2990
69,63000030,博安家庭醫學診所,臺北市大安區麗水街3號,02-2356-7066
70,63000030,逸林診所,臺北市大安區信義路四段109之2號,02-2700-6896
71,63000030,新鑫耳鼻喉科診所,臺北市大安區師大路105巷13號1樓,02-2362-1201
72,63000030,樂活診所,臺北市大安區師大路12號,02-2368-3883
73,63000030,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,02-2709-6199
74,63000030,謝婦產科診所,臺北市大安區忠孝東路四段311號3樓之1,02-2772-8300
75,63000030,櫟安診所,臺北市大安區金山南路二段200號11樓,02-2358-2138
76,63000030,東風診所,臺北市大安區忠孝東路四段132號4樓,02-2777-5868
77,63000030,伊生診所,臺北市大安區忠孝東路四段216巷32弄15號,02-2775-1301
78,63000030,和平診所,臺北市和平東路一段77號之2,02-2391-2000
79,63000030,澤星親子診所,臺北市大安區敦化南路1段376號二樓之2,02-2701-8848
80,63000030,瑞森診所,臺北市大安區信義路三段134巷100號,02-2707-6002
81,63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-2543-3535
82,63000040,臺北市立聯合醫院林森院區,臺北市中山區林森北路530號,02-2591-6681
83,63000040,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,02-2543-3535
84,63000040,協和婦女醫院,臺北市中山區松江路85巷5號,02-2507-2222
85,63000040,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,02-2501-3363
86,63000040,大直佳恩診所,臺北市中山區北安路591號,02-2532-3301
87,63000040,大直診所,臺北市中山區北安路595巷2弄2號1樓,02-2533-2339
88,63000040,王三郎婦產科診所,臺北市中山區中山北路二段166號之2,02-2594-8758
89,63000040,北安聯合診所,臺北市中山區北安路569-3號,02-2533-7777
90,63000040,正恩耳鼻喉科診所,臺北市中山區錦州街321號,02-2505-2293
91,63000040,民生承安診所,臺北市中山區民生東路三段90號,02-2503-2633
92,63000040,永育樂群診所,臺北市中山區樂群二路210之2號,02-8501-2268
93,63000040,李宜霖診所,臺北市中山區植福路298號,02-2658-2669
94,63000040,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,02-2501-3109
95,63000040,固廉診所,臺北市中山區北安路613號595巷1號地下一層,02-2532-3036
96,63000040,宗北內科診所,臺北市中山區民生西路24號2樓,02-2541-1001
97,63000040,信安診所,臺北市中山區民生西路24號3樓,02-2511-8112
98,63000040,高固廉診所,臺北市中山區北安路613號,02-2532-3036
99,63000040,惟廉診所,臺北市中山區北安路595巷1號B1,02-2532-3036
100,63000040,莊宇龍診所,臺北市中山區北安路637號1樓,02-2533-1255
101,63000040,陳世澤內科診所,臺北市中山區龍江路284-1號,02-2501-1239
102,63000040,陳炯輝診所,臺北市中山區民生東路二段103號,02-2522-1796
103,63000040,聖和骨外科診所,臺北市中山區農安街140號,02-2596-9131
104,63000040,農安診所,臺北市中山區農安街62號,02-2597-8590
105,63000040,榮星診所,臺北市中山區龍江路280號,02-2516-8112
106,63000040,德美診所,臺北市中山區北安路596號1樓,02-2532-6618
107,63000040,慶恩小兒科診所,臺北市中山區吉林路117號,02-2568-3199
108,63000040,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,02-2515-2433
109,63000040,龍江固廉診所,臺北市中山區龍江路360號,02-2517-0093
110,63000040,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,02-2522-2350
111,63000040,綠葉親子診所,臺北市中山區農安街12-1號1樓,02-2593-5559
112,63000040,中崙國際診所,臺北市中山區八德路二段305號1樓,02-2771-1501
113,63000040,晨昕診所,臺北市中山區復興北路350號3樓,02-2518-1268
114,63000050,國立臺灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,"總機 02-2312-3456
語音預約 02-2356-7890"
115,63000050,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,02-2388-9595
116,63000050,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,02-2391-6470
117,63000050,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,"總機 02-2312-3456
語音預約 02-2356-7890"
118,63000050,郵政醫院(委託中英醫療社團法人經營),臺北市中正區福州街14號,02-2395-6755
119,63000050,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,02-2321-0168
120,63000050,丞泰耳鼻喉科診所,臺北市中正區南昌路一段78號,02-2397-3668
121,63000050,同泰診所,臺北市中正區汀州路二段136、138號,02-2367-8511
122,63000050,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,02-2381-8766
123,63000050,宜康診所,臺北市中正區新生南路一段148號1樓,02-2341-7696
124,63000050,怡和診所,臺北市中正區汀州路二段212號,02-2362-5100
125,63000050,健康101診所,臺北市中正區牯嶺街97號1樓,02-2364-8085
126,63000050,國軍台北門診中心附設民眾診療服務處,臺北市中正區紹興南街7號,02-2391-8235
127,63000050,張孟源內科診所,臺北市中正區中華路二段325號1樓,02-2309-8600
128,63000050,博士診所,臺北市中正區南陽街8號B1,02-2312-0120
129,63000050,惠恩診所,臺北市中正區濟南路二段48巷3-2號1樓,02-2391-9572
130,63000050,滙安診所,臺北市中正區和平西路一段20號5樓,02-2363-7588
131,63000050,銘人診所,臺北市中正區博愛路9號3樓,02-7755-7566
132,63000050,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,臺北市中正區永綏街8號,02-2311-1525
133,63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,02-2552-3234
134,63000060,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,02-2594-8971
135,63000060,建成診所,臺北市大同區長安西路82號,02-2550-0712
136,63000060,建順診所,臺北市大同區甘州街51號1樓,02-2557-3250
137,63000060,施小兒科診所,臺北市大同區重慶北路三段28號,02-2594-1935
138,63000060,紘成診所,臺北市大同區長安西路53巷7弄1號,02-2559-2412
139,63000060,鈞生診所,臺北市大同區甘州街28號,02-2557-0048
140,63000060,寧夏診所,臺北市大同區民生西路236號1樓,02-2558-6060
141,63000060,澤康診所,臺北市大同區重慶北路三段71號,02-2596-0922
142,63000060,羅志弘診所,臺北市大同區重慶北路三段115號,02-2592-1666
143,63000060,羅源彰診所,臺北市大同區長安西路137號,02-2555-2500
144,63000060,圓山診所,臺北市大同區酒泉街131號1樓,02-2585-0036
145,63000060,悅昇診所,臺北市大同區錦西街50-1號,02-2550-2664
146,63000060,聖方診所,臺北市大同區長安西路177巷2號,02-2558-8189
147,63000070,臺北市立聯合醫院昆明院區,臺北市萬華區昆明街100號,02-2370-3739
148,63000070,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,02-2371-7101
149,63000070,同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,02-2305-9292
150,63000070,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,02-2307-6968
151,63000070,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街243號,02-2302-1133
152,63000070,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,02-2339-5383
153,63000070,天行健診所,臺北市萬華區寶興街127號,02-2332-0688
154,63000070,可為診所,臺北市萬華區青年路24號1樓,02-2337-0111
155,63000070,台北透析診所,臺北市萬華區西園路一段200號3樓,02-2338-2398
156,63000070,永康診所,臺北市萬華區桂林路47號,02-2312-3455
157,63000070,名家耳鼻喉科診所,臺北市萬華區西藏路107-2號1樓,02-2303-6513
158,63000070,快樂兒童診所,臺北市萬華區寶興街121號,02-2332-8610
159,63000070,佳安診所,臺北市萬華區青年路34號,02-2332-0898
160,63000070,青年診所,臺北市萬華區中華路二段424號,02-2303-2450
161,63000070,益銓診所,臺北市萬華區萬大路233號,02-2333-1323
162,63000070,健安診所,臺北市萬華區萬大路432號1樓,02-2301-2255
163,63000070,瑞生診所,臺北市萬華區西園路二段250號,02-2301-2788
164,63000070,萬澤內科診所,臺北市萬華區萬大路425之1號2~3樓,02-2339-7018
165,63000070,聖約翰婦產科診所,臺北市萬華區東園街175號,02-2309-8502
166,63000070,漢宗小兒科診所,臺北市萬華區中華路二段434號,02-2303-9022
167,63000070,慧洋診所,臺北市萬華區莒光路125號,02-2302-0209
168,63000070,東京生活診所,臺北市萬華區萬大路491號1樓,02-2309-0990
169,63000070,新田診所,臺北市萬華區梧州街62號1樓,02-2308-9515
170,63000070,萬大聖心診所,臺北市萬華區萬大路425號1樓,02-2309-0006
171,63000080,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,02-2930-7930
172,63000080,景美醫院,臺北市文山區羅斯福路六段280號,02-2933-1010
173,63000080,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,02-8237-7441
174,63000080,仁荔健康診所,臺北市文山區興隆路一段258號1樓,02-2933-9986
175,63000080,仁耀診所,臺北市文山區興隆路一段273號,02-2931-7788
176,63000080,吳錫賢診所,臺北市文山區木新路三段208號,02-2938-1577
177,63000080,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,02-2933-3096
178,63000080,官世英診所,臺北市文山區景興路45號1樓,02-8663-8189
179,63000080,定安診所,臺北市文山區景興路165號,02-2932-3755
180,63000080,東翰診所,臺北市文山區興隆路二段139號,02-2930-8330
181,63000080,林正豐診所,臺北市文山區保儀路25號,02-2936-3665
182,63000080,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,02-2933-4933
183,63000080,欣民診所,臺北市文山區保儀路37號,02-2937-5115
184,63000080,泓仁診所,臺北市文山區木新路二段273號,02-2938-2627
185,63000080,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,02-2936-4708
186,63000080,徐慧玲診所,臺北市文山區興隆路四段97號,02-2234-0000
187,63000080,健鑫診所,臺北市文山區忠順街一段28號1樓,02-2937-5680
188,63000080,陳建業診所,臺北市文山區景文街86號,02-2935-8181
189,63000080,順欣診所,臺北市文山區木柵路三段112號,02-2939-1011
190,63000080,瑞萱診所,臺北市文山區景華街124號,02-2930-5313
191,63000080,葉洪小兒科診所,臺北市文山區興隆路三段202號,02-2230-0055
192,63000080,興隆內科小兒科診所,臺北市文山區興隆路二段17號,02-2931-1736
193,63000080,興隆李內兒科診所,臺北市文山區興隆路一段12號,02-2931-4537
194,63000090,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,02-2786-1288
195,63000090,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,02-2786-8756
196,63000090,中坡耳鼻喉科診所,臺北市南港區中坡南路29號,02-2785-0329
197,63000090,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,02-2785-3913
198,63000090,永育醫療福德診所,臺北市南港區福德街320號,02-2785-0700
199,63000090,李文珍小兒科診所,臺北市南港區研究院路二段74號,02-2651-1871
200,63000090,杏安診所,臺北市南港區同德路74、76號1樓,02-2789-2008
201,63000090,松展診所,臺北市南港區忠孝東路六段110巷18號,02-2763-1373
202,63000090,陳志鑫診所,臺北市南港區八德路四段812號,02-2783-9698
203,63000090,陳勝吉診所,臺北市南港區研究院路一段115號1樓,02-2783-6972
204,63000090,義仁兒科診所,臺北市南港區玉成街138號1樓,02-2651-5929
205,63000090,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,02-2651-3761
206,63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,02-8792-3311
207,63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,02-2791-9696
208,63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,02-2634-5500
209,63000100,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,02-2790-8387
210,63000100,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,02-2659-6360
211,63000100,內湖長春診所,臺北市內湖區民權東路六段64號,02-2792-6868
212,63000100,日新診所,臺北市內湖區成功路五段446號1樓,02-2634-2743
213,63000100,王慶森診所,臺北市內湖區港墘路65號,02-2798-6052
214,63000100,永育醫療大湖診所,臺北市內湖區成功路四段366號,02-2790-6002
215,63000100,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,02-2793-5940
216,63000100,林永正診所,臺北市內湖區康樂街130號,02-2631-5567
217,63000100,育睿診所,臺北市內湖區內湖路一段217巷35號,02-2656-0801
218,63000100,思維診所,臺北市內湖區文德路25號,02-2657-5779
219,63000100,馬思特診所,臺北市內湖區成功路四段53號1樓,02-2792-5994
220,63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,02-8797-2121
221,63000100,康育診所,臺北市內湖區成功路三段189號2樓,02-2790-9134
222,63000100,陳森豊聯合診所,臺北市內湖區環山路1段2號,02-2799-0361
223,63000100,湖欣診所,臺北市內湖區成功路四段327號,02-2791-8350
224,63000100,陽光活力診所,臺北市內湖區瑞光路500號1樓,02-8797-3828
225,63000100,新明診所,臺北市內湖區新明路386號,02-8792-1282
226,63000100,葫洲診所,臺北市內湖區康寧路三段35、37號,02-2630-6606
227,63000100,劉淦華診所,臺北市內湖區金龍路43號,02-2790-5374
228,63000100,魏穀年診所,臺北市內湖區內湖路一段403號,02-2657-2691
229,63000100,佳霖診所,臺北市內湖區東湖路147號2樓,02-2633-4535
230,63000100,高峰診所,臺北市內湖區內湖路二段39號1樓,02-2659-1888
231,63000100,樂善診所,臺北市內湖區行善路260號,02-2790-2600
232,63000100,永育醫療康樂診所,臺北市內湖區康樂街82號,02-2630-8800
233,63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-2833-2211
234,63000110,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,02-2835-3456
235,63000110,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,02-2883-6268
236,63000110,士林小兒科診所,臺北市士林區中正路249號,02-2881-2485
237,63000110,存德小兒科診所,臺北市士林區文林路460號,02-2834-2567
238,63000110,何小兒科診所,臺北市士林區福港街176號,02-2882-7401
239,63000110,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,02-2872-9980
240,63000110,佩佩婦幼診所,臺北市士林區中山北路六段182號,02-2838-6262
241,63000110,和謙耳鼻喉科診所,臺北市士林區社中街362號,02-2816-5678
242,63000110,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,02-8866-1176
243,63000110,科安診所,臺北市士林區社中街116號,02-2811-0699
244,63000110,張虔熙小兒科診所,臺北市士林區中山北路六段282號,02-2836-1368
245,63000110,愛林診所,臺北市士林區承德路四段222號,02-2883-6881
246,63000110,粱耳鼻喉科診所,臺北市士林區社正路12之1號,02-2816-8456
247,63000110,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,02-2831-6878
248,63000110,德泰耳鼻喉科診所,臺北市士林區通河街42-1號,02-2885-1570
249,63000110,樹爸爸親子診所,臺北市士林區德行東路286號,02-2838-1838
250,63000110,橙光耳鼻喉科診所,臺北市士林區大南路286號,02-2888-3222
251,63000110,耀明診所,臺北市士林區中正路322號,02-2832-0657
252,63000110,蘇慧卿診所,臺北市士林區大南路274號,02-2882-9955
253,63000110,德生診所,臺北市士林區文林路552號,02-2981-2988
254,63000110,永捷診所,臺北市士林區社子街67號1樓,02-2811-1472
255,63000110,宜達診所,臺北市士林區前港街86號1樓,02-2883-3678
256,63000110,士林欣然耳鼻喉科診所,臺北市士林區文林路450號1樓,02-2838-6090
257,63000120,臺北榮民總醫院,臺北市北投區石牌路二段201號,02-2871-2121
258,63000120,振興醫療財團法人振興醫院,臺北市北投區振興路45號,02-2826-4400
259,63000120,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,02-2895-9808
260,63000120,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,02-2897-0011
261,63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,02-2858-7000
262,63000120,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,02-2891-2670
263,63000120,大順耳鼻喉科診所,臺北市北投區中和街236號,02-2896-4588
264,63000120,天母力康診所,臺北市北投區明德路365號3樓,02-2821-0866
265,63000120,文遠診所,臺北市北投區石牌路二段346號1樓、2樓,02-2873-9991
266,63000120,王永良診所,臺北市北投區自強街94號,02-2822-7287
267,63000120,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,02-2821-0501
268,63000120,永安家庭醫學科診所,臺北市北投區中央北路一段172號,02-2894-0888
269,63000120,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,02-2820-6886
270,63000120,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,02-2827-1110
271,63000120,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,02-2822-1212
272,63000120,和勤診所,臺北市北投區中央北路四段543號1樓,02-2894-2339
273,63000120,林文正耳鼻喉科診所,臺北市北投區明德路92號1樓,02-2826-1083
274,63000120,長宏診所,臺北市北投區中央北路二段121號,02-2896-7372
275,63000120,昱德聯合診所,臺北市北投區光明路102號1樓,02-2897-5050
276,63000120,洪耳鼻喉科診所,臺北市北投區中央南路一段43號,02-2892-8769
277,63000120,紀耳鼻喉科診所,臺北市北投區石牌路二段57號,02-2821-4485
278,63000120,祐民聯合診所,臺北市北投區中央南路一段207號,02-2895-1301
279,63000120,常哲診所,臺北市北投區明德路157之4號,02-2828-5515
280,63000120,康田診所,臺北市北投區自強街76號,02-2821-0988
281,63000120,張參雄診所,臺北市北投區光明路166-1號,02-2892-6555
282,63000120,清田婦產科家醫科診所,臺北市北投區中和街268號,02-2893-1323
283,63000120,陳珀勳診所,臺北市北投區明德路75號1樓,02-2820-6263
284,63000120,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,02-2892-8950
285,63000120,黃正宏診所,臺北市北投區西安街一段359號,02-2821-7076
286,63000120,萬泰診所,臺北市北投區中央北路二段52號,02-2893-0727
287,63000120,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,02-2897-8787
288,63000120,台新診所,臺北市北投區光明路145號,02-2893-6508
