序號,機構名稱,機構地址,聯絡電話,分機,平日給藥時間,假日給藥時間,其他給藥時間,轉入掛號費,跨區給藥服務費,轉出掛號費,跨區給藥評估費,注意事項
16,維新醫療社團法人台中維新醫院,臺中市北區育德路185號,(04)22038585,2002,15:30-21:00,15:30-20:00,春節(小年夜-初三)15:00-20:00,0元,150元/日,0元,300元/次,"一、提前2天申請(不含假日)，受理申請服務時間(平日09:00-11:00；13:00-16:00)，確認服藥時間及其他注意事項。
二、首次就醫，須至櫃檯填寫基本資料，服藥時攜帶雙證件及美沙冬服藥紀錄單。
三、跨區給藥服務費用(轉出和轉入)採一次性收取，完成繳費後將以不退費處理。"
17,彰化基督教醫療財團法人彰化基督教醫院,彰化縣彰化市南校街135號,(04)7238595,1040,"07:40-09:10
17:50-19:30",07:40-09:40,颱風正常給藥,0元,50元/日,0元,0元,"一、帶身份証及跨區給藥之單張，先到發藥區報到，再到收費處繳費。
二、第一次報到時間
平日：08:00~08:40，18:00~19:00
假日：08:00~09:10"
18,衛生福利部彰化醫院,彰化縣埔心鄉舊館村中正路二段80號,(04)8298686,1040,07:15-13:30,07:15-11:00,"除夕-初五及
國定假日
07:15-11:00",0元,50元/日,0元,0元,
19,秀傳醫療社團法人秀傳紀念醫院,彰化市中山路一段542號,(04)7256166,66130,"07:00-08:30
17:30-19:00",07:30-09:00,無,0元,50元/日,0元,0元,"一、第一次到院服藥時，請在給藥時間結束前1小時至延平大樓給藥室報到並攜帶雙證件及美沙冬異地給藥處方資料。
二、平日給藥時間由個管師開立繳費單，再至延平大樓繳費並持收據直接至給藥室建檔及服藥。 
三、假日、晚間給藥時間由個管師開立繳費單，再至醫療大樓繳費並持收據返回延平大樓給藥室建檔及服藥。
四、請於規範時間內並帶齊證件前來，未符合規範概不受理。"
20,彰化基督教醫療財團法人鹿港基督教醫院(長青院區),彰化縣鹿港鎮鹿東路二段888號,(04)7789595,1156,"07:30~10:00
16:00~18:30",07:30~10:00,"除夕 ~ 初四
07:30 ~ 10:00",0元,50元/日,0元,0元,"異地給藥初次報到請聯繫個管師
(時間:08:00~10:00/16:00~18:00，假日08:00~10:00)。"
21,彰化基督教醫療財團法人二林基督教醫院,彰化縣二林鎮大成路一段558號,(04)8952031,8200,07:30-08:30,07:30-08:30,無,0元,50元/日,0元,0元,請個案務必攜帶雙證件前往服藥。
22,衛生福利部草屯療養院,南投縣草屯鎮玉屏路161號,(049)2550800,2733,"07:15-09:30
11:30-13:30",07:15-09:00,"除夕-初五
07:15-09:00",0元,0元,50元/次,0元,"一、需於門診前三個工作天(不含假日)提出申請跨區給藥服務，並請先來電告知。
二、本院無容許減量，申請者之原處方上劑量需與實際服用劑量需相符。
三、請個案攜帶：(一) 雙證件供審查身份(二)專用處方箋。
四、請個案於服藥時間直接至服藥處報到。
"
23,臺中榮民總醫院埔里分院,南投縣埔里鎮榮光路1號,(049)2990833,3406,07:00-09:00,07:00-09:00,"除夕-初五
07:00-09:00",0元,0元,100元/次,300元/次,"一、請跨區轉入個案務必持有照片之雙證件確認身分；如身分證、駕照；健保卡。
二、本院申請跨區給藥服務之轉入個案均「無」容許減量的空間，「處方劑量」與「實際服用劑量」應相符，故請轉出醫院於個案提出申請服務之前請修正醫囑處方，以利遵照處方劑量給藥。
三、請攜帶原處方醫院之美沙冬服藥紀錄單，並蓋好原處方醫院醫師章。
四、喝完藥請跟給藥人員說話，確認已服完藥，才可以離開。
五、請務必依本院給藥時間出席服藥，勿遲到，因故無法出席服藥者，請於給藥時間內來電告知，非給藥時間無人留守，請勿來電。
"
24,衛生福利部南投醫院,南投縣南投市復興路478號,(049)2231150,1132,"07:30-09:30
11:30-13:30",07:30-09:30,07:30-09:30,0元,0元,80元/次,300元/次,申請本院跨區給藥服務之個案，「無容許減量」的空間，「處方劑量」與「實際服用劑量」應「與平時服藥劑量相同」，故請轉出醫院於個案提出申請服務之前修正醫囑，以利遵照處方劑量給藥。
25,衛生福利部嘉南療養院,臺南市仁德區裕忠路539號,(06)2795019,1168,"08:00-12:00
13:00-18:00","10:00-12:00
15:00-17:00",,50元/次 ,150元/日,50元/次,300元/次,
26,國立成功大學醫學院附設醫院,臺南市北區勝利路138號,(06)2353535,4362,07:30-17:00,07:30-13:00,"除夕-初五
07:30-13:00",0元,100元/日,0元,200元/次,
27,奇美醫療財團法人奇美醫院(樹林院區）,臺南市南區樹林街二段442號,(06)2228116,"58114
",07:30-17:00,07:30-12:00,無,120元/次,100元/日,120元/次,200元/次,
28,"衛生福利部
新營醫院",臺南市新營區信義街73號,(06)6351131,2102,"07:30-15:30
","07:30-15:30 
",無,0元,100元/日,70元/次,200元/次,「跨區給藥」服務期間，若是個案有缺席達連續3天，依規定個案需重新回到醫師端進行評估。轉入端醫院可以拒絕個案服藥。
29,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣羅東鎮南昌街83號,(03)9543131,3763,08:00-20:00,"週六08:00-20:00 
週日08:00-15:00",,100元/次,150元/日,100元/次,300元/次,"一、請攜帶：
(一)健保卡/身分證
(二)專用處方箋
二、給藥地點於急診藥局。
三、事先收費。
四、HIV個案視同一般服藥個案。"
30,國立陽明交通大學附設醫院,宜蘭市新民路152號,(03)9325192,71103,11:30-19:30,"週六11:30-19:30
週日08:30-14:30","除夕-初四
09:00-13:00",100元/次,150元/日,100元/次,300元/次,"一、請先來電告知。
二、攜帶有照片雙證件及美沙冬服藥紀錄單。"
31,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣羅東鎮中正南路160號,(03)9544106,5103,07:00-21:00,07:00-17:00,07:00-17:00,100元/次,150元/日,100元/次,300元/次,"一、假日不受理轉介申請。
二、個案已申請跨區給藥通過，惟於假日報到者，請逕至急診護理站報到。"
32,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院(竹東院區),新竹縣竹東鎮至善路52號,(03)5943248,1192,13:00-17:00,13:00-15:00,無,100元/次,60元/日,100元/次,250元/次,第一次跨區至本院服藥，請轉出端提供個案基本資料，方便本院建立病歷。
33,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,新竹市經國路一段442巷2巷25號,(03)5326151,2702,12:00-14:00,12:00-14:00,無,120元/次,60元/日,120元/次,250元/次,第一次跨區至本院服藥，請轉出端提供個案基本資料，方便本院建立病歷。
34,國立成功大學醫學院附設醫院斗六分院,雲林縣斗六市莊敬路345號,(05)5332121,5210,07:00-11:00,07:00-11:00,無,100元/次,100元/日,100元/次,200元/次,請先來電告知。
35,天主教若瑟醫療財團法人若瑟醫院,雲林縣虎尾鎮新生路74號,(05)6337333,2213,05:00-13:30,05:00-13:30,05:00-13:30,140元/次,100元/日,0元,200元/次,"一、個案需攜帶身分證。
二、轉入個案報到時間星期一-六上午08:00-11:30；國定假日除外。"
36,國立臺灣大學醫學院附設醫院雲林分院,雲林縣斗六市雲林路二段579號,(05)5323911,7195,07:00-13:00,07:00-11:00,無,100元/次,100元/日,100元/次,200元/次,"一、第一次跨區至本院服藥，請轉出端提供個案基本資料，方便本院建立病歷。
二、不得欠費。"
37,中國醫藥大學北港附設醫院,雲林縣北港鎮新德路123號,(05)7837901,1620,06:30-15:30,0800-1200,無,平日(白天):100元/次。平日(夜間)，週六，假日120元/次。,150元/日,平日(白天):100元/次。平日(夜間)，週六，假日120元/次,300元,"一、欲跨區本院服藥個案，請轉出單位三天(不含假日)前傳真雙證件影本，及個案服藥資料，並來電確認，以利醫師提前開單，方便到院繳費服藥。
二、第一天服藥時，須繳清所有費用，未服藥，不退費。
三、初次到院須攜帶雙證件及專用處方簽。"
38,安泰醫療社團法人安泰醫院,屏東縣東港鎮興東里中正路一段210號,(08)8321211,,16-18:30,16-18:30,無,100元/次,150元/日,100元/次,300元/次,"一、攜帶美沙冬跨區給藥「專用處方箋」至急診櫃台繳費。
二、至急診檢傷區進行身體評估(測量血壓、心跳，並將數值寫於收據上)。
三、至B棟急診藥局給藥窗口報到。"
39,衛生福利部屏東醫院,屏東縣屏東市自由路270號,(08)7363011,2156,"09:00-13:00
17:00-18:00",10:00-12:00 ,國定假日10:00-12:00,80元/次,150元/日,100元/次,300元/次,"個案到本院跨區服藥應遵守事項，請轉出醫院確實向個案說明，並經個案同意後，再行轉介：
一、攜帶有照片且有身分證字號的身分證明文件，如：身分證、健保卡、駕照等。
二、喝完藥須配合跟給藥人員說話，確認已服完藥，才可以離開。
三、請務必依本院給藥時間，出席服藥，勿遲到，因故無法出席服藥者，請於給藥時間內來電告知，非給藥時間無人留守，請勿來電。
四、就醫請保持尊重態度，勿對給藥人員不禮貌或咄咄逼人。
五、第一天服藥，即須繳付當次跨區給藥期間之所有費用，未出席天數將不予以退費。
六、若個案為第一次到本院就醫者，請轉出醫院於同意跨區給藥後，先e-mail其雙證件正反面照片至mmt@pntn.mohw.gov.tw，以利本院製作病歷。"
40,屏安醫療社團法人屏安醫院(麟洛院區),屏東縣麟洛鄉中山路160之1號,(08)7211777,126,"8:10-12:00
14:30-19:00",8:10-12:00,無,100元/次,150元/日,100元/次,300元/次,"個案到本院跨區服藥應遵守事項，請轉出醫院確實向個案說明，並經個案同意後，再行轉介：
一、攜帶有照片且有身分證字號的身分證明文件，如：身分證、健保卡、駕照等。
二、喝完藥須配合跟給藥人員說話，確認已服完藥，才可以離開。
三、請務必依本院給藥時間，出席服藥，勿遲到，因故無法出席服藥者，請於給藥時間內來電告知，非給藥時間無人留守，請勿來電。
四、就醫請保持尊重態度，勿對給藥人員不禮貌或咄咄逼人。
五、第一天服藥，即須繳付當次跨區給藥期間之所有費用，未出席天數將不予以退費。
六、若個案為第一次到本院就醫者，請轉出醫院於同意跨區給藥後，先傳真雙證件，以利本院製作病歷。"
41,衛生福利部朴子醫院,嘉義縣朴子市永和里42-50號,(05)3790600,265,"07:30-09:30
11:30-13:30",08:00-11:00,08:00-11:00,80元/次,50元/日,0元,0元,
42,臺中榮民總醫院灣橋分院,嘉義縣竹崎鄉灣橋村石麻園38號,(05)2791072,7502,06:30-14:30,09:00-12:00,國定假日、颱風假、春節等比照假日給藥時間,30元/次,55元/日,30元/次,300元/次,
43,高雄市立凱旋醫院,高雄市苓雅區凱旋二路130號,(07)7513171,2135,11:30-20:30,12:00-19:00,"除夕-初五
12:00-19:00
(異動時間會另公告在美沙冬窗口)",50元/次,85元/日,50元/次,150元/次,
44,阮綜合醫療社團法人阮綜合醫院,高雄市苓雅區成功一路162號,(07)3351121,2204,07:30-3:30,08:00-12:30,除夕～初三     08:00-12:30,150元/次,150元/日,0元,300元/次,一、請攜帶雙證件供審查身份。                                二、請攜帶美沙冬專用處方簽。                                            三、請個案先至給藥點報到，再至批價掛台繳費。4.繳費後若未服藥不予退費。
45,國軍左營總醫院附設民眾診療服務處,高雄市左營區軍校路553號,(07)5817121,3419,13:30-16:30,13:30-16:30,無,60元/次,35元/日,60元/次,300元/次,
46,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,高雄市大寮區後庄里鳳屏一路509號,(07)7030315,3174,07:30-13:30 ,08:10-13:00 ,無,150元/次,150元/日,150元/次,300元/次,"一、不得欠費。
二、清楚服藥時間。
三、服藥時出示雙證件。"
47,義大醫療財團法人義大醫院,高雄市燕巢區角宿里義大路1號,(07)6150011,2663,08:30-16:00,08:30-12:30,"除夕-初五 
08:30-12:30",150元/次,150元/日,150元/次,300元/次,
48,高雄榮民總醫院,高雄市左營區大中一路386號(精神部),(07)3422121,72067, 04:00-07:00  14:00-17:00, 04:00-7:00  14:00-17:00,"除夕-初五
04:00-7:00      14:00-17:00",0元,150元/日,150元/次,300元/次,"一、申請跨區前請與醫院連絡0975581784(個管師)。
二、跨區個案請於: 14:00-16:00前(平日及假日) 至本院急診大樓一樓旁美沙冬服藥窗口辦理報到手續(請按電鈴)。
三、第一天跨區不開放04:00-7:00服藥時段辦理報到手續。
四、跨區費用一次付清，且不予以退費。
五、報到時須攜帶雙證件、處方簽。       "
49,衛生福利部旗山醫院,高雄市旗山區中學路60號,(07)6613811,2106,07:30-13:30,07:30-11:30,"除夕-初五
07:30-11:30",80元/次,150元/日,80元/次,300元/次,
50,長庚醫療財團法人高雄長庚紀念醫院,高雄市鳥松區大埤路123號,(07)7317123,"6332
",12:30-19:00,"週六
12:30-19:00
週日
13:30-17:30","除夕-初五
13:30-17:30",0元,150元/日,0元,0元,
51,國軍高雄總醫院附設民眾診療服務處,高雄市苓雅區中正一路2號,(07)7496779,,11:00-18:30,11:00-17:30,"農曆春節及颱風
11:00-17:30 ",60元/次,35元/日,60元/次,300元/次,"一、請於3天前提出申請。
二、個案務必在下午04:00前完成繳費。
三、繳費地址：苓雅區中正一路2號。
四、服藥地址：高雄苓雅區建軍路5號。
"
52,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市三民區十全一路100號,(07)3121101,"6826
",12:00-19:30,12:00-19:30,無,0元,150元/日,150元/次,300元/次,"一、第一天評估及服藥時，須先繳清所有費用，未服藥，不予以退費。
二、服藥雙ID辨識:
(一)有照片正本證件擇一(身分證、健保卡、護照、駕照)。
(二)辨識系統照片與本人。"
53,臺北榮民總醫院桃園分院,桃園市桃園區成功路三段100號,(03)3384889,2006,10:00-18:00,"周六、例假日及國定假日
13:00-17:00","
13:00-17:00
(若遇不可抗之因素如停電、淹水等，暫停給藥服務)",150元/次,90元/日,150元/次,200元/次,"一、需於門診前三個工作天(不含假日)提出申請跨區給藥服務。
二、本院無容許減量，申請者之原處方上劑量需與實際服用劑量需相符。
三、首日未出席報到之個案，將予以取消轉介。
四、服藥期間:
(一)個案需攜帶國民身分證、另一張有照片之證件。 (雙證件) 
(二)若二天以上未出席服藥者，退回原醫院。
(三)未出席服藥者，視同放棄當日服藥處方，本院並無辦理退費服務。"
54,國軍桃園總醫院附設民眾診療服務處,桃園市龍潭區中興路168號,（0972）766084,,11:00-17:20,08:30-11:30,"除夕-初三
08:30-11:30",100元/次,100元/日,100元/次,300元/次,請跨區服藥個案首日服藥時，於當日給藥時間結束前，提早至少一小時（平日:16:20前，假日:10:30前）到達本院服藥窗口，以順利完成報到及批價手續，進而完成藥物服用。
55,衛生福利部桃園療養院,桃園市桃園區龍壽街71號,(03)3698553,3111,"07:00-21:00 

休息時間
11:45-12:15
16:45-17:15","07:00-21:00 

休息時間
11:45-12:15
16:45-17:15","過年春節
09:00-17:00",120元/次,150元/日,120元/次,300元/次,"一、於本院、他院服用美沙冬超過三個月、出席率並達80%以上者。
二、如兩天以上未出席服藥者，或於跨區期間回轉出醫院服藥者，又或自行要求中止服藥資格者，為確保用藥安全，本院得拒絕給藥，將退回跨區，回原院門診重新評估。
三、需於08:00-20:00持跨區處方籤前來給藥窗口報到，持批價單繳清費用後才能服藥，逾時不候。費用恕不退還。
四、轉出醫院應於轉來前三天(工作天)通知本院，以利作業。
五、其餘規範依「衛生福利部指定替代治療執行機構參與『美沙冬跨區給藥服務』作業規範」辦理。"
56,為恭醫療財團法人為恭紀念醫院（信義院區),苗栗縣頭份市信義路128號,(037)676811,83233,14:30-19:30,14:30-19:00,無,0元,80元/日,0元,300元/次,
57,衛生福利部苗栗醫院,苗栗縣苗栗市為公路747號,(037)261920,1402,08:00-21:00,08:00-21:00,無,80元/次,80元/日,0元,300元/次,
58,臺中榮民總醫院嘉義分院,嘉義市西區世賢路二段600號,(05)2359630,"6101
",07:30-17:30,07:30-11:30,"除夕 ~ 初五
07:30 ~ 11:30",50元/次,55元/日,0元,0元,"欲跨區本院服藥個案，請轉出單位三天前傳真個案雙證件影本，及個案服藥資料，並來電確認，以利醫師提前開單，方便到院繳費服藥。第一天評估及服藥時，須先繳清所有費用，未服藥，不予以退費。                                                      初次到院需攜帶：1.健保卡及身分證(雙證件)2.專用處方箋。             
第一次報到時間，平日：08：00~18:00，假日：08:00~10:00"
59,衛生福利部臺東醫院,台東市五權街1號,(089)324112,1605,"周一至周五11:30~13:30
17:00~19:00
(國定假日亦同)","周六、日
16:00~19:00
(國定假日亦同)",農曆春節給藥時間 12:00~16:00 ,50元/次,150元/日,50元/次,300元/次,第一次報到時間請於當日給藥時間結束前30分鐘，持雙證件完成報到及繳費。
60,衛生福利部玉里醫院,花蓮縣玉里鎮中華路448號,(03)8886141,1186,16:30~17:30,16:30~17:30,16:30-17:30,50元/次,100元/日,50元/次,300元/次,"一、 服藥時請攜帶雙證件與專用處方籤。
二、 個案如於假日報到，請事先告知預計到達時間。
三、 平日上班繳費時間為8:00-17:30；下班後及假日繳費時間採on call。(本院個案管理師將事先詢問個案欲繳費時間，請於17:30前繳費完成，便能及時服藥。)"
61,國軍花蓮總醫院附設民眾診療服務處,花蓮縣新城鄉嘉里村嘉里路163號,(03)8264730,,"09:00~12:00
17:30~20:30","10:30~11:30
18:00~20:00",無,0元,100元/日,0元,300元/次,"一、需於服藥前3日提出申請。
二、服藥時需雙證件。
三、繳費後若未服藥均不退費。"
62,衛生福利部基隆醫院,基隆市信義區信二路268號,(02)24292525,"3609

",14:30-20:30,14:30-20:30,"過年春假
比照一般假日","平日：100元/次
夜診、假日國定假日、颱風天：120元/次",150元/日,0元,300元,"一、需於跨區服藥前三個工作天(不含假日)提出申請跨區給藥服務。
二、報到當天應持有照片的雙證件。
三、服藥當日須繳清所有費用，沒有來服藥不予退費。四、本院無容許減量，申請者之原處方上劑量需與實際服用劑量需相符。"
63,長庚醫療財團法人基隆長庚紀念醫院(情人湖院區）,基隆市安樂區基金一路208巷200號,(02)24329292,2166,14:30-19:30,14:30-17:30,無,0元,150元/日,0元,0元,因給藥地點為基隆長庚醫院情人湖院區，且該院區無急診設置，故請跨區至本院服藥之個案需在平常日下午5點前到院批價繳費，才能服藥；若為平常日5點後或假日服藥，請個案需先至長庚本院(基隆市麥金路222號)批價繳費後，才可服藥。未先批價者恕無法受理給藥服務。
64,衛生福利部澎湖醫院,澎湖縣馬公市中正路10號,(06)9261151,50811,"11:00-14:00
17:00-20:30","11:00-14:00
17:00-20:30",無,0元,150元/日,0元,300元/次,"一、受理時間為每週一至週五8:00~12:00、13:30~17:30。
二、如有跨區需求，請於個管上班時間致電洽詢，電話：06-9261151轉50119轉50811，或精神科專線06-9210449。"
65,衛生福利部金門醫院,金門縣金湖鎮新市里復興路2號,(082)332546,11972,09:00-15:30,09:00-15:30,農曆春節期間給藥時間照常,80元/次,150元/日,80元/次,300元/次,"一、轉出醫院請於平日向本院提出申請，以利轉入作業。
二、向本院提出申請跨區給藥服務，均依專用處方箋劑量給藥，無增減劑量空間。"
